"","FOXC2","NOTCH","SNAI1","NFB","Jagged","ILK","SMAD","cfos","AKT","HEY1","ERK","FUS","Csn","Destcompl","RKIP","TWIST1","Frizzled","Wnt","ZEB2","ZEB1","SNAI2","GSK3","SOSGRB2","TGF","RAS","DELTA","RAF","PI3K","PAK1","TGFR","CDC42","Ecadherin","GLI","cateninmemb","TCFLEF","cateninnuc","KLF4","CD44","cMet","miR200","SRC","DSH","SUFU","STAT","MEK","AXIN2","EGR1","SMO","TrCP","LIV1","Patched","IKK","SHH","Csl","NOTCHic"
"TGF",-0.388400621118012,-0.196436781609195,-0.211948506039415,0.0166666666666667,-0.0116408934707904,-0.113333333333333,-0.116559139784946,-0.0333333333333333,0.0271929824561404,-0.0893617021276596,-0.0280701754385965,-0.113333333333333,-0.0333333333333333,0.095637736301049,-0.107359307359307,-0.318148148148148,0.2,0.26,-0.258886346300534,-0.258886346300534,-0.41158572888814,-0.0603360979094834,-0.0697368421052632,-0.0401587301587302,-0.303571428571429,-0.294642857142857,0.294642857142857,0.294642857142857,-0.04,-0.066984126984127,-0.0622222222222222,-0.304081046664476,-0.284528301886792,-0.345366449443626,-0.299001986097319,-0.302829737293491,-0.258886346300534,-0.284528301886792,-0.26,-0.148794978967393,-0.2,-0.1,0.133333333333333,-0.1,-0.00526315789473685,-0.312169312169312,0.0333333333333333,0.13,0,0,0.161034482758621,-0.0166666666666667,0.173534482758621,0.233333333333333,0.203333333333333
"GLI",-0.305404841761266,-0.00119647593785524,-0.142544500797761,0.0201754385964912,0.0877246292932791,-0.0384931744368737,-0.0352499311936304,-0.080952380952381,0.0523501834944504,-0.0388871739465967,-0.0692640692640693,0.0321428571428571,-0.0166666666666667,0.193651874388585,-0.100727590846757,-0.250643459539894,0.149032258064516,0.164326375711575,-0.232538146441372,-0.232538146441372,-0.463560050706779,-0.0675147250766092,-0.0984722062598169,0.0778119203439346,-0.25436031335457,-0.250597937116947,0.250597937116947,0.250597937116947,-0.0783333333333333,-0.0808707438733463,-0.0714367816091954,-0.301231357836169,-0.26730509911583,-0.348847247309913,-0.307439355592724,-0.307857765634565,-0.229705705705706,-0.307114680268049,-0.30366640440598,-0.116770886492249,-0.289032258064516,-0.12,-0.0571428571428571,-0.26,0.0565568869436273,-0.35292270531401,0.114285714285714,-0.0216165413533835,-0.0166666666666667,-0.2,-0.00937164339419978,-0.0507876834944504,-0.00484489442300637,0.000601237842617149,0.00310123784261715
"RAS",-0.223968253968254,-0.0420556107249255,-0.178210422812193,-0.0333333333333333,-0.022093435836783,-0.0861471861471861,-0.0861471861471861,-0.12,-0.00222222222222222,-0.0737154150197628,-0.0936842105263158,-0.1,0,-0.0413783419597373,-0.0752452830188679,-0.156792144026187,0.1,0.129411764705882,-0.231516936671576,-0.231516936671576,-0.372286828981087,-0.156627906976744,-0.0510822510822511,-0.0891089108910891,-0.17974358974359,-0.048974358974359,0.048974358974359,0.048974358974359,0.1,0.1,0.1,-0.129625373205936,-0.171078431372549,-0.155092376377718,-0.185221912005391,-0.190604348266015,-0.242857142857143,-0.169837296620776,-0.129411764705882,-0.1512,-0.1,-0.1,0.1,-0.1,0.0956449948400413,-0.183504611330698,0.12,0.1,0.1,0,0.088,0.0133333333333333,0.103254237288136,0.05,0.0552631578947368
"FUS",-0.226923774954628,-0.0106060606060606,-0.107341390603716,0.114285714285714,0.139727800089246,-0.0119047619047619,-0.0125499231950845,-0.0476923076923077,0.12567032967033,-0.0110686415034241,-0.0446620046620047,-0.0133333333333333,0.1,0.0569653048247514,-0.0976975945017182,-0.152587858878281,0.0625,0.0736111111111111,-0.208152230425289,-0.208152230425289,-0.382631758413347,-0.0298779874972361,-0.0198380566801619,0.0316944604178647,-0.240979095546477,-0.239669051878354,0.239669051878354,0.239669051878354,-0.0333333333333333,-0.0306306306306306,-0.0333333333333333,-0.108845271219702,-0.0813034188034188,-0.202145888459061,-0.187907227615965,-0.187363749355096,-0.193806921675774,-0.187907227615965,-0.181111111111111,-0.104787567364331,-0.17,-0.05,-0.0666666666666667,-0.15,0.0366160276505104,-0.331263588984728,0.04,0.0383333333333333,-0.1,-0.1,0.0438888888888889,-0.110285714285714,0.0448989898989899,0.00606060606060606,0.00606060606060606
"NOTCH",-0.26265306122449,0.0646082949308756,-0.0725641025641026,0.0333333333333333,0.139124579124579,0.00476190476190476,0.00142857142857143,-0.02,0.0777777777777778,-0.0956521739130435,0.0133333333333333,0.0333333333333333,0,0.173043553566918,-0.0529619805481875,-0.251254237288136,0.2,0.253846153846154,-0.196940418679549,-0.196940418679549,-0.438216141157318,-0.150417972831766,0.0757894736842105,0.00233691756272401,-0.191831357048748,-0.178787878787879,0.178787878787879,0.178787878787879,0,0.000888888888888889,-0.0111111111111111,-0.284247311827957,-0.281118881118881,-0.333873445336464,-0.288811188811189,-0.288403025545883,-0.193236714975845,-0.281118881118881,-0.253846153846154,-0.0975757575757576,-0.2,-0.1,0,-0.1,-0.049047619047619,-0.313396226415094,0,0.0166666666666667,0,0,0.0551282051282051,-0.0222222222222222,0.0727752639517345,-0.16,-0.174285714285714
"EGR1",-0.2543843306877,0.0563369963369963,-0.0817827766022685,0.0583333333333333,0.124351993865031,0.00428400750981396,0.0062194913807817,0.0304347826086957,0.0883528265107212,-0.00107813740188729,0.0490788504053058,-0.0428571428571429,0.00833333333333333,0.190282639517189,-0.0577883810480496,-0.233277432712215,0.285925925925926,0.293820662768031,-0.194366953459313,-0.194366953459313,-0.450335720825419,-0.155275432900433,0.103149064906491,0.00474270184974139,-0.174573351883251,-0.175027897337797,0.175027897337797,0.175027897337797,0,-0.00802139037433155,-0.00196078431372549,-0.273703049879556,-0.293332857889982,-0.328386533834039,-0.292922922922923,-0.291681543612578,-0.189454072339318,-0.294034034034034,-0.294034034034034,-0.0965869288801507,-0.285925925925926,-0.26,0.00952380952380952,-0.26,-0.0637455170719725,-0.344427301174211,0,0.0589861751152074,-0.0333333333333333,-0.2,0.0700972862263185,-0.0846491228070175,0.0710972862263185,-0.058974358974359,-0.0574358974358974
"Jagged",-0.244285714285714,0.174285714285714,-0.0833333333333333,0,0.120606060606061,0,0.00476190476190476,0,0.0222222222222222,-0.1,-0.02,0,0,0.168370656370656,-0.0564102564102564,-0.236,0.1,0.2,-0.193236714975845,-0.193236714975845,-0.413348416289593,-0.136781609195402,0.06,-0.000888888888888889,-0.178787878787879,-0.133333333333333,0.133333333333333,0.133333333333333,0,-0.0111111111111111,0,-0.286666666666667,-0.253846153846154,-0.330208523870496,-0.281118881118881,-0.288811188811189,-0.188888888888889,-0.253846153846154,-0.2,-0.0975757575757576,-0.1,0,0,0,-0.0133333333333333,-0.27,0.1,-0.0333333333333333,0,0,0.0166666666666667,-0.0333333333333333,0.0551282051282051,-0.1,-0.16
"DELTA",-0.244285714285714,0.174285714285714,-0.0833333333333333,0,0.120606060606061,0,0.00476190476190476,0,0.0222222222222222,-0.1,-0.02,0,0,0.168370656370656,-0.0564102564102564,-0.236,0.1,0.2,-0.193236714975845,-0.193236714975845,-0.413348416289593,-0.136781609195402,0.06,-0.000888888888888889,-0.178787878787879,-0.133333333333333,0.133333333333333,0.133333333333333,0,-0.0111111111111111,0,-0.286666666666667,-0.253846153846154,-0.330208523870496,-0.281118881118881,-0.288811188811189,-0.188888888888889,-0.253846153846154,-0.2,-0.0975757575757576,-0.1,0,0,0,-0.0133333333333333,-0.27,0.1,-0.0333333333333333,0,0,0.0166666666666667,-0.0333333333333333,0.0551282051282051,-0.1,-0.16
"MEK",-0.203539879401948,-0.166008484621623,-0.0852347806965019,0.0107142857142857,-0.0531788222539426,-0.0826297360159636,-0.0852127618462219,-0.073448275862069,-0.000907817672523555,-0.06558547143913,-0.075575935436537,-0.08,-0.0142857142857143,0.0196808141710462,0.078000147427392,-0.197134434193258,0.04,0.0669230769230769,-0.190152581357746,-0.190152581357746,-0.437919457019735,-0.0295995221527136,-0.0276190476190476,0.0234441380072051,-0.0362432012432012,-0.0365606615606616,0.0365606615606616,0.0365606615606616,-0.0133333333333333,-0.0285536270582999,-0.0276190476190476,-0.0383348939536119,-0.0718181818181818,-0.0188339989918182,-0.0719681751220522,-0.0715964279101563,-0.188761358201817,-0.0686602870813397,-0.0637651821862348,-0.104281641257774,-0.0368421052631579,0,0.1,0,-0.0360907312301296,-0.0651208170195512,0.07,0.084,0,0,0.102032786885246,0.00443722943722944,0.107915139826422,0.188888888888889,0.16965811965812
"TCFLEF",-0.00857388181026157,0.00401329751034466,-0.0116355425142036,-0.117194805194805,-0.0817944404382989,-0.0344739120528594,-0.0342827074639493,-0.18815331010453,-0.0977347771443143,-0.0353731087639166,-0.183391405342625,0.08,-0.105194805194805,-0.0976966826429781,0.00754465720714516,0.0100386552037613,-0.0623529411764706,-0.059788838612368,-0.166431330852384,-0.166431330852384,0.141870463053169,0.0519569735741086,-0.200251804084139,0.0878667302644382,0.083373471164341,0.0837676892983752,-0.0837676892983752,-0.0837676892983752,-0.0897435897435897,-0.0855488494697362,-0.0874180083482409,-0.0171607873896582,0.0585466025875233,0.0165284567323679,-0.0496237969599183,-0.0496237969599183,-0.166373822256175,0.0511780358006773,0.0524358974358974,-0.0712960934647682,0.055,0.0823529411764706,-0.1,0.075,0.17862950058072,0.40422905982906,0.185714285714286,-0.0704761904761905,0.114285714285714,0.1,-0.0656374807987711,0.107517385839967,-0.0650239838662558,-0.00766778256017854,-0.00766778256017854
