"","FOXC2","SMAD","HEY1","SHH","FUS","NOTCHic","SUFU","TWIST1","MEK","cfos","ERK","EGR1","PAK1","SNAI2","CDC42","STAT","DSH","RAF","cMet","LIV1","Frizzled","Ecadherin","GLI","Wnt","Destcompl","cateninnuc","CD44","TCFLEF","SRC","AXIN2","cateninmemb","PI3K","DELTA","RAS","SOSGRB2","ZEB1","TGFR","TGF","GSK3","TrCP","Csl","Csn","NOTCH","NFB","RKIP","Jagged","IKK","SMO","AKT","Patched","SNAI1","ILK","miR200","ZEB2","KLF4"
"SMAD",0.311614729271434,0.185735953544173,0.277112449109479,0.270459653490672,0.2375,0.13448275862069,0.2,0.171763629783729,0.108733605104573,0.0981566820276498,0.0981566820276498,0.114285714285714,0.0380952380952381,0.146809479644279,0.0366867873910127,-0.0342857142857143,-0.0476190476190476,0.117864156222235,-0.0401680672268908,-0.02,-0.0476190476190476,0.0951056915101737,0.05410770284871,0.0533882783882784,0.0699538411149988,0.0418071280707785,0.0398044308632544,0.0421110794385597,0.0342857142857143,0.019852430833627,0.0713828526186433,-0.117864156222235,-0.117864156222235,-0.112929945695919,-0.00561963916001183,-0.0276489143215424,-0.0394800834803982,-0.0414721153529082,-0.0440410550184986,-0.2,-0.133333333333333,-0.211111111111111,-0.139244663382594,-0.215873015873016,-0.21183309588109,-0.172182516408323,-0.221755368814192,-0.2475,-0.240422035480859,-0.268600917431193,-0.251772874079326,-0.278593096401316,-0.311506398775603,-0.359775998474022,-0.351711741857355
"TrCP",0.283264141653297,0.190662229049326,0.182619719551989,0.15694526938613,0.135714285714286,0.10025641025641,0.0857142857142857,0.151103801995106,0.0819572586588062,0.0756521739130435,0.0739572586588062,0.08,0.0380952380952381,0.225023908919317,0.0439775910364146,0.05,0.05,0.00640310324671874,0.0455955955955956,0.05,0.0537037037037037,-0.00795059533435254,-0.0462967717396472,-0.0458089668615984,-0.067658010863951,-0.0446562533855125,-0.0475757936153976,-0.0442424602820642,-0.0537037037037037,-0.0543055426464665,-0.0445283334639712,-0.00640310324671874,-0.00640310324671874,-0.0018576487012642,-0.0396727172717272,-0.0493982878453033,-0.0439775910364146,-0.0483491757358681,0.00618993506493506,-0.1,-0.0987179487179487,-0.1,-0.105750915750916,-0.125,-0.195033677188373,-0.113159722222222,-0.119736842105263,-0.132488479262673,-0.141959064327485,-0.15594526938613,-0.231843601852967,-0.179049325823519,-0.306502511787672,-0.346725024960118,-0.337060109289618
"PAK1",0.283264141653297,0.190662229049326,0.182619719551989,0.15694526938613,0.135714285714286,0.10025641025641,0.0857142857142857,0.151103801995106,0.0819572586588062,0.0756521739130435,0.0739572586588062,0.08,0.0380952380952381,0.225023908919317,0.0439775910364146,0.05,0.05,0.00640310324671874,0.0455955955955956,0.05,0.0537037037037037,-0.00795059533435254,-0.0462967717396472,-0.0458089668615984,-0.067658010863951,-0.0446562533855125,-0.0475757936153976,-0.0442424602820642,-0.0537037037037037,-0.0543055426464665,-0.0445283334639712,-0.00640310324671874,-0.00640310324671874,-0.0018576487012642,-0.0396727172717272,-0.0493982878453033,-0.0439775910364146,-0.0483491757358681,0.00618993506493506,-0.1,-0.0987179487179487,-0.1,-0.105750915750916,-0.125,-0.195033677188373,-0.113159722222222,-0.119736842105263,-0.132488479262673,-0.141959064327485,-0.15594526938613,-0.231843601852967,-0.179049325823519,-0.306502511787672,-0.346725024960118,-0.337060109289618
"CDC42",0.27291931406709,0.179049325823519,0.187031484257871,0.15594526938613,0.0857142857142857,0.0987179487179487,0.1,0.145125541125541,0.0739572586588062,0.08,0.0756521739130435,0.02,0.171428571428571,0.225566404398521,0.0380952380952381,0.05,0.05,0.00152505446623094,0.0537037037037037,0.1,0.05,-0.0109263738810653,-0.0458089668615984,-0.0537037037037037,-0.0685602665030488,-0.0442424602820642,-0.0455955955955956,-0.0475757936153976,-0.05,-0.0517898193760263,-0.046359835295473,-0.00152505446623094,-0.00152505446623094,-0.00640310324671874,-0.0347222222222222,-0.0574368730543065,-0.0439775910364146,-0.0439775910364146,0.00546266233766234,0,-0.0833333333333333,-0.1,-0.10025641025641,-0.1,-0.18011655011655,-0.113159722222222,-0.125,-0.135714285714286,-0.119736842105263,-0.132488479262673,-0.232559592306428,-0.182275132275132,-0.291274085391732,-0.338043352934394,-0.320666666666667
"NOTCHic",0.272205398288348,0.174518670777664,0.277959866220736,0.156741108354012,0.1,0.0618433179723502,0.1,0.158839569342288,0.0795238095238095,0.0866666666666667,0.0795238095238095,0.02,0.0333333333333333,0.15265950512915,0.0133333333333333,-0.02,-0.02,0.0176811594202899,-0.0246620046620047,0,-0.0276923076923077,0.101340462503391,0.0300383487480262,0.0246620046620047,0.0193867499007686,0.03152744020792,0.0301565101565102,0.0289320203605918,0.0276923076923077,0.0165655884995508,0.0696181556835969,-0.0176811594202899,-0.0176811594202899,-0.0211294352823588,-0.00253588516746412,-0.0530273752012883,-0.0133333333333333,-0.015244161358811,0.0351326747094772,0,-0.145714285714286,-0.1,-0.0618433179723502,-0.111111111111111,-0.176398799516818,-0.073804076717984,-0.122222222222222,-0.138461538461538,-0.119896640826873,-0.138461538461538,-0.22511803011803,-0.175238095238095,-0.288227610539749,-0.331545893719807,-0.317339544513458
"DELTA",0.262857142857143,0.145238095238095,0.25,0.138461538461538,0,0.16,0,0.154,0.0866666666666667,0,0.02,0.1,0,0.150326797385621,0,0,0,0.0133333333333333,-0.02,0,0,0.0931228070175439,0.0276923076923077,0.02,0.0155830115830116,0.0301565101565102,0.0276923076923077,0.0246620046620047,0,0.0142857142857143,0.0614578379367112,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,-0.02,-0.0471014492753623,-0.0333333333333333,-0.0133333333333333,0.0340996168582375,0,-0.1,0,-0.145714285714286,0,-0.174358974358974,-0.0651948051948052,-0.1,-0.1,-0.111111111111111,-0.1,-0.208333333333333,-0.15,-0.263636363636364,-0.313768115942029,-0.283333333333333
"GLI",0.186148950808394,0.119558017634723,0.114559431325136,0.202041921381938,0.202380952380952,0.0762157382847038,0.152380952380952,0.0928152492668622,0.0871780153548109,0.0857142857142857,0.0844155844155844,0.0857142857142857,-0.118333333333333,0.218349691868531,-0.111436781609195,0.05,-0.06,-0.136318036108758,0.0459087332808812,0.05,-0.0567741935483871,-0.0158749005484771,-0.0403221769146917,0.0626565464895636,-0.0987236996110153,-0.0480400855529058,-0.0502190781084674,-0.0476216755110648,-0.0532258064516129,-0.0564160628019324,-0.0495162284134576,0.136318036108758,0.136318036108758,0.139684372742421,0.174925870589587,-0.0582194060419867,0.115839297332466,0.111839297332466,0.107066875597277,-0.0166666666666667,-0.0762157382847038,-0.00555555555555556,-0.0781205001894657,-0.0318713450292398,-0.0784908239724526,-0.0700894312906598,-0.0175856307435255,-0.191854636591479,-0.0300856307435255,-0.204099534550662,-0.106190676744898,-0.110909368986074,-0.237407659420043,-0.253873954599761,-0.24969540969541
"SRC",0.156059757236228,0.0950154101469891,0.110923535253227,0.0233115468409586,0.0166666666666667,0.130714285714286,-0.0333333333333333,0.113401540987748,-0.0377167905469792,-0.0727272727272727,-0.0282828282828283,-0.1,-0.0666666666666667,0.0690384386151536,-0.0416666666666667,0,0.1,-0.1306967042136,0.1,0,0.1,-0.186762442350678,-0.101639344262295,-0.1,-0.108818681318681,-0.0994240335185836,-0.101639344262295,-0.0992003198720512,-0.1,-0.0747056823494411,-0.195168013770394,0.1306967042136,0.1306967042136,0.121605795122691,-0.145714285714286,-0.0329439952081461,0.0511904761904762,0.0566450216450217,-0.0832900432900433,0.1,-0.145,0.15,-0.137857142857143,0.0833333333333333,-0.160834147930922,-0.0653163961420842,0.0602564102564103,-0.0166666666666667,0.0658119658119658,-0.0203703703703704,-0.0937580367623144,-0.0760964912280702,-0.18498023715415,-0.242160826594789,-0.341279069767442
"TCFLEF",0.382134348170324,0.0890272825583281,0.0453982935261839,0.15136053075495,0.123333333333333,-0.167495616132632,0.116666666666667,0.22085273233001,0.262955035672806,0.268397212543554,0.263635307781649,0.275714285714286,-0.0153846153846154,0.29058989459036,-0.0246869409660107,-0.1125,-0.117647058823529,0.0234504713584136,-0.118354700854701,-0.1,-0.122647058823529,0.240508248832588,0.124743995703075,0.12350175967823,-0.0871142572599646,0.0195255711998564,0.120241493307531,0.0187523753235677,0.1175,0.0345826617826618,0.179988317459443,-0.0234504713584136,-0.0234504713584136,-0.0254215620285844,0.327883924458775,-0.0165244107744108,0.0237523615267584,0.0257391164936458,-0.0820748761196874,-0.0571428571428571,0.179260322014985,-0.0844155844155844,0.169156745700738,-0.0804155844155844,-0.0491119070579051,0.0897134412596193,-0.0868671973188102,-0.151904761904762,-0.0803454581883754,-0.147066052227343,-0.171430473292398,-0.0938073972810815,-0.196940402301848,-0.240298289916711,-0.238109562006621
"SUFU",0.17539551368367,0.0751021050104713,0.0693025326341199,0.235109687609688,0.214166666666667,-0.150454545454545,0.226666666666667,0.0826625670148954,0.170358782816596,0.175337995337995,0.174188570050639,0.172307692307692,-0.103333333333333,-0.162147841226626,-0.111441441441441,-0.106666666666667,-0.2125,-0.0713557331010616,-0.105695792880259,-0.1,-0.2125,0.0114323804329191,0.213615241635688,0.2125,0.16670543710167,0.106710421843973,0.107199552278755,0.105840856626581,0.106666666666667,0.0260139464012937,0.106748843274529,0.0713557331010616,0.0713557331010616,0.0694569989238464,0.235799288430867,-0.0469611733248138,0.110377611654207,0.112152759583201,0.199188387242418,-0.05,0.159545454545455,-0.0642857142857143,0.150454545454545,-0.0522857142857143,-0.0373574584472964,0.0785413137676824,-0.059978021978022,-0.236388888888889,-0.0512531897632569,-0.229318181818182,-0.0635855035887801,-0.0785663082437276,-0.151027659990197,-0.206373275183489,-0.216313820446539
"FUS",0.177132486388385,0.0785663082437276,0.0572543398630355,0.229318181818182,0.226666666666667,-0.159545454545455,0.266666666666667,0.083693494849947,0.174188570050639,0.172307692307692,0.175337995337995,0.18,-0.12,-0.162741117429658,-0.103333333333333,-0.1,-0.2,-0.0709190518783542,-0.106666666666667,-0.1,-0.2125,0.0119473134916214,0.2125,0.2125,0.16697125315696,0.105840856626581,0.105695792880259,0.107199552278755,0.106666666666667,0.0253113702888815,0.10606671503442,0.0709190518783542,0.0709190518783542,0.0713557331010616,0.230904183535763,-0.0421302554504177,0.111441441441441,0.110377611654207,0.199188387242418,-0.1,0.154545454545455,-0.05,0.150454545454545,-0.0642857142857143,-0.0410309278350516,0.0811541403710078,-0.0522857142857143,-0.214166666666667,-0.059978021978022,-0.236388888888889,-0.0596672753093934,-0.0688888888888889,-0.15437338489726,-0.20540709160861,-0.219307832422587
"SHH",0.175,0.05,0.0666666666666667,0.226666666666667,0.2,-0.2,0.2,0.075,0.18,0.1,0.2,0,0,-0.16544061302682,-0.1,-0.1,-0.2,-0.05,-0.1,0,-0.2,0.00472222222222222,0.2,0.2,0.168051948051948,0.106666666666667,0.1,0.106666666666667,0.1,0.019047619047619,0.10078853046595,0.05,0.05,0.0576923076923077,0.2,-0.05,0.1,0.12,0.192307692307692,0,0.1,0,0.2,0,-0.04,0.0771428571428571,-0.1,-0.3,-0.05,-0.266666666666667,-0.0666666666666667,-0.0666666666666667,-0.133333333333333,-0.2,-0.2
"DSH",0.109113155306546,0.115770690069304,0.110342550320154,0.122901658009515,0.109090909090909,-0.059593837535014,0.1,0.105845401990583,0.0307058495912985,0.0411764705882353,0.0374727668845316,0,-0.1,-0.00277641843448481,-0.117391304347826,-0.125,-0.125,-0.00665766061538958,-0.126691729323308,-0.1,-0.130263157894737,-0.0254833805528923,0.128652513637034,0.126691729323308,0.23837910019322,0.128883716872988,0.128678484290196,0.127726103337815,0.130263157894737,0.0885385500575374,0.0552127794081438,0.00665766061538958,0.00665766061538958,0.00357642812239238,0.101330376940133,-0.0580623831314095,0.120248447204969,0.119203151037722,0.122983935684552,-0.0666666666666667,0.0654761904761905,-0.126666666666667,0.0602931382343147,-0.139166666666667,0.0115318015318015,-0.0211601652641324,-0.132916666666667,-0.123376623376623,-0.120272988505747,-0.113699204021785,-0.0137957211870255,-0.118412199503267,-0.152141152377433,-0.194707958691123,-0.193745070843872
"Frizzled",0.111277657471048,0.118412199503267,0.0927986906710311,0.113699204021785,0.1,-0.0654761904761905,0,0.10655462184874,0.0374727668845316,0,0.0411764705882353,0,-0.133333333333333,-0.00359131948221473,-0.1,-0.1,0,-0.0105946684894053,-0.130263157894737,-0.1,-0.125,-0.0245176211147887,0.126691729323308,0.130263157894737,0.237615741414594,0.127726103337815,0.126691729323308,0.128678484290196,0.125,0.0872727272727273,0.0539171374764595,0.0105946684894053,0.0105946684894053,0.00665766061538958,0.0818181818181818,-0.0533379736825906,0.117391304347826,0.120248447204969,0.119503657262278,-0.1,0.0571428571428571,-0.0666666666666667,0.059593837535014,-0.126666666666667,0.00523809523809524,-0.0157338086749851,-0.139166666666667,-0.109090909090909,-0.132916666666667,-0.123376623376623,-0.0059696342305038,-0.102524349035977,-0.154580176767677,-0.191558352391911,-0.19859943977591
"AXIN2",0.10698703326338,0.0613584080975385,0.0576269836918924,-0.0671318981564883,-0.0769230769230769,0.0220739348370927,-0.1,0.00401738846634046,0.0748775509669373,0.0708943089430894,0.0755672061393511,0.0733333333333333,0.12,0.1499561140863,0.126172839506173,0.106666666666667,0.106666666666667,0.0851594055746305,0.0996899224806202,0.1,0.0996899224806202,-0.0201946892826313,-0.0996899224806202,-0.0996899224806202,-0.112767916586323,-0.098918000282215,-0.0993744650673709,-0.0987882985960931,-0.0996899224806202,-0.0992935561102858,-0.10533996203608,-0.0851594055746305,-0.0851594055746305,-0.0862092743410347,-0.0982807032456401,0.0605094484904622,-0.122633016497323,-0.123293082503924,-0.116541747344951,-0.0666666666666667,-0.023859649122807,-0.0777777777777778,-0.0234252861884441,-0.0908212560386474,-0.0998139942494781,-0.119408182886444,-0.0980676328502416,0.0721611721611722,-0.0991787439613527,0.0668040293040293,-0.110249330043294,-0.05778697952611,-0.127450421995547,-0.149890573473681,-0.144699925570519
"CD44",0.1175,0.0690476190476191,0.13859649122807,0.07,0.1,0.314285714285714,0.1,0.10974358974359,0.055,0.075,0.015,0.1,0.0666666666666667,0.231559551559552,0.00666666666666668,-0.1,0,-0.19047619047619,0,-0.1,0.1,-0.0592557811312561,-0.106666666666667,-0.1,-0.197326203208556,-0.105879546809779,-0.106666666666667,-0.104341085271318,0,-0.09,-0.110018315018315,0.19047619047619,0.19047619047619,0.21047619047619,0.116666666666667,0.0603174603174603,-0.0441666666666667,-0.0608333333333333,0.0660714285714286,0.1,-0.3,0,-0.309022556390977,0.1,-0.0507407407407407,-0.106107226107226,0.166666666666667,-0.05,0.12,-0.07,-0.0807017543859649,-0.0833333333333333,-0.114659639877031,-0.13015873015873,-0.201587301587302
"Csn",0.117158698464127,0.0196286098825358,0.0251827242524917,-0.00929022795759972,-0.0253968253968254,0.11038961038961,-0.0142857142857143,0.00467508181393174,0.0106168831168831,0.00515151515151515,0.00645021645021645,0.0233333333333333,0.125,0.0764720065918825,0.126492537313433,0.133333333333333,0.133333333333333,0.00436554659903994,0.135576789918294,0.133333333333333,0.136781609195402,-0.0056475066667982,-0.134266746250172,-0.135576789918294,-0.244299027960054,-0.133942795129759,-0.134243456584961,-0.134243456584961,-0.136781609195402,-0.100376436103242,-0.0481692523870815,-0.00436554659903994,-0.00436554659903994,-0.00378973086007641,-0.129710596102848,0.0125657568238213,-0.130338691159587,-0.129622700706126,-0.117765239080538,0.18,-0.109090909090909,0.08,-0.111351148851149,0.0883333333333333,-0.121378272694505,-0.0388087679516251,0.0758333333333333,0.0163059163059163,0.0686333333333334,0.0109295722198948,-0.123056235334346,-0.0188574016563147,-0.0390429542866753,-0.051247311827957,-0.0461624649859944
"RKIP",0.0114058355437666,-0.0839715807267505,-0.104142469996129,-0.0881967213114754,-0.1,-0.17979797979798,-0.1,0.0588146167557932,-0.0866030814380044,-0.08,-0.0972413793103448,-0.03,-0.0666666666666667,-0.307863554234423,-0.0733333333333333,0,0,-0.0152597402597403,0.00526315789473684,0,0,-0.192209367299633,-0.01,-0.01,0.181560289621075,-0.0072347232250808,-0.00526315789473684,-0.00596245859403754,0,-0.00243788091889358,-0.160956923309864,0.0152597402597403,0.0152597402597403,0.0195332445332445,-0.0563809523809524,0.000556671449067432,0.0685714285714286,0.0620293724966622,0.0182427107959023,0,0.188888888888889,0,0.172105672105672,0.0142857142857143,-0.0145658263305322,0.0874363327674024,0.0267857142857143,0.1,0.00557359307359307,0.08,0.014044920292428,0.0810012836970475,-0.00615307465680436,-0.0201252989000478,-0.0181252989000478
