"","FUS","TGF","NOTCHic","NOTCH","RAS","RAF","PI3K","DELTA","Destcompl","EGR1","Wnt","cMet","Frizzled","SRC","DSH","LIV1","Ecadherin","TWIST1","miR200","SNAI2","FOXC2","STAT","cateninmemb","ZEB2","ZEB1","CD44","cfos","TCFLEF","MEK","ERK","GLI","cateninnuc","SOSGRB2","AXIN2","TrCP","SUFU","Csn","Csl","KLF4","PAK1","CDC42","TGFR","HEY1","NFB","RKIP","SMAD","ILK","SNAI1","SMO","Patched","GSK3","Jagged","SHH","IKK","AKT"
"AXIN2",0.269230769230769,0.157738729010561,-0.0221679197994987,-0.0241949468265258,0.602303053089092,0.573431662012977,0.573431662012977,0.573431662012977,0.725871791533623,-0.04,0.464752739909115,0.464752739909115,0.426821705426357,0.426821705426357,0.373333333333333,0.3,-0.0993537494516666,-0.0347945693652252,0.259753809009685,-0.246015316840977,-0.305595941919127,-0.373333333333333,-0.340136444534276,-0.204809448394264,-0.204809448394264,-0.4909357052088,0.0570731707317073,-0.509106865818413,0.0893129386981914,0.0748301800775017,-0.491167834248738,-0.521514993790743,0.0661444741949651,-0.0482363712472753,-0.2,-0.2,-0.3,0.0185964912280702,-0.206002879313497,-0.142916666666667,-0.151558641975309,-0.155098464984158,-0.186860578341309,-0.382608695652174,-0.42087409901926,-0.195956981826547,-0.189210950080515,-0.469778826934868,-0.307326007326007,-0.339468864468864,-0.699378395822332,-0.454210020296977,-0.359468864468865,-0.436231884057971,-0.478454106280193
"Destcompl",0.279693486590038,0.12836845809104,-0.0301664708186447,-0.03237087963628,0.573178660970373,0.558578974942116,0.558578974942116,0.558578974942116,0.58340918836108,-0.0687179487179487,0.446981801898389,0.446582806774997,0.42717982170037,0.42717982170037,0.398412698412698,0.355555555555556,-0.088681174340999,-0.0358928227544774,0.227169449813092,-0.197060751680036,-0.276703520806193,-0.398412698412698,-0.304430326256612,-0.161282395782858,-0.161282395782858,-0.460015642595892,0.0868997668997669,-0.469056738486303,0.106641068691287,0.0994680729106959,-0.460896458670189,-0.475227059750964,0.082753078090149,-0.509106865818413,-0.3,-0.255555555555556,-0.371428571428571,0.0290795142969056,-0.169019191003732,-0.124489795918367,-0.125179451090781,-0.127284714248676,-0.156546530392684,-0.41055900621118,-0.386534377232064,-0.160701754385965,-0.157777777777778,-0.434520505937241,-0.308264915161467,-0.321218283037115,-0.669068347798601,-0.421095123828769,-0.332243428104813,-0.445694141346315,-0.465157228594637
"CD44",0.1,0.275277777777778,-0.142857142857143,-0.0954887218045113,0.321904761904762,0.29047619047619,0.29047619047619,0.29047619047619,0.19894685146786,0.2,-0.1,-0.2,-0.1,-0.2,0,-0.1,-0.0951796764737814,0.208351648351648,0.171703996486605,0.0387701187701188,-0.143333333333333,0.1,0.120860805860806,-0.134920634920635,-0.134920634920635,0.0933333333333333,-0.15,0.0910077519379845,-0.22,-0.19,0.0933333333333333,0.0771615980918307,-0.3,0.12,-0.1,-0.1,-0.2,0.1,0.00317460317460317,-0.2,-0.26,-0.2475,-0.194152046783626,-0.3,-0.273333333333333,-0.148299319727891,-0.166666666666667,-0.286602870813397,-0.1,-0.14,-0.288095238095238,-0.127552447552448,-0.149090909090909,-0.333333333333333,-0.34
"TCFLEF",0.08,0.441624737791134,0.0161645145863223,0.013174481363731,0.302529774468924,0.281110589186401,0.281110589186401,0.281110589186401,0.531774226053813,0.334285714285714,0.129296128707893,0.138119658119658,0.104509803921569,0.113333333333333,0.0745098039215686,0.0333333333333333,0.0612944364550738,0.178020519887565,0.209455571202559,-0.0759426075435559,-0.103998243551362,-0.0833333333333333,-0.204264007981321,-0.0882042796384902,-0.0882042796384902,-0.15447185937752,-0.326968641114983,-0.26672844586091,-0.316356396217023,-0.318397212543554,-0.14668743305572,-0.275147689847165,-0.417413173652695,0.204577289377289,0,-0.0333333333333333,-0.0454545454545455,-0.0181252989000478,-0.0883482938629997,-0.425641025641026,-0.430292188431723,-0.439637982824247,-0.187170742538142,-0.113454545454545,-0.376843458694953,-0.217734704976126,-0.210660135186451,-0.383857915677999,-0.118095238095238,-0.132611367127496,-0.458590477513821,-0.136331633323675,-0.14917578430541,-0.165067448680352,-0.19224136172383
"PI3K",0.1,0.303371592539455,-0.1,-0.0903225806451613,0.469819605052482,0.443792207792208,0.443792207792208,0.443792207792208,0.502065723280307,0.0333333333333333,0.155072463768116,0.155072463768116,0.133333333333333,0.133333333333333,0.1,0.1,-0.12081825476196,0.0668748373666407,0.208831446946201,-0.0415883967404666,-0.288501742160279,-0.1,-0.0296622375747448,-0.0869703166333966,-0.0869703166333966,-0.16891861761427,-0.0476190476190476,-0.181912967896756,-0.0348900215824034,-0.0299719887955182,-0.16891861761427,-0.19160368954624,-0.153461538461538,-0.210380952380952,-0.2,-0.1,-0.3,0.1,-0.0758771929824561,-0.25,-0.291176470588235,-0.291176470588235,-0.141220193051492,-0.333333333333333,-0.351858435681965,-0.149567026810724,-0.137567026810724,-0.397665056360709,-0.116666666666667,-0.162820512820513,-0.57512025012025,-0.148333333333333,-0.168376068376068,-0.374509803921569,-0.418099547511312
"TWIST1",0.288888888888889,0.03333128631377,0.0734472934472934,0.0734472934472934,0.234711095514948,0.229574109213578,0.229574109213578,0.229574109213578,0.231965371374173,0.0466666666666667,0.201537176274018,0.200574130361364,0.192063492063492,0.192063492063492,0.180952380952381,0.166666666666667,0.0651884758461629,-0.14136373542552,0.104959298466268,-0.0512945949790841,-0.0335472666868016,-0.180952380952381,-0.177527336907284,-0.0798034876982245,-0.0798034876982245,-0.205795013895501,-0.0249275362318841,-0.20870466167498,-0.00857508794699273,-0.0170327993897788,-0.207137176274018,-0.210717312623801,-0.0186860685716521,-0.251047286047286,-0.2,-0.233333333333333,-0.25,-0.0837037037037037,-0.0875859912445278,-0.0284848484848485,-0.0353814002089864,-0.0353814002089864,-0.156000496678463,-0.303846153846154,-0.138811912724956,-0.159173349767409,-0.162803712803713,-0.124206524301498,-0.276888888888889,-0.283738203957382,-0.241307061523069,-0.206143129657255,-0.291127366518958,-0.308608058608059,-0.317082634879245
"TGF",0.14,0.107539682539683,0.05,0.0672413793103448,0.327976190476191,0.308333333333333,0.308333333333333,0.308333333333333,0.154119303415938,0.233333333333333,0.0628571428571429,0.0533333333333333,0.0428571428571429,0.0333333333333333,0,0,0.0299284071170368,0.0227777777777778,0.120377180290973,-0.0378512668289904,-0.204239130434783,0,-0.0516708349631997,-0.0752878903450986,-0.0752878903450986,-0.0589937106918239,-0.247619047619048,-0.0668884475339292,-0.242940685045948,-0.231829573934837,-0.0685175202156334,-0.0735870121272306,-0.380263157894737,-0.0575396825396825,-0.2,-0.2,-0.3,-0.04,-0.060742435799644,-0.2,-0.211111111111111,-0.196825396825397,-0.182656350741457,-0.3,-0.206926406926407,-0.196950146627566,-0.187272727272727,-0.123747616020343,-0.156666666666667,-0.201494252873563,-0.334597583325568,-0.210321551300933,-0.195244252873563,-0.328571428571429,-0.365413533834586
"RAS",0,0.0412463599301107,-0.118421052631579,-0.0901191658391261,0.134487179487179,0.232564102564103,0.232564102564103,0.232564102564103,0.178111706018683,-0.22,0.0794117647058824,0.0794117647058824,0.05,0.05,0.1,0,-0.0861173595481231,-0.0344899072558647,0.0663692307692308,-0.00195046882532773,-0.146190476190476,-0.1,0.0207012667784016,-0.0664543446244477,-0.0664543446244477,-0.0772841051314143,0.245,-0.0757456435929527,0.271831785345717,0.250263157894737,-0.0752450980392157,-0.0782952186637743,0.185281385281385,-0.102529644268775,-0.1,0.1,0,0.05,-0.0489285714285714,-0.02,-0.06,-0.0541176470588235,-0.0573122529644269,-0.1,0.0845660377358491,0.0702535559678417,0.0437229437229437,-0.140186823992134,0.0666666666666667,0.0466666666666667,-0.138346253229974,0.0406307904592943,0.0348022598870056,-0.0533333333333333,-0.0644444444444444
"ZEB1",-0.0875,-0.0986050638163338,-0.0850490196078431,-0.0809167882028845,-0.254792875973177,-0.251485789359004,-0.251485789359004,-0.251485789359004,-0.25950801620698,-0.0666666666666667,-0.221602787456446,-0.216970165176765,-0.221602787456446,-0.215009380863039,-0.214285714285714,-0.2,-0.0384135464200222,0.084333113031,-0.137619821048409,0.0969991580576162,0.042202867443935,0.207692307692308,0.183656713247112,-0.0513829720563118,-0.0513829720563118,0.218359054065654,0.0386666666666667,0.220220756193313,0.0329242463505226,0.028078431372549,0.224008285738233,0.221297077132648,0.0153216374269006,0.256496049677678,0.1,0.1,0.12,0.0791666666666667,-0.0437342438868083,0.0992337164750958,0.0948858903881393,0.0974239614541291,0.0649566409410969,0.125263157894737,0.0774727657899805,0.0776884630142479,0.0748038476296326,0.0803760287884936,0.105681818181818,0.101760249554367,0.252831913476074,0.165310373380058,0.102116121440488,0.140017256255393,0.138588684826821
"GLI",0.018452380952381,0.477271601158355,0.0524336870026525,0.0581479727169382,0.214378747282272,0.207448054212965,0.207448054212965,0.207448054212965,-0.0692637413573923,0.371428571428571,-0.214990512333966,-0.0983477576711251,-0.223225806451613,-0.103225806451613,-0.22,-0.1,-0.0442995389852302,0.211724638312075,0.159515190691661,0.093008771436404,-0.0782976436188511,0.1,0.0838486917950988,-0.0504455538487796,-0.0504455538487796,0.0948994818090561,-0.396428571428571,0.0923020792116535,-0.41834146516467,-0.421103896103896,0.112011788929711,0.0898513918237277,-0.564216756694633,0.126674214975845,-0.1,0.019047619047619,-0.133333333333333,-0.0649336870026525,-0.043021021021021,-0.448333333333333,-0.469022988505747,-0.474683365864238,-0.17599723894291,-0.180701754385965,-0.283337417299681,-0.182590573574892,-0.183131114115433,-0.253868026277086,-0.00792606516290727,-0.0222117794486216,-0.182656295390013,-0.114277101581163,-0.032499845292243,-0.182742570712496,-0.199930070712496
