"","CDC42","Ecadherin","Csl","NOTCHic","SMO","Patched","FUS","cateninnuc","NOTCH","cMet","Wnt","SUFU","cateninmemb","ZEB2","miR200","ZEB1","SNAI2","RAS","RAF","PI3K","DELTA","GSK3","KLF4","TrCP","AKT","IKK","NFB","Csn","HEY1","SNAI1","GLI","SMAD","ILK","CD44","RKIP","LIV1","TCFLEF","TWIST1","Frizzled","SHH","DSH","MEK","ERK","SRC","cfos","SOSGRB2","STAT","Jagged","EGR1","AXIN2","Destcompl","TGFR","TGF","PAK1","FOXC2"
"TGFR",-0.517142857142857,0.0533727471245082,-0.303333333333333,-0.31367816091954,-0.197011494252874,-0.200136494252874,-0.186666666666667,0.0398596374216942,-0.315836434300835,0.0269811320754717,0.041266846361186,-0.153333333333333,0.00955419176961999,-0.56742934722642,0.578679820365026,0.56742934722642,-0.0294546925203776,-0.326493316624896,-0.310119047619048,-0.310119047619048,-0.310119047619048,-0.247289001230886,-0.537658457738549,0.233333333333333,0.361196596141517,0.347243107769424,0.326190476190476,0.283333333333333,0.195618618705313,0.394530639647293,-0.0509442657160247,0.243307243019102,0.235122189638319,-0.0361916583912612,0.426190476190476,0,-0.0390624717883904,0.256495979965731,-0.0242857142857143,0.205221240015585,-0.0142857142857143,0.621715247021664,0.587468671679198,-0.01,0.554135338345865,0.628232618583496,0,0.173675588568013,0.485714285714286,-0.031452717790343,0.0682400454016256,0.433214285714286,0.44314336372847,0.493333333333333,0.448902533293553
"SNAI1",-0.266781257957729,0.120080932248669,-0.0579487179487179,-0.0568498168498168,-0.0634693064800592,-0.0644693064800592,-0.0572964669738863,0.0985919637503086,-0.0576661433804291,0.097998196216018,0.0980421242808919,-0.0476190476190476,0.0769457757256063,-0.542713566498762,0.559350498370448,0.542713566498762,-0.214752818451855,-0.171796734784169,-0.166213811959866,-0.166213811959866,-0.166213811959866,-0.134756488148815,-0.528250383632336,0.0833333333333333,0.122916666666667,0.113888888888889,0.108333333333333,0.108333333333333,0.0870847139455482,0.127758304164051,-0.100784354628241,0.0953502826886948,0.0939972691585595,-0.100590788808611,0.27752051757854,-0.08,-0.099211478463783,0.118228908772387,-0.08682261208577,0.0642751317227776,-0.0762962962962963,0.412780460723503,0.39977597641857,-0.0871071071071071,0.39177597641857,0.325184112750898,-0.0762962962962963,0.029412972653274,0.376521739130435,-0.127443978706178,-0.112521349189017,0.268420602220024,0.27245286028454,0.265266106442577,0.27233332821749
"ZEB1",-0.273413293353323,0.167221433029345,-0.116666666666667,-0.120588235294118,-0.0837121212121212,-0.0895944741532977,-0.0791666666666667,0.19843311700269,-0.117282450170151,0.188209542728911,0.19673679978558,-0.0666666666666667,0.0281284987709809,-0.542442650685,0.565093561850617,0.542442650685,-0.224690946464601,-0.263525671481904,-0.253289451009463,-0.253289451009463,-0.253289451009463,-0.230891990516999,-0.519726473474456,0.133333333333333,0.208852869879617,0.204567155593903,0.199649122807018,0.173333333333333,0.137458362017948,0.234511671215147,-0.206702435524412,0.156894647678893,0.152086955371201,-0.198626209395578,0.248544633960495,-0.2,-0.200487911523238,0.0111223164392782,-0.183275261324042,0.0906620898116607,-0.185714285714286,0.297993608015894,0.286980392156863,-0.174484052532833,0.269333333333333,0.286315789473684,-0.176923076923077,0.0558560508472798,0.233333333333333,-0.233621397355444,-0.20984670191152,0.275951364419313,0.276738765994116,0.257471264367816,0.247108719233127
"TGF",-0.493333333333333,0.0491138033425661,-0.273333333333333,-0.303333333333333,-0.186666666666667,-0.197011494252874,-0.153333333333333,0.0390624717883904,-0.31367816091954,0.01,0.0242857142857143,-0.133333333333333,0.00839945735853453,-0.538372743452835,0.547888031508721,0.538372743452835,-0.0273713591870443,-0.310119047619048,-0.294047619047619,-0.294047619047619,-0.294047619047619,-0.237753548908148,-0.498372743452835,0.2,0.347243107769424,0.326190476190476,0.283333333333333,0.233333333333333,0.185170857511283,0.377126509853783,-0.041266846361186,0.235122189638319,0.220606060606061,-0.0269811320754717,0.404761904761905,0,-0.0361916583912612,0.256851851851852,-0.0142857142857143,0.200136494252874,0,0.587468671679198,0.554135338345865,0,0.485714285714286,0.597368421052632,0,0.172226313205695,0.4,-0.0207231040564374,0.0698529486274321,0.517142857142857,0.433214285714286,0.46,0.440605590062112
"TrCP",-0.265266106442577,0.117791650250751,-0.0564102564102564,-0.0579487179487179,-0.0572964669738863,-0.0634693064800592,-0.0476190476190476,0.099211478463783,-0.0568498168498168,0.0871071071071071,0.08682261208577,-0.0476190476190476,0.0758749639812195,-0.531520454567643,0.5473428134521,0.531520454567643,-0.215523854321785,-0.166213811959866,-0.157577448323503,-0.157577448323503,-0.157577448323503,-0.131390151515151,-0.513608639084049,0.0333333333333333,0.113888888888889,0.108333333333333,0.108333333333333,0.0833333333333333,0.0823228091836435,0.219217378897147,-0.0980421242808919,0.0939972691585595,0.0869004949650111,-0.097998196216018,0.268315496658038,-0.1,-0.100590788808611,0.116485319028797,-0.0762962962962963,0.0644693064800592,-0.08,0.39977597641857,0.39177597641857,-0.0762962962962963,0.376521739130435,0.318014301430143,-0.08,0.0284717961826858,0.32,-0.122548873811073,-0.11241170006621,0.266781257957729,0.268420602220024,0.247619047619048,0.270173226565647
"PAK1",-0.265266106442577,0.117791650250751,-0.0564102564102564,-0.0579487179487179,-0.0572964669738863,-0.0634693064800592,-0.0476190476190476,0.099211478463783,-0.0568498168498168,0.0871071071071071,0.08682261208577,-0.0476190476190476,0.0758749639812195,-0.531520454567643,0.5473428134521,0.531520454567643,-0.215523854321785,-0.166213811959866,-0.157577448323503,-0.157577448323503,-0.157577448323503,-0.131390151515151,-0.513608639084049,0.0333333333333333,0.113888888888889,0.108333333333333,0.108333333333333,0.0833333333333333,0.0823228091836435,0.219217378897147,-0.0980421242808919,0.0939972691585595,0.0869004949650111,-0.097998196216018,0.268315496658038,-0.1,-0.100590788808611,0.116485319028797,-0.0762962962962963,0.0644693064800592,-0.08,0.39977597641857,0.39177597641857,-0.0762962962962963,0.376521739130435,0.318014301430143,-0.08,0.0284717961826858,0.32,-0.122548873811073,-0.11241170006621,0.266781257957729,0.268420602220024,0.247619047619048,0.270173226565647
"LIV1",-0.265266106442577,0.117791650250751,-0.0564102564102564,-0.0579487179487179,-0.0572964669738863,-0.0634693064800592,-0.0476190476190476,0.099211478463783,-0.0568498168498168,0.0871071071071071,0.08682261208577,-0.0476190476190476,0.0758749639812195,-0.531520454567643,0.5473428134521,0.531520454567643,-0.215523854321785,-0.166213811959866,-0.157577448323503,-0.157577448323503,-0.157577448323503,-0.131390151515151,-0.513608639084049,0.0333333333333333,0.113888888888889,0.108333333333333,0.108333333333333,0.0833333333333333,0.0823228091836435,0.219217378897147,-0.0980421242808919,0.0939972691585595,0.0869004949650111,-0.097998196216018,0.268315496658038,-0.1,-0.100590788808611,0.116485319028797,-0.0762962962962963,0.0644693064800592,-0.08,0.39977597641857,0.39177597641857,-0.0762962962962963,0.376521739130435,0.318014301430143,-0.08,0.0284717961826858,0.32,-0.122548873811073,-0.11241170006621,0.266781257957729,0.268420602220024,0.247619047619048,0.270173226565647
"EGR1",-0.265266106442577,0.117791650250751,-0.0564102564102564,-0.0579487179487179,-0.0572964669738863,-0.0634693064800592,-0.0476190476190476,0.099211478463783,-0.0568498168498168,0.0871071071071071,0.08682261208577,-0.0476190476190476,0.0758749639812195,-0.531520454567643,0.5473428134521,0.531520454567643,-0.215523854321785,-0.166213811959866,-0.157577448323503,-0.157577448323503,-0.157577448323503,-0.131390151515151,-0.513608639084049,0.0333333333333333,0.113888888888889,0.108333333333333,0.108333333333333,0.0833333333333333,0.0823228091836435,0.219217378897147,-0.0980421242808919,0.0939972691585595,0.0869004949650111,-0.097998196216018,0.268315496658038,-0.1,-0.100590788808611,0.116485319028797,-0.0762962962962963,0.0644693064800592,-0.08,0.39977597641857,0.39177597641857,-0.0762962962962963,0.376521739130435,0.318014301430143,-0.08,0.0284717961826858,0.32,-0.122548873811073,-0.11241170006621,0.266781257957729,0.268420602220024,0.247619047619048,0.270173226565647
"STAT",-0.264772727272727,0.213983588065793,-0.00784313725490196,-0.0375728669846317,-0.00666666666666667,-0.0229457364341085,0,0.169244181615498,-0.040485488343855,0.139123376623377,0.139123376623377,0,0.089592338221002,-0.530545095929711,0.548579267164434,0.530545095929711,-0.195453283621029,-0.239345224868215,-0.231136269644334,-0.231136269644334,-0.231136269644334,-0.214581664441478,-0.604486036838978,0,0.132114608555287,0.133809523809524,0.11,0.05,0.0826666666666667,0.230830352800131,-0.153409090909091,0.0920095507801655,0.0805152979066023,-0.153653291153291,0.283680823680824,-0.1,-0.167217959923007,0.0311049020944073,-0.148214285714286,0.0326802497084448,-0.185714285714286,0.411435800126502,0.399607843137255,-0.148214285714286,0.346666666666667,0.391995073891626,-0.185714285714286,-0.003590500821305,0.266666666666667,-0.197999647411412,-0.200911229997654,0.280562200956938,0.27814674201974,0.227272727272727,0.259164280845262
"SMAD",-0.278470824949698,0.0120398845710716,-0.164761904761905,-0.159014778325123,-0.163333333333333,-0.164250764525994,-0.158333333333333,0.00928165553585388,-0.160602079912425,0.00843137254901961,0.0282051282051282,-0.158333333333333,-0.00190125774304206,-0.527176683408464,0.541228304405874,0.527176683408464,-0.138399752774949,-0.168368414834227,-0.162776309571069,-0.162776309571069,-0.162776309571069,-0.116008853302086,-0.509808484064036,0.15,0.20072268907563,0.190056022408964,0.188095238095238,0.183333333333333,0.149598600489627,0.239121533932018,-0.0310828260468548,0.0922597037665531,0.18940256090941,-0.0109768270944742,0.269323549693337,0.02,-0.00948428978104131,0.13627715860663,-0.0166666666666667,0.163135522890306,0,0.362358309357559,0.350819847819098,0.00333333333333334,0.336866359447005,0.289744158532978,0.02,0.138418516966904,0.314285714285714,-0.00594608859336412,0.0525109291172032,0.281264121039084,0.287240216656614,0.271428571428571,0.293201302796648
