"","SNAI2","FOXC2","miR200","AXIN2","Ecadherin","TWIST1","TCFLEF","CDC42","CD44","cateninnuc","Jagged","Patched","Wnt","AKT","GLI","SMO","TGF","RKIP","SNAI1","IKK","Frizzled","cateninmemb","NFB","FUS","TGFR","PAK1","MEK","EGR1","ZEB2","RAF","GSK3","RAS","PI3K","DELTA","ZEB1","ERK","LIV1","SOSGRB2","cfos","HEY1","KLF4","SHH","ILK","NOTCHic","SRC","SMAD","Csl","DSH","NOTCH","TrCP","SUFU","cMet","STAT","Csn","Destcompl"
"AXIN2",-0.316074354179035,0.178571693723919,0.231634995426224,0.133291672409656,0.274376394646093,-0.0107944240669055,-0.280283897159831,-0.230756172839506,-0.286262795166865,-0.27842483965875,-0.247836082836083,0.227152014652015,-0.28847099705961,0.318357487922705,-0.28658420460678,0.228937728937729,-0.225025865295477,0.248951317499705,0.253752049006249,0.318357487922705,-0.293643410852713,0.364427362283985,0.316908212560386,0.238461538461538,-0.228986261335081,-0.224583333333333,-0.0630749156992053,-0.04,-0.109922666953005,-0.341174466606993,-0.321379139040466,0.336450057158174,0.341174466606993,0.341174466606993,0.109922666953005,0.0568680191474812,0.266666666666667,-0.0113967161091986,0.0521951219512195,-0.0771377143588097,-0.104400507871755,-0.222889719570047,-0.0774097078444904,-0.0540037593984962,0.293643410852713,-0.0718541522889349,-0.0557894736842105,0.286666666666667,-0.0560307864255233,-0.2,-0.2,0.28847099705961,0.286666666666667,-0.277777777777778,0.303267830851333
"TWIST1",0.368113708652301,0.238551723969953,0.163126856024875,0.114569355375807,0.0363116322412836,0.12891263484799,0.0735189701025414,0.113019853709509,0.0816353560137205,0.0797869402002987,0.103498830098874,0.043896499238965,0.0723057644110276,0.113503445706836,0.0811057644110276,0.0644444444444444,0.118913931158256,0.167932791845835,0.151264579874136,0.121978021978022,0.0880952380952381,0.0548370432386026,0.107692307692308,0.0444444444444444,0.125519853709509,0.140606060606061,0.149217869462755,0.133333333333333,-0.0836819275415767,0.000128160077559194,0.0720577200577201,-0.00149802309125782,-0.000128160077559194,-0.000128160077559194,0.0836819275415767,-0.143745232646834,-0.1,0.00738915292691036,-0.146376811594203,-0.190209225802446,-0.0965603502188868,-0.0621231002241867,-0.205136955136955,-0.104273504273504,-0.0880952380952381,-0.201506592100651,-0.0888888888888889,-0.0714285714285714,-0.0929527495565231,-0.1,-0.0333333333333333,-0.0732016210739615,-0.0714285714285714,-0.1,-0.0881768382576165
"Destcompl",-0.263728933575064,0.125531867057583,0.174366716087742,-0.280283897159831,0.223157970589894,-0.00426385813080632,-0.218401599309389,-0.177874736101337,-0.21785365410391,-0.21666779002841,-0.20471027305241,0.177234289344348,-0.226560121765601,0.256619907247278,-0.218953442730351,0.182933771209633,-0.171133745694285,0.188179167538117,0.191763336499787,0.262660175703654,-0.226560121765601,0.315885322190659,0.263561076604555,0.18007662835249,-0.1726115782066,-0.184081632653061,-0.0655978205926328,-0.061025641025641,-0.0661010161079541,-0.264711330939277,-0.241224951075287,0.259687783058586,0.264711330939277,0.264711330939277,0.0661010161079541,0.068129466162253,0.238888888888889,-0.00602439631565845,0.061025641025641,-0.0356810710656865,-0.0545721395722181,-0.173172393793091,-0.0364285714285714,-0.0599138268703486,0.226560121765601,-0.036077694235589,-0.0555660007833921,0.238888888888889,-0.0565070132430941,-0.266666666666667,-0.211111111111111,0.22606260932779,0.238888888888889,-0.280952380952381,0.123371523176641
"ILK",-0.298984971816569,-0.115635307781649,-0.0670952994723486,-0.298666666666667,-0.112378026373933,-0.1608028148299,-0.257205121906669,-0.141176470588235,-0.258900037160907,-0.256586565205638,-0.114035087719298,0.0346153846153846,-0.251207729468599,-0.133182503770739,-0.258900037160907,0.05,-0.157729316116691,0.0208952811893988,0.018305152979066,-0.125490196078431,-0.255555555555556,0.0336769984432708,-0.166666666666667,0,-0.173176470588235,-0.1,0.00379758460761354,0.0333333333333333,-0.0523048833925702,-0.111463203463203,-0.0606902356902357,0.116942655517998,0.111463203463203,0.111463203463203,0.0523048833925702,0.00112044817927171,0.1,0.0626923076923077,-0.00476190476190476,0.0131470083745333,-0.0592105263157895,-0.0262820512820513,0.0231452581032413,0.117307692307692,0.255555555555556,0.0111452581032413,0.125,0.2,0.120533498759305,0.2,0.1,0.251207729468599,0.2,0.233333333333333,0.298503969125537
"SMAD",-0.237108100123277,-0.288265520955286,-0.100765573610342,-0.0683251036904495,-0.0858672940433565,-0.154554358585036,-0.0614977746865368,0.0458081824279007,-0.065432645785587,-0.0638280685061923,-0.183570032118419,-0.0930733944954129,-0.0357142857142857,-0.119019607843137,-0.0378725590955807,-0.105,0.0230589558704434,-0.0811075856119129,-0.0984333815825751,-0.132352941176471,-0.0357142857142857,-0.0273949245194202,-0.15,-0.125,0.0206685176234315,0.0190476190476191,-0.00892723180795199,0,-0.0435834736666356,0.0260741412881151,0.0733718495372631,-0.0277188781302204,-0.0260741412881151,-0.0260741412881151,0.0435834736666356,0.00892723180795199,0.06,0.122574682046732,-0.00967741935483871,0.141502756254188,-0.0353603379995808,0.109058524606937,0.144676693169844,0.177504105090312,0.0623809523809524,0.0332481217412724,0.180952380952381,0.019047619047619,0.170361247947455,0.15,0.075,0.0643417366946779,0.0457142857142857,0.116666666666667,0.0919756093844707
"TGFR",0.287146379682999,0.43106505465296,0.204637480304889,0.0902063416369568,0.117563254582428,0.305199683669435,0.0930975595076886,0.0761904761904762,0.0902267461105594,0.0887574355041456,0.199693976649378,0.154784482758621,0.0598382749326146,0.265955586641021,0.0643544039648726,0.161034482758621,-0.0278495440729483,0.245238095238095,0.253071559708728,0.272932330827068,0.0428571428571429,0.0424145352890359,0.257142857142857,0.13,-0.043452380952381,0.0333333333333333,0.0581268239090878,0.0619047619047619,-0.041937365102168,-0.075,-0.138746657631915,0.0697368421052631,0.075,0.075,0.041937365102168,-0.0471679197994987,0,-0.134275503573749,-0.0671679197994987,-0.120294080852988,-0.03519759543787,-0.132750584453536,-0.141260997067449,-0.300344827586207,-0.0666666666666667,-0.162257438348587,-0.29,-0.0428571428571429,-0.302503100967502,-0.3,-0.18,-0.0836477987421384,-0.0666666666666667,-0.3,-0.135628584512963
"Jagged",-0.216038210155857,-0.275714285714286,-0.0987878787878788,-0.0428571428571429,-0.0880701754385965,-0.13,-0.0520745920745921,0.1,-0.0369230769230769,-0.0487778887778888,-0.0729004329004329,0.025,-0.06,0.0333333333333333,-0.0369230769230769,0,0.0244444444444444,-0.0769230769230769,-0.133333333333333,0,0,-0.0300109749405524,-0.1,-0.1,0.0444444444444444,0,-0.0266666666666667,-0.1,-0.0415458937198068,-0.0533333333333333,0.00498084291187739,0.0442424242424242,0.0533333333333333,0.0533333333333333,0.0415458937198068,0.06,0,0.12,0,0.166666666666667,-0.0111111111111111,0.0134615384615385,0.0666666666666667,-0.06,0,0.0428571428571429,0,0,-0.06,0,0,0.06,0,0,0.0495598455598456
"DELTA",-0.216038210155857,-0.275714285714286,-0.0987878787878788,-0.0428571428571429,-0.0880701754385965,-0.13,-0.0520745920745921,0.1,-0.0369230769230769,-0.0487778887778888,-0.0729004329004329,0.025,-0.06,0.0333333333333333,-0.0369230769230769,0,0.0244444444444444,-0.0769230769230769,-0.133333333333333,0,0,-0.0300109749405524,-0.1,-0.1,0.0444444444444444,0,-0.0266666666666667,-0.1,-0.0415458937198068,-0.0533333333333333,0.00498084291187739,0.0442424242424242,0.0533333333333333,0.0533333333333333,0.0415458937198068,0.06,0,0.12,0,0.166666666666667,-0.0111111111111111,0.0134615384615385,0.0666666666666667,-0.06,0,0.0428571428571429,0,0,-0.06,0,0,0.06,0,0,0.0495598455598456
"TGF",0.279276009312628,0.425388198757764,0.196133081477909,0.0803350970017637,0.119096474343928,0.305555555555556,0.0902267461105594,0.0333333333333333,0.0836477987421384,0.0930975595076886,0.206940353460972,0.161034482758621,0.0428571428571429,0.272932330827068,0.0598382749326146,0.13,-0.043452380952381,0.252380952380952,0.263986013986014,0.257142857142857,0.0428571428571429,0.0511905168132853,0.3,0.18,0.0761904761904762,0,0.0471679197994987,0.0333333333333333,-0.0355222707625454,-0.0910714285714286,-0.138502158854409,0.075,0.0910714285714286,0.0910714285714286,0.0355222707625454,-0.0671679197994987,0,-0.155263157894737,-0.0619047619047619,-0.142682140554481,-0.0173404525807272,-0.154784482758621,-0.165454545454545,-0.29,-0.0666666666666667,-0.141260997067449,-0.3,0,-0.300344827586207,-0.2,-0.2,-0.0666666666666667,0,-0.3,-0.135830197416189
"GSK3",-0.28915214173541,-0.122499092095175,-0.0691546559582616,-0.295740068714127,-0.102829443877865,-0.164758353282741,-0.240309378220486,-0.159006211180124,-0.245741257116301,-0.240440957167854,-0.104220380384269,0.0405788683247619,-0.246347486362966,0.00926539935160626,-0.245404090136551,0.0301494204720011,-0.163903915102218,0.0157870199975463,-0.00303087935544963,0.000718390804597709,-0.248308270676692,0.0501675989045649,0.00416666666666667,0.0398268398268398,-0.164929556127859,-0.177101449275362,-0.0215334440527939,-0.0125490196078431,-0.034408224882834,-0.1745741622573,-0.236777956465328,0.169322061416964,0.1745741622573,0.1745741622573,0.034408224882834,0.0164198076891575,0.25,0.0696216848003575,0.00514161220043574,0.0192742833757725,-0.0247661148502979,-0.0310094903343312,0.0252466932141162,0.0998550469138705,0.248308270676692,0.0259963184015225,0.096358543417367,0.244736842105263,0.094400501459325,0.0333333333333333,-0.0636363636363636,0.247646019021063,0.244736842105263,-0.0166666666666667,0.272831942554046
