"","TCFLEF","CD44","GLI","SRC","RAS","AKT","PI3K","DELTA","AXIN2","SUFU","SNAI1","TrCP","RKIP","ERK","MEK","NOTCH","SOSGRB2","TGF","CDC42","TGFR","PAK1","TWIST1","ZEB1","GSK3","ZEB2","FOXC2","Jagged","SNAI2","NOTCHic","Csl","cfos","EGR1","ILK","SMAD","miR200","HEY1","Destcompl","Csn","FUS","KLF4","SMO","NFB","Patched","IKK","LIV1","SHH","RAF","Ecadherin","DSH","Frizzled","STAT","Wnt","cMet","cateninmemb","cateninnuc"
"SMO",0.234023732470334,0.231111111111111,0.323611111111111,0.2,0.120360017889088,0.175428571428571,0.111057692307692,0.111057692307692,0.0809673085535154,0.1,0.259677419354839,0,0.222857142857143,0.136923076923077,0.158135198135198,0.00712121212121212,0.176315789473684,0.381036036036036,0.353333333333333,0.378333333333333,0.333333333333333,0.0111111111111111,0.240254237288136,-0.0237917422383442,-0.240254237288136,-0.23,0.112989417989418,-0.0496617405582923,-0.0121212121212121,0.0333333333333333,-0.16,-0.1,-0.0933333333333333,-0.101269841269841,0.0100361663652803,-0.0886446886446886,-0.0279562298166949,-0.1,-0.133333333333333,-0.236111111111111,-0.293333333333333,-0.1,-0.305833333333333,-0.171428571428571,-0.1,-0.316944444444444,-0.111057692307692,-0.0459641863408925,-0.3,-0.3,-0.2,-0.3125,-0.22,-0.182850332324181,-0.243046288861312
"FUS",0.243046288861312,0.234023732470334,0.325534188034188,0.22,0.122543424002625,0.190813186813187,0.120360017889088,0.120360017889088,0.0840728986156273,0.133333333333333,0.267224589166159,0.1,0.225949926362297,0.158135198135198,0.156985772847842,0.0116666666666667,0.176315789473684,0.383163695610504,0.378333333333333,0.381036036036036,0.353333333333333,0.00954043048283886,0.234732764895498,-0.0207817087935281,-0.234732764895498,-0.23,0.11178459871231,-0.0523547387629602,-0.00712121212121212,-0.0121212121212121,-0.136923076923077,-0.16,-0.101269841269841,-0.103205325140809,0.00112527527617138,-0.0929925147316452,-0.0330657188677898,-0.1,-0.293333333333333,-0.254143897996357,-0.305833333333333,-0.171428571428571,-0.316944444444444,-0.175428571428571,-0.2,-0.326035353535354,-0.120360017889088,-0.0484299397655501,-0.3,-0.3125,-0.2,-0.323611111111111,-0.231111111111111,-0.186760946849321,-0.242502810600442
"Patched",0.231111111111111,0.22,0.3125,0.2,0.111057692307692,0.171428571428571,0.0923076923076923,0.0923076923076923,0.0844155844155844,0,0.259677419354839,0,0.222857142857143,0.16,0.136923076923077,0.0121212121212121,0.15,0.378333333333333,0.333333333333333,0.353333333333333,0.233333333333333,0.0111111111111111,0.225,-0.0208791208791209,-0.225,-0.23,0.109417989417989,-0.0468045977011494,0.0333333333333333,0,-0.1,-0.1,-0.0833333333333333,-0.0933333333333333,0.0214285714285714,-0.0743589743589744,-0.0326073926073926,0,-0.1,-0.211111111111111,-0.133333333333333,-0.1,-0.293333333333333,-0.1,-0.1,-0.305833333333333,-0.0923076923076923,-0.0470711974110032,-0.2,-0.3,-0.1,-0.3,-0.2,-0.177025089605735,-0.234023732470334
"SHH",0.22,0.2,0.3,0.1,0.0923076923076923,0.1,0.1,0.1,0.0571428571428571,0,0.25,0,0.18,0.1,0.16,-0.0333333333333333,0.15,0.353333333333333,0.233333333333333,0.333333333333333,0.2,0,0.2,-0.0256410256410256,-0.2,-0.2,0.105714285714286,-0.0508045977011494,0,0.1,-0.1,0,-0.0666666666666667,-0.0833333333333333,0,-0.0666666666666667,-0.0205194805194805,0,0,-0.2,-0.1,0,-0.133333333333333,-0.1,0,-0.293333333333333,-0.1,-0.0383333333333333,-0.2,-0.2,-0.1,-0.3,-0.2,-0.171469534050179,-0.231111111111111
"IKK",0.215197740112994,0.203333333333333,0.203333333333333,0.183333333333333,0.0407044809693004,0.073037323037323,0.0364791288566243,0.0364791288566243,0.140238095238095,0.1,0.186273678258411,-0.2,0.138251366120219,0.0897142857142857,0.0963809523809524,-0.0940836940836941,0.226050420168067,0.216626262626263,0.194444444444444,0.212626262626263,0.15,-0.125228758169935,0.188701754385965,-0.101758241758242,-0.188701754385965,-0.191486291486291,0.0372430490471728,-0.120023577162981,0.0956709956709957,0.0909090909090909,-0.0857142857142857,-0.1,-0.150694444444444,-0.157625137513751,-0.0197770345596433,-0.144478844169247,-0.0189624268298309,0.1,-0.12,-0.182051282051282,-0.16,0.0571428571428571,-0.178518518518519,-0.0595238095238095,-0.1,-0.188863346104725,-0.0364791288566243,-0.197245261943773,-0.15,-0.183333333333333,-0.15,-0.198717948717949,-0.198717948717949,-0.255701579612194,-0.221104913108775
"NFB",0.221104913108775,0.215197740112994,0.214569288389513,0.198717948717949,0.0461771177852208,0.0885928785928786,0.0407044809693004,0.0407044809693004,0.147330293819656,0.12,0.190931212504986,-0.1,0.136969314838167,0.0963809523809524,0.0931129785247432,-0.0869869198901457,0.231313578062804,0.217259174018668,0.212626262626263,0.216626262626263,0.194444444444444,-0.131260504201681,0.175291792700141,-0.103719026071967,-0.175291792700141,-0.191087885111789,0.0422790202701943,-0.120836585293062,0.0940836940836941,0.0956709956709957,-0.0897142857142857,-0.0857142857142857,-0.157625137513751,-0.160970862420815,-0.0249129862212747,-0.151621701312104,-0.0194607657002628,0.0571428571428571,-0.16,-0.191666666666667,-0.178518518518519,-0.0595238095238095,-0.188863346104725,-0.073037323037323,-0.15,-0.194887442490268,-0.0407044809693004,-0.202060671253564,-0.183333333333333,-0.198717948717949,-0.183333333333333,-0.203333333333333,-0.203333333333333,-0.258975074860346,-0.224320599383285
"TCFLEF",0.0851806617489364,0.184149733913885,0.178287803415681,0.179166666666667,0.174593589028107,0.167349173967687,0.171045625821799,0.171045625821799,0.0682534798534798,0.15,0.0708679442361451,0.142857142857143,0.148465353354456,0.0035191637630662,-0.0100862784138045,0.0211977927869957,-0.00938922155688622,0.053093454733035,0.0531305903398927,0.048457693143631,0.0461538461538462,-0.0261237471251176,0.134495791245791,0.05261076148357,-0.134495791245791,-0.0503389708916309,0.116635546541123,-0.0284805317561197,-0.010234337637494,-0.0278813964610234,0.0164808362369338,0.00428571428571428,-0.0500431381484013,-0.0502343427373114,-0.0463096542012205,-0.0413007263615314,0.00487348655836455,-0.151948051948052,-0.17,-0.140264514896868,-0.165238095238095,-0.163948051948052,-0.17652841781874,-0.1510448261416,-0.166666666666667,-0.177141914751256,-0.171045625821799,-0.143048621531744,-0.149019607843137,-0.174019607843137,-0.154166666666667,-0.171455505279035,-0.176602564102564,-0.168040774460004,-0.0862115895839879
"ILK",-0.160283808552047,-0.154069119286511,-0.154069119286511,-0.133333333333333,-0.0861028286781712,-0.179788838612368,-0.0806233766233766,-0.0806233766233766,-0.103142857142857,0,0.0495330112721417,-0.2,0.00138978668390433,0.103641456582633,0.105280800844928,-0.0454714640198511,0.172692307692308,-0.0128421807747489,0.00735294117647059,-0.000647058823529413,0.025,0.0610245618798719,0.127756950192317,-0.0596320346320346,-0.127756950192317,-0.00841811846689895,-0.0899122807017544,0.0371105612995222,0.0519230769230769,0.075,-0.10952380952381,-0.0666666666666667,-0.0494917967186875,-0.0518917967186875,-0.0528074273975913,-0.0422022668415565,0.0556520556828046,0.166666666666667,0,-0.147368421052632,-0.0166666666666667,0.2,-0.00128205128205128,0.182352941176471,0.1,0.0014957264957265,0.0806233766233766,0.140467986138568,0.1,0.133333333333333,0.1,0.146376811594203,0.146376811594203,0.149074250161596,0.167087932263388
"TGF",-0.0565408805031447,-0.0565408805031447,-0.0660646900269542,-0.0333333333333333,0.23452380952381,0.287092731829574,0.23452380952381,0.23452380952381,-0.033641975308642,0.133333333333333,0.135025429116338,0.2,0.0541125541125541,0.178446115288221,0.189557226399332,0.289885057471264,0.289473684210526,-0.0501587301587302,0.0688888888888889,0.0641269841269841,0.08,0.214814814814815,0.122132538196611,0.211545988258317,-0.122132538196611,0.044860248447205,-0.172097447226313,0.0342004775816189,-0.293333333333333,-0.273333333333333,-0.204761904761905,-0.233333333333333,-0.153333333333333,-0.148494623655914,-0.00740997508238887,-0.177885235332044,-0.0232990076076092,-0.233333333333333,-0.153333333333333,-0.127587083651157,-0.153333333333333,-0.283333333333333,-0.142988505747126,-0.297619047619048,0,-0.139863505747126,-0.23452380952381,0.0716581850617342,0,0.0428571428571429,0,0.0528571428571429,0.0433333333333333,0.0674068201931426,0.0594116939002738
"Jagged",-0.256503496503496,-0.229230769230769,-0.229230769230769,-0.1,-0.0696969696969697,0.0222222222222222,-0.0333333333333333,-0.0333333333333333,-0.154285714285714,0,0.075,0,0.0615384615384615,0.18,0.213333333333333,-0.0257142857142857,0.16,-0.0773333333333333,0,-0.0333333333333333,0,0.22,0.109903381642512,0.128352490421456,-0.109903381642512,0.0542857142857143,-0.13012987012987,0.185847159376571,0.04,0.1,-0.2,-0.1,-0.0333333333333333,-0.0380952380952381,-0.0345454545454546,0.0666666666666667,0.13169111969112,0,0,-0.105555555555556,-0.0333333333333333,0,-0.00833333333333333,-0.0333333333333333,0,0.0147435897435897,0.0333333333333333,0.260982456140351,0,0.1,0,0.16,0.16,0.286111212730931,0.281778221778222
