"","TGF","TGFR","PAK1","RKIP","SOSGRB2","SNAI1","TWIST1","Jagged","NOTCH","NOTCHic","Csn","cfos","TrCP","SUFU","ERK","RAS","RAF","PI3K","Ecadherin","ZEB2","cateninmemb","GSK3","AXIN2","DSH","FOXC2","CD44","cateninnuc","SRC","TCFLEF","cMet","SNAI2","ILK","KLF4","LIV1","Destcompl","FUS","miR200","SMAD","Wnt","Frizzled","STAT","NFB","GLI","SMO","SHH","HEY1","Patched","ZEB1","DELTA","IKK","MEK","AKT","EGR1","Csl","CDC42"
"AKT",-0.220284951619731,-0.221191296030607,-0.230882352941176,-0.192965346673787,-0.242521367521367,-0.203674312593077,-0.125898153917405,0.0455878935749971,0.220595533498759,0.220595533498759,-0.2,0.07703081232493,-0.166666666666667,0.1,0.0950635992101759,-0.387629787608002,-0.384979185198363,-0.384979185198363,0.00698622208314745,-0.254012012118164,-0.0766351472755994,-0.383522630296824,-0.194367543407255,-0.133333333333333,-0.167234305275384,-0.146251346295561,-0.143724780078274,-0.13768115942029,-0.143570933924427,-0.142296544035674,-0.0417863145365696,0.164939575830332,0.257613585245164,0.1,-0.277275321583683,-0.116666666666667,-0.137265603466182,-0.159215670106426,0.142296544035674,0.13768115942029,0.133333333333333,0.205882352941176,0.14508984012506,-0.116666666666667,-0.109678362573099,-0.179388032183172,-0.113888888888889,0.254012012118164,0.384979185198363,0.213574660633484,-0.106456004273467,0.118625165683989,-0.0476190476190476,-0.207692307692308,0.226882352941176
"AXIN2",-0.194268622904572,-0.196578853927674,-0.199583333333333,-0.216136909685297,-0.212422400725346,-0.223346720279898,-0.248118615163916,-0.199131045218002,0.0880442660705819,0.0833145363408521,-0.233333333333333,0.0801626016260163,-0.2,-0.1,0.0997887698503153,-0.362826206243297,-0.362301271860095,-0.362301271860095,-0.134260021794577,-0.24256892684714,-0.301077833934507,-0.334752087856207,0.14674978431883,-0.253333333333333,-0.0526888256162261,-0.274469359480629,-0.273382683376505,-0.269612403100775,-0.274117659597863,-0.274784816893879,-0.18147639010971,0.183735909822866,0.251973359911612,0.233333333333333,-0.322510954450527,0.0769230769230769,-0.163340910550638,-0.180561306648263,0.274784816893879,0.269612403100775,0.253333333333333,0.23768115942029,0.274784816893879,0.0721611721611722,0.0842220620909145,-0.186709166425191,0.0793040293040293,0.24256892684714,0.362301271860095,0.247826086956522,-0.112892218126177,0.260048309178744,-0.0533333333333333,-0.0743859649122807,0.198348765432099
"TCFLEF",-0.298712560327369,-0.299043686155184,-0.3,-0.21650181384029,0.104562567173346,-0.181203125094339,-0.0727245781516503,0.112194479362057,0.029503493588776,0.0331579786386099,0.151948051948052,-0.235540069686411,0.142857142857143,0.183333333333333,-0.226968641114983,0.0419417466629026,0.0433872131543612,0.0433872131543612,0.0436103707606796,-0.227457159312423,0.0287595569182157,-0.216972198399085,0.364239804639805,0.0254901960784314,-0.159734665055003,0.0142976939203354,-0.0849577470876829,0.0266666666666667,-0.0844422831701571,0.0155555555555556,-0.0513671417190637,0.132292549555707,0.129486567354214,-0.0666666666666667,-0.295300024209918,-0.19,-0.124528938263878,-0.126365207299493,-0.0243790849673203,-0.0354901960784314,-0.0166666666666667,-0.139948051948052,-0.0237579669548979,-0.166190476190476,-0.172800410882738,-0.112780664192597,-0.175867895545315,0.227457159312423,-0.0433872131543612,-0.114141600335149,0.221526464244234,-0.121750295987323,0.242857142857143,-0.0194324884425315,0.304651162790698
"Wnt",-0.288985507246377,-0.293333333333333,-0.3,-0.171666666666667,-0.242424242424242,-0.148861283643892,-0.192647058823529,0.0356862745098039,0.192857142857143,0.192857142857143,-0.1,0.0333333333333333,-0.1,0,0.0733333333333333,-0.379699248120301,-0.379699248120301,-0.379699248120301,-0.0474560713349069,-0.225011956001913,-0.108474576271186,-0.36935736677116,-0.192121212121212,-0.2,-0.037165991902834,-0.144736842105263,-0.150295025643579,-0.1,-0.148308270676692,-0.15,-0.0870689655172414,0.136752136752137,0.227450980392157,0,-0.257647223649185,-0.1,-0.12040404040404,-0.12977539256609,0.15,0.2,0.1,0.0666666666666667,0.144736842105263,-0.1,-0.0852813852813853,-0.145641025641026,-0.109090909090909,0.225011956001913,0.379699248120301,0.0866666666666667,-0.102745098039216,0.0991666666666667,0,-0.15,0.3
"Frizzled",-0.28231884057971,-0.288985507246377,-0.3,-0.153809523809524,-0.263636363636364,-0.152035886818496,-0.189789915966387,0.0306357694592989,0.206582633053221,0.192857142857143,-0.0666666666666667,0.0733333333333333,-0.1,0.1,0.102745098039216,-0.383636255994316,-0.379699248120301,-0.379699248120301,-0.0528173766962123,-0.218081262932606,-0.110061877858488,-0.363902821316614,-0.199097956307259,-0.2,-0.0325148291121363,-0.148308270676692,-0.146485501834055,-0.15,-0.150295025643579,-0.144736842105263,-0.0817061894920048,0.12977539256609,0.227450980392157,0.1,-0.254198947787116,-0.1,-0.11571654040404,-0.125102495369829,0.144736842105263,0.15,0.1,0.0866666666666667,0.148308270676692,-0.109090909090909,-0.0820555788297724,-0.143513366066558,-0.0852813852813853,0.218081262932606,0.379699248120301,0.0991666666666667,-0.121263616557734,0.124166666666667,-0.0333333333333333,-0.192857142857143,0.293333333333333
"IKK",-0.0930545454545455,-0.0954545454545455,-0.1,-0.10391621129326,-0.0165966386554622,-0.0774385072094996,0.0552287581699346,0.119482974070603,0.234487734487734,0.232900432900433,-0.1,-0.0357142857142857,-0.2,0.1,-0.0317142857142857,-0.17140240109745,-0.169993950393224,-0.169993950393224,0.09053280613963,-0.192736842105263,0.0878166712244925,-0.333974358974359,0.0421428571428571,0.05,-0.109466089466089,0.0188888888888889,0.0179162792915207,0.0388888888888889,0.021713747645951,0.0235042735042735,0.0383904855701794,0.233333333333333,0.192307692307692,-0.1,-0.227873934517322,-0.2,-0.0956521739130435,-0.228382838283828,-0.0235042735042735,-0.0388888888888889,-0.05,0.0285714285714286,-0.0188888888888889,-0.2,-0.189399744572158,-0.244478844169247,-0.196296296296296,0.192736842105263,0.169993950393224,-0.0547619047619048,0.0117142857142857,-0.0412483912483913,0.05,-0.209090909090909,0.1
"cateninnuc",-0.136811768164576,-0.139431855500821,-0.138857142857143,-0.195738203897013,0.0231413342186318,-0.177025559786032,-0.0105736965297408,0.0443408409396895,0.0501099219762996,0.0478371947035723,-0.0625,-0.107556935817805,-0.1,0.0555555555555556,-0.0961645307545143,-0.123366548366548,-0.123198198198198,-0.123198198198198,0.0639651144885633,-0.191057043809744,0.0856629149763698,-0.263669158366715,0.133301398148055,0.00885780885780886,-0.119948412243494,-0.000372694937912332,-0.10058781217268,-0.00225330225330226,-0.00194102951595565,-0.00116634573156313,-0.0170469162153371,0.112183261183261,0.149144538735286,-0.0242424242424242,-0.268977764222571,-0.0755555555555556,-0.108210768458648,-0.112319686831283,-0.000355724283657575,0.000731232238081556,-0.00885780885780886,0.059469696969697,-0.000750981200653622,-0.0673588342440802,-0.0595021650063367,-0.104037753959367,-0.0592843000825895,0.191057043809744,0.123198198198198,0.073469696969697,0.0924948059838721,0.081282196969697,0.11231884057971,-0.0455116133082235,0.138857142857143
"NFB",-0.08862416570771,-0.0930545454545455,-0.1,-0.0936598010368502,-0.0197545333923043,-0.0782604250177188,0.0599906629318394,0.119482974070603,0.236423218358702,0.234487734487734,-0.0285714285714286,-0.0317142857142857,-0.1,0.2,-0.0117142857142857,-0.170904888659639,-0.17140240109745,-0.17140240109745,0.0868409923354567,-0.186989715668482,0.086655108394503,-0.333582202111614,0.0407244174265451,0.0388888888888889,-0.101896368350552,0.021713747645951,0.0205045145856383,0.0235042735042735,0.0179162792915207,0.0188888888888889,0.0367644693100168,0.228382838283828,0.192307692307692,-0.05,-0.225050014251541,-0.2,-0.0911204518586628,-0.227267596648141,-0.0188888888888889,-0.0235042735042735,-0.0388888888888889,-0.0547619047619048,-0.0222596754057428,-0.196296296296296,-0.184580467463725,-0.240907415597818,-0.189399744572158,0.186989715668482,0.17140240109745,-0.0412483912483913,0.00583193277310925,-0.0345817245817246,0.0357142857142857,-0.232900432900433,0.0954545454545455
"SMAD",-0.158384384519407,-0.158384384519407,-0.164285714285714,-0.105899346575979,-0.0851079562259686,-0.082240724329434,-0.0951462618402382,0.0123260717776847,0.0425779967159277,0.0449589490968801,0.0111111111111111,0.00967741935483871,0,0.0583333333333333,0.0213053263315829,-0.136564245070795,-0.136564245070795,-0.136564245070795,0.0193743798474812,-0.181193637074885,0.0487397704844801,-0.185389212569664,0.0432569555355217,0,0.0101734534530091,0.00868092691622103,0.00809309514388624,0.0166666666666667,0.00556016707904329,0.00686274509803921,-0.0713177807477467,0.0152549733371651,0.181964922860445,0,-0.0909329420089773,-0.00833333333333333,-0.0910050256710845,-0.112874020956213,-0.00897435897435897,-0.0166666666666667,0,0.0412698412698413,-0.0111326323556539,-0.00333333333333333,-0.0126099610063322,0.00939254649600453,-0.0189296636085627,0.181193637074885,0.136564245070795,0.0393090569561158,-0.017459172485429,0.0273090569561158,0,-0.0438095238095238,0.160060362173038
"Csl",-0.0722583831971252,-0.0715781110882816,-0.0786666666666667,-0.0291922207211496,-0.054643871319096,0.025914986784552,-0.0489524226842451,0.100118321937444,0.120831698013362,0.125377152558816,0.144444444444444,0.0271428571428571,0.133333333333333,0.158333333333333,0.0357142857142857,-0.0111660942828815,-0.0137396236946462,-0.0137396236946462,0.0163464542487681,-0.120080515297907,0.0517816378033874,-0.0455299237778312,0.0504360536958636,0.00769230769230769,0.0724357373650239,0.0182598354026925,0.017855329447272,0.0228438228438228,0.0150537285324635,0.012953712953713,-0.0629131452955176,0.0649434737923947,0.120424430641822,0,-0.0636131653091793,-0.0891025641025641,-0.0612813682721877,-0.0638323626812835,-0.0153169411233927,-0.0228438228438228,-0.00769230769230769,-0.0777777777777778,-0.0209621024137153,-0.0773378582202112,-0.0835577321542119,0.0238981791155704,-0.0913163528438671,0.120080515297907,0.0137396236946462,-0.0801033591731266,-0.0291925465838509,-0.09328165374677,-0.02,-0.133271889400922,0.0722150537634409
