"","SNAI2","Ecadherin","Wnt","cateninnuc","Destcompl","STAT","LIV1","ZEB2","ZEB1","FOXC2","Csn","TGFR","TWIST1","TGF","SUFU","EGR1","CDC42","SMO","GSK3","cfos","HEY1","FUS","RAF","PAK1","RAS","ILK","SHH","AKT","NFB","SOSGRB2","ERK","IKK","miR200","Patched","SMAD","KLF4","MEK","PI3K","DELTA","RKIP","Jagged","Csl","NOTCH","NOTCHic","SNAI1","cateninmemb","TrCP","SRC","cMet","CD44","DSH","TCFLEF","GLI","Frizzled","AXIN2"
"SRC",-0.036901746523927,-0.062582265229324,-0.01,-0.033545660035762,-0.11870281892021,-0.1,0,-0.181259359089548,-0.181259359089548,0.0875490196078431,-0.15,-0.320634920634921,-0.182623468485537,-0.333362193362193,-0.1,0.0333333333333333,-0.311111111111111,0.09,-0.263376623376623,0.00606060606060606,-0.00513075140681893,0.15,-0.00744263662911974,-0.311111111111111,-0.0165335457200288,-0.0611842105263158,-0.0714814814814815,-0.128205128205128,-0.183333333333333,0.244285714285714,0.00606060606060606,-0.144871794871795,-0.00802517932952715,-0.0714814814814815,0.0783013276434329,0.26905684754522,0.015494568324757,0.00744263662911974,0.00744263662911974,-0.309449332029977,-0.0342989884733004,-0.16,-0.121904761904762,-0.136190476190476,-0.236987326871287,-0.00893541386020057,0.1,0,0.01,0.0181967213114754,0,0.027952818872451,0.0181967213114754,0,-0.0392026860470058
"Wnt",-0.372931034482759,-0.257339552658199,-0.25,-0.366267489916845,-0.536717570323324,-0.1,0,-0.166044954567193,-0.166044954567193,0.042834008097166,0.1,-0.293333333333333,-0.282647058823529,-0.306376811594203,0,0.1,-0.3,0.1,-0.492476489028213,0.133333333333333,-0.0548717948717949,0.1,-0.390225563909774,-0.3,-0.440225563909774,-0.0393162393162393,0.00649350649350649,0.136666666666667,0.0666666666666667,0.0393939393939394,0.133333333333333,0.0866666666666667,0.00686868686868687,-0.0363636363636364,0.0416418207115881,0.13921568627451,0.150980392156863,0.390225563909774,0.390225563909774,-0.165,0.0896078431372549,0.1,0.192857142857143,0.142857142857143,-0.226086956521739,-0.035,-0.1,0.2,0.25,0.307894736842105,0,0.336466165413534,0.307894736842105,0.1,0.323636363636364
"RAS",0.00558875017675529,-0.0939549047550509,-0.191176470588235,-0.257294894386124,-0.463204849832757,-0.1,0,-0.144749631811487,-0.144749631811487,0.0444444444444444,-0.1,-0.214117647058824,-0.2746863066012,-0.221048340128131,-0.1,0.02,-0.22,0.216666666666667,-0.480025839793282,0.045,-0.0869565217391304,0.2,-0.211538461538462,-0.22,-0.340384615384615,-0.184415584415584,-0.164463276836158,-0.117777777777778,-0.133333333333333,0.138528138528139,0.0292105263157895,-0.14,0.0673846153846154,-0.196666666666667,0.174211502782931,0.129285714285714,0.0350928792569659,0.211538461538462,0.211538461538462,-0.238767295597484,-0.0833471318746304,-0.1,-0.0664349553128103,-0.0947368421052632,-0.235909537856441,-0.0407631543493144,0.1,0.15,0.191176470588235,0.223091364205257,0.1,0.240014441128333,0.220343137254902,0.15,0.241686429512516
"Csn",-0.383780200855936,-0.246939014258559,-0.296233208696856,-0.345698961971424,-0.543256255977781,-0.233333333333333,-0.2,-0.143971877584781,-0.143971877584781,0.0320174945237108,0.04,-0.296313015342866,-0.29309412498052,-0.30514356426888,-0.114285714285714,0.08,-0.273236092265943,-0.015007215007215,-0.50083525093947,0.0890909090909091,-0.0483637873754153,0.0365079365079365,-0.434685867825982,-0.256818181818182,-0.451384524255924,-0.0416317287784679,0.0061406541046943,0.160966666666667,0.0983333333333333,0.033072754525539,0.124155844155844,0.144166666666667,-0.0177804717925953,0.0225340967276451,0.0547422686242263,0.150250664368311,0.154364177489177,0.434685867825982,0.434685867825982,-0.189192762662065,0.0637528462162067,0.143939393939394,0.206701631701632,0.189393939393939,-0.205496801930064,0.0125846676259611,-0.14,0.27816091954023,0.296233208696856,0.318899875363523,0.233333333333333,0.334333958964809,0.316757226164105,0.27816091954023,0.349437559017941
"FUS",0.435597558662748,0.14791372393708,0.415277777777778,0.35600577178136,0.374906549909096,0.25,0.2,-0.135888704031056,-0.135888704031056,0.14513611615245,-0.15,-0.213108108108108,0.131207154182208,-0.220554916618746,-0.333333333333333,-0.06,-0.205,0.268333333333333,0.301697289624685,-0.113846153846154,0.0132664437012263,0.293333333333333,0.388316189624329,-0.213333333333333,0.403600032419089,-0.000952380952380949,-0.287525252525253,-0.225120879120879,-0.221428571428571,0.301686909581646,-0.135058275058275,-0.217428571428571,-0.0124069730662036,-0.268333333333333,0.0235330261136713,0.120810564663024,-0.140805401495057,-0.388316189624329,-0.388316189624329,-0.0919718540337097,-0.225573404730031,-0.33030303030303,-0.356212121212121,-0.34030303030303,-0.0737660493290438,0.135402859840631,0.1,-0.283333333333333,-0.311111111111111,-0.33344120819849,-0.35,-0.346223163085708,-0.438354700854701,-0.3875,-0.478073950037968
"SMO",0.417105637657362,0.138872628046669,0.3875,0.346223163085708,0.366001440420045,0.2,0.1,-0.130367231638418,-0.130367231638418,0.137241379310345,-0.1,-0.205,0.124400871459695,-0.213108108108108,-0.3,0,-0.213333333333333,0.293333333333333,0.291998292969167,-0.06,0.0205128205128205,0.333333333333333,0.369711538461538,-0.233333333333333,0.388316189624329,0.0133333333333333,-0.268333333333333,-0.217428571428571,-0.15,0.282456140350877,-0.113846153846154,-0.221428571428571,-0.00349608197709464,-0.268333333333333,0.000952380952380949,0.102777777777778,-0.135058275058275,-0.369711538461538,-0.369711538461538,-0.0765079365079365,-0.206296296296296,-0.266666666666667,-0.34030303030303,-0.33030303030303,-0.075652841781874,0.13447176114417,0,-0.25,-0.283333333333333,-0.311111111111111,-0.3,-0.33344120819849,-0.415277777777778,-0.35,-0.451365875503807
"NFB",0.260452744857827,0.132218033257256,0.0558974358974359,0.044295347647418,-0.16919612780058,0.0666666666666667,0.1,-0.122863595771037,-0.122863595771037,0.120271698199985,0.0571428571428571,-0.0729414141414141,0.08437441643324,-0.0855996419895154,-0.2,0.0857142857142857,-0.0641414141414141,0.157037037037037,-0.234814695108813,0.0577142857142857,-0.117328247088309,0.22,-0.156760648586011,-0.0777777777777778,-0.162730797839742,-0.114466446644665,-0.130655649417594,0.00323895323895324,-0.0595238095238095,-0.0308801415302963,0.0554920634920635,-0.018983268983269,-0.01790513527805,-0.129450830140485,0.140117004265482,0.105677655677656,0.0718319327731092,0.156760648586011,0.156760648586011,-0.067325206669469,-0.0899620846902609,-0.0225108225108225,0.018718056137411,0.0012987012987013,-0.0852686472941623,-0.125033641828489,-0.1,-0.0666666666666667,-0.0558974358974359,-0.0542025206431986,-0.0666666666666667,-0.048295347647418,-0.0547738403918179,-0.0666666666666667,-0.087887537993921
"IKK",0.265940549735876,0.136070360705089,0.0666666666666667,0.048295347647418,-0.164212739096261,0.1,0.1,-0.109453634085213,-0.109453634085213,0.119076479076479,0.1,-0.0641414141414141,0.0942156862745098,-0.0729414141414141,-0.1,0.1,-0.0777777777777778,0.22,-0.232069597069597,0.0857142857142857,-0.111971104231166,0.2,-0.145493042952208,-0.1,-0.156760648586011,-0.105555555555556,-0.129450830140485,-0.018983268983269,0.0571428571428571,-0.0319327731092437,0.0577142857142857,-0.0595238095238095,-0.00853957636566332,-0.157037037037037,0.114466446644665,0.0787545787545788,0.0554920634920635,0.145493042952208,0.145493042952208,-0.0468123861566485,-0.0878038113089659,-0.0272727272727273,0.0012987012987013,-0.0225108225108225,-0.0838987842804637,-0.125350431691214,-0.2,-0.0666666666666667,-0.0666666666666667,-0.0558974358974359,-0.1,-0.0542025206431986,-0.0558974358974359,-0.0666666666666667,-0.0921428571428571
"ZEB2",-0.149826219417144,-0.128747198032642,-0.113193473193473,-0.111929895873558,-0.107686178517259,-0.1,-0.1,-0.0977857047945218,-0.0977857047945218,-0.0945889665889666,-0.0666666666666667,-0.0587631416202845,-0.0574522824375585,-0.0561176389747818,-0.05,-0.05,-0.0431168831168831,-0.0357142857142857,-0.0247484080520969,-0.0236842105263158,-0.0217177983307016,-0.0214285714285714,-0.0198701298701299,-0.0194805194805195,-0.019227731583192,-0.0151782489810659,-0.0104941400063351,-0.00707424714434061,-0.00416666666666667,-0.00351648351648352,0.00534804753820034,0.00694444444444444,0.00725617129579801,0.0113240418118467,0.0139587367859439,0.0149128894408123,0.0163236572942979,0.0198701298701299,0.0198701298701299,0.0211594202898551,0.0261311614750861,0.0282051282051282,0.0293417402269861,0.0375384615384615,0.0418358664843427,0.091804592612494,0.1,0.106666666666667,0.106666666666667,0.108518518518519,0.109090909090909,0.110631194574857,0.114110904386134,0.115757575757576,0.13788982351162
"ZEB1",0.103219961872399,0.108250676689447,0.0244170463682659,0.0381999351300452,0.136193722996262,0.0230769230769231,0,-0.089386026120747,-0.089386026120747,-0.0216656331184958,-0.08,-0.111716772747298,0.0618365847806168,-0.110141969597692,-0.05,-0.05,-0.100041645843745,-0.0170454545454545,0.1097726142847,-0.038,-0.00737097962486563,-0.0125,0.155860332859967,-0.0840996168582376,0.160112301363904,-0.00365948213127985,-0.0233843828699387,-0.0452779489707876,-0.0326315789473684,0.0858479532163743,-0.0227058823529412,-0.0309922346850733,0.00324801672247631,-0.00452317290552585,0.00462102059281831,0.0965151970306878,-0.0178600673749676,-0.155860332859967,-0.155860332859967,0.0084411397757626,-0.00398864970219996,-0.01875,-0.0294938016528926,-0.01875,0.0231040498555952,0.00699004658044507,0.1,-0.025515947467167,-0.0313983004083435,-0.0348705226305657,-0.0142857142857143,-0.0367322247582253,-0.0288844003201559,-0.0167247386759582,-0.131259666925612
