"","ZEB1","GSK3","Jagged","NOTCH","AXIN2","ILK","TWIST1","Wnt","cMet","SRC","SHH","SMO","cateninmemb","RAF","PI3K","DELTA","RAS","EGR1","cfos","MEK","ERK","Destcompl","TrCP","SUFU","LIV1","SNAI1","Patched","Csn","CD44","FUS","TCFLEF","cateninnuc","STAT","Frizzled","GLI","DSH","IKK","RKIP","AKT","NFB","SMAD","miR200","Ecadherin","HEY1","Csl","NOTCHic","SOSGRB2","SNAI2","PAK1","FOXC2","CDC42","TGFR","TGF","ZEB2","KLF4"
"SOSGRB2",0.255802005012531,-0.174804665491903,0.241498419906635,0.308460553530976,0.0285616061606161,0.252903225806452,0.247130434782609,0.030952380952381,0.0273291925465838,0.0142857142857143,0.234831342970878,0.216666666666667,-0.0920829920829921,0.142749529190207,0.142749529190207,0.142749529190207,0.138903375344053,-0.276190476190476,-0.265079365079365,-0.242474942474942,-0.251565851565852,-0.106694200653932,0,-0.2,0,-0.272781094527363,-0.23018018018018,0,-0.0287784679089027,-0.2,-0.0308837310667974,-0.0295452989444265,0,-0.0142857142857143,-0.0324016563146998,0,-0.0269005847953216,-0.331505847953216,-0.0435672514619883,-0.0111111111111111,-0.253602526505752,-0.155237266328616,0.0696851496746592,-0.261647727272727,-0.290909090909091,-0.298601398601399,-0.41,-0.442030672405829,-0.271428571428571,-0.294163614163614,-0.281428571428571,-0.285274725274725,-0.295913023147066,-0.255802005012531,-0.250087719298246
"cMet",0.24992784992785,-0.0616551459293395,0.151539475017736,0.125931850903855,0.137936507936508,0.143537414965986,0.23861052804873,0.106666666666667,0.106666666666667,0.2,0.124431818181818,0.1,0.0708239151121713,-0.0171428571428571,-0.0171428571428571,-0.0171428571428571,-0.0190296495956873,-0.225,-0.225,-0.199545454545455,-0.205,-0.100197400827653,-0.1,-0.1,-0.1,-0.244511574261797,-0.118181818181818,-0.1,-0.113643410852713,-0.1,-0.113643410852713,-0.113643410852713,-0.2,-0.1,-0.115757575757576,-0.1,-0.106666666666667,-0.292222222222222,-0.125416666666667,-0.1,-0.145355596784168,-0.163268966842336,-0.114204600484596,-0.147230822153423,-0.114285714285714,-0.119548872180451,-0.168571428571429,-0.342416626358232,-0.26,-0.275527426160338,-0.2725,-0.2725,-0.281010638297872,-0.24992784992785,-0.342857142857143
"SMO",0.245197740112994,0.0255129983285323,0.20021164021164,0.270606060606061,0.380474697716077,0.1,0.197875816993464,0.3125,0.22,0.2,-0.167222222222222,-0.186666666666667,-0.150227581167136,0.0331730769230769,0.0331730769230769,0.0331730769230769,0.0261963327370304,-0.1,-0.08,-0.0846620046620047,-0.0876923076923077,-0.0670689000921559,0,0.1,-0.1,-0.167818740399386,0.161666666666667,0.1,-0.22,0.0666666666666667,-0.222912621359223,-0.222912621359223,-0.2,-0.3,-0.3125,-0.3,0.0642857142857143,-0.176666666666667,0.0362857142857143,0.05,-0.107936507936508,-0.125527426160338,0.00373915777992732,-0.10989010989011,-0.233333333333333,-0.260606060606061,-0.192982456140351,-0.419391351943076,-0.3,-0.277241379310345,-0.36,-0.368333333333333,-0.38454954954955,-0.245197740112994,-0.241666666666667
"RAS",0.243759204712813,-0.0790180878552972,0.171164991129509,0.218470705064548,0.136337285902503,0.156709956709957,0.235919258046918,0.105882352941176,0.105882352941176,0.1,0.136474576271186,0.1,-0.0325824418043026,0.0856410256410256,0.0856410256410256,0.0856410256410256,-0.0182051282051282,-0.26,-0.235,-0.196197110423117,-0.198157894736842,-0.101866675122489,0.1,-0.1,0,-0.203765978367748,-0.128,0.1,-0.112265331664581,-0.1,-0.112265331664581,-0.11141547330764,-0.1,-0.1,-0.11421568627451,-0.1,0.06,-0.336981132075472,0.0377777777777778,0.0666666666666667,-0.154669140383426,-0.162646153846154,-0.0068625078489894,-0.161857707509881,-0.2,-0.205263157894737,-0.26969696969697,-0.406578058858893,-0.26,-0.265555555555556,-0.26,-0.26,-0.274851485148515,-0.243759204712813,-0.230357142857143
"CDC42",0.228129443867943,0.0122132034632035,0.0759027777777778,0.0651282051282051,0.141724137931034,0.0656084656084656,0.160588744588745,0.108888888888889,0.108888888888889,0.12,0.0441144677703817,0.0476190476190476,0.0945424223183153,-0.0221677559912854,-0.0221677559912854,-0.0221677559912854,-0.0209482437961634,0.02,0,-0.00604274134119381,-0.00434782608695652,-0.0945864315006049,0,-0.0333333333333333,-0.1,-0.150270151789139,-0.0379416282642089,-0.0333333333333333,-0.111591591591592,-0.0476190476190476,-0.10961139357179,-0.111463245423641,-0.1,-0.12,-0.111520467836257,-0.1,-0.0708333333333333,-0.169090909090909,-0.0603070175438596,-0.0583333333333333,-0.0688342720600785,-0.114553093964859,-0.131459478530302,-0.0692153923038481,-0.0666666666666667,-0.0666666666666667,-0.168055555555556,-0.284236420513793,-0.142857142857143,-0.256508847441416,-0.257142857142857,-0.270868347338936,-0.263292589763178,-0.228129443867943,-0.233396825396825
"NOTCH",0.227858293075684,-0.00960466736328805,0.0483309283309283,0.0375115207373272,0.0261725067385445,0.0619047619047619,0.135305084745763,0.0276923076923077,0.0276923076923077,0.02,0.0447586726998492,0.0583333333333333,0.0171991396259518,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0376811594202899,0,0.02,0.0128571428571429,0.02,-0.0155830115830116,0,0,0,-0.145384615384615,-0.0506410256410256,0,-0.0246620046620047,-0.0333333333333333,-0.0235631035631036,-0.0231549402977974,0,-0.02,-0.0246620046620047,0,-0.0666666666666667,-0.170910698496905,-0.0666666666666667,-0.0333333333333333,-0.0619047619047619,-0.115757575757576,-0.0490865874363328,-0.16231884057971,-0.12,-0.134285714285714,-0.174736842105263,-0.190579137637961,-0.2,-0.240408163265306,-0.211111111111111,-0.231111111111111,-0.237562724014337,-0.227858293075684,-0.224154589371981
"PAK1",0.227164813642862,0.0100313852813853,0.0759027777777778,0.0629304029304029,0.141095207113424,0.0688342720600785,0.159501788067005,0.111520467836257,0.111591591591592,0.108888888888889,0.0451144677703817,0.0379416282642089,0.0939929717688648,-0.0209482437961634,-0.0209482437961634,-0.0209482437961634,-0.0236755165234362,0,-0.00434782608695652,0.00329059199213952,-0.00604274134119381,-0.0956390630795523,-0.0333333333333333,-0.0476190476190476,-0.1,-0.150508815273626,-0.0441144677703817,-0.0583333333333333,-0.10961139357179,-0.0476190476190476,-0.111463245423641,-0.11091152128571,-0.12,-0.108888888888889,-0.110057053202111,-0.12,-0.0603070175438596,-0.170748367654445,-0.0695662768031189,-0.0708333333333333,-0.0714149172213688,-0.115060708178057,-0.130421416246565,-0.0736271570097304,-0.0666666666666667,-0.0651282051282051,-0.178946644664466,-0.2851405796458,-0.257142857142857,-0.255819192269002,-0.270868347338936,-0.263292589763178,-0.263292589763178,-0.227164813642862,-0.230118136872235
"SHH",0.225,0.0102564102564103,0.174285714285714,0.233333333333333,0.342857142857143,0.0666666666666667,0.175,0.3,0.2,0.1,-0.186666666666667,-0.1,-0.14078853046595,0.05,0.05,0.05,0.0269230769230769,0,-0.1,-0.08,-0.1,-0.0651948051948052,0,0,0,-0.15,0.0666666666666667,0,-0.2,0,-0.22,-0.22,-0.1,-0.2,-0.3,-0.2,0.1,-0.16,0.05,0,-0.1,-0.116666666666667,-0.00222222222222222,-0.0666666666666667,-0.1,-0.2,-0.2,-0.393486590038314,-0.2,-0.25,-0.3,-0.3,-0.36,-0.225,-0.2
"Jagged",0.224154589371981,-0.0118773946360153,0.052034632034632,0.134285714285714,0.0242857142857143,0.0666666666666667,0.137,0.02,0.02,0,0.0506410256410256,0.0333333333333333,0.0177226998353759,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.1,0,0.02,0.02,-0.0155830115830116,0,0,0,-0.15,-0.0583333333333333,0,-0.0276923076923077,0,-0.0246620046620047,-0.0235631035631036,0,0,-0.0276923076923077,0,-0.0333333333333333,-0.174358974358974,-0.0666666666666667,0,-0.0619047619047619,-0.115757575757576,-0.0474736842105263,-0.166666666666667,-0.1,-0.12,-0.18,-0.187933634992458,-0.2,-0.234285714285714,-0.2,-0.211111111111111,-0.231111111111111,-0.224154589371981,-0.211111111111111
"DELTA",0.224154589371981,-0.0118773946360153,0.052034632034632,0.134285714285714,0.0242857142857143,0.0666666666666667,0.137,0.02,0.02,0,0.0506410256410256,0.0333333333333333,0.0177226998353759,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.1,0,0.02,0.02,-0.0155830115830116,0,0,0,-0.15,-0.0583333333333333,0,-0.0276923076923077,0,-0.0246620046620047,-0.0235631035631036,0,0,-0.0276923076923077,0,-0.0333333333333333,-0.174358974358974,-0.0666666666666667,0,-0.0619047619047619,-0.115757575757576,-0.0474736842105263,-0.166666666666667,-0.1,-0.12,-0.18,-0.187933634992458,-0.2,-0.234285714285714,-0.2,-0.211111111111111,-0.231111111111111,-0.224154589371981,-0.211111111111111
