"","PAK1","CDC42","TGFR","TrCP","Csl","SUFU","SOSGRB2","TWIST1","RAS","AXIN2","PI3K","DELTA","TCFLEF","cMet","STAT","SRC","LIV1","GLI","GSK3","SNAI2","miR200","Destcompl","Wnt","Frizzled","DSH","CD44","cateninnuc","RAF","cfos","ERK","MEK","EGR1","ZEB2","ZEB1","SNAI1","cateninmemb","RKIP","Ecadherin","Csn","AKT","NOTCH","IKK","NOTCHic","NFB","KLF4","HEY1","SHH","Patched","FUS","SMO","Jagged","SMAD","ILK","FOXC2","TGF"
"cMet",0.3,0.3125,0.334722222222222,0,0.0428571428571429,0.1,0.256666666666667,0.267546610692678,-0.030566037735849,0.0184126984126984,-0.04,-0.04,0.006463923673226,-0.00666666666666667,0.2,0.1,0.1,-0.00212121212121212,-0.230433947772657,0.0449311272668937,0.205095932147563,-0.20968443888612,0.00666666666666667,0,-0.1,-0.000310077519379845,0.00201065259796044,0.04,-0.035,-0.035,-0.0477272727272727,-0.075,-0.14978354978355,-0.14978354978355,-0.349725173230972,-0.0583254467951977,-0.191851851851852,-0.0401551566152098,0,-0.0979166666666667,-0.0672692369220925,-0.0666666666666667,-0.0481203007518797,-0.0333333333333333,-0.250793650793651,-0.194874441004472,-0.170113636363636,-0.176363636363636,-0.1,-0.14,-0.134609303739739,-0.183937332508761,-0.167573696145125,-0.363154008438819,-0.349615839243499
"SOSGRB2",0.214285714285714,0.254285714285714,0.281208791208791,0,0.0454545454545455,0,0.240277777777778,0.215971014492754,-0.0590178183398522,-0.13661303630363,-0.0615819209039548,-0.0615819209039548,-0.113217827176637,-0.109937888198758,-0.1,-0.114285714285714,0,-0.10703933747412,-0.270244422867144,0.0384506901991278,0.161315245086909,-0.229223312109218,0.114285714285714,0.114285714285714,0.1,0.102691511387164,0.112644213409907,0.0615819209039548,0.10952380952381,0.0851994851994852,0.0851994851994852,0.0761904761904762,-0.0994987468671679,-0.0994987468671679,-0.28455223880597,0.136783393783394,-0.0597587719298246,0.0941515614476538,0,-0.0957602339181287,-0.0566138087264848,-0.104093567251462,-0.0608391608391608,-0.0777777777777778,-0.108070175438596,-0.227840909090909,-0.148481039178714,-0.125225225225225,-0.1,-0.133333333333333,-0.0693059450483348,-0.142421234679299,-0.138924731182796,-0.300610500610501,-0.279081131634323
"MEK",0.36,0.388571428571429,0.389506008010681,0.1,0.164646464646465,0.2,0.398285714285714,0.369196587725999,-0.108366633366633,-0.134645088126101,-0.103604728604729,-0.103604728604729,-0.099979817958926,-0.0908906882591093,-0.1,-0.0947368421052632,-0.1,-0.108041958041958,-0.252697475037901,-0.0550336820663099,0.180178497057689,-0.23325827524601,0.0961538461538462,0.1,0.1,0.102778800147221,0.0984928291113424,0.103604728604729,0.235862068965517,0.237989728539985,0.147989728539985,0.26,-0.0979972216528888,-0.0979972216528888,-0.407138987343013,0.133439167800717,-0.146686569364588,0.0976330464800596,-0.2,-0.229469696969697,-0.178515077785151,-0.209469696969697,-0.164646464646465,-0.2125,-0.089765662362506,-0.236355893429064,-0.254493946212365,-0.255147540983607,-0.22,-0.224,-0.171286426006847,-0.251487709249161,-0.252594720319272,-0.42450354864148,-0.394615497061776
"ERK",0.388571428571429,0.389506008010681,0.394615497061776,0.2,0.164646464646465,0.22,0.40022746185853,0.368503106449994,-0.10473627033033,-0.135458096256182,-0.108366633366633,-0.108366633366633,-0.0984928291113424,-0.102778800147221,-0.0947368421052632,-0.0908906882591093,-0.1,-0.106788825209878,-0.251698383303114,-0.0528695702538662,0.18066869313612,-0.23434809110471,0.108041958041958,0.0961538461538462,0.1,0.099979817958926,0.0991872735557868,0.108366633366633,0.237989728539985,0.147989728539985,0.14269724943135,0.235862068965517,-0.0962649381883219,-0.0962649381883219,-0.405750098454124,0.131967226678362,-0.147522223960688,0.0987658992092048,-0.2125,-0.228552265777036,-0.173251919890414,-0.229469696969697,-0.178515077785151,-0.209469696969697,-0.0959672127501029,-0.234649408787426,-0.257875588724442,-0.254493946212365,-0.224,-0.255147540983607,-0.172491245283955,-0.256654882501441,-0.251487709249161,-0.431853975991907,-0.398186925633204
"RKIP",0.3,0.36,0.388571428571429,0.1,0.155555555555556,0.1,0.391619047619048,0.354910873440285,-0.103604728604729,-0.127437880918894,-0.106168831168831,-0.106168831168831,-0.102778800147221,-0.0947368421052632,-0.1,-0.1,0,-0.0961538461538462,-0.256382978723404,-0.0518706650346797,0.175534534209392,-0.232003045120487,0.1,0.1,0.1,0.0908906882591093,0.099979817958926,0.106168831168831,0.26,0.235862068965517,0.237989728539985,0.21,-0.0916480153036825,-0.0916480153036825,-0.405856936060962,0.135634289751937,-0.132212885154062,0.0990902413798774,-0.1,-0.209469696969697,-0.164646464646465,-0.2125,-0.164646464646465,-0.2,-0.0956480153036825,-0.239992257065428,-0.255147540983607,-0.224,-0.2,-0.22,-0.177843803056027,-0.252594720319272,-0.251604621309371,-0.419098143236074,-0.389506008010681
"RAF",0.3,0.36,0.388571428571429,0.1,0.155555555555556,0.1,0.391619047619048,0.354910873440285,-0.103604728604729,-0.127437880918894,-0.106168831168831,-0.106168831168831,-0.102778800147221,-0.0947368421052632,-0.1,-0.1,0,-0.0961538461538462,-0.256382978723404,-0.0518706650346797,0.175534534209392,-0.232003045120487,0.1,0.1,0.1,0.0908906882591093,0.099979817958926,0.106168831168831,0.26,0.235862068965517,0.237989728539985,0.21,-0.0916480153036825,-0.0916480153036825,-0.405856936060962,0.135634289751937,-0.132212885154062,0.0990902413798774,-0.1,-0.209469696969697,-0.164646464646465,-0.2125,-0.164646464646465,-0.2,-0.0956480153036825,-0.239992257065428,-0.255147540983607,-0.224,-0.2,-0.22,-0.177843803056027,-0.252594720319272,-0.251604621309371,-0.419098143236074,-0.389506008010681
"ZEB1",-0.142337164750958,-0.132192237214726,-0.12863893772234,-0.0333333333333333,-0.0479166666666667,-0.0333333333333333,-0.0725146198830409,0.0216438599962301,-0.0725048594579663,-0.078489907273772,-0.0723473791430056,-0.0723473791430056,0.0146123134296232,0.0154545120111835,0.0256410256410256,0.00368980612883052,0.0333333333333333,0.0234029967183098,-0.0206623811665714,0.0202056269394594,-0.107179353155845,0.0688421594368805,-0.0209974984365228,-0.0113821138211382,-0.0333333333333333,-0.0175378453445168,-0.0132424504159245,0.0723473791430056,0.054,0.0528235294117647,0.0559072298522933,0.05,-0.071136621411337,-0.071136621411337,-0.0045904777918051,0.177653341817535,0.00506887052341598,0.10429993908497,0.0333333333333333,0.00733308681539915,0.0458424485496678,0.0159045153868277,0.0557598039215686,0.0175438596491228,-0.0697063798823757,0.042945456961001,0.0192271522002525,0.0181595365418895,0.0208333333333333,0.0299242424242424,0.0701913049046757,0.050655553231616,0.0501747840008468,0.09352514181184,0.129426339297143
"RAS",0.06,0.08,0.0682352941176471,-0.1,-0.05,-0.1,-0.156709956709957,-0.000949263502454992,-0.246538461538462,-0.11235836627141,-0.140769230769231,-0.140769230769231,-0.094889766053721,-0.0823529411764706,-0.1,-0.1,0,-0.0865196078431373,-0.119547803617571,0.0431453346112086,0.0776615384615385,-0.116796512726745,0.0823529411764706,0.1,0.1,0.0887359198998748,0.0917736187449391,0.140769230769231,-0.205,-0.210263157894737,-0.200459236326109,-0.18,-0.061940353460972,-0.061940353460972,-0.0704326450344149,0.0166668172351412,-0.215553459119497,-0.0213139555339044,0.1,0.02,0.06012909632572,0.02,0.0657894736842105,0,-0.0567857142857143,-0.0679841897233202,0.027638418079096,0.0293333333333333,0,0.0333333333333333,0.0883500887049083,0.0474953617810761,0.0311688311688312,-0.0680952380952381,-0.0613046010483401
"TWIST1",0.124242424242424,0.131138975966562,0.133638975966562,0.1,0.0259259259259259,0.1,0.148164446791449,0.0660317006283826,0.0607841287092758,-0.0531423415294383,0.066606046517495,0.066606046517495,-0.0365820978351515,-0.0287234042553192,-0.0333333333333333,-0.05,-0.0333333333333333,-0.0396,0.0511028900382806,0.0413744271904118,0.0815578381022255,0.0520872241804641,0.03,0.05,0.0333333333333333,0.0379603520464838,0.0387097574096196,-0.066606046517495,0.0857971014492754,0.0752707856598017,0.072783223470747,0.0466666666666667,-0.0588658834272869,-0.0588658834272869,-0.0698112687821577,0.0454605092221895,-0.0525110155544938,0.0458044570339492,0,-0.0473893338300118,-0.0241600817072515,-0.0490842490842491,-0.0156695156695157,-0.0538461538461538,-0.0565666041275797,-0.179263674178928,-0.144986151412226,-0.150404870624049,-0.155555555555556,-0.143555555555556,-0.0754669254416076,-0.177101944428677,-0.177431977431977,-0.166740142827915,-0.132044442936949
"PI3K",0.25,0.267647058823529,0.275647058823529,0,0.15,0.1,0.138076923076923,0.184836348414395,-0.324044120263298,-0.218571428571429,-0.317194805194805,-0.317194805194805,-0.191044347448179,-0.179710144927536,-0.2,-0.166666666666667,-0.1,-0.190479375696767,-0.323917748917749,0.0620819867419417,0.168226796095649,-0.284388995220315,0.179710144927536,0.166666666666667,0.2,0.190479375696767,0.187951563943025,0.317194805194805,0.0333333333333333,0.0392156862745098,0.0375763420122147,0.0333333333333333,-0.0497964035899184,-0.0497964035899184,-0.283228663446055,0.104965685449259,-0.256431803490627,0.0705927855431774,-0.1,-0.15867269984917,-0.173076923076923,-0.150980392156863,-0.173076923076923,-0.133333333333333,-0.0467105263157895,-0.0995089631049676,-0.143803418803419,-0.141025641025641,-0.1,-0.133333333333333,0.00236842105263158,-0.121237615046018,-0.114037615046018,-0.317200929152149,-0.281338115734099
