"","PAK1","CDC42","TrCP","SUFU","FUS","NOTCHic","NOTCH","Jagged","Csn","KLF4","RKIP","LIV1","AXIN2","Destcompl","RAS","RAF","PI3K","TCFLEF","STAT","MEK","Ecadherin","FOXC2","ZEB2","cfos","ERK","EGR1","Frizzled","DSH","GLI","Wnt","SRC","cateninmemb","CD44","cateninnuc","cMet","SNAI2","DELTA","miR200","SNAI1","TWIST1","Csl","NFB","ZEB1","SMAD","ILK","AKT","IKK","SHH","Patched","SMO","GSK3","HEY1","TGF","TGFR","SOSGRB2"
"CD44",0.133333333333333,0.153333333333333,-0.1,0.1,0.1,0.0428571428571429,0.0586466165413534,0.14004662004662,0,0.214285714285714,0.226296296296296,-0.1,0.21,0.0333788060678817,0.0514285714285714,0.0428571428571429,0.0428571428571429,0.154418604651163,-0.1,0.14,0.150118336771252,0.08875,-0.1,-0.1,-0.12,-0.1,-0.1,0,-0.18,-0.2,0,-0.183791208791209,-0.18,-0.154418604651163,-0.1,-0.0318215118215118,-0.0428571428571429,-0.112446201141853,-0.169989367357788,-0.160659340659341,0,0,-0.179365079365079,-0.118367346938776,-0.1,-0.0266666666666667,-0.0333333333333333,-0.127272727272727,-0.1,-0.1,-0.00535714285714286,-0.0713450292397661,-0.189444444444444,-0.178333333333333,0.00238095238095239
"RAS",0.14,0.14,-0.1,-0.1,0,-0.105263157894737,-0.0920556107249255,-0.0594362310270057,-0.1,0.103214285714286,0.0566729559748428,0,-0.155652173913043,0.169027892283706,-0.0187179487179487,0.0774358974358974,0.0774358974358974,-0.127508423991528,-0.1,-0.00438080495356037,0.0271587985216045,0.113015873015873,-0.098059646539028,0.005,0.0102631578947368,-0.02,0.15,0.1,0.124019607843137,0.132352941176471,0.15,0.0163905830024427,0.125969962453066,0.126091993396627,0.132352941176471,0.0347671915713153,-0.0774358974358974,-0.100092307692308,-0.130226155358899,0.0101800327332242,0.1,0.0666666666666667,-0.149878497790869,-0.0118119975262832,-0.0138528138528139,0.0488888888888889,0.06,-0.00108474576271186,0.004,0,0.0718863049095607,-0.0134387351778656,-0.139009900990099,-0.14,0.0329004329004329
"TGFR",0.231111111111111,0.231111111111111,0.1,0.22,0.203333333333333,0.113793103448276,0.105879434383528,0.199745202877206,0.1,0.0912103628636809,0.205238095238095,0,-0.00128187660376502,-0.0598265190493861,0.0596073517126149,0.0642857142857143,0.0642857142857143,-0.0018263067617586,0,0.0241281285405294,-0.0198257531458521,0.00339872250400065,-0.0929997527191085,-0.0243107769423559,-0.0309774436090225,-0.019047619047619,0.00428571428571428,0.0142857142857143,0.0208164507434136,0.0137196765498652,-0.01,0.011172163497699,0.00469712015888779,0.00173773280250262,-0.000566037735849057,-0.0884521053433168,-0.0642857142857143,-0.0815161757041623,-0.206227583090013,-0.212439699485963,-0.1,-0.1,-0.216666723362462,-0.198828544890995,-0.201319648093842,-0.108812729498164,-0.115789473684211,-0.20169686343269,-0.206781609195402,-0.206781609195402,0.0152832431718934,-0.214294100099118,-0.324702803107058,-0.327539682539683,-0.203703703703704
"cMet",0.153333333333333,0.178333333333333,0,0.1,0.1,0.0586466165413534,0.0437529995200768,0.137872707003142,0,0.2,0.218888888888889,-0.1,0.195714285714286,0.028649076338152,0.0438814016172507,0.0514285714285714,0.0514285714285714,0.154418604651163,0,0.123636363636364,0.147828260435374,0.0849525316455696,-0.0929292929292929,-0.12,-0.14,-0.1,-0.2,-0.1,-0.152727272727273,-0.18,-0.1,-0.181300105588362,-0.154418604651163,-0.154418604651163,-0.18,-0.0303616578069133,-0.0514285714285714,-0.0999462011418533,-0.168294452103551,-0.141558217063835,-0.0428571428571429,-0.0333333333333333,-0.174314574314574,-0.114730983302412,-0.118367346938776,-0.0141666666666667,-0.0266666666666667,-0.136647727272727,-0.127272727272727,-0.1,0.00109447004608295,-0.0889920880632955,-0.18306146572104,-0.189444444444444,-0.0309523809523809
"TGF",0.22,0.231111111111111,0,0.2,0.22,0.1,0.113793103448276,0.204093028964163,0.1,0.0965675057208238,0.20952380952381,0,0.00343915343915344,-0.0602297448558377,0.0642857142857143,0.0678571428571429,0.0678571428571429,-0.00469712015888779,0,0.0309774436090225,-0.018803606638186,0.00383540372670808,-0.0911129602662783,-0.019047619047619,-0.0243107769423559,-0.0333333333333333,0.0142857142857143,0,0.0137196765498652,0.00428571428571428,0,0.0109412166154819,-0.000566037735849057,0.0018263067617586,-0.01,-0.0879891423803539,-0.0678571428571429,-0.0847419821557752,-0.20652256834075,-0.217777777777778,-0.1,-0.1,-0.223836534683217,-0.201319648093842,-0.204545454545455,-0.115789473684211,-0.1,-0.206781609195402,-0.206781609195402,-0.203333333333333,0.014549746839375,-0.217279174725983,-0.327539682539683,-0.231111111111111,-0.2
"TWIST1",-0.0466666666666667,-0.0501149425287356,0,0.233333333333333,0.266666666666667,0.0537321937321937,0.0537321937321937,0.125122142409018,-0.05,0.0802168021680217,0.119234930104495,0.133333333333333,0.156401555433813,0.156430331525162,0.149780729496099,0.149780729496099,0.149780729496099,0.104235934570089,0.119047619047619,0.0267735692248142,0.0699281573708422,0.0811168295320583,-0.0876455402771192,-0.0249275362318841,-0.0222959572845156,-0.0466666666666667,-0.107936507936508,-0.119047619047619,-0.102673350041771,-0.102673350041771,-0.107936507936508,-0.123689581959671,-0.104082795213275,-0.10440844750856,-0.103681188787572,-0.0148904422841318,-0.149780729496099,-0.0974593858086154,-0.110289816636943,-0.134472231302895,-0.0562962962962963,0.0423076923076923,-0.135586463656639,-0.18956346085059,-0.191873691873692,0.034155957037313,0.0375457875457875,-0.245904402006433,-0.250337899543379,-0.262666666666667,-0.161534385040653,-0.203706463028497,0.0525038946927447,0.0513649425287356,-0.0204991296524477
"SRC",0.333333333333333,0.345833333333333,-0.1,0.0333333333333333,0.0333333333333333,-0.0542857142857143,-0.0578571428571429,0.0610138790872736,-0.05,0.149483204134367,0.143238840013034,0,0.184266224658932,0.188320990603599,0.0749410247658057,0.0885773884021694,0.0885773884021694,0.140081967213115,0.1,-0.00789022298456261,0.141820374614492,0.0888095238095238,-0.0572476789457921,-0.0424242424242424,-0.00909090909090909,-0.0333333333333333,-0.175,-0.2,-0.140081967213115,-0.145,-0.175,-0.16961457865589,-0.140081967213115,-0.141200535445777,-0.145,-0.0425660246399445,-0.0885773884021694,-0.0782198799590104,-0.218698947638517,-0.158236705822913,0.04,0.0833333333333333,-0.253361784965559,-0.0366761498340446,-0.0429824561403509,0.0799145299145299,0.091025641025641,-0.0697385620915033,-0.0844444444444445,-0.0733333333333333,0.0297835497835498,-0.0160956636875207,-0.330854978354978,-0.336309523809524,-0.195714285714286
"cfos",0.314285714285714,0.3,0.1,0.0666666666666667,0.080952380952381,0.107692307692308,0.0938461538461538,0.0913194444444445,0.0666666666666667,0.0508571428571429,0.129393939393939,0.1,0.100361247947455,0.0950571102722227,-0.0175142143578298,-0.012636165577342,-0.012636165577342,0.0718591859185919,0.1,-0.0268238761974945,0.0400026862710345,0.0319109107057457,-0.0547561397440332,0,0.0217391304347826,0.08,-0.08,-0.1,-0.0662573099415205,-0.0688888888888889,-0.08,-0.0724146158604801,-0.0688888888888889,-0.0707480748074808,-0.0688888888888889,-0.10673681549594,0.012636165577342,-0.0326415414650709,-0.131548030029043,-0.157168831168831,-0.1,-0.0666666666666667,-0.191417810061878,-0.0854497354497355,-0.0854497354497355,-0.0758771929824561,-0.0916666666666667,-0.083063093815782,-0.091705069124424,-0.114285714285714,-0.117145562770563,-0.0967266366816592,-0.291087344028521,-0.294117647058824,-0.245833333333333
"TrCP",0.3,0.294117647058824,0.0666666666666667,0.080952380952381,0.114285714285714,0.0938461538461538,0.0971428571428571,0.0931599352419905,0.0666666666666667,0.052496487119438,0.125526536079022,0.1,0.100990178765065,0.0944556065128242,-0.0138778507214662,-0.0175142143578298,-0.0175142143578298,0.0707480748074808,0.08,-0.0201572095308278,0.0417327900772629,0.0332902210505733,-0.0518622490687921,0.0217391304347826,0.0268238761974945,0,-0.0688888888888889,-0.08,-0.0696719440878619,-0.0662573099415205,-0.0688888888888889,-0.0724146158604801,-0.0718591859185919,-0.0707480748074808,-0.0688888888888889,-0.105109329058327,0.0175142143578298,-0.0356872267442587,-0.130354712606608,-0.15825578769057,-0.107692307692308,-0.0916666666666667,-0.193025527103679,-0.0815787677078,-0.0854497354497355,-0.0814327485380117,-0.0758771929824561,-0.082063093815782,-0.083063093815782,-0.091705069124424,-0.115691017316017,-0.0967266366816592,-0.289447999766225,-0.291087344028521,-0.234942244224422
"EGR1",0.3,0.294117647058824,0.0666666666666667,0.080952380952381,0.114285714285714,0.0938461538461538,0.0971428571428571,0.0931599352419905,0.0666666666666667,0.052496487119438,0.125526536079022,0.1,0.100990178765065,0.0944556065128242,-0.0138778507214662,-0.0175142143578298,-0.0175142143578298,0.0707480748074808,0.08,-0.0201572095308278,0.0417327900772629,0.0332902210505733,-0.0518622490687921,0.0217391304347826,0.0268238761974945,0,-0.0688888888888889,-0.08,-0.0696719440878619,-0.0662573099415205,-0.0688888888888889,-0.0724146158604801,-0.0718591859185919,-0.0707480748074808,-0.0688888888888889,-0.105109329058327,0.0175142143578298,-0.0356872267442587,-0.130354712606608,-0.15825578769057,-0.107692307692308,-0.0916666666666667,-0.193025527103679,-0.0815787677078,-0.0854497354497355,-0.0814327485380117,-0.0758771929824561,-0.082063093815782,-0.083063093815782,-0.091705069124424,-0.115691017316017,-0.0967266366816592,-0.289447999766225,-0.291087344028521,-0.234942244224422
