"","HEY1","ILK","AKT","NFB","SMO","FUS","KLF4","TrCP","SUFU","Csn","Csl","TWIST1","GSK3","EGR1","cfos","PAK1","SNAI2","AXIN2","GLI","RAS","Ecadherin","RAF","PI3K","miR200","cateninnuc","STAT","TCFLEF","CD44","SRC","cMet","cateninmemb","Destcompl","DSH","DELTA","Frizzled","Wnt","LIV1","TGF","TGFR","CDC42","ERK","MEK","SOSGRB2","ZEB2","ZEB1","RKIP","Jagged","NOTCH","SNAI1","NOTCHic","Patched","SHH","SMAD","IKK","FOXC2"
"miR200",0.201864406779661,0.18548485274149,0.201313661512271,0.194736842105263,0.140833333333333,0.1475,0.165942028985507,0.1,0.16,0.2,0.141083743842365,0.231382727701746,-0.00965136778098222,0.0571428571428571,0.0671428571428571,0.025,-0.064177128262389,-0.178514426492784,-0.11994304287262,0.115445017383827,0.0843948827932911,0.112701875239189,0.112701875239189,-0.0395611018020402,-0.134943029804214,0.12,0.134791514652699,0.129632784493969,0.141739130434783,0.131879975505205,0.0456046590620138,0.154783411228276,0.12,-0.112701875239189,0.132,0.122140845070423,0.1,-0.00356265536972478,-0.00181846932321316,-0.00343137254901961,-0.058051948051948,-0.0560111317254174,-0.0620760799484204,-0.165416666666667,-0.165416666666667,-0.0923511728063479,-0.125904739071366,-0.140343436030169,-0.116740666740667,-0.130738916256158,-0.147162447257384,-0.141727664648688,-0.18266353612707,-0.19187969924812,-0.246808692662351
"KLF4",0.0844766997708174,0.084,-0.0405291005291005,-0.04,0.183333333333333,0.166666666666667,0.0592592592592593,-0.1,0.2,-0.1,0.0890909090909091,-0.118061002178649,0.143093758344211,0.12,0.110909090909091,0.0590909090909091,0.0737051258053317,0.231803273207181,0.162087048131201,-0.0853733031674208,-0.192529331722133,-0.0934615384615385,-0.0934615384615385,-0.123675213675214,0.156187853366097,-0.133333333333333,-0.154817990352398,-0.161172505402566,-0.150980392156863,-0.167259461924305,-0.0236078995530215,-0.144954927868852,-0.133333333333333,0.0934615384615385,-0.150980392156863,-0.167259461924305,-0.166666666666667,-0.037790096082779,-0.0324242424242424,-0.0390909090909091,-0.099144385026738,-0.104299024201996,-0.152672955974843,-0.0873632610939112,-0.0873632610939112,-0.154586683158112,-0.175366862023534,-0.103849454940068,-0.167305398941122,-0.10488038277512,-0.208333333333333,-0.207258064516129,-0.0724057971014493,0.0257142857142857,0.00397425556227735
"ZEB1",-0.0404077442419411,-0.0315214543722463,-0.0623616418094416,-0.0631578947368421,0.00757575757575758,0.0166666666666667,0.0715260449001662,-0.1,-0.00833333333333333,-0.1,-0.025,-0.158484469620963,0.0942975468992549,0,-0.004,0.0408045977011494,0.0706969791208402,0.237160706452707,0.194334087670774,-0.115596295205194,-0.153166610757283,-0.110399444811494,-0.110399444811494,0.099166167766546,0.196872984773419,-0.207692307692308,-0.199417016084573,-0.200480845871807,-0.195497185741088,-0.193536401427363,-0.0194199065505074,-0.188248129962129,-0.2,0.110399444811494,-0.18780487804878,-0.18780487804878,-0.2,-0.0366888560995492,-0.0355077537373445,-0.0451524237881059,0.00282352941176471,0.00855040165846074,-0.0111890838206628,-0.0787880058031747,-0.0787880058031747,-0.0417347835916501,0.00316281861993582,0.0303637984119268,-0.0333672871350975,0.032843137254902,-0.0154188948306595,-0.0193334855779905,0.039213762064554,0.0680759275237273,0.135019481881299
"SNAI2",0.0600361663652803,0.0587525150905432,-0.0490617642985736,-0.0416666666666667,0.0976470588235294,0.08,0.0596153846153846,-0.1,0.1,-0.0666666666666667,0.0719298245614035,-0.0621115258154469,0.0981849551414769,0.1,0.0941176470588235,0.0274509803921569,-0.0107141173144511,0.138222110451028,0.0846073230828823,-0.0673127426804569,-0.0619557829407,-0.0732488157398176,-0.0732488157398176,-0.0989844626091836,0.0837409381494229,-0.0709090909090909,-0.082188143118367,-0.0840438132214597,-0.0851948051948052,-0.0894201573074812,-0.0434674750868932,-0.0992588483918227,-0.0709090909090909,0.0732488157398176,-0.0851948051948052,-0.0894201573074812,-0.08,-0.0207991780881806,-0.0170724700136465,-0.0179271708683473,-0.0882352941176471,-0.0936406995230525,-0.109634888438134,-0.0725601006922593,-0.0725601006922593,-0.0926410256410256,-0.0913933326518039,-0.076805650489861,-0.0987532980705506,-0.0807017543859649,-0.107851140456182,-0.103625788343506,-0.0554032327938925,0.0382183908045977,0.0326504300545793
"RAS",0.0865612648221344,-0.0186147186147186,0.191111111111111,0.233333333333333,0,0,0.0592857142857143,0.1,-0.1,0.2,0.25,0.0222804146208402,0.0822351421188631,-0.06,-0.11,0.06,0.0654265322306559,0.161449275362319,0.132352941176471,0.0353846153846154,0.00336850770171925,0.131538461538462,0.131538461538462,-0.0801538461538462,0.133386680506877,-0.1,-0.131403677674016,-0.134480600750939,-0.15,-0.132352941176471,0.0409698914113255,0.18077718949812,-0.1,-0.131538461538462,-0.15,-0.132352941176471,0,-0.0610483401281305,-0.0541176470588235,-0.06,0.0836842105263158,0.0660371517027864,0.061038961038961,-0.0665022091310751,-0.0665022091310751,-0.137647798742138,0.00498324462842499,-0.223982125124131,-0.0633529990167158,-0.244736842105263,-0.004,0.00447457627118644,0.0267779839208411,-0.213333333333333,-0.0826984126984127
"TCFLEF",-0.00130859263488438,-0.0132449305080884,0.182375603358773,0.18774025974026,-0.149047619047619,-0.163333333333333,0.0413197097020626,0.114285714285714,-0.183333333333333,0.15974025974026,0.0451299218874542,0.115073232971377,0.232824655678986,-0.105714285714286,-0.117909407665505,0.0948717948717949,-0.0126564200164321,-0.533091575091575,-0.190199201196644,0.293355115205991,0.0217739482325202,0.291646836625176,0.291646836625176,0.0507410594759993,-0.0795202636089623,0.175,0.0796061742618833,0.182240767618126,0.175,0.180982905982906,0.0213119913886487,-0.197369064509596,0.182352941176471,-0.291646836625176,0.182352941176471,0.188335847159377,0.2,-0.103533603203125,-0.104195854858754,-0.0995229576624925,0.1131475029036,0.109065870250539,0.186239828036235,-0.03838995215311,-0.03838995215311,-0.0268673370987739,0.141847216987606,-0.0395472236918969,-0.0296322157619229,-0.0412083532600032,0.153886328725038,0.156953813387615,0.00961204331879586,-0.181288646837034,-0.0536791712413347
"cateninnuc",0.0387995139320755,0.0413621933621933,0.0636041666666667,0.0666666666666667,0.0485792349726776,0.0633333333333333,0.019872555281808,0.1,0.0333333333333333,0.1,0.0066541117388575,-0.00488570186959488,0.0963396763315822,0.0536231884057971,0.0679089026915114,0.0428571428571429,-0.0136335425218575,0.156187853366097,0.0087094660352552,0.0252400052400052,0.0274189771708701,0.0321423621423621,0.0321423621423621,-0.0792777356026902,-0.0915950365471818,-0.0275058275058275,-0.0102552810446436,-0.00749202488332923,-0.00806138306138306,-0.00153964393094828,0.0663686155657636,-0.10529896274635,-0.0275058275058275,-0.0321423621423621,-0.00969760832774532,-0.00317586919731053,-0.0121212121212121,-0.0507980229377609,-0.0551648351648352,-0.0551648351648352,-0.0780354849699924,-0.0729896134103594,-0.101197910765774,-0.0273057466389209,-0.0273057466389209,-0.12587127099534,-0.00862404455741723,0.00598859439222073,-0.120550110652157,0.00962495802858436,-0.035535756711808,-0.0388037305680172,-0.0453185371548264,-0.0526666666666667,-0.0479935037639956
"IKK",0.139318885448916,0.140972222222222,0.0325611325611326,-0.114285714285714,0.1,0.12,0.0245421245421245,-0.2,0.1,-0.1,-0.0272727272727273,-0.116045751633987,0.0530769230769231,0,0.0428571428571429,0.15,-0.0242817918643865,0.0511904761904762,0.0351282051282051,-0.0842786908991761,-0.0142894587601862,-0.0786448880822746,-0.0786448880822746,-0.0415607580824972,0.0242721656516979,-0.05,-0.0289135158626684,-0.0351282051282051,-0.0166666666666667,-0.0243589743589744,-0.0386627339141306,-0.156772277484198,-0.05,0.0786448880822746,-0.0166666666666667,-0.0243589743589744,-0.1,-0.143729292929293,-0.142929292929293,-0.161111111111111,-0.0388571428571429,-0.0277460317460317,-0.120168067226891,-0.0265664160401002,-0.0265664160401002,-0.0996357012750455,-0.0820384254920337,0.0113997113997114,-0.122660446706248,0.0225108225108225,-0.103703703703704,-0.11749680715198,-0.130081133113311,-0.019047619047619,0.0120634920634921
"NOTCH",0.0036231884057971,0.0928571428571429,0.0777777777777778,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0210144927536232,0,0.1,0.1,-0.02,0.146474576271186,-0.0118773946360153,0,0.02,0.1,0.0661052455170102,-0.0023989218328841,4.66200466200467e-05,-0.0380764163372859,0.00403282399547255,-0.0424242424242424,-0.0424242424242424,-0.127099567099567,-0.00780267351695923,0,0.00984348984348984,-4.66200466200467e-05,0.02,-0.00307692307692308,-0.00254167556505142,0.0051904882185256,0,0.0424242424242424,0.02,-0.00307692307692308,0,-0.0738924731182796,-0.0706666666666667,-0.0666666666666667,-0.02,-0.02,-0.104210526315789,-0.0247181964573269,-0.0247181964573269,-0.111140583554377,-0.0931313131313131,-0.088294930875576,-0.173461538461538,0.0342857142857143,-0.0897435897435898,-0.0838612368024133,-0.0928571428571429,-0.0555555555555556,-0.312244897959184
"NOTCHic",0.00208472686733557,0.0928571428571429,0.0614987080103359,0.0555555555555556,0.0897435897435898,0.0666666666666667,0.0245859213250518,0.1,0.0666666666666667,0.0666666666666667,-0.0342857142857143,0.150877091994457,-0.0143567334789905,0.02,0.02,0.0666666666666667,0.0695120591442647,-0.00795447738843965,-0.00748026167381006,-0.0316724754505864,0.00387968463865785,-0.0380764163372859,-0.0380764163372859,-0.126521532417486,-0.00520725366963099,0.02,0.00780267351695923,0.00984348984348984,-0.00307692307692308,-4.66200466200467e-05,9.52412706483781e-05,0.00652382155185893,0.02,0.0380764163372859,-0.00307692307692308,-4.66200466200467e-05,0,-0.0707077597424834,-0.0738924731182796,-0.0706666666666667,-0.02,-0.0285714285714286,-0.113301435406699,-0.0224959742351047,-0.0224959742351047,-0.109732132850151,-0.0871710482306509,-0.0777686150861024,-0.17504884004884,-0.088294930875576,-0.0838612368024133,-0.082785967985209,-0.0964542651593011,-0.0777777777777778,-0.315470704410797
