"","KLF4","PAK1","SOSGRB2","CDC42","TGFR","SNAI2","MEK","TWIST1","ERK","DSH","Csl","TrCP","SUFU","FUS","NOTCHic","cateninnuc","cateninmemb","Patched","GSK3","Ecadherin","NFB","HEY1","IKK","AKT","ILK","SMAD","Csn","SHH","GLI","TCFLEF","RKIP","Wnt","CD44","cMet","Frizzled","NOTCH","Jagged","SMO","SRC","Destcompl","RAS","SNAI1","RAF","PI3K","DELTA","AXIN2","cfos","STAT","EGR1","LIV1","FOXC2","TGF","ZEB2","ZEB1","miR200"
"TGF",0.438189677091279,0.26,0.156578947368421,0.304444444444444,0.285396825396825,0.0954279989159452,0.143893065998329,0.236666666666667,0.146115288220551,0.1,0.233333333333333,0.2,0.133333333333333,0.113333333333333,0.193333333333333,0.0246027805362463,0.0158488690808109,0.0863218390804598,-0.122781349982916,0.0320293765550913,-0.208333333333333,-0.034816247582205,-0.151190476190476,-0.151190476190476,-0.0551515151515151,-0.0454740957966764,-0.233333333333333,-0.0644468390804598,-0.0300539083557952,-0.03512909632572,-0.159307359307359,-0.0357142857142857,-0.0443396226415094,-0.05,-0.0857142857142857,-0.176091954022989,-0.0868311242022582,-0.0966666666666667,-0.1,-0.0486055714747162,-0.0202380952380952,-0.221366815003179,-0.0113095238095238,-0.0113095238095238,-0.0113095238095238,-0.0828483245149912,-0.161904761904762,-0.1,-0.133333333333333,0,-0.360108695652174,-0.36218253968254,-0.44909876800037,-0.44909876800037,-0.462627937196903
"DELTA",0.383333333333333,0.2,0.22,0.2,0.188888888888889,0.0844394167923579,0.186666666666667,0.014,0.22,0,0.1,0,0,0,0.08,-0.0981951381951382,-0.115514907627584,-0.0583333333333333,-0.00344827586206897,0.108140350877193,0,0.166666666666667,0.0333333333333333,0.0666666666666667,0.0666666666666667,0.0714285714285714,0,0.0814102564102564,0.0984615384615385,0.101491841491841,0.00512820512820512,0.06,0.0984615384615385,0.06,0,-0.0371428571428572,0.0892640692640693,0.0333333333333333,0,0.0521544401544402,-0.00424242424242424,-0.0333333333333333,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,0.0828571428571429,-0.2,0,-0.1,0,-0.145714285714286,-0.144888888888889,-0.378985507246377,-0.378985507246377,-0.400606060606061
"NOTCHic",0.382556935817805,0.188888888888889,0.163301435406699,0.144888888888889,0.122308243727599,0.0746993016414211,0.176666666666667,0.0104182922929325,0.17952380952381,-0.06,0.0371428571428572,0,-0.0333333333333333,-0.0583333333333333,-0.0725345622119816,-0.0876514397997495,-0.102250674330004,-0.0990573152337858,-0.000762325448845826,0.0960843315124743,0.0666666666666667,0.169476031215162,0.0555555555555556,0.0532299741602067,0.0714285714285714,0.0620760534429599,0.0333333333333333,0.10013258405099,0.0982660350402286,0.0945216688073831,0.0128018331029501,0.101491841491841,0.0981951381951382,0.101491841491841,0.0984615384615385,0.0725345622119816,0.0909810180008856,0.0814102564102564,0.0984615384615385,0.0549581784721972,-0.00421386709242781,-0.0219373219373219,-0.00569169960474308,-0.00569169960474308,-0.00569169960474308,0.104004941599281,-0.186666666666667,0.06,-0.22,0,-0.122508229098091,-0.117849645001484,-0.377504025764895,-0.377504025764895,-0.397170883066837
"TrCP",0.380014051522248,0.171428571428571,0.181188118811881,0.142016806722689,0.134441049146932,0.160785612490315,0.147403586342422,0.0266112365894975,0.160736919675755,-0.01,-0.0653846153846154,-0.0333333333333333,-0.0476190476190476,-0.0642857142857143,-0.0669230769230769,-0.0100727569495067,-0.0218436352775419,-0.0930391989531774,0.0500562770562771,0.0379575535454288,0.0708333333333333,0.0612274744980451,0.0655701754385965,0.0674220272904483,0.0654548557774364,0.0602935654548558,0.0833333333333333,0.0880391989531774,0.0222792754243332,0.0139348259150239,0.0215318935208438,0.0237426900584795,0.0228237148039128,0.0238138138138138,0.0211111111111111,0.0691208791208791,0.0804971881390593,0.0868663594470046,0.0211111111111111,-0.0202046436977645,-0.0538385287596191,-0.0197546588030259,-0.0524748923959828,-0.0524748923959828,-0.0524748923959828,0.00396567215044768,-0.155652173913043,0.01,-0.16,-0.05,-0.123309091508765,-0.128430120185183,-0.376072154296347,-0.376072154296347,-0.394057173707816
"Csl",0.375414078674948,0.144888888888889,0.149480297195316,0.122308243727599,0.117849645001484,0.0770110093222563,0.164710144927536,0.010192558658621,0.176666666666667,-0.0984615384615385,-0.0725345622119816,-0.0333333333333333,-0.0583333333333333,-0.0814102564102564,-0.0725345622119816,-0.0853072431159302,-0.098428044360585,-0.10013258405099,-0.000615050043838462,0.0970145640706138,0.0555555555555556,0.157057730561567,0.0532299741602067,0.0540051679586563,0.0620760534429599,0.0576316089985155,0.0666666666666667,0.0932360323268522,0.0942337769757125,0.0876514397997495,0.0151059805683879,0.0982660350402286,0.0945216688073831,0.0981951381951382,0.101491841491841,0.0716254713028907,0.0852518513342189,0.0990573152337858,0.101491841491841,0.0519721943161947,-0.0053168082688984,-0.0262851480242785,-0.00421386709242781,-0.00421386709242781,-0.00421386709242781,0.10323373337306,-0.17952380952381,0.0984615384615385,-0.186666666666667,0.06,-0.1196346658797,-0.116262343414182,-0.375294081013514,-0.375294081013514,-0.392595719668144
"PI3K",0.294956140350877,0.1,0.0880769230769231,0.129411764705882,0.0974117647058824,0.054878482698815,0.0223676355788217,0.010440213148695,0.0207282913165266,0,-0.1,0,0,-0.05,-0.130769230769231,-0.0735284037439337,-0.0778695309236247,-0.0576923076923077,-0.0727392977392977,0.00997546340442356,0,0.0384286819358961,0.0294117647058824,0.0114630467571644,0.0494917967186875,0.0566917967186875,-0.0333333333333333,0.0743589743589743,0.0703901895206243,0.0720851047748616,0.00997091144149968,0.0811594202898551,0.0703901895206243,0.0811594202898551,0.0333333333333333,0.137220843672457,0.0593859649122807,0.05,0.0333333333333333,0.0101463713093408,-0.0517670639862421,-0.00873188405797101,-0.0449177489177489,-0.0449177489177489,-0.0449177489177489,0.12647619047619,-0.0619047619047619,0,-0.0333333333333333,0.1,-0.0905783972125435,-0.0787125777140124,-0.301342973530032,-0.301342973530032,-0.304851237228286
"DSH",0.267879579016072,0.0866666666666667,0.0198078344419808,0.0605797101449275,0.0481987577639752,0.013272133020683,0.0174200206398349,0.0101323082424459,0.012156862745098,-0.025,-0.110714285714286,-0.0666666666666667,-0.05,-0.0409090909090909,-0.112675070028011,-0.0460020035286331,-0.0434067568453985,-0.0553484150258344,-0.0819370034451241,-0.00146803042421792,0.111666666666667,0.0287765239612944,0.0929166666666667,0.0917672413793103,0.0390994525530496,0.0319296412322949,0.0866666666666667,0.054734918093319,0.051781414320114,0.0517900712045013,0.0221578421578422,0.0511278195488722,0.0517900712045013,0.0511278195488722,0.0618421052631579,0.107779965132906,0.0449852664815045,0.0456709956709957,0.0618421052631579,0.00466831774561368,-0.0151562324059338,0.0127018633540373,-0.0204783612574744,-0.0204783612574744,-0.0204783612574744,0.106015646604401,-0.012156862745098,0.025,-0.0533333333333333,0,-0.05743007706288,-0.0527283744887138,-0.265840038742405,-0.265840038742405,-0.271212121212121
"SMO",0.247222222222222,0.166666666666667,0.128070175438597,0.146666666666667,0.155,-0.184980842911877,0.141771561771562,0.00816993464052287,0.156923076923077,0,-0.0333333333333333,0,-0.1,-0.133333333333333,-0.0242424242424242,-0.0446073111581543,-0.0416285624804259,-0.0408333333333333,-0.0114477755254454,-0.0468137009039993,-0.05,0.0732600732600732,-0.0357142857142857,-0.0157142857142857,0.0766666666666667,0.0719047619047619,-0.1,0.0408333333333333,-0.0569444444444444,0.0423516720604099,-0.0257142857142857,-0.0625,0.0355555555555555,0.03,-0.05,0.0292424242424242,0.101746031746032,0.0533333333333333,0.05,0.0101577492275167,-0.0354092128801431,-0.03963133640553,-0.0447115384615385,-0.0447115384615385,-0.0447115384615385,0.197417525003732,-0.18,0.1,-0.2,0.1,-0.078448275862069,-0.160405405405405,-0.256638418079096,-0.256638418079096,-0.270464135021097
"SHH",0.25,0.2,0.1,0.166666666666667,0.166666666666667,-0.191647509578544,0.18,0,0.2,0,-0.1,0,0,0,0,-0.0355555555555555,-0.025663082437276,-0.133333333333333,-0.0256410256410256,-0.0508333333333333,0,0.0666666666666667,-0.1,-0.05,0.0666666666666667,0.0666666666666667,0,0.0533333333333333,-0.05,0.03,-0.04,0,0.05,0.1,0,0.0333333333333333,0.105714285714286,0.1,0.1,0.00233766233766234,-0.0384615384615385,-0.05,0,0,0,0.219047619047619,-0.1,0.1,0,0,-0.075,-0.146666666666667,-0.25,-0.25,-0.266666666666667
"RKIP",0.196508847441416,0.0333333333333333,0.0455238095238095,0.04,0.0733333333333333,-0.234943754735676,-0.03995597945708,-0.0136244800950683,-0.016551724137931,0,0.111111111111111,0.1,0.1,0.1,0.12020202020202,0.0545507458926503,0.1248244883539,0.092,-0.0210795902285264,-0.0918055182380629,-0.114285714285714,-0.0596980255516841,-0.0892857142857143,-0.055952380952381,-0.0665275994865212,-0.0635573024568182,-0.1,-0.0903606557377049,-0.0530769230769231,-0.0593853514906146,-0.0450980392156863,-0.08,-0.0572874493927126,-0.0842105263157895,-0.1,-0.0932789432789433,-0.100953997897971,-0.08,-0.1,-0.0323029560256158,0.0431485181485182,0.0922169721137301,0.0405844155844156,0.0405844155844156,0.0405844155844156,-0.0721870604781997,0.02,0,0.07,0,-0.0483053345122311,-0.0574454828660436,-0.192508847441416,-0.192508847441416,-0.211767597621042
