"","GSK3","ZEB2","SUFU","SMO","Patched","Csn","SHH","FUS","SNAI1","cMet","RKIP","FOXC2","Csl","NOTCHic","Jagged","SRC","ERK","NOTCH","Frizzled","DSH","EGR1","cfos","Ecadherin","STAT","TWIST1","SNAI2","MEK","CDC42","SOSGRB2","PAK1","cateninnuc","TCFLEF","KLF4","cateninmemb","GLI","NFB","CD44","Destcompl","TGFR","Wnt","SMAD","LIV1","ILK","TGF","IKK","HEY1","AXIN2","AKT","RAS","RAF","PI3K","DELTA","TrCP","miR200","ZEB1"
"ZEB2",-0.13941185238842,-0.131575732878246,-0.075,-0.0692857142857143,-0.0668466898954704,-0.0666666666666667,-0.0623012353500158,-0.0607142857142857,-0.0524313078831441,-0.0496491228070175,-0.0447342995169082,-0.0418601398601399,-0.0333333333333333,-0.0293333333333333,-0.0249445455485958,-0.0233333333333333,-0.0227362761743067,-0.0211366120218579,-0.0196969696969697,-0.0136363636363636,-0.00833333333333333,-0.00307017543859648,-0.00305364857416264,0.01,0.0155220043062515,0.0211590537821237,0.0227362761743067,0.0244155844155844,0.0288644688644689,0.0298701298701299,0.0334736524766176,0.0355515745545397,0.0378671348739649,0.0384233062656404,0.041480079553474,0.0416666666666667,0.0422417153996101,0.0439099522142917,0.0468645640074212,0.0479020979020979,0.0486146459746597,0.05,0.0528829386575866,0.0542719714148286,0.0572222222222222,0.0580374464245432,0.0610854157981215,0.0618951194184839,0.071290173067475,0.0745021645021645,0.0745021645021645,0.0745021645021645,0.1,0.103412391024951,0.131575732878246
"CD44",-0.0642857142857143,-0.0698412698412698,0.1,0.05,0.05,0.1,0.05,0.1,0.112413609782031,-0.25,0.0362962962962963,-0.16,0.1,0.0857142857142857,0.0482983682983683,-0.2,-0.16,0.0909774436090226,-0.1,0,0.1,0.1,0.117301595917924,-0.1,0.103882783882784,0.00800976800976801,0.15,0.153333333333333,0.114285714285714,0.133333333333333,0.0989922480620155,0.0789922480620155,-0.0301587301587302,0.131446886446886,0.0766666666666667,-0.1,0.0766666666666667,-0.0619174942704354,0.165833333333333,0.15,-0.0339002267573696,0.1,-0.0277777777777778,0.171388888888889,-0.0666666666666667,-0.039766081871345,0.12,-0.06,0.0171428571428571,0.0428571428571429,0.0428571428571429,0.0428571428571429,0,-0.104945103205973,0.0698412698412698
"SHH",-0.0230769230769231,-0.05,0,0.1,0.2,0,0.04,0,-0.0333333333333333,0,0,0.075,0.1,0.2,0.105714285714286,-0.1,0.2,0.233333333333333,0,0,0,-0.1,0.00472222222222222,-0.1,0,-0.00835249042145594,-0.22,-0.166666666666667,-0.05,-0.2,0.0277777777777778,0.0333333333333333,0,0.0736917562724014,-0.1,0,0,0.0101298701298701,-0.166666666666667,-0.1,-0.05,0,-0.0666666666666667,-0.166666666666667,-0.1,-0.0666666666666667,0.152380952380952,-0.2,0.0923076923076923,0.1,0.1,0.1,0,0.0666666666666667,0.05
"miR200",0.0538694869539825,-0.0329480286738351,-0.04,-0.0391666666666667,-0.042964135021097,-0.04,-0.0407902219776188,-0.0525,-0.05495670995671,0.0537538273116963,-0.0579199532573766,0.17023729657876,-0.0805911330049261,-0.0667980295566502,-0.0512030208583074,0.0382608695652174,0.087012987012987,-0.0741426623250118,0.032,-0.06,-0.114285714285714,-0.0642857142857143,-0.132125017903817,0.06,-0.15966021708353,0.0407156446025579,-0.0849721706864564,-0.174264705882353,-0.105283687943262,-0.195833333333333,-0.0619109199069911,-0.0658503138463851,0.0397688060731539,-0.148109228803296,-0.0573830676365888,0.0663157894736842,-0.0638661868622581,-0.0480245800255262,-0.169425996204934,-0.0474929577464789,0.022351213135467,-0.1,0.019529896521047,-0.179891112484003,0.0577443609022556,0.00525423728813559,-0.0982063474045766,0.0596311533550858,-0.138312485147636,-0.132078071182549,-0.132078071182549,-0.132078071182549,0.1,0.0195941735014846,0.0329480286738351
"STAT",0.0696639964396974,-0.0272458310919849,0.05,0.07,0.0769767441860465,0.05,0.0619324963984359,0.05,-0.0361580976091747,0.0579545454545455,-0.0330630630630631,0.160197682344922,0.0294117647058824,0.0321144674085851,0.0264290707021284,0.0125,0.150980392156863,0.0233766033309152,0.0125,0,-0.133333333333333,-0.133333333333333,-0.0916590558308599,0,-0.135929870562554,-0.0194661022749962,-0.164958886780519,-0.153409090909091,-0.151806239737274,-0.190909090909091,-0.0450879752025494,-0.0428233744874123,0.117607447019212,-0.105878335581168,-0.0537528647822766,-0.03,-0.0519716394716395,-0.0440542432791358,-0.169198564593301,-0.0579545454545455,-0.0395330112721417,-0.2,-0.0395330112721417,-0.185140593578809,-0.0442857142857143,-0.0366666666666667,-0.0856186950304597,-0.0629297820823244,-0.112975985457329,-0.110737179487179,-0.110737179487179,-0.110737179487179,-0.1,0.0783104026145919,0.0272458310919849
"PI3K",-0.010016835016835,-0.0270961747569664,0.1,0.0666666666666667,0.058974358974359,0.233333333333333,0.0756410256410256,0.1,0.0240700483091787,-0.063768115942029,0.0228991596638655,0.0367990708478513,0.125,0.125,0.032719298245614,-0.0333333333333333,0.0322128851540616,0.125,-0.0333333333333333,0,-0.0666666666666667,-0.0380952380952381,0.00282047584715212,0,0.000529477649933813,-0.00833361270914073,-0.0240161638425862,-0.0426470588235294,0.0130769230769231,-0.025,0.0340525731703967,0.0157020577064792,0.0361842105263158,0.0425654751141567,0.0253065774804905,-0.233333333333333,0.0253065774804905,0.0075345925763233,-0.0346470588235294,0.063768115942029,-0.0282589835934374,0.1,-0.0274589835934374,-0.0322080344332855,-0.215686274509804,-0.0156425520465476,0.0930476190476191,-0.197737556561086,0.0283676688608195,0.03795670995671,0.03795670995671,0.03795670995671,-0.2,0.0541960365730858,0.0270961747569664
"SUFU",-0.0188963983814132,-0.0228316251565389,0.04,0.0163888888888889,0.029520202020202,0.128571428571429,0.031450703950704,0.0275,-0.0441747701765163,-0.0209816612729234,-0.0298403347593333,0.087061760030263,0.192878787878788,0.190606060606061,0.101403750961316,-0.0277777777777778,0.153357447150551,0.194574314574315,0.0680555555555556,-0.0625,-0.135384615384615,-0.138414918414918,-0.00320709331463242,-0.0333333333333333,-0.0111721372787734,0.00469871568365392,-0.163144681193104,-0.163963963963964,-0.055576002944424,-0.166666666666667,0.0229645516830921,0.0193328381281048,0.00223814665750466,0.0638395903120596,-0.0798370825787183,-0.116571428571429,0.0179741424759309,0.00335788792167389,-0.171410772474602,-0.0757478632478632,-0.0310418861726319,0,-0.0321966205837174,-0.170819056498271,-0.116571428571429,-0.020892744412912,0.167860959875608,-0.127980824544583,0.11632050768679,0.1175863304716,0.1175863304716,0.1175863304716,-0.2,0.0844289791415867,0.0228316251565389
"MEK",-0.00987738221780775,-0.0180409009132108,0.0666666666666667,0.0466666666666667,0.0581420765027322,0.0571428571428571,0.0627172399014251,0.0666666666666667,0.170059261562553,-0.039608636977058,0.0556833259619638,-0.114304091890299,0.0797979797979798,0.0721056721056721,0.0655497151127422,-0.0280701754385965,-0.117865003668379,0.0786750151713655,-0.0233333333333333,0.0333333333333333,0.15,0.132758620689655,0.0498513377675708,-0.0333333333333333,0.155527936116171,-0.0685665104877284,0.0195316703350452,0.12,-0.0199365079365079,0.153333333333333,0.0420221957784258,0.037003608417831,0.0152080344332855,0.0773897324256004,0.02997668997669,-0.0696428571428571,0.0347135320819531,0.0199276710377998,0.115327102803738,0.0348717948717949,-0.0597138309840628,0.1,-0.0593448272940259,0.121166518862132,-0.060551948051948,-0.0523408299018055,0.0658845554415175,-0.0640813598166539,-0.0692773892773893,-0.0702297702297702,-0.0702297702297702,-0.0702297702297702,-0.1,-0.0212384142044237,0.0180409009132108
"RKIP",-0.0174940898345154,-0.01724725011956,0.1,0.0666666666666667,0.0466666666666667,0.1,0.0581420765027322,0.0666666666666667,0.168777210280501,-0.0280701754385965,0.0504201680672269,-0.109799587385794,0.0888888888888889,0.0797979797979798,0.0680087315061848,-0.0333333333333333,-0.132758620689655,0.0721056721056721,-0.0333333333333333,0.1,0.1,0.15,0.0533121756546382,-0.1,0.155894236482472,-0.0666200384682637,0.117865003668379,0.153333333333333,-0.00882539682539682,0.133333333333333,0.037003608417831,0.0347135320819531,0.01324725011956,0.0715360738890151,0.0348717948717949,-0.0571428571428571,0.039608636977058,0.0174172107867537,0.12,0.0233333333333333,-0.0593448272940259,0,-0.058354728284125,0.115327102803738,-0.0696428571428571,-0.0505226480836237,0.0676863572433193,-0.060551948051948,-0.0702297702297702,-0.0779220779220779,-0.0779220779220779,-0.0779220779220779,-0.1,-0.0203096216347642,0.01724725011956
"TrCP",0.0259415584415584,-0.0171164863569276,0.0523809523809524,0.0685099846390169,0.0499914661204984,0.0416666666666667,0.0539914661204984,0.0523809523809524,-0.0575499517350217,0.0456656656656657,-0.0531771175417584,0.111478657064171,0.0666666666666667,0.058974358974359,0.065673142467621,0.042962962962963,0.151245394252027,0.0490842490842491,0.042962962962963,0.02,-0.12,-0.115652173913043,0.0102132210795386,-0.02,-0.0502772444946358,-0.0363903631555854,-0.127245394252027,-0.0907563025210084,-0.0505500550055005,-0.080952380952381,-0.0286018719299703,-0.0295673891713496,0.0185433255269321,-0.0140222003524794,-0.0282261208576998,-0.0291666666666667,-0.0258636854676459,-0.0306835380290283,-0.116513878278584,-0.0482261208576998,-0.0333657620754395,0,-0.0443335040109234,-0.114328085928857,-0.0607456140350877,-0.0352639856542317,-0.0391309601264058,-0.0459307992202729,-0.0541172122951176,-0.0700263032042085,-0.0700263032042085,-0.0700263032042085,-0.0666666666666667,0.082346133346432,0.0171164863569276
