"","Ecadherin","SNAI2","TGFR","CDC42","FOXC2","PAK1","ZEB2","ZEB1","cateninnuc","Wnt","TWIST1","STAT","SNAI1","KLF4","cateninmemb","miR200","SOSGRB2","TrCP","Csn","RAS","RAF","DELTA","ILK","FUS","SHH","Patched","SMO","AKT","cfos","IKK","NFB","SMAD","EGR1","PI3K","MEK","ERK","SUFU","HEY1","NOTCHic","Csl","NOTCH","RKIP","Destcompl","Jagged","LIV1","GSK3","SRC","Frizzled","DSH","cMet","CD44","GLI","TCFLEF","AXIN2","TGF"
"ZEB2",-0.375300627828,-0.333169231878158,-0.331700680272109,-0.322857142857143,-0.312262626262626,-0.288311688311688,-0.28480332003954,-0.28480332003954,-0.279301796959321,-0.255710955710956,-0.243707316899996,-0.24,-0.191981511562563,-0.188985301560633,-0.165723637805552,-0.162480808678751,-0.100897435897436,-0.1,-0.0888888888888889,-0.0806764648627604,-0.0731818181818182,-0.0731818181818182,-0.0709797245008513,-0.0464285714285714,0.0190829901805512,0.0272648083623693,0.0321428571428571,0.0588629283489096,0.0614035087719298,0.0616666666666667,0.0638888888888889,0.0648821635252415,0.0666666666666667,0.0731818181818182,0.0743067345783815,0.0743067345783815,0.075,0.0900293255131965,0.155076923076923,0.156410256410256,0.157809163514082,0.158357487922705,0.168531782583122,0.189317652784832,0.2,0.228348554703825,0.24,0.245454545454545,0.245454545454545,0.250526315789474,0.264415204678363,0.269472423600864,0.274626472283996,0.307996174313952,0.335933484504913
"SMAD",-0.381038704903103,-0.416582554604886,-0.355015755613757,-0.347753185781355,-0.335308538767941,-0.323809523809524,-0.27232193766934,-0.27232193766934,-0.261311919292193,-0.233302808302808,-0.24559242112316,-0.214285714285714,-0.199226835440545,-0.278534072676774,-0.140860105919236,-0.137648463534035,-0.1350561963916,-0.1,-0.0666666666666667,-0.0437610864199005,-0.0365242443146373,-0.0365242443146373,-0.0433496184181116,-0.00416666666666667,-0.0226881472892011,-0.0104204892966361,-0.00583333333333333,0.0451652661064426,-0.0188940092165899,0.0464985994397759,0.0523809523809524,-0.0599837149152218,-0.0285714285714286,0.0365242443146373,-0.0153609144044253,-0.00959168363519451,0.0416666666666667,0.0820941133684221,0.143612479474548,0.144761904761905,0.148374384236453,0.163428304104937,0.128082961651019,0.185073593073593,0.2,0.159981338627955,0.21984126984127,0.21984126984127,0.214285714285714,0.233566760037348,0.248475850946439,0.247691297511441,0.256752648775476,0.293086032183319,0.359796632107781
"DSH",-0.304982276171719,-0.162852853318698,-0.330310559006211,-0.308405797101449,-0.327442316964961,-0.286666666666667,-0.25236375014042,-0.25236375014042,-0.0880022130479673,-0.0691729323308271,-0.16666428273437,-0.05,-0.202829537612146,-0.246775991950178,-0.129911280517078,-0.136099023774329,-0.1339985218034,-0.133333333333333,-0.113333333333333,0.161480588920193,0.161760700965011,0.161760700965011,0.0276106829247451,0.00909090909090909,-0.0367397362845611,-0.0361262393520458,-0.0329004329004329,0.0980316091954023,0.0956862745098039,0.0945833333333333,0.113333333333333,-0.0325163433021036,0.113333333333333,-0.161760700965011,0.107660654905237,0.0993899782135076,0,-0.0181514342320613,0.128991596638655,0.130952380952381,0.128292295939355,0.173258408258408,0.0630475860248802,0.0291187179593472,0,0.14712055752339,0.0763157894736842,0.0763157894736842,0.05,0.0691729323308271,0.0751331972314893,0.0750552852720035,0.0813236734219655,0.0254270702313093,0.331355855173459
"GSK3",-0.307912799714689,-0.169151386536989,-0.331355855173459,-0.330310559006211,-0.328558744397178,-0.308405797101449,-0.251917984910108,-0.251917984910108,-0.0901732656795462,-0.0750552852720035,-0.16935314316971,-0.0763157894736842,-0.201611375928868,-0.252882862179186,-0.130088115176671,-0.135512857303051,-0.145626428780144,-0.113333333333333,-0.113333333333333,0.156858740180697,0.161480588920193,0.161480588920193,0.0325163433021036,0.0329004329004329,-0.042002894179298,-0.0367397362845611,-0.0361262393520458,0.0971769083407014,0.0993899782135076,0.0980316091954023,0.0945833333333333,-0.03566476908921,0.0956862745098039,-0.161480588920193,0.107660654905237,0.107660654905237,-0.00909090909090909,-0.0212656210832724,0.128292295939355,0.128991596638655,0.130110477757537,0.171504022293496,0.0632941517170253,0.0310165281783253,0.05,0.0507811232471834,0.0691729323308271,0.0691729323308271,0.0763157894736842,0.0751331972314893,0.0813236734219655,0.0811873607437017,0.0880022130479673,0.0316675572937141,0.333407137224741
"SHH",-0.2,-0.29816091954023,-0.4,-0.3,-0.275,-0.2,-0.25,-0.25,-0.137777777777778,-0.1,-0.1,-0.1,-0.133333333333333,-0.25,0.00989247311827957,-0.133333333333333,-0.15,0,0,-0.00769230769230769,0,0,0.0666666666666667,0,-0.213333333333333,-0.133333333333333,-0.1,-0.1,0.1,-0.1,0,-0.0833333333333333,0,0,0.06,0,0,-0.0666666666666667,0,0.1,-0.0333333333333333,0.14,0.0148051948051948,0.0542857142857143,0,-0.00769230769230769,0.1,0.2,0.2,0,0.05,0.15,0.11,0.180952380952381,0.36
"SUFU",-0.227307615909947,-0.349242146132426,-0.401834387579068,-0.381621621621622,-0.303417630025264,-0.36,-0.249314242743451,-0.249314242743451,-0.142850480360844,-0.222008547008547,-0.152837301692296,-0.11,-0.15931445064575,-0.250903657166541,0.00493542504395243,-0.137979321537766,-0.20403018034597,0.1,0.114285714285714,-0.0457832799475599,-0.0473655584285725,-0.0473655584285725,0.0954480286738351,0.238333333333333,-0.274310869310869,-0.27469696969697,-0.271666666666667,-0.156383804115348,0.000326340326340321,-0.157054945054945,-0.126285714285714,-0.100759806964828,0.0215384615384615,0.0473655584285725,0.00266432027253744,-0.00542078611044129,-0.213333333333333,-0.0933317599111208,-0.0160606060606061,-0.00924242424242424,-0.0176479076479076,0.164665357551955,0.0116197924420994,0.0914181561294002,0.05,0.0120913320641819,0.137777777777778,0.227777777777778,0.2,0.132923408845739,0.133675288544987,0.222380294220443,0.137479636371074,0.274187719850954,0.405581922095834
"Frizzled",-0.298046367479884,-0.156217230501469,-0.308405797101449,-0.286666666666667,-0.324412013934658,-0.266666666666667,-0.247639340691601,-0.247639340691601,-0.0813236734219655,-0.0763157894736842,-0.162408963585434,0,-0.204278812974465,-0.232212885154062,-0.12696663976325,-0.135489267676768,-0.124242424242424,-0.1,-0.133333333333333,0.161760700965011,0.159398496240602,0.159398496240602,0.0229377857284834,0,-0.0361262393520458,-0.0329004329004329,-0.00909090909090909,0.0945833333333333,0.113333333333333,0.113333333333333,0.113333333333333,-0.0276106829247451,0.133333333333333,-0.159398496240602,0.0993899782135076,0.0956862745098039,0,-0.0146426623022368,0.130952380952381,0.114285714285714,0.128991596638655,0.169761904761905,0.0594216318264069,0.027568330362448,-0.1,0.150600835945664,0.05,0.05,0.1,0.0763157894736842,0.0691729323308271,0.0691729323308271,0.0751331972314893,0.0190979563072586,0.330310559006211
"AKT",-0.197828295631619,-0.054150832038995,-0.222468197034912,-0.208647058823529,-0.217072314933676,-0.192647058823529,-0.245388234567004,-0.245388234567004,-0.0496376081102851,-0.0356075808249721,-0.0405809764405696,-0.0333333333333333,-0.203326129332994,-0.243347953216374,-0.101456834784556,-0.133496343718137,-0.12542735042735,-0.233333333333333,-0.2,0.139328033357411,0.139568997212833,0.139568997212833,0.017093237294918,0,-0.014331983805668,-0.0153846153846154,-0.0153846153846154,0.0981123451711687,0.10140056022409,0.193061840120664,0.205882352941176,-0.0207969409986217,0.119047619047619,-0.139568997212833,0.112647706935026,0.106318593010975,0,-0.0100419801395326,0.112158808933002,0.115384615384615,0.110939296737881,0.178919929175684,0.0413883340043334,0.0157981875217846,0,0.132296079070273,0.0463768115942029,0.0463768115942029,0.0333333333333333,0.0356075808249721,0.040692326587684,0.040635513785866,0.0450222234949005,-0.0100842358604092,0.219144934195032
"STAT",-0.450118724318875,-0.369797824529038,-0.347757177033493,-0.326704545454545,-0.320188139059305,-0.295454545454545,-0.239555316478393,-0.239555316478393,-0.308318513445636,-0.276948051948052,-0.327372136442601,-0.242857142857143,-0.159614118600294,-0.142315309962369,-0.156053371695059,-0.122287832649278,-0.0412972085385878,0,0.05,-0.18367714775996,-0.178453267162945,-0.178453267162945,0.0545893719806763,0.075,-0.121013583041778,-0.111279069767442,-0.095,-0.0893704600484261,-0.0333333333333333,-0.0842857142857143,-0.07,-0.0603364984174579,-0.0333333333333333,0.178453267162945,-0.0301075268817204,-0.0333333333333333,-0.05,-0.0493333333333333,0.0419183889772125,0.0392156862745098,0.0428892627636203,0.134157014157014,0.151461203129196,0.0987864490499656,0.1,0.111263907432132,0.267857142857143,0.267857142857143,0.242857142857143,0.276948051948052,0.289768564768565,0.289553093964859,0.300809574232287,0.333969559851913,0.354037370270208
"Patched",-0.204854368932039,-0.32616091954023,-0.36,-0.4,-0.265,-0.3,-0.233333333333333,-0.233333333333333,-0.132923408845739,-0.15,-0.125925925925926,-0.1,-0.136559139784946,-0.261111111111111,0.0154480286738351,-0.126190476190476,-0.25,0,0,-0.0451923076923077,-0.00769230769230769,-0.00769230769230769,0.0833333333333333,0.1,-0.238333333333333,-0.213333333333333,-0.133333333333333,-0.114285714285714,0,-0.1,-0.1,-0.103333333333333,0.1,0.00769230769230769,0.0215384615384615,0.06,0,-0.0743589743589744,-0.0333333333333333,0,-0.0242424242424242,0.14,0.0137062937062937,0.0802116402116402,0.1,0.0208791208791209,0,0.1,0.2,0.05,0.11,0.2,0.137777777777778,0.226406926406926,0.36
