"","HEY1","ILK","SMAD","SHH","Patched","Jagged","Csn","NFB","FUS","MEK","Csl","EGR1","CDC42","TGFR","TGF","LIV1","STAT","AXIN2","SRC","Destcompl","Frizzled","CD44","Wnt","SOSGRB2","Ecadherin","GLI","cateninmemb","cateninnuc","TCFLEF","cMet","SNAI2","RAS","RAF","PI3K","DELTA","DSH","GSK3","ZEB2","PAK1","TrCP","TWIST1","KLF4","ERK","cfos","NOTCHic","NOTCH","SUFU","AKT","SMO","IKK","SNAI1","RKIP","FOXC2","miR200","ZEB1"
"AXIN2",-0.109708375428457,-0.112721417069243,-0.125816655164481,0.136814087551792,0.146978021978022,0.247634868069651,-0.255555555555556,-0.303381642512077,0.157692307692308,0.021474366532257,-0.0371929824561403,0.0266666666666667,-0.264706790123457,-0.273556347645581,-0.274876479658782,-0.266666666666667,-0.313333333333333,0.0979182708751295,-0.329612403100775,0.29008765237324,-0.329612403100775,-0.322987797422542,-0.329612403100775,-0.0384849901539944,-0.0203984249291592,-0.323323094924675,0.261041240901758,0.309358121838948,0.31536763329593,0.329612403100775,-0.337983786640729,0.338253075725489,0.344552288323915,0.344552288323915,0.344552288323915,0.313333333333333,0.306363824835221,-0.148152885963403,0.24125,0.2,0.0123562681777692,-0.159623783438539,-0.0263019527391536,-0.0291056910569106,0.0461215538847118,0.0542296619928199,-0.15,0.341352657004831,-0.157692307692308,0.328019323671498,0.366136335721632,0.347248316199929,0.245549727399844,0.280300418374707,0.367261270221229
"Destcompl",-0.127544079851772,-0.12968253968254,-0.132372598162072,0.0811482317594634,0.0917865296318039,0.188914690798072,-0.276190476190476,-0.289233954451346,0.118773946360153,0.0140888025303879,-0.054484919702311,0.0333333333333333,-0.231914144968332,-0.22875625023149,-0.224716841364495,-0.283333333333333,-0.283333333333333,-0.31536763329593,-0.273744292237443,0.114532204465068,-0.273744292237443,-0.255087575819532,-0.263843302138433,-0.0412818459174264,-0.0353270003809687,-0.255865565589268,0.211103229499811,0.247367374356762,0.250019082668848,0.263296531043413,-0.280246359675936,0.261013974704945,0.265566564971821,0.265566564971821,0.265566564971821,0.283333333333333,0.23169405412317,-0.0915471051201856,0.231224489795918,0.233333333333333,0.0195155258112494,-0.106401903735948,-0.0212617983109786,-0.0272727272727273,0.0620936153544849,0.0646988257753266,-0.122222222222222,0.292855696999263,-0.101631089217296,0.295540260757652,0.309376784207968,0.296028094240273,0.205066001054648,0.243833066541493,0.324966117498495
"RAS",-0.141106719367589,-0.136796536796537,-0.130674087816945,-0.115310734463277,-0.0966666666666667,-0.0781825349891583,-0.1,-0.133333333333333,-0.1,0.0504592363261094,-0.1,0.08,-0.14,-0.169411764705882,-0.156540477577169,0,-0.1,-0.173438735177866,-0.15,0.0574191521865941,-0.15,-0.146245306633292,-0.144117647058824,-0.10995670995671,0.0704480263778766,-0.144117647058824,0.0932232926549687,0.140457553310128,0.14470684509483,0.144117647058824,0.168911294890676,0.107179487179487,0.207179487179487,0.207179487179487,0.207179487179487,0.1,0.0551291989664083,-0.0662076583210604,0.14,0.2,-0.0135624659028914,-0.0878571428571429,-0.0602631578947368,-0.055,0.105263157894737,0.107149950347567,0.1,0.153333333333333,0.116666666666667,0.153333333333333,0.190845624385447,0.0352327044025157,0.122063492063492,0.128123076923077,0.156502209131075
"NOTCHic",0.0477034559643255,0.148571428571429,0.143535457348407,0.121225611832822,0.0943438914027149,0.067151425959373,0.1,0.0888888888888889,0.05,0.223333333333333,-0.08,0.18,0.0577777777777778,0.0481003584229391,0.0436417596968244,0.1,0.08,0.08651841868823,0.0569230769230769,0.108011570983534,0.0569230769230769,0.0401398601398601,0.0478321678321678,-0.0217224880382775,0.0275349226199917,0.0403052861117377,-0.035034007993343,-0.0313222873092012,-0.0348337376908805,-0.0478321678321678,-0.0795862188117286,-0.00822640627738079,-0.016600790513834,-0.016600790513834,-0.016600790513834,-0.08,0.0297607738830309,-0.0582125603864734,-0.0777777777777778,0,-0.118971538215542,-0.0435300207039338,-0.206190476190476,-0.213333333333333,-0.0425806451612903,-0.0399490662139219,-0.1,-0.0994832041343669,-0.0884615384615385,-0.111111111111111,-0.206398046398046,-0.238985815867797,-0.242021066491113,-0.283058328954283,-0.323397745571659
"cfos",0.150249875062469,0.148941798941799,0.140877282812767,0.145215338226091,0.116820276497696,0.117361111111111,0.1,0.075,0.0571428571428571,0.254296241709654,0.05,0.08,0.0380952380952381,0.0243697478991597,0.0213394448688566,0.1,0.05,0.0172742200328407,0.01,0.0173834829119826,0.01,-0.00651651651651652,-0.00111111111111111,-0.0166666666666667,0.05126378873588,-0.00637426900584795,0.0270754485245385,0.00886708490668887,0.0084967145363185,0.00111111111111111,-0.173355452333555,0.0089749721026622,0.0065359477124183,0.0065359477124183,0.0065359477124183,-0.05,-0.0758874458874459,-0.0581286751988931,-0.0714285714285714,0,-0.169125541125541,-0.046,-0.235652173913043,-0.24,-0.0807692307692308,-0.0792307692307692,-0.1,-0.0894736842105263,-0.107142857142857,-0.1,-0.222874678064551,-0.252424242424242,-0.281606886657102,-0.289406671759613,-0.333961720281333
"CDC42",0.150249875062469,0.148941798941799,0.140877282812767,0.145215338226091,0.116820276497696,0.117361111111111,0.1,0.075,0.0571428571428571,0.254296241709654,0.05,0.18,0.0380952380952381,0.0243697478991597,0.0213394448688566,0.1,0.05,0.0172742200328407,0.01,0.0173834829119826,0.01,-0.00651651651651652,-0.00111111111111111,-0.0166666666666667,0.05126378873588,-0.00637426900584795,0.0270754485245385,0.00886708490668887,0.0084967145363185,0.00111111111111111,-0.173355452333555,0.0089749721026622,0.0065359477124183,0.0065359477124183,0.0065359477124183,-0.05,-0.0758874458874459,-0.0581286751988931,-0.171428571428571,0,-0.169125541125541,-0.046,-0.235652173913043,-0.24,-0.0807692307692308,-0.0792307692307692,-0.1,-0.0894736842105263,-0.107142857142857,-0.1,-0.222874678064551,-0.252424242424242,-0.281606886657102,-0.289406671759613,-0.333961720281333
"cMet",-0.133952528379773,-0.132426303854875,-0.125153576582148,-0.143409090909091,-0.130909090909091,-0.154802878281139,0,0,-0.1,-0.0540909090909091,-0.0142857142857143,-0.025,-0.0616666666666667,-0.0727777777777778,-0.0600118203309693,-0.1,0,0.151111111111111,0,-0.0851226731478832,0.1,0.126976744186046,0.12,0.0366666666666667,-0.0485000426804659,0.129090909090909,-0.11019357866333,-0.128515205724508,-0.128515205724508,-0.12,0.314527192191426,-0.138131176999102,-0.141904761904762,-0.141904761904762,-0.141904761904762,-0.1,-0.112596006144393,-0.0551226551226551,0.0866666666666667,0.1,0.141050335432358,-0.168253968253968,0.045,0.045,0.0195488721804511,0.0216765317549192,0.1,0.000416666666666667,0.14,0.00666666666666667,0.135700447832473,0.0348148148148148,0.16751582278481,0.140661643610013,0.168542568542569
"LIV1",0.142896933885998,0.140877282812767,0.148619218296638,0.142215338226091,0.145215338226091,0.115520620313565,0.075,0.1,0.107142857142857,0.250296241709654,0.0807692307692308,0.24,0.0243697478991597,0.0213394448688566,0.0246181333934468,0.05,0.01,0.0122427734919602,-0.00111111111111111,0.0106165656187495,-0.00111111111111111,-0.0084967145363185,-0.00637426900584795,-0.0196369636963696,0.0532707091511049,-0.00978890315218942,0.0263428477919378,0.00679811938944749,0.00886708490668887,0.00651651651651652,-0.176248761555978,0.000338608466298568,0.0089749721026622,0.0089749721026622,0.0089749721026622,-0.01,-0.0827965367965368,-0.0526624372567709,-0.0380952380952381,-0.1,-0.176190758516845,-0.0574754098360656,-0.254296241709654,-0.235652173913043,-0.0792307692307692,-0.0957142857142857,-0.0571428571428571,-0.1135477582846,-0.116820276497696,-0.0894736842105263,-0.228841265176723,-0.262921479993303,-0.289882748726067,-0.302097027089562,-0.341357218673616
"NOTCH",0.0123188405797101,0.111904761904762,0.148571428571429,0.0943438914027149,0.0884615384615385,0.0479461279461279,0,0.1,0.1,0.206190476190476,-0.08,0.2,0.0777777777777778,0.0577777777777778,0.0481003584229391,0,0.1,0.0948517520215633,0.08,0.1126782376502,0.08,0.0478321678321678,0.0569230769230769,-0.0126315789473684,0.0279943406904358,0.0478321678321678,-0.0417277199608886,-0.0348337376908805,-0.0401398601398601,-0.0569230769230769,-0.0733737939620293,-0.016600790513834,-0.0151515151515151,-0.0151515151515151,-0.0151515151515151,-0.1,0.0363723441309648,-0.0471014492753623,0,0,-0.117084745762712,-0.0471014492753623,-0.213333333333333,-0.18,0.08,-0.0425806451612903,0,-0.111111111111111,-0.05,-0.0888888888888889,-0.198461538461538,-0.237577365163572,-0.240408163265306,-0.283636363636364,-0.313768115942029
"DELTA",0.0166666666666667,0.116666666666667,0.111904761904762,0.0884615384615385,0.05,0.0442424242424242,0,0,0,0.213333333333333,-0.1,0.1,0,0.0777777777777778,0.0577777777777778,0,0,0.104285714285714,0.1,0.118285714285714,0.1,0.0569230769230769,0.08,-0.06,0.0199298245614035,0.0569230769230769,-0.0495811231022499,-0.0401398601398601,-0.0478321678321678,-0.08,-0.0643790849673203,-0.0151515151515151,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0,0.0340996168582375,-0.0471014492753623,0,0,-0.112,-0.0166666666666667,-0.18,-0.2,0.08,0.08,0,-0.0888888888888889,-0.1,-0.1,-0.2,-0.241025641025641,-0.234285714285714,-0.263636363636364,-0.313768115942029
