"","ILK","SHH","Patched","SMO","MEK","RKIP","SOSGRB2","NFB","FUS","AXIN2","Destcompl","cateninnuc","CD44","cMet","SRC","PAK1","STAT","Frizzled","CDC42","Ecadherin","cateninmemb","SNAI2","GSK3","RAF","PI3K","DELTA","RAS","ZEB1","DSH","LIV1","Wnt","TGF","TGFR","GLI","TCFLEF","TWIST1","TrCP","EGR1","Csl","NOTCHic","NOTCH","Jagged","SUFU","Csn","cfos","ERK","IKK","AKT","SNAI1","HEY1","SMAD","FOXC2","miR200","ZEB2","KLF4"
"Frizzled",0.0945338898827271,0.118077084206116,0.101948051948052,0.0590909090909091,-0.00366013071895425,0.310476190476191,0.0484848484848485,0.193333333333333,0.05,-0.2353770260747,-0.548620121072241,-0.21950878852761,-0.194172932330827,-0.176315789473684,-0.15,0.0666666666666667,-0.1,-0.15,0.0866666666666667,0.00542404749721823,0.0957364810330912,-0.115711410856086,-0.591797283176594,0.44917976760082,0.44917976760082,0.44917976760082,0.476738822718931,0.011464977200733,0,0.1,0.176315789473684,-0.0677846790890269,-0.0649275362318841,0.194172932330827,0.208080217099039,-0.318655462184874,-0.1,-0.0333333333333333,0.114285714285714,0.114285714285714,0.108403361344538,-0.129146613190731,0,-0.133333333333333,-0.0133333333333333,-0.00745098039215686,-0.230833333333333,-0.268333333333333,-0.35303657694962,-0.0824331696672122,-0.108552581471512,-0.457947462574146,-0.29832702020202,-0.381911160986974,-0.362745098039216
"PI3K",0.0929491796718687,0.121794871794872,0.105128205128205,0.0666666666666667,0.00496854479496717,0.298448610213316,0.0323076923076923,0.266666666666667,0.05,-0.244476190476191,-0.509547446476943,-0.22683560042136,-0.202913415087328,-0.185990338164251,-0.155555555555556,0.075,-0.1,-0.155555555555556,0.0926470588235294,-0.0220900644230993,0.0784117101781821,-0.111310842463335,-0.462277537277537,0.372034632034632,0.372034632034632,0.372034632034632,0.396692166281207,0.0187944073875716,0.1,0.1,0.185990338164251,-0.0678340506934481,-0.0686470588235294,0.202913415087328,0.215907765369814,-0.314531219948184,-0.2,-0.0333333333333333,0.1,0.0923076923076923,0.0826302729528536,-0.134210526315789,0,-0.233333333333333,-0.019047619047619,-0.0131652661064426,-0.307843137254902,-0.33604826546003,-0.329339774557166,-0.0812699693942757,-0.104949179671869,-0.433897793263647,-0.283278621393375,-0.35556956684032,-0.338815789473684
"ILK",0.0929491796718687,0.121794871794872,0.105128205128205,0.0666666666666667,0.00496854479496717,0.298448610213316,0.0323076923076923,0.266666666666667,0.05,-0.244476190476191,-0.509547446476943,-0.22683560042136,-0.202913415087328,-0.185990338164251,-0.155555555555556,0.075,-0.1,-0.155555555555556,0.0926470588235294,-0.0220900644230993,0.0784117101781821,-0.111310842463335,-0.462277537277537,0.372034632034632,0.372034632034632,0.372034632034632,0.396692166281207,0.0187944073875716,0.1,0.1,0.185990338164251,-0.0678340506934481,-0.0686470588235294,0.202913415087328,0.215907765369814,-0.314531219948184,-0.2,-0.0333333333333333,0.1,0.0923076923076923,0.0826302729528536,-0.134210526315789,0,-0.233333333333333,-0.019047619047619,-0.0131652661064426,-0.307843137254902,-0.33604826546003,-0.329339774557166,-0.0812699693942757,-0.104949179671869,-0.433897793263647,-0.283278621393375,-0.35556956684032,-0.338815789473684
"MEK",0.176529633066002,0.172287153112611,0.159868852459016,0.132,0.0653460503790658,0.189053516143299,0.206603174603175,0.239285714285714,0.12,-0.0492175720023821,-0.362347403352751,-0.0636496801731642,-0.0532388663967611,-0.0455465587044534,-0.0263157894736842,0.0733333333333333,0,-0.03,0.0828571428571429,0.0503550523628787,0.0982618035128796,0.0399043441229113,-0.402771146388168,0.307406482406482,0.307406482406482,0.307406482406482,0.321692196692197,0.0463049349821229,0,0,0.0492307692307692,-0.0662393653825539,-0.0669692923898531,0.0569230769230769,0.0580734719947255,-0.311199617376088,-0.2,-0.17,0.0111111111111111,0.00726495726495726,-0.00222409382993325,-0.166115712337427,-0.1,-0.214285714285714,-0.166551724137931,-0.168679383712399,-0.266558441558442,-0.288911382734912,-0.39055466497468,-0.172197233660648,-0.187230740077072,-0.385710246055074,-0.267240856868538,-0.334037484912664,-0.320946915351506
"LIV1",0.138991295442908,0.116469306480059,0.113469306480059,0.107296466973886,0.204099238516335,0.141578513567464,0.13987898789879,0.0958333333333333,0.0976190476190476,0.0552380952380952,0.0526509912402029,0.0318827793310552,0.0364064064064064,0.0364064064064064,0.0337037037037037,0.0285714285714286,0.03,0.0337037037037037,0.0266106442577031,0.0192405574438163,0.039724358732437,-0.0401266062773963,-0.0494242424242424,0.0537581699346405,0.0537581699346405,0.0537581699346405,0.0560308972073678,-0.0556139286786344,-0.03,-0.05,-0.0363352826510721,-0.0298893327822932,-0.0266106442577031,-0.0358474777730233,-0.0338138138138138,-0.142843308865048,-0.0333333333333333,-0.2,-0.0487179487179487,-0.0441025641025641,-0.043003663003663,-0.0789123210633947,-0.0476190476190476,-0.0583333333333333,-0.204347826086957,-0.209432571849668,-0.106359649122807,-0.117470760233918,-0.196158926418435,-0.140182849751595,-0.14931387608807,-0.262857237091641,-0.291641988282777,-0.330093720777137,-0.322837887067395
"RKIP",0.167618741976893,0.159868852459016,0.132,0.12,0.168679383712399,0.174579831932773,0.208825396825397,0.214285714285714,0.1,-0.0375058602906704,-0.349585897076601,-0.0580734719947255,-0.0455465587044534,-0.0263157894736842,0,0.0666666666666667,0,0,0.0733333333333333,0.0509015004503104,0.097286193756782,0.0416075071399429,-0.386800630417652,0.286038961038961,0.286038961038961,0.286038961038961,0.307406482406482,0.042336681013869,0,0,0.03,-0.0669692923898531,-0.0828571428571429,0.0492307692307692,0.0532388663967611,-0.299111705288176,-0.2,-0.12,0.0111111111111111,0.0111111111111111,0.00726495726495726,-0.157918991025952,-0.1,-0.2,-0.17,-0.166551724137931,-0.239285714285714,-0.266558441558442,-0.38029825471827,-0.164924506387921,-0.176529633066002,-0.370394930739758,-0.250212993091449,-0.321339072214252,-0.301339072214252
"TGFR",0.169481915933529,0.172874172024157,0.166659482758621,0.151034482758621,0.124478090202676,0.188095238095238,-0.0614359974009097,-0.00476190476190476,0.12,-0.0727310746266397,-0.0611751458918085,-0.0755535871120798,-0.0703095001655081,-0.0689937106918239,-0.0633333333333333,-0.12,-0.0333333333333333,-0.0728571428571429,-0.115238095238095,-0.0881409944922646,-0.0268383697205104,-0.100600455388371,0.020397477408755,-0.0690476190476191,-0.0690476190476191,-0.0690476190476191,-0.0643692564745196,0.028713027254541,0.0428571428571429,0,0.0785175202156334,0.026661600810537,0.025952380952381,0.079162681505956,0.0717449068640727,-0.247988664821405,0.0333333333333333,-0.133333333333333,-0.216666666666667,-0.227011494252874,-0.227730918713305,-0.157863492774967,-0.0866666666666667,0.0333333333333333,-0.128070175438597,-0.125847953216374,-0.0268170426065163,-0.0384449495832605,-0.236941079837299,-0.186572938017841,-0.174108250453102,-0.326988798177331,-0.238655561778476,-0.292853250784256,-0.283946732773964
"TGF",0.163030303030303,0.166659482758621,0.151034482758621,0.12,0.125847953216374,0.180952380952381,-0.0552631578947368,-0.0333333333333333,0.0866666666666667,-0.0671516754850088,-0.0541186942789053,-0.0717449068640727,-0.0689937106918239,-0.0633333333333333,-0.0333333333333333,-0.12,0,-0.0428571428571429,-0.12,-0.0867781324820431,-0.0256836353094249,-0.100600455388371,0.0318889199515423,-0.081547619047619,-0.081547619047619,-0.081547619047619,-0.0690476190476191,0.0305998197073712,0,0,0.0728571428571429,0.025952380952381,0.115238095238095,0.0785175202156334,0.0703095001655081,-0.244074074074074,0,-0.133333333333333,-0.186666666666667,-0.216666666666667,-0.227011494252874,-0.15424030436917,-0.0666666666666667,0.0333333333333333,-0.133333333333333,-0.128070175438597,0.00476190476190476,-0.0268170426065163,-0.228976478067387,-0.179110251450677,-0.169481915933529,-0.319565217391304,-0.231324183479356,-0.284174005501237,-0.271446732773964
"SOSGRB2",0.0494623655913978,0.0487848313429709,0.0301801801801802,0.0166666666666667,0.0166335166335166,0.035124269005848,0.0861111111111111,0.288888888888889,0,-0.0506531903190319,-0.331208053691275,-0.0662776110614886,-0.0577639751552795,-0.0360248447204969,-0.0142857142857143,0.0285714285714286,0,-0.0142857142857143,0.0485714285714286,0.0563356139542869,0.101704028704029,-0.0509148372255379,-0.356756212464487,0.351977401129944,0.351977401129944,0.351977401129944,0.367362016514559,0.057468671679198,0,0,0.0392857142857143,-0.041779284545242,-0.0524175824175824,0.0610248447204969,0.0630271330500164,-0.229159420289855,-0.3,-0.0142857142857143,0.190909090909091,0.190909090909091,0.186683738796415,-0.05371216036465,0,-0.3,-0.0253968253968254,-0.0226941226941227,-0.315204678362573,-0.336038011695906,-0.21165316275764,-0.0460227272727273,-0.0557560718851041,-0.254969474969475,-0.193210758344055,-0.250902255639098,-0.239473684210526
"SUFU",0.030942140296979,-0.224792032292032,-0.219772727272727,-0.214722222222222,0.255362006543224,-0.0226862566332375,0.308913016807754,-0.139714285714286,-0.225833333333333,0.336132561779574,0.434305314147,0.208030309366643,0.194539260773292,0.184012944983819,0.173333333333333,0.23,0.156666666666667,0.279166666666667,0.227297297297297,0.00318840844887764,-0.146468903292242,0.0606740442085624,0.365183678065471,-0.255385132918265,-0.255385132918265,-0.255385132918265,-0.267410449373961,-0.0635974991950145,-0.2625,-0.15,-0.290705128205128,-0.239435867946506,-0.236871765382404,-0.30148579735011,-0.202147956425466,0.0980063577940127,0.15,-0.252307692307692,0.00909090909090909,0.00227272727272727,0.000685425685425686,0.150901875420091,0.213333333333333,0.135714285714286,-0.249277389277389,-0.248127963990033,0.139714285714286,0.148439117929051,0.00487599009364467,-0.025885481726236,-0.0260922557704201,-0.0100362751235066,-0.120850789039054,-0.16398474621481,-0.155043464982603
