"","Csn","SUFU","EGR1","ERK","cfos","MEK","RKIP","CDC42","NOTCH","TGFR","TrCP","NFB","RAF","PI3K","STAT","SRC","GLI","cateninmemb","RAS","cMet","FUS","KLF4","GSK3","ZEB2","ZEB1","SOSGRB2","LIV1","TWIST1","AXIN2","HEY1","Destcompl","SMAD","CD44","cateninnuc","Wnt","TCFLEF","DELTA","ILK","Frizzled","DSH","Jagged","Csl","Ecadherin","SMO","SNAI1","SNAI2","SHH","NOTCHic","TGF","IKK","AKT","Patched","PAK1","FOXC2","miR200"
"cateninmemb",-0.12,-0.233333333333333,-0.0127272727272727,0.03184519543525,0.0225668449197861,0.0502765679842696,0.206607232610443,0.306787878787879,-0.235175108835034,0.318007390983001,-0.1,-0.0771428571428571,-0.0959841628959276,-0.0959841628959276,-0.296078431372549,-0.298404012767898,-0.30702470242307,0.120675471443109,-0.0873249450188326,-0.30623009972442,-0.2,0.06685419596812,0.155976716590554,-0.0830493888750312,-0.0830493888750312,0.319199693057687,0.266666666666667,-0.345147332676087,0.142922471796039,-0.141297060618024,0.161475959709866,-0.137170228445099,0.305895651563884,0.307826436331092,0.30702470242307,0.309507108599999,0.0959841628959276,-0.128695652173913,0.298404012767898,0.296078431372549,0.261350281796901,0.236746411483254,0.183114091906864,0.20625,-0.21815807980307,0.276442418019754,0.206537867242401,0.237777339318305,-0.323974841254248,0.0771428571428571,0.0667532467532467,0.207325268817204,-0.281454545454545,-0.329823441105958,-0.202868761695577
"RAS",0.1,-0.1,0.22,0.271315789473684,0.245,0.285041279669763,0.308993710691824,0.22,0.135302879841112,0.249411764705882,0.1,0.2,0.314358974358974,0.314358974358974,-0.1,-0.15,-0.15171568627451,-0.00550251835593366,0.225897435897436,-0.155882352941176,0,0.0896428571428571,0.394664082687339,-0.0824263622974963,-0.0824263622974963,-0.0251082251082251,0,-0.217359519912711,0.115652173913043,0.00355731225296443,0.172917136289229,-0.0131725417439703,0.149499374217772,0.159418746630062,0.155882352941176,0.160268604987003,-0.314358974358974,0.00519480519480519,0.15,0.1,0.081257638478218,-0.15,0.0779912140525951,0,-0.20039331366765,0.216090660787779,0.0229152542372881,-0.144736842105263,-0.256342457775189,-0.206666666666667,-0.195555555555556,0.028,-0.18,-0.247142857142857,-0.168984615384615
"SNAI2",-0.0666666666666667,-0.1,-0.0333333333333333,-0.0137254901960784,-0.0392156862745098,-0.0164281928987811,0.123358974358974,0.165266106442577,-0.142036910457963,0.176377217553688,-0.1,-0.0916666666666667,-0.0683729307130345,-0.0683729307130345,-0.129090909090909,-0.143376623376623,-0.146103142921701,-0.104741253626735,-0.07613548779066,-0.139151271263947,-0.12,0.0576923076923077,0.106914172870852,-0.0725363960562198,-0.0725363960562198,0.195977011494253,0.12,-0.169714315093143,0.0968410929957422,-0.095464135021097,0.0993864827346809,-0.0942458579226556,0.145602884167173,0.146183341361256,0.139151271263947,0.142922471796039,0.0683729307130345,-0.0899396378269618,0.143376623376623,0.129090909090909,0.126710501675024,0.149122807017544,0.265205444332122,0.0905882352941176,-0.120650807346234,0.391477600026515,0.100648597467156,0.136842105263158,-0.1794828076158,0.0537356321839081,0.0669886442321008,0.104873949579832,-0.150980392156863,-0.198087341343819,-0.140854157538928
"miR200",0.1,0.1,0.0857142857142857,0.124805194805195,0.115714285714286,0.12004329004329,0.0772090130332758,0.137254901960784,0.119961593053352,0.12112586970272,0,0.136842105263158,0.132866437045542,0.132866437045542,0.08,0.110434782608696,0.105939637826962,0.100494489643536,0.13062204801811,0.114660134721372,0.1375,0.0740165631469979,0.0684421772690846,-0.058584229390681,-0.058584229390681,0.0204738878143134,-0.1,0.0325978520457048,-0.0705587717196178,-0.0851412429378531,-0.0704136633291165,-0.0898804015862301,-0.102300584159574,-0.109811406670396,-0.120225352112676,-0.105872012731003,-0.132866437045542,-0.104613943905979,-0.116,-0.08,-0.113619595620555,-0.128669950738916,-0.215943337770202,-0.0775,-0.0742268842268842,-0.167446806905931,-0.116424050632911,-0.11487684729064,-0.111242148772487,-0.093984962406015,-0.0996453397645056,-0.0914240506329114,-0.1,-0.118996992167724,-0.143145780051151
"TGFR",0.258333333333333,0.153333333333333,0.376190476190476,0.42250626566416,0.40250626566416,0.426615854705256,0.335584415584416,0.488571428571429,0.269058959728769,0.390357142857143,0.233333333333333,0.229761904761905,0.22797619047619,0.22797619047619,0.0333333333333333,0.0333333333333333,0.0353586644639596,0.0443824919833576,0.226806599832916,0.0238993710691824,0.103333333333333,0.0351149613163343,0.295814242902506,-0.0489473553374076,-0.0489473553374076,0.111094866796621,0,-0.272259127454857,-0.0162993619002203,-0.10694111646795,0.0389879589961858,-0.126790508691553,-0.0252151605428666,-0.0246315895290126,-0.0334231805929919,-0.0280859739399958,-0.22797619047619,-0.134975562072336,-0.0428571428571429,-0.0428571428571429,-0.139048792982007,-0.243333333333333,-0.0803570480850968,-0.134367816091954,-0.305199551052327,-0.0354882703192895,-0.141253409312293,-0.264022988505747,-0.403123100303951,-0.261340852130326,-0.275294340502419,-0.153117816091954,-0.493333333333333,-0.416068173804551,-0.21306844650838
"AXIN2",0.1,0,0.1,0.0967631638933212,0.0341463414634146,0.057452819065735,0.0967036905746583,0.141296296296296,-0.0237121520016257,0.148375942313995,0,0.00869565217391305,0.0744171754552377,0.0744171754552377,-0.04,-0.0795348837209302,-0.0761516696675795,0.0344056871951563,0.0366218998646866,-0.0553969526864475,-0.0846153846153846,0.0255870528758367,0.0773420759256,-0.0475766230878996,-0.0475766230878996,0.11353478685877,0.1,-0.083044291495948,-0.032092929231052,-0.0652306029587977,0.0394544477498964,-0.0535254198297676,0.0759016845476462,0.0724583810117421,0.0553969526864475,0.0603096564116556,-0.0744171754552377,-0.0682079595123073,0.0795348837209302,0.04,0.038500923283532,0.0315789473684211,0.051228416843353,0.036996336996337,-0.0654069667006692,0.0903006159063969,0.0436005524530115,0.00479323308270677,-0.148045909310695,-0.0768115942028986,-0.0301449275362319,0.0655677655677656,-0.145,-0.141542891144765,-0.112780832093501
"cMet",0,0.1,-0.1,-0.12,-0.12,-0.125454545454545,-0.0848148148148148,0.0758333333333333,0.0397216445368741,0.0702777777777778,0,0.0333333333333333,-0.185714285714286,-0.185714285714286,0.2,0.2,0.16030303030303,0.0945968088850651,-0.189487870619946,0.146666666666667,0.2,0.149206349206349,-0.339285714285714,-0.0421356421356421,-0.0421356421356421,0.105714285714286,-0.1,0.00447133390953615,-0.115238095238095,-0.157929136566907,-0.188011936961517,-0.168950731807875,-0.158294573643411,-0.163474930010208,-0.146666666666667,-0.162909958258795,0.185714285714286,-0.161678004535147,-0.1,-0.1,-0.204033647511908,-0.0428571428571429,-0.191006292122788,-0.2,-0.0327269122987232,-0.373952211616445,-0.188352272727273,-0.037593984962406,-0.051128841607565,-0.0266666666666667,-0.00791666666666667,-0.172727272727273,-0.113333333333333,-0.0598259493670886,-0.0979364295125165
"cateninnuc",-0.025,-0.144444444444444,0.0405797101449275,0.0731495313223437,0.0326432022084196,0.062140357010417,0.138695037799256,0.372879120879121,-0.28447289874172,0.383223948465328,-0.1,-0.0643939393939394,-0.035024255024255,-0.035024255024255,-0.271095571095571,-0.293317793317793,-0.296754783830424,0.143806988550061,-0.0501757701757702,-0.28462214114388,-0.184444444444444,0.0203812695805578,0.10052159194477,-0.0406781906633848,-0.0406781906633848,0.373604772180548,0.278787878787879,-0.295243733624051,0.106770295667912,-0.124238855557945,0.0825607194629854,-0.102241178103388,0.295336426858166,0.194533130016388,0.285687590154535,0.288540310353312,0.035024255024255,-0.109744588744589,0.294383242328448,0.271095571095571,0.23197118664869,0.292718141870684,0.111083591470282,0.166411657559199,-0.137939996363784,0.319262469472394,0.163440034127217,0.279927444196266,-0.388464123137817,0.0263939393939394,0.0404564393939394,0.173243955695845,-0.360571428571429,-0.384801444457182,-0.203512954859534
"HEY1",0,0,0,-0.00427807486631016,-0.0454545454545455,-0.0218038480621864,0.0576994434137291,0.121090909090909,-0.0964208553248163,0.130424242424242,-0.1,-0.06,-0.0158974358974359,-0.0158974358974359,-0.0333333333333333,-0.0509803921568627,-0.0484944258376967,-0.00431065885334178,-0.0372209653092006,-0.0347013223894209,-0.0333333333333333,0.0296296296296296,0.0558652415951525,-0.0353457172342621,-0.0353457172342621,0.160906232132647,0.0333333333333333,-0.0593333333333333,0.0508997484417748,-0.0561497326203209,0.0350023672169402,-0.0563478260869565,0.0477448006502904,0.0462329117054057,0.0347013223894209,0.0393835966369125,0.0158974358974359,-0.052,0.0509803921568627,0.0333333333333333,0.0291926763890782,0.107272727272727,0.0776687657412248,-0.0166666666666667,-0.0475313693008127,0.107369816182445,0.00685483870967742,0.0809569377990431,-0.128960827790096,-0.00190476190476191,0.0388359788359788,0.0208333333333333,-0.109090909090909,-0.158488494544151,-0.10991452991453
"FOXC2",0,0,0,-0.00427807486631016,-0.0454545454545455,-0.0218038480621864,0.0576994434137291,0.121090909090909,-0.0964208553248163,0.130424242424242,-0.1,-0.06,-0.0158974358974359,-0.0158974358974359,-0.0333333333333333,-0.0509803921568627,-0.0484944258376967,-0.00431065885334178,-0.0372209653092006,-0.0347013223894209,-0.0333333333333333,0.0296296296296296,0.0558652415951525,-0.0353457172342621,-0.0353457172342621,0.160906232132647,0.0333333333333333,-0.0593333333333333,0.0508997484417748,-0.0561497326203209,0.0350023672169402,-0.0563478260869565,0.0477448006502904,0.0462329117054057,0.0347013223894209,0.0393835966369125,0.0158974358974359,-0.052,0.0509803921568627,0.0333333333333333,0.0291926763890782,0.107272727272727,0.0776687657412248,-0.0166666666666667,-0.0475313693008127,0.107369816182445,0.00685483870967742,0.0809569377990431,-0.128960827790096,-0.00190476190476191,0.0388359788359788,0.0208333333333333,-0.109090909090909,-0.158488494544151,-0.10991452991453
