"","cateninmemb","Ecadherin","SNAI2","TWIST1","Destcompl","NOTCHic","NFB","NOTCH","IKK","GLI","DSH","HEY1","Patched","CD44","TCFLEF","Wnt","SMO","cateninnuc","cMet","FUS","Frizzled","MEK","SRC","ERK","CDC42","RAS","ZEB1","RAF","PI3K","DELTA","TGFR","TGF","GSK3","FOXC2","SOSGRB2","ZEB2","PAK1","cfos","RKIP","ILK","SHH","STAT","SMAD","EGR1","TrCP","SUFU","AKT","SNAI1","Csn","Jagged","AXIN2","miR200","KLF4","Csl","LIV1"
"TWIST1",0.0306945879945701,-0.0411821887911438,0.294239577584306,0.00498565253713995,0.0519591029726049,-0.0682621082621083,-0.138461538461538,-0.0607149384507875,-0.152747252747253,0.03606783625731,1.11022302462516e-17,-0.146240764884833,-0.163141552511416,0.037598621436099,0.025806890961367,0.05046783625731,-0.145333333333333,0.0293146540435982,0.0516548463356974,-0.133333333333333,0.0388888888888889,0.0787455172649339,0.0388888888888889,0.0842181540808543,0.135109717868339,-0.0330467956734495,0.11469100679627,-0.0364714532076961,-0.0364714532076961,-0.0364714532076961,0.153859717868339,0.167299353403646,0.0829906531912318,0.177506064827895,0.138271822253516,-0.11469100679627,-0.145454545454545,-0.0657971014492754,0.163941007419268,0.143088543088543,0.160678498324223,-1.11022302462516e-17,0.144078642098444,-0.0266666666666667,0.1,0.166666666666667,0.149357422238778,0.172163381710842,0.1,0.0778765623514307,-0.0710599078341014,0.143464346853929,-0.108995205336669,0.0785185185185185,-1.11022302462516e-17
"AXIN2",-0.164387598921427,0.0651726807762429,-0.265955921523947,-0.180659516778516,0.220845369541975,-0.016046365914787,0.109178743961353,-0.0153706902391113,0.113526570048309,-0.182288057375437,-0.166666666666667,0.00686992411130342,0.14290293040293,-0.182631290913123,-0.180403858322267,-0.173483025928896,0.137545787545788,-0.175345492563513,-0.173483025928896,0.142307692307692,-0.15968992248062,-0.137254898878347,-0.15968992248062,-0.127599726464554,0.0335493827160494,0.115145242090928,0.10773830059118,0.117769914006938,0.117769914006938,0.117769914006938,0.0415139844859609,0.0362334564331556,0.209284232040525,0.0616680119256232,0.0503840650544718,-0.10773830059118,-0.0175,0.122926829268293,0.169248591909882,-0.0103979756153669,-0.148476700894734,0.166666666666667,-0.00642972164711295,0.14,-0.133333333333333,-0.15,-0.123526570048309,0.178485684693085,-0.122222222222222,0.182564133868482,0.544823018923789,0.142592547747029,-0.101768434173691,0.0214035087719298,0.2
"TGFR",-0.0908577900583735,-0.0664057329750017,-0.223708570134417,-0.246766178990378,-0.102156678151645,-0.236091954022989,-0.247619047619048,-0.23249483172083,-0.247619047619048,-0.0576010781671159,-0.0857142857142857,-0.169842277971843,-0.155093390804598,-0.03829030122476,-0.0430749902199753,-0.0376010781671159,-0.133218390804598,-0.0343061682536334,-0.0185534591194969,-0.136666666666667,-0.0357142857142857,0.161288380769275,-0.0166666666666667,0.172247284878864,0.106031746031746,-0.100584795321637,0.0846833430806489,-0.1,-0.1,-0.1,0.0256746031746032,0.0356036811887876,0.151029195324623,0.0339215194336706,0.272108512020793,-0.0846833430806489,-0.115555555555556,-0.143358395989975,0.217835497835498,0.143655913978495,0.147748758036236,0.0666666666666667,0.142588298320132,-0.138095238095238,0.233333333333333,0.153333333333333,0.240642303433001,0.244326756643732,0.233333333333333,0.14679542592474,0.0621874787110839,0.155401343805126,-0.0711670480549199,0.253333333333333,0.1
"TGF",-0.0901649494117223,-0.0689610992441669,-0.220467829393676,-0.226481481481481,-0.0938905491193871,-0.253333333333333,-0.233333333333333,-0.236091954022989,-0.247619047619048,-0.0376010781671159,-0.1,-0.177304964539007,-0.133218390804598,-0.0185534591194969,-0.03829030122476,-0.0357142857142857,-0.136666666666667,-0.0430749902199753,-0.0166666666666667,-0.153333333333333,-0.0857142857142857,0.172247284878864,-0.0666666666666667,0.143358395989975,0.115555555555556,-0.1,0.0729852298731017,-0.105357142857143,-0.105357142857143,-0.105357142857143,0.106031746031746,0.0256746031746032,0.161053645202373,0.0212577639751553,0.288157894736842,-0.0729852298731017,-0.16,-0.138095238095238,0.197835497835498,0.153333333333333,0.155093390804598,0.1,0.143655913978495,-0.166666666666667,0.2,0.133333333333333,0.247619047619048,0.244621741894469,0.233333333333333,0.140273686794305,0.0531746031746032,0.147483455242076,-0.0711670480549199,0.253333333333333,0
"Destcompl",-0.131028856142052,0.0503587259748099,-0.218582126340336,-0.121935151626462,0.0504590702065325,-0.0170583627105366,0.065424430641822,-0.021266779544204,0.0789379441553355,-0.124464383816072,-0.101587301587302,-0.00218636064789911,0.113679777431787,-0.125127136658521,-0.118414807891398,-0.133555292906981,0.107980295566502,-0.120403589125462,-0.134082360539118,0.096551724137931,-0.127614698847576,-0.0844794328587647,-0.127614698847576,-0.0886988421414651,0.0267135819845179,0.0514527802914341,0.0593558653803797,0.0534935966179647,0.0534935966179647,0.0534935966179647,0.0135556872476758,0.00774287936590244,0.128990045895046,0.020104128302621,0.0342477568923624,-0.0593558653803797,-0.023265306122449,0.0761305361305361,0.113002487414943,-0.000952380952380952,-0.111938965052677,0.101587301587302,-0.00177109440267335,0.0579487179487179,-0.0666666666666667,-0.1,-0.0762533803969462,0.118553965209573,-0.0523809523809524,0.148602237374078,0.180403858322267,0.0994100431411663,-0.0584889890838519,0.0148844496670584,0.0944444444444444
"SOSGRB2",0.108057876057876,0.0699522859633009,-0.342232985803329,-0.1,-0.203682670796765,-0.198601398601399,-0.211111111111111,-0.191559145080272,-0.216374269005848,0.0868012422360249,0.1,-0.211647727272727,-0.21981981981982,0.0915113871635611,0.0936166503214558,0.0940476190476191,-0.233333333333333,0.0926606273769051,0.0987577639751553,-0.2,0.0857142857142857,0.176950976950977,0.0857142857142857,0.183011583011583,0.0457142857142857,-0.0235767057800956,0.0447243107769424,-0.0248587570621469,-0.0248587570621469,-0.0248587570621469,0.0495604395604396,0.0474327799859715,0.184868078781122,0.0381074481074481,0.251666666666667,-0.0447243107769424,-0.0357142857142857,-0.185714285714286,0.181396198830409,0.203440860215054,0.21981981981982,-0.1,0.206937363711557,-0.152380952380952,0.2,0.2,0.212207602339181,0.0878706467661692,0.2,0.181729587989596,-0.12262101210121,0.0950971581018694,-0.0504385964912281,0.190909090909091,0
"CD44",0.0414835164835165,0.0151183367712518,0.278947718947719,0.0235897435897436,0.195285386882026,0.214285714285714,0.2,0.198496240601504,0.2,-0.00666666666666667,0,0.18187134502924,0.13,-0.00666666666666667,-0.0136434108527132,0,0.15,0.000202742993440669,0.1,0.1,0.1,-0.255,0.2,-0.235,0.02,0.0219047619047619,0.0333333333333333,0.019047619047619,0.019047619047619,0.019047619047619,0.045,0.045,-0.207142857142857,0.0525,-0.352380952380952,-0.0333333333333333,0,0.275,-0.106666666666667,-0.161111111111111,-0.166363636363636,-0.1,-0.154988662131519,0.3,-0.1,-0.1,-0.206666666666667,-0.0212387028176502,-0.2,-0.130629370629371,-0.02,0.0472683355292051,-0.114285714285714,-0.2,-0.1
"HEY1",0.0525532473398327,-0.0284158018858046,0.0666740477550361,-0.028797385620915,0.0349460343297611,0.0337799043062201,0.04,0.0451201104917871,0.0161904761904762,-0.0382848247558847,-0.1,0.00796027501909855,0.0458333333333333,-0.0376851246059597,-0.0574175660775316,-0.00725034199726403,0.0833333333333333,-0.0483266569866225,-0.00725034199726403,0.1,-0.0235294117647059,-0.064465516290865,-0.0235294117647059,-0.0551871657754011,-0.00981818181818183,0.0479411764705882,0.0309958720330237,0.045,0.045,0.045,0.0315151515151515,0.0554175905395417,0.045217229791186,0.078451636754722,-0.054073756432247,-0.0309958720330237,-0.0181818181818182,0.0963636363636364,0.00695732838589982,0.00266666666666667,-0.0512096774193548,0.1,0.00266666666666667,0.16,-0.1,0,-0.0235978835978836,0.0224926758550671,-0.1,0.0523202035345963,-0.0627078010585507,0.0575010175010175,-0.0259259259259259,-0.0127272727272727,0.1
"FOXC2",0.0525532473398327,-0.0284158018858046,0.0666740477550361,-0.028797385620915,0.0349460343297611,0.0337799043062201,0.04,0.0451201104917871,0.0161904761904762,-0.0382848247558847,-0.1,0.00796027501909855,0.0458333333333333,-0.0376851246059597,-0.0574175660775316,-0.00725034199726403,0.0833333333333333,-0.0483266569866225,-0.00725034199726403,0.1,-0.0235294117647059,-0.064465516290865,-0.0235294117647059,-0.0551871657754011,-0.00981818181818183,0.0479411764705882,0.0309958720330237,0.045,0.045,0.045,0.0315151515151515,0.0554175905395417,0.045217229791186,0.078451636754722,-0.054073756432247,-0.0309958720330237,-0.0181818181818182,0.0963636363636364,0.00695732838589982,0.00266666666666667,-0.0512096774193548,0.1,0.00266666666666667,0.16,-0.1,0,-0.0235978835978836,0.0224926758550671,-0.1,0.0523202035345963,-0.0627078010585507,0.0575010175010175,-0.0259259259259259,-0.0127272727272727,0.1
"cateninnuc",-0.00283124430084089,-0.0692872350271086,0.178466929977413,-0.0308612798338739,0.0974062973210229,0.125934685177886,0.114015151515152,0.119571048814249,0.134015151515152,-0.0314075144629046,0.0174825174825175,0.00586512780471681,-0.0252843679643395,-0.0306023686458469,-0.0175329138288193,-0.0274549452929441,-0.0370856102003643,-0.110104026781042,-0.0262372892807675,-0.0288888888888889,0.00515375035922981,-0.134294179231645,0.00637140637140637,-0.120532711341737,0.102857142857143,0.129289404289404,0.0301284995024426,0.136865161865162,0.136865161865162,0.136865161865162,0.104006568144499,0.0867576598475559,0.0863225091903891,0.0937518819977836,-0.00181249061346444,-0.0301284995024426,-0.0628571428571429,0.0926846100759144,0.128348704232079,0.0157301587301587,0.0172233657856902,-0.0174825174825175,0.0243249745555339,0.110144927536232,-0.166666666666667,-0.0111111111111111,-0.146515151515152,0.121556906059888,-0.129166666666667,0.0566697883669202,-0.138860264222781,0.0822794102437441,-0.0621726434893695,-0.118957940991839,0.0363636363636364
