"","KLF4","SOSGRB2","PAK1","CDC42","ILK","TrCP","SUFU","FUS","Csn","RKIP","ZEB1","cateninmemb","AXIN2","NOTCHic","RAF","STAT","NOTCH","TCFLEF","Csl","RAS","EGR1","CD44","SRC","Wnt","DSH","GLI","ERK","Frizzled","MEK","cfos","LIV1","GSK3","cateninnuc","PI3K","DELTA","cMet","Destcompl","Jagged","TWIST1","SNAI2","SNAI1","NFB","IKK","AKT","SHH","SMO","Patched","HEY1","SMAD","TGF","TGFR","Ecadherin","FOXC2","miR200","ZEB2"
"SUFU",0.427369850463008,0.254747883695252,0.426666666666667,0.44018018018018,0.252514080901178,0.15,0.32,0.3325,0.135714285714286,0.362647216962386,-0.031280431843972,0.11733210088897,-0.159899749933422,0.191515151515151,0.148075507182976,-0.03,0.185165945165945,0.00988047630684986,0.196060606060606,0.151556519841204,0.0984615384615385,0.00498917195902377,-0.0133333333333333,-0.107371794871795,-0.1375,-0.104769564388524,0.127719636685154,-0.120833333333333,0.134953679238345,0.11967365967366,-0.05,-0.319356457134809,-0.0100339289922719,-0.148075507182976,-0.148075507182976,-0.00122977346278317,0.292385362198011,-0.158435225651692,-0.18390783785732,0.131386604656081,-0.368863557330348,-0.131714285714286,-0.13556043956044,-0.134889298620842,-0.364942182442182,-0.360277777777778,-0.365328282828283,-0.231473241268946,-0.260597221778776,-0.454566012569286,-0.450818478052521,-0.134898228201802,-0.370983503938249,-0.318024360769466,-0.440566323021984
"FUS",0.41120218579235,0.238663967611336,0.393333333333333,0.426666666666667,0.244126984126984,0.1,0.4,0.32,0.15,0.358157421044019,-0.039976084017885,0.115422141816664,-0.168096471244897,0.196060606060606,0.133665026833631,-0.05,0.191515151515151,0.00498917195902377,0.206060606060606,0.148075507182976,0.06,0.00122977346278317,-0.03,-0.120833333333333,-0.15,-0.107371794871795,0.11967365967366,-0.1375,0.127719636685154,0.0984615384615385,-0.1,-0.321927151222212,-0.00988047630684986,-0.133665026833631,-0.133665026833631,0.0133333333333333,0.2973295408264,-0.157722636578058,-0.180815054352166,0.138703677826813,-0.370396777091847,-0.135714285714286,-0.131714285714286,-0.13556043956044,-0.365328282828283,-0.3325,-0.360277777777778,-0.221834687052078,-0.252514080901178,-0.450818478052521,-0.44018018018018,-0.128925004720854,-0.362794918330309,-0.312448152591028,-0.429938303698312
"cfos",0.359619047619048,0.286111111111111,0.342857142857143,0.338095238095238,0.203439153439153,0.1,0.133333333333333,0.119047619047619,0.133333333333333,0.229137529137529,0.0535762327529882,0.173018920892699,0.156009852216749,0.0833333333333333,0.146350762527233,0.1,0.0817948717948718,0.128676002735409,0.0833333333333333,0.141472713746745,0.12,0.125705705705706,0.12,0.131111111111111,0.1,0.123216374269006,0.0669565217391304,0.12,0.0754310980103169,0.08,0.1,0.019491341991342,-0.126083410142816,-0.146350762527233,-0.146350762527233,-0.131111111111111,-0.166679371319031,-0.116840277777778,-0.220225108225108,-0.271831453218314,-0.221561729409831,-0.108333333333333,-0.120833333333333,-0.12609649122807,-0.155885532229618,-0.152380952380952,-0.162058371735791,-0.192928535732134,-0.208277863116573,-0.343977591036415,-0.343977591036415,-0.293469715801142,-0.375836578533853,-0.310393854511502,-0.372074253430186
"EGR1",0.369455113192818,0.289081408140814,0.338095238095238,0.343977591036415,0.208277863116573,0.133333333333333,0.119047619047619,0.152380952380952,0.108333333333333,0.218640291568468,0.0590424706951104,0.177048224922003,0.158525575487189,0.0817948717948718,0.141472713746745,0.12,0.0817948717948718,0.126083410142816,0.0833333333333333,0.142381804655836,0.08,0.128676002735409,0.131111111111111,0.123216374269006,0.12,0.12565539865925,0.0754310980103169,0.131111111111111,0.0740977646769835,0.0669565217391304,0.1,0.0253095238095238,-0.12525582393592,-0.141472713746745,-0.141472713746745,-0.125705705705706,-0.168634258537076,-0.116840277777778,-0.21805119518163,-0.271469789565512,-0.221800392894318,-0.120833333333333,-0.12609649122807,-0.122392787524366,-0.161885532229618,-0.162058371735791,-0.155885532229618,-0.19881088867331,-0.208277863116573,-0.339059558249529,-0.343977591036415,-0.293954144866886,-0.367560716464887,-0.313947154003887,-0.367251102304784
"NFB",0.336355311355311,0.367268907563025,0.394444444444444,0.398989898989899,0.298315456545655,-0.1,0.2,0.18,-0.0571428571428571,0.262330110690766,0.00226214962694092,0.0236000095955675,0.0375633232016211,-0.0376623376623377,0.266328399921611,0.0111111111111111,-0.0408881441139506,0.046938241857787,-0.0329004329004329,0.2658308874838,0.0642857142857143,0.0477821237143271,0.0341880341880342,0.044957264957265,0.0111111111111111,0.0472044559685009,0.0882857142857143,0.0341880341880342,0.0941680672268908,0.108285714285714,0,-0.26512497306615,-0.0465460849950419,-0.266328399921611,-0.266328399921611,-0.044957264957265,0.148559492860977,-0.107179433585278,-0.258160597572362,-0.37361405734659,-0.25627621504177,-0.00952380952380952,-0.0176319176319176,-0.0198541398541399,-0.200084937450953,-0.191111111111111,-0.204904214559387,-0.294943240454076,-0.299430698181342,-0.402655721774709,-0.401389898989899,-0.193011304784955,-0.441092426829479,-0.265769180248361,-0.344824186904042
"IKK",0.326739926739927,0.347268907563025,0.35,0.394444444444444,0.299305555555556,-0.2,0.1,0.2,-0.1,0.25591985428051,-0.00501754385964912,0.0173698089619877,0.0297619047619048,-0.0329004329004329,0.259286146400484,0,-0.0376623376623377,0.0477821237143271,-0.00909090909090909,0.266328399921611,0.05,0.044957264957265,0.0111111111111111,0.0341880341880342,0,0.044957264957265,0.108285714285714,0.0111111111111111,0.0882857142857143,0.0642857142857143,-0.1,-0.271007326007326,-0.046938241857787,-0.259286146400484,-0.259286146400484,-0.0341880341880342,0.154373446349349,-0.109337706966573,-0.257843137254902,-0.370158772793745,-0.263125530110263,0.0571428571428571,-0.00952380952380952,-0.0176319176319176,-0.204904214559387,-0.18,-0.191111111111111,-0.294943240454076,-0.298315456545655,-0.401389898989899,-0.398989898989899,-0.187714354544185,-0.436709956709957,-0.26123745819398,-0.338310776942356
"Jagged",0.333333333333333,0.26,0.2,0.3,0.183333333333333,0,0,0.1,0,0.194871794871795,0.0502415458937198,0.146782513261386,0.134285714285714,-0.02,0.1,0,-0.0342857142857143,0.106107226107226,0,0.118181818181818,0.1,0.103076923076923,0.1,0.08,0,0.103076923076923,0.02,0.1,0.0866666666666667,0,0,0.046360153256705,-0.100612720612721,-0.1,-0.1,-0.08,-0.153096525096525,-0.0938528138528139,-0.196,-0.256586224233283,-0.225,-0.1,-0.133333333333333,-0.1,-0.146794871794872,-0.133333333333333,-0.108333333333333,-0.283333333333333,-0.207142857142857,-0.321333333333333,-0.333333333333333,-0.278456140350877,-0.351428571428571,-0.278787878787879,-0.33768115942029
"cateninnuc",0.294580557836786,0.0357996625677697,0.191428571428571,0.200659340659341,0.161598845598846,-0.0333333333333333,0.133333333333333,0.143333333333333,-0.0208333333333333,0.292741105875101,-0.0736428221135367,0.0579637593073272,-0.167407388001628,0.109625687966248,0.123035343035343,-0.024009324009324,0.103716597057157,0.00307167388214243,0.117765222849969,0.125560595560596,0.0463768115942029,0.00225016529364355,-0.0101204351204351,-0.00407186123386243,-0.024009324009324,0.000671221770090135,0.0689004201937609,-0.0116805568860363,0.0739462917533939,0.0638371290545204,-0.0393939393939394,-0.323292800852503,-0.103375457367368,-0.123035343035343,-0.123035343035343,0.00251173946826121,0.313624264763279,-0.070826710862623,-0.077625099920884,0.186223062341234,-0.293610853992754,0.0299242424242424,0.0339242424242424,0.0386117424242424,-0.150409828301321,-0.144972677595628,-0.149320503682585,-0.124418069267858,-0.163918081615217,-0.207222107310949,-0.205257041808766,-0.0334913663498757,-0.167634987962857,-0.222664767830927,-0.30441706774032
"PI3K",0.296929824561404,0.303461538461538,0.225,0.230882352941176,0.153021208483393,0,0.1,0.1,0.0333333333333333,0.242857142857143,0.014432137234854,0.0160430656964648,0.28,-0.148076923076923,0.303463203463203,0.2,-0.154528535980149,0.237211798272963,-0.125,0.306202929490601,0.133333333333333,0.242296544035674,0.233333333333333,0.23768115942029,0.2,0.242296544035674,0.153501400560224,0.233333333333333,0.155140744822519,0.147619047619048,0.1,-0.173184223184223,-0.236180870437911,-0.303463203463203,-0.303463203463203,-0.23768115942029,0.161829458337255,-0.000789473684210525,-0.165079365079365,-0.160788007402341,-0.207781803542673,-0.0333333333333333,-0.0156862745098039,-0.00799396681749623,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,-0.161958093700602,-0.150621208483393,-0.228443328550933,-0.230882352941176,-0.217548805730632,-0.268174216027875,-0.242487010109961,-0.298365223883019
"ILK",0.296929824561404,0.303461538461538,0.225,0.230882352941176,0.153021208483393,0,0.1,0.1,0.0333333333333333,0.242857142857143,0.014432137234854,0.0160430656964648,0.28,-0.148076923076923,0.303463203463203,0.2,-0.154528535980149,0.237211798272963,-0.125,0.306202929490601,0.133333333333333,0.242296544035674,0.233333333333333,0.23768115942029,0.2,0.242296544035674,0.153501400560224,0.233333333333333,0.155140744822519,0.147619047619048,0.1,-0.173184223184223,-0.236180870437911,-0.303463203463203,-0.303463203463203,-0.23768115942029,0.161829458337255,-0.000789473684210525,-0.165079365079365,-0.160788007402341,-0.207781803542673,-0.0333333333333333,-0.0156862745098039,-0.00799396681749623,-0.0833333333333333,-0.0833333333333333,-0.0833333333333333,-0.161958093700602,-0.150621208483393,-0.228443328550933,-0.230882352941176,-0.217548805730632,-0.268174216027875,-0.242487010109961,-0.298365223883019
