"","GSK3","ZEB1","AXIN2","LIV1","Destcompl","cateninnuc","TCFLEF","RAS","RAF","PI3K","Wnt","GLI","CDC42","SOSGRB2","NFB","TGFR","miR200","TGF","Jagged","Csn","NOTCHic","IKK","AKT","NOTCH","HEY1","TWIST1","SNAI2","cfos","ZEB2","SNAI1","RKIP","TrCP","SUFU","EGR1","MEK","SHH","ERK","Patched","ILK","FUS","SMAD","Csl","SMO","PAK1","FOXC2","DSH","cateninmemb","STAT","Frizzled","DELTA","Ecadherin","CD44","KLF4","SRC","cMet"
"TWIST1",-0.0321161442222194,0.149409058180988,-0.0349250212153438,-0.0333333333333333,-0.0410437137978879,-0.0151484784347799,-0.0149759654963096,-0.0350912255831979,-0.0323514995558006,-0.0323514995558006,-0.0151294903926483,-0.0191294903926483,0.173479623824451,0.0973283263901113,0.0423076923076923,0.175979623824451,0.105681095622402,0.171651605601217,0.0735517725037067,0.05,0.056011396011396,0.0565934065934066,0.0464239150679829,0.0597849809170564,0.0593468678214441,0.0722975918056009,-0.292876698734444,-0.0889855072463768,-0.0969144583179671,0.132429099276387,0.14745182353878,0,-0.1,-0.0933333333333333,0.0901900110431822,-0.101739628554933,0.08372234935164,-0.100261796042618,-0.067949767949768,-0.111111111111111,-0.0702599989728703,-0.0637037037037037,-0.107111111111111,-0.187272727272727,-0.0721508705098352,0.019047619047619,0.0168246238992116,0.019047619047619,0.0246031746031746,0.0323514995558006,-0.0874350901029503,0.0175793345621595,-0.0975609756097561,0.0246031746031746,0.0139648767308342
"TGFR",-0.0389442662329135,0.20774115665528,0.00719584288969124,0,-0.0475759132160541,0.00732464982820554,0.0045788570912702,-0.0810045948203843,-0.0839285714285714,-0.0839285714285714,-0.00994609164420485,-0.00672028519259195,0.354285714285714,0.191033138401559,-0.0226190476190476,0.265,0.0771757534271439,0.271382978723404,0.0756600712898337,-0.00833333333333333,0.160804597701149,-0.0120927318295739,-0.0120927318295739,0.167279417845034,0.068036991060173,0.199273757743509,-0.178888153065755,-0.151127819548872,-0.0866090114041412,0.200938767588003,0.198787878787879,-0.0333333333333333,-0.0466666666666667,-0.114285714285714,0.133167393369268,-0.0777364601597506,0.140016708437761,-0.0839511494252874,-0.0853763440860215,-0.0466666666666667,-0.0750560593885126,-0.136666666666667,-0.0777011494252874,-0.34,-0.0212358621063766,0.0142857142857143,-0.029967376884439,0,0.00428571428571428,0.0839285714285714,-0.0532732459433765,-0.00697120158887786,-0.0862641204460426,-0.01,-0.00433962264150943
"TGF",-0.0426117478955052,0.207363798164714,0.00590828924162257,0,-0.0465678486999251,0.0045788570912702,0.00697120158887786,-0.0839285714285714,-0.0892857142857143,-0.0892857142857143,-0.00428571428571428,-0.00994609164420485,0.34,0.194736842105263,-0.00833333333333333,0.354285714285714,0.0850936419901937,0.265,0.0792832596956309,-0.0333333333333333,0.136666666666667,-0.0226190476190476,-0.0120927318295739,0.160804597701149,0.0754996776273372,0.19962962962963,-0.175184449362051,-0.114285714285714,-0.0862316529135751,0.208903369357915,0.193073593073593,0,-0.0666666666666667,-0.1,0.140016708437761,-0.0839511494252874,0.151127819548872,-0.0777011494252874,-0.0966666666666667,-0.0466666666666667,-0.0853763440860215,-0.126666666666667,-0.0466666666666667,-0.34,-0.0155590062111801,0,-0.027426961180051,0,0.0142857142857143,0.0892857142857143,-0.0525918149382658,-0.00433962264150943,-0.0880498347317569,0,-0.01
"CD44",0.00773809523809524,0.0761904761904762,-0.1,-0.1,-0.132745825602968,-0.0777877161598092,-0.0624031007751938,0.0152380952380952,0.0238095238095238,0.0238095238095238,-0.05,-0.0833333333333333,0.0466666666666667,0.1,0,0.0716666666666667,0.0733552920509442,0.0772222222222222,-0.0999533799533799,-0.1,-0.214285714285714,0,-0.00666666666666667,-0.18796992481203,-0.0625730994152047,0.0513553113553114,-0.238423798423798,0.1,-0.053968253968254,0.0753056884635832,0.148518518518519,0,0.1,0.1,-0.05,0.0709090909090909,-0.06,0.08,0.0666666666666667,0.1,0.064625850340136,0.2,0.1,-0.0666666666666667,0.0720833333333333,0,0.00254578754578755,0.1,0.1,-0.0238095238095238,-0.0159081532949734,0.0833333333333333,0.046031746031746,0.2,0.15
"cMet",0.0158026113671275,0.0852813852813853,-0.0920634920634921,-0.1,-0.138151231008374,-0.0698781116400352,-0.0777877161598092,0.0246720575022462,0.0152380952380952,0.0152380952380952,-0.0833333333333333,-0.0606060606060606,0.0716666666666667,0.0933333333333333,0,0.0772222222222222,0.0671052920509442,0.0942434988179669,-0.0890838147359886,0,-0.18796992481203,-0.00666666666666667,-0.0129166666666667,-0.17733162693969,-0.0566907464740282,0.0457373338272215,-0.247912849518689,0.06,-0.0489177489177489,0.068526027446634,0.15962962962963,-0.1,0.1,0.1,-0.0481818181818182,0.0615340909090909,-0.05,0.0709090909090909,0.064625850340136,0.1,0.0737167594310451,0.214285714285714,0.08,-0.0466666666666667,0.0632225738396624,0.1,-0.00492752206275338,0.2,0.05,-0.0152380952380952,-0.0171804179260167,0.0624031007751938,0.046031746031746,0.15,0.0833333333333333
"STAT",-0.099394748553627,0.183207817823202,-0.0743225402048932,-0.1,-0.0709972689520676,-0.0160286335469068,-0.0180548552393978,-0.123128927323679,-0.13133788254756,-0.13133788254756,-0.023538961038961,-0.015975935828877,0.235795454545455,0.264162561576355,-0.03,0.230532296650718,0.0300784547606699,0.24067722418695,0.00755606425983528,-0.05,0.0346581875993641,-0.0347619047619048,-0.0262873284907183,0.0239785759488786,0.034,0.173156279003355,-0.117688049824273,-0.0866666666666667,-0.0485296754527524,0.121893110640297,0.112609395109395,0,0,-0.0666666666666667,0.0625047438330171,-0.0288440694244358,0.0807843137254902,-0.0350387596899225,-0.0319645732689211,0,-0.0308151479815648,0.00588235294117647,-0.0466666666666667,-0.204545454545455,-0.00907702794819359,0.0428571428571429,0.00278157283101156,0.0428571428571429,0.00535714285714285,0.13133788254756,-0.0417327907191031,0.0158466533466533,0.0553872053872054,0.00535714285714285,0.023538961038961
"CDC42",0.0246834415584416,0.183118105999462,0.118505747126437,0.1,0.11907408562901,0.103542651562454,0.100579688599491,-0.00590892183431638,-0.0168845315904139,-0.0168845315904139,0.0914814814814815,0.0993762183235868,0.19047619047619,0.125,-0.00833333333333333,0.180672268907563,0.0309141838553603,0.189763177998472,0.0383680555555556,-0.0333333333333333,0.0538461538461538,-0.00833333333333333,0.00219298245614035,0.0369230769230769,0.0249625187406297,0.0808917748917749,-0.0842364205137928,-0.08,-0.0433048925785003,0.105210148501288,0.101864801864802,0,0.0333333333333333,-0.06,0.0415327929255711,0.000270239517551343,0.0669565217391304,-0.00837173579109063,-0.023015873015873,0.019047619047619,-0.0214029697900666,0,-0.030952380952381,-0.257142857142857,0.0212707522033204,-0.05,-0.0813981632845386,-0.05,-0.11,0.0168845315904139,-0.122028960360981,-0.0995895895895896,-0.0436507936507936,-0.11,-0.0914814814814815
"Jagged",0.046360153256705,0.169323671497585,0.115714285714286,0,0.116416988416988,0.0885847485847486,0.0786946386946387,0.0206060606060606,-0.00666666666666667,-0.00666666666666667,0.04,0.0938461538461538,0.2,0.14,0,0.144444444444444,0.0406060606060606,0.180444444444444,0.0632900432900433,0,0.12,-0.0333333333333333,0,0.105714285714286,-0.05,0.063,-0.047008547008547,0,-0.0432367149758454,0.108333333333333,0.0717948717948718,0,0,0.1,0.06,-0.0205128205128205,0.06,0.0333333333333333,-0.05,0,-0.0452380952380952,-0.1,0.0333333333333333,-0.2,0.0242857142857143,0,-0.0654344247301994,0,-0.1,0.00666666666666667,-0.094140350877193,-0.0938461538461538,-0.0388888888888889,-0.1,-0.04
"DELTA",0.046360153256705,0.169323671497585,0.115714285714286,0,0.116416988416988,0.0885847485847486,0.0786946386946387,0.0206060606060606,-0.00666666666666667,-0.00666666666666667,0.04,0.0938461538461538,0.2,0.14,0,0.144444444444444,0.0406060606060606,0.180444444444444,0.0632900432900433,0,0.12,-0.0333333333333333,0,0.105714285714286,-0.05,0.063,-0.047008547008547,0,-0.0432367149758454,0.108333333333333,0.0717948717948718,0,0,0.1,0.06,-0.0205128205128205,0.06,0.0333333333333333,-0.05,0,-0.0452380952380952,-0.1,0.0333333333333333,-0.2,0.0242857142857143,0,-0.0654344247301994,0,-0.1,0.00666666666666667,-0.094140350877193,-0.0938461538461538,-0.0388888888888889,-0.1,-0.04
"NOTCHic",0.058756847471581,0.176731078904992,0.12454552261156,0.1,0.121423218946583,0.0919933792125722,0.0881765853194425,0.0372691576289777,0.0249538866930171,0.0249538866930171,0.0786946386946387,0.0883720580494774,0.180444444444444,0.11822966507177,0,0.167541218637993,0.0296894627530466,0.174547588064744,0.0488676739007865,-0.0333333333333333,0.0541013824884793,0,0.0116279069767442,0.0383119088042687,-0.0774247491638796,0.0679461677859503,-0.0420462414450391,-0.06,-0.0417552334943639,0.0935673585673586,0.0876278004009913,0,0.0333333333333333,-0.06,0.0228571428571429,0.0126940106067241,0.0457142857142857,0.00301659125188537,-0.0219047619047619,0.0333333333333333,-0.0226241863651936,-0.105714285714286,-0.0205128205128205,-0.144444444444444,0.0280381830151415,-0.04,-0.0606894612094959,-0.04,-0.0938461538461538,-0.0249538866930171,-0.0952938360325553,-0.0885847485847486,-0.0432367149758454,-0.0938461538461538,-0.0786946386946387
