"","SHH","AXIN2","FUS","SOSGRB2","SMO","TrCP","Wnt","GLI","TCFLEF","EGR1","CD44","SUFU","MEK","ERK","cfos","NFB","NOTCH","STAT","IKK","cateninmemb","RAF","PI3K","DELTA","RAS","TWIST1","CDC42","TGFR","PAK1","ZEB1","GSK3","TGF","SNAI2","Jagged","Csn","AKT","NOTCHic","LIV1","DSH","Csl","SRC","miR200","SNAI1","cMet","HEY1","cateninnuc","Frizzled","Destcompl","SMAD","ILK","RKIP","Patched","ZEB2","Ecadherin","FOXC2","KLF4"
"AXIN2",-0.245729448147481,0.0751037975200494,-0.203846153846154,0.0136407553798858,-0.227655677655678,-0.133333333333333,-0.346332531408714,-0.352621839584815,-0.355257054616838,0.193333333333333,-0.352326222260449,-0.15,0.22197595298544,0.215079401261302,0.210406504065041,-0.157487922705314,0.210809456072614,-0.313333333333333,-0.158937198067633,0.267776798753814,0.142719981474307,0.142719981474307,0.142719981474307,0.1411451783247,0.344970914193362,0.141682098765432,0.146106877526494,0.142916666666667,-0.274281036811513,0.332396086369771,-0.146106877526494,0.448082492976416,-0.28478016695408,0.144444444444444,0.162270531400966,-0.207431077694236,0.266666666666667,0.313333333333333,-0.203859649122807,0.334263565891473,0.085587675316355,-0.343855413993698,0.346332531408714,0.0748309016057495,0.356164966419692,0.334263565891473,0.334750733699214,0.0612146307798482,0.0628019323671497,-0.358405214856828,0.240155677655678,-0.219018561702652,0.0663006535916859,-0.384036244785659,-0.224278381712496
"Destcompl",-0.205535288346065,-0.355257054616838,-0.199233716475096,0.0102174410666138,-0.204948002189381,-0.1,-0.300295802574387,-0.301594503873088,-0.300658498116073,0.161025641025641,-0.300932470718813,-0.188888888888889,0.166192059306813,0.166192059306813,0.157995337995338,-0.109937888198758,0.152847579216404,-0.29047619047619,-0.114442392703262,0.23074771522494,0.0813944678579254,0.0813944678579254,0.0813944678579254,0.0802955667590243,0.291189069064523,0.115749472202674,0.113117893255306,0.108163265306122,-0.22466671805941,0.256128067627296,-0.113610504092744,0.402368935032145,-0.244287030834166,0.114285714285714,0.11242896988447,-0.152246376811594,0.283333333333333,0.29047619047619,-0.148985507246377,0.297325505544684,0.0513749985271744,-0.285343674346248,0.299813067733738,0.0722072798995876,0.300505514944222,0.297325505544684,0.156948082084188,0.0632289055973266,0.0596031746031746,-0.305382821183673,0.206502406334459,-0.168119796484736,0.0544146442904892,-0.326954510656357,-0.175036220341452
"cateninmemb",-0.298617813902294,-0.392330722450818,-0.266666666666667,-0.131446540880503,-0.291666666666667,0.1,-0.331520354733714,-0.331520354733714,-0.329753646364553,0.00545454545454545,-0.33037631137078,-0.233333333333333,0.0076740724405976,0.0088505430288329,-0.00042780748663102,0.0942857142857143,0.162733509161287,-0.317647058823529,0.0868783068783069,0.125904572117629,-0.109351432880845,-0.109351432880845,-0.109351432880845,-0.108792773662968,0.372737527537396,0.0617575757575758,0.0563917220990392,0.0550909090909091,-0.20797323668804,0.214362914792144,-0.0572958812310464,0.434403167621792,-0.313312004284939,-0.08,-0.0881770081770082,-0.162361761949391,0.3,0.317647058823529,-0.165454545454545,0.324623803009576,0.0626384995100079,-0.242093199418198,0.330710759531315,0.0498231653857394,0.329940387727765,0.324623803009576,0.208993276065267,0.0366139593641436,0.0344347826086956,-0.238534971360011,0.297043010752688,-0.159533720697059,0.205635518281007,-0.349140512589709,-0.176511954992968
"cateninnuc",-0.274930752850756,-0.49357448685511,-0.263333333333333,-0.12042580399245,-0.268251366120219,0.0333333333333333,-0.337930190714586,-0.339115961465574,-0.337355399396345,0.00434782608695652,-0.337430081995299,-0.233333333333333,0.0177187820255585,0.013590341658586,0.0249827467218772,0.0246212121212121,0.132187948331031,-0.332167832167832,0.0366212121212121,0.159963342059216,-0.0588461538461538,-0.0588461538461538,-0.0588461538461538,-0.061034706034706,0.352343866185694,0.0956923076923077,0.103163572060124,0.108,-0.218258691921637,0.229043164738595,-0.100980165946587,0.535221813848005,-0.312690560405895,-0.0458333333333333,-0.0350587121212121,-0.133551584694667,0.309090909090909,0.332167832167832,-0.134714375392341,0.337723387723388,0.0376406271874435,-0.269024789121464,0.336636431201649,0.062655447976006,0.23611264877497,0.339017147236325,0.223057163354031,0.0476630306180102,0.0540750360750361,-0.268320447955684,0.27384142823202,-0.134791500175295,0.143167842967357,-0.403250066873018,-0.18033199501171
"SNAI2",-0.147851140456182,-0.20601445011736,-0.12,-0.0988505747126437,-0.137647058823529,0.1,-0.151498079385403,-0.154171876176847,-0.15261768918476,-0.0333333333333333,-0.153648617019812,-0.1,-0.0252252252252252,-0.0333333333333333,-0.0274509803921569,0.0666666666666667,0.10219298245614,-0.147272727272727,0.0770114942528736,-0.102702309201673,-0.0800987963072486,-0.0800987963072486,-0.0800987963072486,-0.0805554173118149,0.176793946486411,0.0274509803921569,0.0317244846656611,0.0274509803921569,-0.13898783301867,0.134864893560546,-0.0267555405662823,0.458293648915559,-0.147822549637809,-0.0666666666666667,-0.0685777593131145,-0.10219298245614,0.12,0.147272727272727,-0.107456140350877,0.147272727272727,0.0600532152538872,-0.135675468071462,0.151498079385403,0.0296865581675708,0.15261768918476,0.147272727272727,0.131583893430984,0.0191057027973262,0.0195841716968478,-0.133897435897436,0.147851140456182,-0.10598741346759,0.272781283527022,-0.207725940505226,-0.125384615384615
"DELTA",-0.0423076923076923,0.0142857142857143,0,0.08,-0.1,0,0.02,0.0123076923076923,0.0153379953379953,0.1,0.0123076923076923,0,-0.0133333333333333,0.02,0,0,0.0685714285714286,0,-0.1,0.00386683738796415,0.0533333333333333,0.0533333333333333,0.0533333333333333,0.0442424242424242,0.078,0,-0.0333333333333333,0,-0.0797101449275362,0.00498084291187739,-0.00266666666666667,0.146254399195576,0.027965367965368,0,0.0666666666666667,-0.04,0,0,-0.1,0,0.0127272727272727,-0.0333333333333333,-0.02,0.133333333333333,-0.012041292041292,0,-0.0182857142857143,0.0285714285714286,0.0333333333333333,-0.0717948717948718,0.05,-0.105797101449275,-0.020140350877193,-0.167142857142857,-0.0666666666666667
"TrCP",-0.0277653752062354,0.137610992347492,-0.0285714285714286,0.103176567656766,-0.0253456221198157,-0.1,0.103216374269006,0.107606618171445,0.107832485951298,0,0.108943597062409,-0.0285714285714286,0.00334856300663228,0.0113485630066323,0.0130434782608696,-0.075,-0.048021978021978,0.1,-0.0697368421052632,0.0845238384695567,0.086755406769754,0.086755406769754,0.086755406769754,0.0931190431333903,0.0301790890269151,-0.023249299719888,-0.023249299719888,-0.00952380952380952,-0.0761006827931456,-0.0229475108225108,0.0205170592827295,0.0999637136401435,0.0648856083844581,0.075,0.0604775828460039,0.0546153846153846,-0.1,-0.1,0.05,-0.111111111111111,-0.00451990363904368,-0.0206434144689787,-0.103003003003003,0.0318252638386689,-0.106591106640953,-0.111111111111111,-0.11625313283208,0.0263372589179041,0.0347243556920976,-0.0501144895620034,0.0117653752062354,-0.0805705921804113,-0.113394773871025,-0.134462592438153,-0.0785573770491803
"PAK1",-0.0277653752062354,0.137610992347492,-0.0285714285714286,0.103176567656766,-0.0253456221198157,-0.1,0.103216374269006,0.107606618171445,0.107832485951298,0,0.108943597062409,-0.0285714285714286,0.00334856300663228,0.0113485630066323,0.0130434782608696,-0.075,-0.048021978021978,0.1,-0.0697368421052632,0.0845238384695567,0.086755406769754,0.086755406769754,0.086755406769754,0.0931190431333903,0.0301790890269151,-0.023249299719888,-0.023249299719888,-0.00952380952380952,-0.0761006827931456,-0.0229475108225108,0.0205170592827295,0.0999637136401435,0.0648856083844581,0.075,0.0604775828460039,0.0546153846153846,-0.1,-0.1,0.05,-0.111111111111111,-0.00451990363904368,-0.0206434144689787,-0.103003003003003,0.0318252638386689,-0.106591106640953,-0.111111111111111,-0.11625313283208,0.0263372589179041,0.0347243556920976,-0.0501144895620034,0.0117653752062354,-0.0805705921804113,-0.113394773871025,-0.134462592438153,-0.0785573770491803
"LIV1",-0.0277653752062354,0.137610992347492,-0.0285714285714286,0.103176567656766,-0.0253456221198157,-0.1,0.103216374269006,0.107606618171445,0.107832485951298,0,0.108943597062409,-0.0285714285714286,0.00334856300663228,0.0113485630066323,0.0130434782608696,-0.075,-0.048021978021978,0.1,-0.0697368421052632,0.0845238384695567,0.086755406769754,0.086755406769754,0.086755406769754,0.0931190431333903,0.0301790890269151,-0.023249299719888,-0.023249299719888,-0.00952380952380952,-0.0761006827931456,-0.0229475108225108,0.0205170592827295,0.0999637136401435,0.0648856083844581,0.075,0.0604775828460039,0.0546153846153846,-0.1,-0.1,0.05,-0.111111111111111,-0.00451990363904368,-0.0206434144689787,-0.103003003003003,0.0318252638386689,-0.106591106640953,-0.111111111111111,-0.11625313283208,0.0263372589179041,0.0347243556920976,-0.0501144895620034,0.0117653752062354,-0.0805705921804113,-0.113394773871025,-0.134462592438153,-0.0785573770491803
"CDC42",-0.0117653752062354,0.134466338259442,-0.0285714285714286,0.104166666666667,-0.0285714285714286,0,0.111111111111111,0.103216374269006,0.108943597062409,0.02,0.103003003003003,-0.1,0.0113485630066323,0.0130434782608696,0,-0.075,-0.0546153846153846,0.1,-0.075,0.085805889751608,0.0904139433551198,0.0904139433551198,0.0904139433551198,0.086755406769754,0.0318095238095238,-0.00952380952380952,-0.023249299719888,0.0571428571428571,-0.0738498789346247,-0.0244020562770563,0.023249299719888,0.100506209119348,0.0532291666666667,0.1,0.0697368421052632,0.05,-0.1,-0.1,0.05,-0.1,-0.00705797470503352,-0.0227913858293605,-0.111111111111111,0.00829585207396303,-0.107832485951298,-0.1,-0.115802005012531,0.0347243556920976,0.0137566137566138,-0.0462470862470862,0.0253456221198157,-0.0802490487720512,-0.111941486673793,-0.133083282093325,-0.072
