"","cateninnuc","FOXC2","CD44","cateninmemb","cMet","Frizzled","SRC","TWIST1","Destcompl","DSH","TGFR","TGF","Ecadherin","Patched","miR200","SMO","RAS","RAF","DELTA","SMAD","ILK","HEY1","SNAI2","GSK3","SNAI1","EGR1","cfos","ERK","MEK","Jagged","Csl","AKT","NOTCH","NOTCHic","IKK","RKIP","NFB","TrCP","ZEB2","ZEB1","Csn","SUFU","LIV1","PI3K","FUS","SHH","SOSGRB2","PAK1","CDC42","KLF4","STAT","Wnt","GLI","TCFLEF","AXIN2"
"miR200",-0.140689381262979,-0.0308912767449353,-0.13645417202777,-0.134735380598977,-0.134206981016534,-0.124,-0.124347826086957,-0.12038783302587,-0.141900390213889,-0.12,-0.00196078431372549,-0.00196078431372549,-0.0228584737359943,-0.0279324894514768,0.24738013346268,-0.0266666666666667,-0.156904352207884,-0.153662456946039,-0.153662456946039,0.00119843537603684,0.000884955752212389,-2.82485875706215e-05,-0.148797430529091,-0.0757472080523762,-0.00205572205572206,0.0142857142857143,0.0242857142857143,0.0288311688311688,-0.0335930735930736,-0.0379771277871014,-0.00916256157635468,-0.0376081713718258,-0.007409200968523,-0.00571428571428572,-0.0338345864661654,0.00660239555945077,-0.0252631578947368,0,-0.314901433691756,-0.314901433691756,-0.02,0.02,0.1,0.153662456946039,0.02,0.0311933590166942,0.0333462282398453,0,0.00196078431372549,-0.315458937198068,0.12,0.133859154929577,0.13605695712738,0.139628775202373,0.18306489924788
"cMet",-0.302041478426973,-0.319435654008439,-0.258217054263566,-0.349039276263476,-0.223333333333333,-0.15,-0.05,-0.349137753632136,-0.045150959646758,-0.1,-0.279722222222222,-0.286105200945627,-0.325096524152586,-0.197272727272727,-0.0812775856389987,-0.17,0.104043126684636,0.128571428571429,0.128571428571429,-0.194910327767471,-0.189455782312925,-0.199449604403165,-0.358050643598089,-0.0970814132104455,-0.247641896214599,-0.325,-0.325,-0.335,0.329545454545455,0.0780520928347015,-0.0142857142857143,0.273333333333333,-0.0259318509038554,-0.0195488721804511,0.273333333333333,0.0274074074074074,0.266666666666667,0.2,-0.169119769119769,-0.169119769119769,0.2,0.1,-0.1,-0.128571428571429,0.15,0.219147727272727,-0.19,0.22,0.2575,-0.053968253968254,0,0.223333333333333,0.25969696969697,0.282832438878951,0.276031746031746
"CD44",-0.282832438878951,-0.297916666666667,-0.223333333333333,-0.328754578754579,-0.05,-0.1,0,-0.33003663003663,-0.0350158245116228,0,-0.2575,-0.279722222222222,-0.319753012702204,-0.17,-0.0734650856389987,-0.15,0.128571428571429,0.171428571428571,0.171428571428571,-0.189455782312925,-0.183333333333333,-0.193567251461988,-0.343452103452103,-0.080952380952381,-0.242557150451887,-0.3,-0.325,-0.325,0.335,0.0910955710955711,0,0.273333333333333,-0.0195488721804511,-0.0142857142857143,0.266666666666667,0.0237037037037037,0.2,0.1,-0.153968253968254,-0.153968253968254,0.2,0.1,-0.1,-0.171428571428571,0.1,0.197272727272727,-0.216666666666667,0.2,0.22,-0.0634920634920635,-0.1,0.15,0.223333333333333,0.258217054263566,0.23
"PAK1",-0.276716251929635,-0.314892395982783,-0.265170913487745,-0.262954201767205,-0.249329329329329,-0.238518518518519,-0.238518518518519,-0.263344249952946,-0.226133504577488,-0.22,-0.253335879806468,-0.251150087456741,-0.173260162910274,-0.118922455481595,-0.0538927430686165,-0.112749615975422,-0.254905632122275,-0.244451086667729,-0.244451086667729,-0.06642089093702,-0.0651305683563748,-0.0652600170502984,-0.026715668451786,-0.18483658008658,-0.180498911177138,0.04,0.0530434782608696,0.0682977155490052,-0.0802977155490052,-0.0584500681663258,0.0153846153846154,-0.0344785575048733,0.018021978021978,0.0169230769230769,-0.025219298245614,0.158076729899934,-0.00416666666666667,0.0333333333333333,-0.117613229461676,-0.117613229461676,0.0333333333333333,0.0761904761904762,0.2,0.244451086667729,0.10952380952381,0.124922455481595,0.224573707370737,0.238095238095238,0.251820728291317,-0.119154306531356,0.22,0.249044834307992,0.265142395283602,0.272578320895153,0.308831675806302
"CDC42",-0.272578320895153,-0.314892395982783,-0.249329329329329,-0.259474348287351,-0.238518518518519,-0.22,-0.22,-0.256822510822511,-0.223426737660195,-0.2,-0.251820728291317,-0.253335879806468,-0.174713450107506,-0.112749615975422,-0.0528775146422205,-0.10952380952381,-0.244451086667729,-0.234694989106754,-0.234694989106754,-0.0651305683563748,-0.0619047619047619,-0.0623188405797101,-0.021471545486144,-0.179745670995671,-0.180737574661625,0.02,0.04,0.0530434782608696,-0.0682977155490052,-0.0498611111111111,0,-0.025219298245614,0.0169230769230769,0.0153846153846154,-0.00416666666666667,0.160839160839161,0.0333333333333333,0,-0.114076251969714,-0.114076251969714,0.0333333333333333,0.0333333333333333,0.1,0.234694989106754,0.0761904761904762,0.118922455481595,0.209722222222222,0.314285714285714,0.238095238095238,-0.120793650793651,0.2,0.238518518518519,0.249044834307992,0.265170913487745,0.29247947454844
"MEK",-0.173176504744549,-0.228885384057798,-0.158127837075206,-0.275397471667199,-0.147638326585695,-0.126666666666667,-0.124561403508772,-0.246703557880028,0.102148208138095,-0.0666666666666667,-0.190280373831776,-0.197579643904768,-0.265583702529904,-0.177311475409836,-0.0382045503106693,-0.156,0.00313519813519813,0.0136113886113886,0.0136113886113886,-0.147697307744312,-0.148804318814423,-0.133723295674515,-0.375183443245697,-0.0316297922680901,-0.114702435102566,-0.12,-0.109655172413793,-0.0990168745414527,-0.00931645879188066,0.0499001337293525,0.0707070707070707,0.113902470078941,0.0772764137727641,0.0707070707070707,0.136255411255411,-0.0618531623175586,0.139285714285714,0.1,-0.108188016670083,-0.108188016670083,0.114285714285714,0.1,0,-0.0136113886113886,0.12,0.181886638808529,0.0307301587301587,0.18,0.18,-0.103347680535629,0.0666666666666667,0.14974358974359,0.1602331002331,0.164998066082839,0.158651689664348
"RKIP",-0.164998066082839,-0.214470969643383,-0.147638326585695,-0.264177959472077,-0.124561403508772,-0.0666666666666667,-0.0666666666666667,-0.237546048722519,0.101102183033492,0,-0.18,-0.190280373831776,-0.260301371018064,-0.156,-0.0378949527874495,-0.12,0.0136113886113886,0.0366883116883117,0.0366883116883117,-0.148804318814423,-0.153754813863928,-0.137359659310879,-0.371777117211634,-0.0318754925137904,-0.115984486384617,-0.17,-0.12,-0.109655172413793,0.0990168745414527,0.0580968550408279,0.0888888888888889,0.136255411255411,0.0707070707070707,0.0707070707070707,0.139285714285714,-0.0697478991596639,0.114285714285714,0.1,-0.103426111908178,-0.103426111908178,0.1,0.1,0,-0.0366883116883117,0.1,0.177311475409836,0.0151746031746032,0.2,0.18,-0.0994261119081779,0,0.126666666666667,0.14974358974359,0.158127837075206,0.139732770745429
"RAF",-0.164998066082839,-0.214470969643383,-0.147638326585695,-0.264177959472077,-0.124561403508772,-0.0666666666666667,-0.0666666666666667,-0.237546048722519,0.101102183033492,0,-0.18,-0.190280373831776,-0.260301371018064,-0.156,-0.0378949527874495,-0.12,0.0136113886113886,0.0366883116883117,0.0366883116883117,-0.148804318814423,-0.153754813863928,-0.137359659310879,-0.371777117211634,-0.0318754925137904,-0.115984486384617,-0.17,-0.12,-0.109655172413793,0.0990168745414527,0.0580968550408279,0.0888888888888889,0.136255411255411,0.0707070707070707,0.0707070707070707,0.139285714285714,-0.0697478991596639,0.114285714285714,0.1,-0.103426111908178,-0.103426111908178,0.1,0.1,0,-0.0366883116883117,0.1,0.177311475409836,0.0151746031746032,0.2,0.18,-0.0994261119081779,0,0.126666666666667,0.14974358974359,0.158127837075206,0.139732770745429
"DELTA",-0.258574758574759,-0.292857142857143,-0.223076923076923,-0.234543625388696,-0.2,-0.1,-0.1,-0.253,-0.217297297297297,0,-0.211111111111111,-0.231111111111111,-0.170456140350877,-0.0833333333333333,-0.0587878787878788,-0.0333333333333333,-0.225454545454545,-0.18,-0.18,-0.0619047619047619,-0.0666666666666667,-0.166666666666667,-0.0536450477626948,-0.188122605363985,-0.183333333333333,-0.1,0,0.02,-0.0533333333333333,-0.0615584415584416,-0.1,0.0222222222222222,-0.12,-0.12,0.0333333333333333,0.138461538461538,0,0,-0.101207729468599,-0.101207729468599,0,0,0,0.18,0,0.121794871794872,0.16,0.2,0.2,-0.105555555555556,0,0.2,0.223076923076923,0.244289044289044,0.25
"SRC",-0.353968403689978,-0.249103641456583,-0.319590163934426,-0.347746969016614,-0.295,-0.275,-0.275,-0.296503726158899,-0.216635212613473,-0.2,-0.185119047619048,-0.186937229437229,-0.277376708259061,-0.141851851851852,-0.0295915678524374,-0.123333333333333,-0.025120415671104,-0.00542344597413433,-0.00542344597413433,-0.0968764817449028,-0.0905701754385965,-0.108730552797087,-0.186160209431984,-0.173160173160173,-0.117449191006254,-0.166666666666667,-0.175757575757576,-0.164646464646465,0.143891747665333,-0.0697471183251,-0.12,0.0991452991452991,-0.108095238095238,-0.115238095238095,0.126923076923077,-0.0183773216031281,0.15,0.1,-0.078968253968254,-0.078968253968254,0.15,0.0333333333333333,0,0.00542344597413433,0.0833333333333333,0.150675381263617,0.0742857142857143,0.133333333333333,0.170833333333333,0.0189276485788114,0.1,0.295,0.319590163934426,0.340321871251499,0.354188448297845
