"","FOXC2","CDC42","TGFR","PAK1","TGF","Jagged","NOTCHic","Ecadherin","NOTCH","TWIST1","SNAI2","SMO","Csl","SUFU","FUS","SOSGRB2","Csn","RKIP","TCFLEF","CD44","SRC","cMet","SNAI1","cfos","cateninmemb","ERK","ZEB2","RAS","miR200","PI3K","DELTA","RAF","KLF4","EGR1","MEK","DSH","STAT","LIV1","Wnt","Frizzled","GLI","TrCP","NFB","AKT","cateninnuc","ZEB1","IKK","SMAD","AXIN2","ILK","HEY1","Patched","SHH","Destcompl","GSK3"
"ZEB1",-0.127899759875653,-0.13135932033983,-0.122729878715465,-0.127011494252874,-0.114855862967433,-0.0728508805142417,-0.0534313725490196,-0.107700590806091,-0.0509520337060444,-0.130409222108251,-0.214758011094424,-0.0435606060606061,-0.0416666666666667,-0.0583333333333333,-0.0708333333333333,-0.0950487329434698,-0.0266666666666667,0.00540631515486448,-0.0674353143117452,-0.0655736121840856,-0.0550343964978111,-0.0530736121840856,0.0231194260593639,-0.0606666666666667,-0.0012188242483401,-0.0453725490196078,-0.158658883228069,-0.0315665365686623,0.168513932941078,-0.0285744105844103,-0.0285744105844103,0.0285744105844103,-0.166417639637114,0.0166666666666667,0.0387646195041893,0.0238095238095238,0.0282051282051282,0.0666666666666667,0.0506387921022067,0.0506387921022067,0.0626662835111415,-0.0333333333333333,-0.0101754385964912,-0.011393237191339,0.073599697873389,-0.0799506920747771,-0.00853609433419614,0.0095812328821498,0.175979689550984,0.0095812328821498,0.0170939768349095,0.055325311942959,0.058528158918048,0.22261612797864,0.179290191148072
"MEK",-0.203562581148788,-0.195238095238095,-0.205518469069871,-0.166666666666667,-0.213547666150163,-0.105375018720784,-0.0804972804972805,0.110050562998249,-0.0958257476505652,0.00777846336669866,0.438610788131422,-0.153333333333333,-0.134343434343434,-0.133333333333333,-0.173333333333333,0.148507936507937,-0.114285714285714,-0.43952896948253,0.160392440022814,0.156066740277267,0.135087719298246,0.127395411605938,-0.20700557179144,-0.327241379310345,0.0397352876549433,-0.376177549523111,-0.133982236797158,-0.127147852147852,-0.0455588955141336,-0.131909756909757,-0.131909756909757,0.131909756909757,-0.120038259206121,0.31,0.266177549523111,-0.0666666666666667,-0.0666666666666667,-0.1,-0.128974358974359,-0.136666666666667,-0.157645687645688,0.1,0.164285714285714,0.138831168831169,-0.175819949316494,0.1349689599417,0.118831168831169,0.207888394022033,-0.182063075733962,0.202353338671479,0.2070017245627,0.145136612021858,0.153633344048002,-0.45097851395453,-0.437213712745628
"TrCP",-0.279734729888591,-0.255182072829132,-0.250636618283677,-0.257142857142857,-0.255008202983131,-0.0817237559645535,-0.0561538461538462,-0.0913092427885475,-0.0748351648351648,-0.163623000188218,-0.221246007680453,-0.0787250384024578,-0.0730769230769231,-0.0857142857142857,-0.0690476190476191,-0.154565456545655,-0.05,-0.231424744684413,-0.09000802782981,-0.0814895093112915,-0.0714814814814815,-0.0904004004004004,-0.193959638943174,-0.0982608695652174,-0.0669351363494938,-0.106735445836404,-0.13261428174736,-0.0908156408658561,-0.00940266892790034,-0.0980883681385834,-0.0980883681385834,0.0980883681385834,-0.126129586260734,0.12,0.0987354458364038,0.09,0.09,0.05,0.0899025341130604,0.0714814814814815,0.079658631674036,0.1,0.0625,0.065229044834308,0.0872494071401548,0.133071738696023,0.0467105263157895,0.0746168288103772,0.103696130371472,0.0771974739716675,0.0791038304377223,0.0848978779086306,0.0898978779086306,0.114223022979302,0.0199751082251082
"CD44",-0.185833333333333,-0.18,-0.1675,-0.2,-0.184166666666667,-0.13034965034965,-0.214285714285714,-0.111275105851699,-0.219548872180451,-0.214065934065934,0.121052281052281,-0.05,-0.2,-0.1,-0.1,0.0690476190476191,-0.2,-0.198518518518519,-0.0670542635658915,-0.0833333333333333,0,0.05,-0.130276448697501,-0.175,-0.081978021978022,-0.155,-0.128571428571429,0.180952380952381,-0.0603249890206412,0.195238095238095,0.195238095238095,-0.195238095238095,-0.0238095238095238,0.2,0.155,0,-0.1,-0.1,0.05,0.1,0.0833333333333333,0.1,0.2,0.22,0.0809004174120453,0.141269841269841,0.2,0.0930839002267574,0.1,0.127777777777778,0.18187134502924,0.11,0.119090909090909,-0.0153388628178544,0.080952380952381
"cfos",-0.269389902302384,-0.257142857142857,-0.255182072829132,-0.242857142857143,-0.250636618283677,-0.0884722222222222,-0.0730769230769231,-0.0891639140688243,-0.0561538461538462,-0.164709956709957,-0.216544380194015,-0.0690476190476191,-0.05,-0.1,-0.0857142857142857,-0.155555555555556,-0.1,-0.224242424242424,-0.0814895093112915,-0.0904004004004004,-0.09,-0.0714814814814815,-0.197539591210477,-0.12,-0.0718801912945487,-0.0982608695652174,-0.125861870171798,-0.0980883681385834,-0.00229606994312877,-0.0858932461873639,-0.0858932461873639,0.0858932461873639,-0.131047619047619,-0.08,0.106735445836404,0.05,0.05,0.1,0.0714814814814815,0.09,0.0899025341130604,0,0.05,0.0467105263157895,0.09000802782981,0.128248587570621,0.0625,0.0771974739716675,0.105582922824302,0.0804232804232804,0.0864567716141929,0.0787250384024578,0.0848978779086306,0.108809489144715,0.0210660173160173
"RAF",-0.191850869437076,-0.166666666666667,-0.195238095238095,-0.133333333333333,-0.205518469069871,-0.118489772819145,-0.134343434343434,0.110597011085681,-0.0804972804972805,8.61556743909683e-05,0.42985166404383,-0.173333333333333,-0.0888888888888889,-0.1,-0.133333333333333,0.14184126984127,-0.1,-0.423739495798319,0.156066740277267,0.127395411605938,0.0666666666666667,0.135087719298246,-0.198672238458107,-0.31,0.0392474827768945,-0.327241379310345,-0.122077474892396,-0.131909756909757,-0.041534127712276,-0.113961038961039,-0.113961038961039,0.113961038961039,-0.118077474892396,0.31,0.376177549523111,-0.1,-0.1,0,-0.136666666666667,-0.0666666666666667,-0.128974358974359,0.1,0.114285714285714,0.118831168831169,-0.160392440022814,0.131794356767097,0.164285714285714,0.202353338671479,-0.159540553211439,0.193442447582371,0.199728997289973,0.153333333333333,0.145136612021858,-0.435706547427333,-0.406501182033097
"cMet",-0.204820675105485,-0.1675,-0.184166666666667,-0.18,-0.194804964539007,-0.104262693827911,-0.219548872180451,-0.111529558777908,-0.247208446648536,-0.208447956537844,0.110103375942792,-0.11,-0.214285714285714,-0.1,-0.05,0.0757142857142857,-0.2,-0.198518518518519,-0.0809004174120453,-0.0670542635658915,0.05,-0.0833333333333333,-0.113327296155128,-0.155,-0.078063431230691,-0.155,-0.121500721500721,0.194159928122192,-0.0509499890206412,0.180952380952381,0.180952380952381,-0.180952380952381,-0.0285714285714286,0.175,0.153181818181818,0.1,0,-0.1,0.0833333333333333,0.05,0.0651515151515151,0.2,0.2,0.245,0.0809004174120453,0.152380952380952,0.22,0.0985384456813028,0.0952380952380952,0.0930839002267574,0.148538011695906,0.119090909090909,0.100340909090909,-0.00385237633136793,0.0874039938556068
"DELTA",-0.271428571428571,-0.2,-0.233333333333333,-0.2,-0.245333333333333,-0.0878787878787879,-0.2,-0.105122807017544,-0.142857142857143,-0.178,-0.222599296128708,-0.1,-0.1,0,0,-0.16,0,-0.225641025641026,-0.0726340326340326,-0.0938461538461538,-0.1,-0.04,-0.191666666666667,0,-0.0751929760380464,-0.02,-0.120289855072464,-0.0963636363636364,-0.00727272727272727,-0.06,-0.06,0.06,-0.133333333333333,0.1,0.12,0,0,0,0.04,0.1,0.0938461538461538,0,0,0.0444444444444444,0.0979087579087579,0.146376811594203,0.1,0.0619047619047619,0.115714285714286,0.0666666666666667,0.166666666666667,0.1,0.0769230769230769,0.121714285714286,0.0670498084291188
"SMAD",-0.222990020646725,-0.207243460764588,-0.197746254060677,-0.214285714285714,-0.198543066809681,-0.188329143974305,-0.15816091954023,-0.103325683634699,-0.184351395730706,-0.162129912709157,-0.252896033143208,-0.185,-0.18,-0.2,-0.175,-0.148972197574682,-0.144444444444444,-0.166496602255847,-0.11139888537957,-0.0974233087174264,-0.0749206349206349,-0.104332399626517,-0.127354031273386,-0.0566820276497696,-0.0521396167460963,-0.0566820276497696,-0.104568091070818,0.0425898330582311,-0.0053268857121148,0.0320635172687574,0.0320635172687574,-0.0320635172687574,-0.101439795356796,0.0857142857142857,0.0412974122651542,0.0904761904761905,0.0971428571428571,0.04,0.0971001221001221,0.0682539682539683,0.0891864530353739,0.2,0.168253968253968,0.170685340802988,0.111297568256976,0.0982530181242512,0.146685340802988,0.0633018579593922,0.137836374258836,0.167587572245106,0.170583342593809,0.191422018348624,0.19997220422223,0.190225405257475,0.236824384192805
"GLI",-0.170517070863433,-0.075,-0.0668238993710692,-0.075,-0.0670591934887163,-0.0407978772829188,-0.032343059239611,-0.0718360618366387,-0.0494859163824681,-0.0977523174806706,-0.196017260097406,-0.139880952380952,-0.052343059239611,-0.152380952380952,-0.139880952380952,0.0828713174730874,-0.0333333333333333,-0.113689154275053,-0.0858903497815297,-0.0774487913399712,-0.0674193548387097,-0.0869315499606609,-0.0717878683887606,-0.109047619047619,-0.0591431321230601,-0.115541125541126,-0.0853792456050521,0.0895317811964564,-0.000659000442282177,0.0818090089192287,0.0818090089192287,-0.0818090089192287,-0.079969111969112,0.125714285714286,0.101728970844993,0.18,0.09,0.05,0.17741935483871,0.15741935483871,0.0667810569663692,0.0666666666666667,0.0491228070175439,0.0463804600787684,0.0824832965836815,0.0799117596859532,0.0307554600787684,0.0357859564094214,0.0979015700483092,0.0368670374905024,0.0384297130901545,0.137840136054422,0.145659066095574,0.135047745234143,0.121453609231788
