"","cateninmemb","GLI","Wnt","cateninnuc","TCFLEF","PAK1","Frizzled","CDC42","SRC","Ecadherin","DSH","miR200","RKIP","AXIN2","Patched","SMO","FUS","Destcompl","SNAI2","SUFU","cfos","EGR1","MEK","ERK","SMAD","IKK","KLF4","HEY1","FOXC2","NOTCH","Jagged","RAS","RAF","PI3K","DELTA","ZEB2","ZEB1","SOSGRB2","NOTCHic","Csl","TWIST1","AKT","ILK","NFB","Csn","TrCP","SNAI1","SHH","STAT","LIV1","TGF","TGFR","cMet","CD44","GSK3"
"ZEB1",0.291330756237627,0.258697377134641,0.256291878852854,0.260912178366064,0.257781062906181,0.142337164750958,0.250522648083624,0.126395135765451,0.245028142589118,0.185754169326154,0.228571428571429,0.0227174919756667,0.114212029105646,0.125290567268872,0.154812834224599,0.146969696969697,0.133333333333333,0.114825539015315,0.138988426031274,0.133333333333333,0.0953333333333333,0.0833333333333333,0.0804797443206357,0.0800392156862745,0.0958019079882792,0.0637331032499281,0.0935082210161617,0.0871837747744484,0.0557904435928543,-0.00992039377734564,-0.00220124736735132,0.0915481387462416,0.0882410521320683,0.0882410521320683,0.0882410521320683,-0.0946956240690256,-0.0946956240690256,0.0162183235867446,0.00330882352941176,-0.0104166666666667,0.0550404378731049,-0.056590246107071,-0.0924365233728946,-0.0719298245614035,-0.0666666666666667,-0.0666666666666667,-0.0979942083700991,-0.158015681199688,-0.223076923076923,-0.2,-0.112585630989081,-0.115735237288293,-0.250910495530295,-0.252993828863628,-0.103242186839462
"TWIST1",0.297481325152491,0.233083709273183,0.223483709273183,0.241605231443212,0.23775244248404,-0.151515151515152,0.211904761904762,-0.165308254963427,0.211904761904762,0.308094782617648,0.195238095238095,0.140853509415505,0.135035345904911,0.143114466178982,0.29351598173516,0.286666666666667,0.266666666666667,0.133857154087353,0.0422652365540359,0.233333333333333,0.10231884057971,0.106666666666667,0.0995432448740281,0.0970556826849733,0.149439178152049,-0.0172161172161172,0.0902230560767146,0.154262122058732,0.231860562543233,-0.120772993603182,-0.107550650599691,0.157476925120865,0.151312541559221,0.151312541559221,0.151312541559221,-0.0739651932634389,-0.0739651932634389,0.27579455886092,0.111339031339031,0.0985185185185185,0.156973457193709,0.0256906934873037,-0.147128947128947,0.00769230769230769,0,0,-0.116019476559457,-0.30287558764649,-0.195238095238095,-0.166666666666667,0.179869758380284,0.172808254963427,-0.222543059777102,-0.231780007568267,-0.120391088178938
"CD44",-0.268772893772894,-0.17,-0.15,-0.200161001788909,-0.19093023255814,0.133333333333333,-0.1,0.153333333333333,-0.2,-0.262271740310498,0,0.139995608256478,0.0685185185185185,-0.13,-0.09,-0.05,-0.1,-0.150578413183455,-0.00553224553224553,-0.1,0.075,0,0.045,0.055,-0.0731292517006803,0.166666666666667,-0.0365079365079365,-0.128070175438597,0.0541666666666667,0.145112781954887,-0.0386013986013986,-0.287619047619048,-0.261904761904762,-0.261904761904762,-0.261904761904762,-0.0634920634920635,-0.0634920634920635,-0.171428571428571,-0.171428571428571,-0.1,-0.192600732600733,-0.12,0.0833333333333333,-0.1,0,-0.1,-0.143726741095162,0.0990909090909091,0.1,0.1,-0.201944444444444,-0.190833333333333,0.25,0.17,-0.106547619047619
"cMet",-0.276246203381435,-0.192727272727273,-0.17,-0.206375691054445,-0.200161001788909,0.153333333333333,-0.15,0.190833333333333,-0.25,-0.270668686875384,-0.1,0.141558108256478,0.0685185185185185,-0.141111111111111,-0.0990909090909091,-0.09,-0.05,-0.149227061832104,-0.00772202655414334,-0.1,0.055,0.075,0.0686363636363636,0.045,-0.0804019789734075,0.12,-0.0365079365079365,-0.12218782249742,0.0554324894514768,0.160006398976164,-0.0233840072970508,-0.285732255166217,-0.287619047619048,-0.287619047619048,-0.287619047619048,-0.0624819624819625,-0.0624819624819625,-0.204761904761905,-0.145112781954887,-0.171428571428571,-0.207207474173766,-0.1325,0.0731292517006803,-0.166666666666667,-0.1,0,-0.145421656349399,0.0959659090909091,0.2,0.1,-0.208327423167849,-0.201944444444444,0.17,0.19093023255814,-0.0936443932411674
"GLI",0.199139598229012,0.187299446889257,0.282618595825427,0.180667209341817,0.178455613406372,-0.275,0.269677419354839,-0.271551724137931,0.159677419354839,0.159612433392792,0.26,-0.0437112010796221,-0.0439392649720356,0.127827596618357,0.207993197278912,0.205952380952381,0.205952380952381,0.130618205304624,0.00241719664014002,0.180952380952381,0.102380952380952,0.0857142857142857,0.098707277989046,0.103679653679654,0.0760714017694936,0.00730397422126745,0.0657237237237237,0.0766253365574248,0.0590084279325765,-0.0337037387899457,0.00357665994567371,0.215905401940862,0.215311342534921,0.215311342534921,0.215311342534921,-0.0596139272913466,-0.0596139272913466,0.333732138068421,0.0241799292661362,0.0216799292661362,0.115728157901333,0.000508525778732546,-0.075530861228953,-0.00526315789473684,0,-0.0333333333333333,0.0323737027100102,-0.213342991517595,-0.15,-0.15,0.281836592802378,0.275954239861201,-0.171872541306058,-0.176182886133644,-0.0106681571786114
"TCFLEF",0.220712666162519,0.208006457878581,0.200553041729512,0.108710247100152,0.105187910330392,-0.230769230769231,0.184313725490196,-0.23309481216458,0.179166666666667,0.226606749541746,0.184313725490196,-0.0898440515307985,-0.108260090921615,0.0748952380952381,0.192857142857143,0.192857142857143,0.183333333333333,0.0611350082671768,-0.00576944265233021,0.15,-0.0369686411149826,-0.0442857142857143,-0.036288369006139,-0.0322067363530778,0.0675025407542264,-0.131943024717218,0.060964158390629,0.0993455768071812,0.202723792108053,-0.255492002057015,-0.122186254539592,0.231422734272659,0.231028516138624,0.231028516138624,0.231028516138624,-0.0567512404749247,-0.0567512404749247,0.278378627360663,0.247186354216483,0.249147138530209,0.226867021075477,0.135203894282436,-0.0665465178096757,0.135168831168831,0.131168831168831,0.0857142857142857,0.0159427810683041,-0.199605609114812,-0.179166666666667,-0.166666666666667,0.24191761342719,0.234963971043084,-0.195405982905983,-0.202324221899694,-0.0436121235944349
"PI3K",0.078353021073,0.0223634336677815,0.0115942028985507,0.030219453237937,0.0308380099389679,-0.075,0.0333333333333333,-0.104411764705882,0.0333333333333333,0.1464622182943,0,-0.0812106443253984,-0.023852617970265,-0.00228571428571429,0.0243589743589744,0.0166666666666667,0,0.0302109545773064,-0.0122300112197324,0,-0.0285714285714286,0,-0.0451577352252376,-0.0697478991596639,0.0302917967186875,-0.196078431372549,0.0486842105263158,0.0346550970302358,0.0850940766550523,-0.0928660049627792,0.00228070175438596,0.0870184427444701,0.0705800865800866,0.0705800865800866,0.0705800865800866,-0.0522133502117922,-0.0522133502117922,0.0330769230769231,0.105769230769231,0.075,0.0515369559560579,0.188386123680241,-0.0294917967186875,0.166666666666667,0.166666666666667,0.2,0.00844605475040258,-0.0188034188034188,0,0.1,0.0994686752749881,0.108411764705882,-0.0115942028985507,-0.0223634336677815,0.0824675324675325
"ILK",0.078353021073,0.0223634336677815,0.0115942028985507,0.030219453237937,0.0308380099389679,-0.075,0.0333333333333333,-0.104411764705882,0.0333333333333333,0.1464622182943,0,-0.0812106443253984,-0.023852617970265,-0.00228571428571429,0.0243589743589744,0.0166666666666667,0,0.0302109545773064,-0.0122300112197324,0,-0.0285714285714286,0,-0.0451577352252376,-0.0697478991596639,0.0302917967186875,-0.196078431372549,0.0486842105263158,0.0346550970302358,0.0850940766550523,-0.0928660049627792,0.00228070175438596,0.0870184427444701,0.0705800865800866,0.0705800865800866,0.0705800865800866,-0.0522133502117922,-0.0522133502117922,0.0330769230769231,0.105769230769231,0.075,0.0515369559560579,0.188386123680241,-0.0294917967186875,0.166666666666667,0.166666666666667,0.2,0.00844605475040258,-0.0188034188034188,0,0.1,0.0994686752749881,0.108411764705882,-0.0115942028985507,-0.0223634336677815,0.0824675324675325
"AKT",0.0788627050689225,0.0307433219359379,0.0223634336677815,0.0314502224687062,0.030219453237937,-0.104411764705882,0.0115942028985507,-0.108411764705882,0.0115942028985507,0.149037975870057,0.0333333333333333,-0.0817454036836872,-0.030684916106911,-0.00120268179473956,0.0188034188034188,0.0243589743589744,0.0166666666666667,0.0291356857601021,-0.015144584084054,0,-0.0697478991596639,-0.0285714285714286,-0.0426260896556174,-0.0451577352252376,0.0286082950351858,-0.188386123680241,0.0512483130904184,0.0369107361279801,0.0873497157527966,-0.0916464927676572,-0.00235505983501801,0.0887051897324219,0.0870184427444701,0.0870184427444701,0.0870184427444701,-0.0433092406227511,-0.0433092406227511,0.021965811965812,0.0928660049627792,0.105769230769231,0.0573473535095747,0.0792952145893323,-0.0302917967186875,0.196078431372549,0.166666666666667,0.166666666666667,0.00619041565265822,-0.0230139451192083,-0.0333333333333333,0,0.105813086151121,0.0994686752749881,-0.0223634336677815,-0.0308380099389679,0.0792417260159196
"DELTA",0.229828059264679,0.167692307692308,0.16,0.205387945387945,0.188904428904429,-0.2,0.1,-0.2,0.1,0.197719298245614,0,-0.0739393939393939,-0.0769230769230769,0.114285714285714,0.0583333333333333,0.0333333333333333,0,0.121096525096525,-0.0022875816993464,0,0,-0.1,-0.0533333333333333,-0.02,0.0380952380952381,0.0333333333333333,0.0166666666666667,0.133333333333333,0.0628571428571429,-0.162857142857143,-0.052034632034632,0.1,0.1,0.1,0.1,-0.0384057971014493,-0.0384057971014493,0.16,0.12,0.1,0.171,0,-0.0333333333333333,0,0,0,0.0583333333333333,-0.0814102564102564,0,0,0.245333333333333,0.233333333333333,-0.16,-0.167692307692308,-0.107662835249042
"SNAI1",0.206437327519947,0.181401480097741,0.178659249750392,0.185588273182408,0.183936233946476,-0.217086834733894,0.174269005847953,-0.2231474407945,0.174624624624625,0.169355217267017,0.161111111111111,-0.0633475368588349,-0.0815591506053606,0.130057088866458,0.0762152244410309,0.0712152244410309,0.0675115207373272,0.123426633665769,-0.00295014318855972,0.0642857142857143,-0.0165659543109801,-0.0182608695652174,-0.0223357599910997,-0.0232326209776468,0.040492571745994,0.00618908382066277,0.0409842339877578,0.0418128120813543,0.0505313280747071,-0.0484353741496599,-0.0356096249849633,0.117619215266027,0.115484568303794,0.115484568303794,0.115484568303794,-0.0382664440296262,-0.0382664440296262,0.176600504390062,0.0447619047619048,0.0348717948717949,0.157727692597258,-0.00271686159844054,-0.0393855606758833,-0.0135964912280702,-0.00833333333333333,-0.00833333333333333,-0.0449814184623725,-0.0787394962856911,-0.161111111111111,-0.15,0.23068644132332,0.228065473581385,-0.178585020664229,-0.181177613256821,-0.113736461146115
"CDC42",0.200069584727334,0.174269005847953,0.161111111111111,0.181177613256821,0.178585020664229,-0.114285714285714,0.15,-0.219047619047619,0.15,0.164886256517509,0.15,-0.0573380867498515,-0.0837529137529137,0.128029556650246,0.0675115207373272,0.0642857142857143,0.0476190476190476,0.121647185044215,-0.00485290864852909,0.0333333333333333,-0.04,-0.02,-0.0165659543109801,-0.0182608695652174,0.0380952380952381,0.00833333333333333,0.0484761904761905,0.0376811594202899,0.0465204618432739,-0.0348717948717949,-0.0319791666666667,0.115030022849248,0.108932461873638,0.108932461873638,0.108932461873638,-0.0381240631845959,-0.0381240631845959,0.1625,0.0333333333333333,0.0333333333333333,0.153194805194805,-0.0135964912280702,-0.0380952380952381,-0.00833333333333333,-0.0333333333333333,0,0.0519809304619431,-0.0712152244410309,-0.15,-0.1,0.2231474407945,0.217086834733894,-0.161111111111111,-0.174624624624625,-0.114034090909091
"PAK1",0.203915738573488,0.178659249750392,0.174269005847953,0.183936233946476,0.181177613256821,-0.219047619047619,0.161111111111111,-0.217086834733894,0.161111111111111,0.167169993541731,0.15,-0.0619066146686332,-0.0798855104379966,0.128658487467856,0.0712152244410309,0.0675115207373272,0.0642857142857143,0.122549440683313,-0.00358708586371896,0.0476190476190476,-0.0182608695652174,-0.04,-0.0232326209776468,-0.0165659543109801,0.0393855606758833,0.0135964912280702,0.0419188134270101,0.0406223358908781,0.0506583928777567,-0.0447619047619048,-0.034433154396728,0.115484568303794,0.115030022849248,0.115030022849248,0.115030022849248,-0.0371594329595155,-0.0371594329595155,0.169430693069307,0.0348717948717949,0.0333333333333333,0.155368718238283,-0.00618908382066277,-0.0380952380952381,-0.00833333333333333,-0.00833333333333333,-0.0333333333333333,0.054128901822325,-0.0762152244410309,-0.15,-0.15,0.228065473581385,0.2231474407945,-0.174624624624625,-0.178585020664229,-0.113670454545455
"NOTCHic",0.250016455981011,0.205033461162493,0.188904428904429,0.217670232348531,0.212326720898149,-0.233333333333333,0.167692307692308,-0.245333333333333,0.167692307692308,0.211868633818405,0.16,-0.0607767184645797,-0.0914932566219599,0.133048817011081,0.0872926093514329,0.0814102564102564,0.0583333333333333,0.126501509520201,0.00187312065774874,0.0333333333333333,-0.0533333333333333,-0.02,-0.029047619047619,-0.0319047619047619,0.0421479958890031,0,0.0455486542443064,0.142296544035674,0.0631863067807768,-0.073977686150861,-0.071755014668922,0.127214963946598,0.118840579710145,0.118840579710145,0.118840579710145,-0.0354428341384863,-0.0354428341384863,0.190861244019139,0.0660829493087558,0.162857142857143,0.195688199552287,-0.00232558139534884,-0.0414285714285714,0,-0.0333333333333333,0,0.0593426943426943,-0.0969700287062716,-0.16,-0.1,0.259387165262653,0.248559139784946,-0.188904428904429,-0.205387945387945,-0.117786802191191
"Csl",0.256132663932082,0.212291525678622,0.205033461162493,0.22172969489856,0.217670232348531,-0.245333333333333,0.188904428904429,-0.248559139784946,0.188904428904429,0.215938401260265,0.167692307692308,-0.0644804221682834,-0.088267450170347,0.135362441689744,0.0969700287062716,0.0872926093514329,0.0814102564102564,0.128024970824284,0.00403568590756231,0.0583333333333333,-0.0319047619047619,-0.0533333333333333,-0.036656314699793,-0.029047619047619,0.0443702181112253,0.00232558139534884,0.0412629399585921,0.146871707434367,0.0677840079302021,-0.0857958679690428,-0.0759216813355886,0.129420846299539,0.127214963946598,0.127214963946598,0.127214963946598,-0.034890347950641,-0.034890347950641,0.203056365970358,0.073977686150861,0.0660829493087558,0.199977138604205,0.0062015503875969,-0.0421479958890031,0,0,-0.0333333333333333,0.0617142358446706,-0.10386658043041,-0.167692307692308,-0.16,0.265963128981474,0.259387165262653,-0.205387945387945,-0.212326720898149,-0.118228628406213
"Frizzled",0.057136803874092,0.00582706766917293,-0.00131578947368421,0.0121594549287125,0.0131118358810935,-0.0666666666666667,0.025,-0.1,0.025,0.113074258550262,0.1,-0.0831092171717172,-0.0492857142857143,-0.0131219168428471,0.0138528138528139,0.00909090909090909,0,0.0228876018902059,-0.0173020232785815,0,-0.04,0,-0.0552505446623094,-0.0811764705882353,0.0177900753645157,-0.0841666666666667,0.0277310924369748,0.0235133660665576,0.0649129083890406,-0.0799719887955182,0.00515597147950089,0.0418915936943289,0.026930963773069,0.026930963773069,0.026930963773069,-0.0337211339498369,-0.0337211339498369,0.00303030303030304,0.0976190476190476,0.0642857142857143,0.0643137254901961,0.0716666666666667,-0.0168554959252634,0.0466666666666667,0.0666666666666667,0.1,0.0293305728088337,-0.00740120094958805,0,0.1,0.0957763975155279,0.104347826086957,0.00131578947368421,-0.00582706766917293,0.0867868338557994
"Wnt",0.0542796610169492,-0.00131578947368421,0.025,0.0131118358810935,0.00582706766917293,-0.1,0.1,-0.0666666666666667,0,0.112374957850961,0,-0.0971717171717172,-0.035,-0.0224242424242424,0.00909090909090909,0,0,0.0210308379644764,-0.0188793103448276,0,0,-0.1,-0.0811764705882353,-0.04,0.0168554959252634,-0.0466666666666667,0.00392156862745098,0.0256410256410256,0.0788663967611336,-0.0976190476190476,0.00818627450980392,0.026930963773069,0.0451127819548872,0.0451127819548872,0.0451127819548872,-0.0307508369201339,-0.0307508369201339,-0.00606060606060606,0.0642857142857143,0.05,0.0576470588235294,0.0841666666666667,-0.0145299145299145,0.0666666666666667,0.1,0.1,0.0277432712215321,-0.0138528138528139,0.1,0,0.104347826086957,0.1,-0.025,0.00131578947368421,0.0922413793103448
