"","ZEB2","ZEB1","TGF","CDC42","PAK1","Ecadherin","Csn","AXIN2","miR200","Patched","SHH","SMO","FUS","RKIP","Frizzled","ILK","SMAD","Wnt","DSH","CD44","TrCP","cfos","SNAI1","EGR1","Csl","TWIST1","NOTCH","SNAI2","FOXC2","NOTCHic","Jagged","Destcompl","ERK","STAT","LIV1","TCFLEF","cMet","MEK","HEY1","cateninnuc","SRC","GLI","SUFU","KLF4","NFB","RAS","RAF","PI3K","DELTA","IKK","AKT","SOSGRB2","cateninmemb","TGFR","GSK3"
"GLI",-0.27720822665984,-0.27720822665984,-0.400900991235792,-0.396896551724138,-0.39,-0.211607037444778,-0.0944444444444444,-0.140791062801932,-0.141514759750054,-0.201937880415324,-0.206464629386517,-0.203978696741855,-0.193452380952381,-0.200395070007781,-0.223870967741936,-0.0873780448407314,-0.0873780448407314,-0.236812144212524,-0.24,-0.110893675900052,-0.0833333333333333,0.0290476190476191,-0.208905938490702,0.0457142857142857,0.0116003536693192,-0.133236927192785,0.005409877478843,-0.0103226612427094,0.0635977812177503,-0.00160035366931919,0.0388147718508315,0.0851010232824406,-0.0303463203463204,0.12,0.1,0.115763805770181,0.116066089693155,-0.0308988065341657,0.0851237330863816,0.112237206846093,0.103870967741935,0.132131293148694,0.180952380952381,0.275972543972544,0.120760233918129,0.188081006665617,0.182338432408192,0.182338432408192,0.182338432408192,0.122801050244659,0.125926050244659,0.228950312224648,0.197660366217872,0.398783344176968,-0.000688787255718283
"TGFR",-0.261057245744435,-0.261057245744435,-0.331453056399865,-0.431111111111111,-0.431111111111111,-0.0985365496493154,-0.233333333333333,-0.0451353407361991,-0.148721060178235,-0.16992816091954,-0.171623076173778,-0.16367816091954,-0.153333333333333,-0.15995670995671,-0.0528571428571429,-0.161104594330401,-0.160036978672038,-0.0509703504043127,-0.0428571428571429,-0.0427623303541874,-0.233333333333333,0.0651629072681704,-0.242850020722104,0.080952380952381,-0.0333333333333333,-0.185112692763938,-0.0124948317208302,-0.0569350790006115,0.0370474517887656,0.0160919540229885,0.134174564043457,0.0285690507162572,-0.0540517961570593,0.0333333333333333,0,0.0418053925551443,0.0414465408805031,-0.0485723441022648,0.146044439312143,0.0413625227588644,0.0433333333333333,0.0529058342752804,0.153333333333333,0.258448203842941,0.247619047619048,0.184513366750209,0.183928571428571,0.183928571428571,0.183928571428571,0.268671679197995,0.280299586174739,0.245971410006498,0.0795886129999493,0.329325396825397,0.155226230671568
"CD44",-0.253968253968254,-0.253968253968254,-0.2725,-0.26,-0.2,-0.275183476278363,-0.1,-0.13,-0.163640755379886,-0.12,-0.129090909090909,-0.1,-0.1,-0.0862962962962963,-0.1,-0.122222222222222,-0.128344671201814,-0.1,0,-0.106666666666667,0,0,-0.257363104731526,0,-0.2,-0.199120879120879,-0.190977443609023,-0.0201309801309801,0.11375,0.185714285714286,0.0907226107226107,-0.0677889337553203,0,-0.1,-0.1,0.113643410852713,0,-0.01,0.116374269005848,0.115181872391175,0,0.106666666666667,0.1,0.153968253968254,0,-0.0685714285714286,-0.0714285714285714,-0.0714285714285714,-0.0714285714285714,0,0.00666666666666667,0.147619047619048,0.25007326007326,0.2725,-0.10297619047619
"RKIP",-0.249646102343376,-0.249646102343376,-0.315006675567423,-0.293333333333333,-0.3,-0.189071864333042,0,-0.019971870604782,-0.140727933759965,-0.132,-0.140196721311475,-0.12,-0.1,-0.154341736694678,0,-0.143228498074454,-0.144218597084355,-0.02,0,-0.0234817813765182,0,0.13,-0.335420205937782,0.08,-0.211111111111111,-0.229676173499703,-0.214957264957265,-0.111663752404266,0.0679192455054524,0.211111111111111,0.111059907834101,-0.0317372245065273,-0.140344827586207,0,0,0.0171880750828119,0.0157894736842105,-0.133961848862803,0.11831204026326,0.0210048689759417,0,0.0276923076923077,0.1,0.239646102343376,-0.0142857142857143,-0.165703740703741,-0.166558441558442,-0.166558441558442,-0.166558441558442,0.0107142857142857,0.0137445887445887,0.0641904761904762,0.158687258687259,0.302857142857143,-0.193498817966903
"SUFU",-0.244910921631833,-0.244910921631833,-0.27308050717216,-0.275405405405405,-0.27,-0.0628407989893349,-0.164285714285714,-0.254422458772743,-0.123838642998324,-0.255858585858586,-0.259333489333489,-0.258888888888889,-0.253333333333333,-0.179605629193258,-0.201388888888889,-0.070189452124936,-0.0704203990071531,-0.20715811965812,-0.2125,-0.09815428538985,-0.15,-0.136783216783217,-0.166165572052817,-0.127692307692308,0.195909090909091,-0.030682564444308,0.195223665223665,0.0135285351804763,0.123458926472509,-0.193636363636364,-0.0625470036084465,-0.00308850816869293,0.137932642070573,0.106666666666667,0.1,0.100871676694198,0.100409924487594,0.134953918666318,0.0817749737603064,0.0988767917837119,0.0955555555555555,0.20529938359864,0.253333333333333,0.253121625601257,0.168285714285714,0.216910634484635,0.214378988915015,0.214378988915015,0.214378988915015,0.172131868131868,0.172803009071465,0.181174089068826,0.135712548602156,0.273277745830937,-0.00236382884913987
"ZEB2",-0.234937962300167,-0.234937962300167,-0.193209647495362,-0.191168831168831,-0.185714285714286,-0.166740016191606,-0.133333333333333,-0.132803622957386,-0.131503636722402,-0.130296167247387,-0.128477985429205,-0.127857142857143,-0.125,-0.121755233494364,-0.115757575757576,-0.114285714285714,-0.113675958188153,-0.110629370629371,-0.109090909090909,-0.102329434697856,-0.1,-0.0929824561403509,-0.0899450590628173,-0.0666666666666667,-0.0512820512820513,-0.0510586704581561,-0.0462547288776797,0.00888494518241801,0.0186169386169386,0.0446153846153846,0.074620212835995,0.0991451740476148,0.0994340690435767,0.1,0.1,0.101273096669687,0.10140350877193,0.101873093433821,0.102463343108504,0.102571797968388,0.106666666666667,0.111546801822031,0.125,0.136557563234944,0.145833333333333,0.14717608943519,0.148246753246753,0.148246753246753,0.148246753246753,0.1525,0.153434579439252,0.158150183150183,0.170989450000686,0.193209647495362,0.211553544551766
"ILK",-0.231283817777561,-0.231283817777561,-0.299451458632233,-0.280882352941176,-0.275,-0.217221631741749,0.233333333333333,0.050952380952381,-0.130547387924437,-0.0333333333333333,-0.0444444444444444,-0.0333333333333333,0,-0.214156431803491,0.0111111111111111,-0.0571748699479792,-0.0611748699479792,-0.0280193236714976,0,0.00121144555927165,0.2,0.0619047619047619,-0.199078099838969,0.0333333333333333,-0.125,-0.168034483928996,-0.114578163771712,-0.0109818718626097,0.0954982578397212,0.140384615384615,0.0249122807017544,-0.0172006421720896,-0.0560224089635854,0,-0.1,0.0174326222373385,0.0280193236714976,-0.0379896220783395,0.0426462180069283,0.00320581811362718,-0.0111111111111111,-0.00121144555927165,0,0.217763157894737,-0.2,-0.144479155547649,-0.148588744588745,-0.148588744588745,-0.148588744588745,-0.194117647058824,-0.1710407239819,0.206538461538462,0.105221823513885,0.288882352941176,-0.161014911014911
"EGR1",-0.220164636058067,-0.220164636058067,-0.22264774762364,-0.221008403361345,-0.219047619047619,-0.195215430950994,-0.0583333333333333,-0.136170647829724,-0.112055072759761,-0.0535927632701826,-0.0555927632701826,-0.0572964669738863,-0.0476190476190476,-0.16809141135108,-0.101481481481481,-0.0401860385731353,-0.0388957159924902,-0.109376218323587,-0.12,-0.103648995530184,-0.0333333333333333,-0.0617391304347826,-0.136328414242072,-0.04,0.0397435897435897,-0.081783079239601,0.0331501831501832,-0.00429748575364393,0.0336186282755322,-0.0320512820512821,0.00133137355146558,0.0919198584289215,0.0634340456890199,0.12,0.1,0.108093439974628,0.10958958958959,0.0621007123556866,0.0411294352823588,0.104783095147042,0.101481481481481,0.10401036466505,0.0476190476190476,0.219873015873016,0.0833333333333333,0.153375988483593,0.149739624847229,0.149739624847229,0.149739624847229,0.0885964912280702,0.0885964912280702,0.166446644664466,0.186423977203722,0.221008403361345,0.0962922077922078
"NOTCHic",-0.218421900161031,-0.218421900161031,-0.217699974887565,-0.215111111111111,-0.211111111111111,-0.200482778105665,-0.0333333333333333,-0.13279200359389,-0.110213947901809,-0.0624057315233786,-0.0570293874373571,-0.0506410256410256,-0.0583333333333333,-0.163831085540653,-0.103076923076923,-0.0414285714285714,-0.0392702980472765,-0.0818648018648019,-0.08,-0.0917549117549118,0,-0.0466666666666667,-0.142871387871388,0.02,-0.0657142857142857,-0.0700781366592048,0.0463400436575309,-0.0247128195436577,0.0333838051349572,-0.0568663594470046,-0.0150157519693944,0.0641705577406512,0.0680952380952381,0.08,0.1,0.0831834831834832,0.0818648018648019,0.0680952380952381,-0.0577034559643255,0.0897483686796664,0.103076923076923,0.0915422212196406,0.0333333333333333,0.222601794340925,0.0666666666666667,0.135102448775612,0.138550724637681,0.138550724637681,0.138550724637681,0.0888888888888889,0.0912144702842377,0.149808612440191,0.190746714148219,0.218336917562724,0.0874988125771825
"cfos",-0.217913832199546,-0.217913832199546,-0.221008403361345,-0.219047619047619,-0.214285714285714,-0.192931693926773,-0.0333333333333333,-0.138686371100164,-0.110024615906969,-0.0572964669738863,-0.0535927632701826,-0.0476190476190476,-0.0476190476190476,-0.160909090909091,-0.12,-0.0417989417989418,-0.0401860385731353,-0.101481481481481,-0.1,-0.10958958958959,0,-0.04,-0.141340347416297,0.12,0.0166666666666667,-0.0768917748917749,0.0320512820512821,-0.0106265996776946,0.0281013868962219,-0.0397435897435897,-0.00173611111111111,0.0857544448950869,0.0617391304347826,0.1,0.1,0.103648995530184,0.101481481481481,0.0634340456890199,0.0411294352823588,0.108093439974628,0.12,0.109376218323587,0.0333333333333333,0.219873015873016,0.0583333333333333,0.149739624847229,0.152178649237473,0.152178649237473,0.152178649237473,0.0833333333333333,0.0885964912280702,0.155555555555556,0.185508226287971,0.221008403361345,0.10211038961039
"Jagged",-0.215458937198068,-0.215458937198068,-0.215111111111111,-0.2,-0.2,-0.197859649122807,0,-0.134285714285714,-0.109090909090909,-0.0583333333333333,-0.0506410256410256,-0.0333333333333333,0,-0.158974358974359,-0.1,-0.0333333333333333,-0.0380952380952381,-0.08,0,-0.103076923076923,0,0,-0.141666666666667,-0.1,-0.1,-0.063,-0.0657142857142857,-0.0290346907993967,0.0328571428571428,0.08,-0.0251948051948052,0.0608185328185328,-0.02,0,0,0.0818648018648019,0.08,0.0466666666666667,-0.0666666666666667,0.0917549117549118,0.1,0.103076923076923,0,0.211111111111111,0,0.14,0.14,0.14,0.14,0.0333333333333333,0.0666666666666667,0.14,0.190190232302908,0.211111111111111,0.0908045977011494
"TCFLEF",-0.21126408825093,-0.21126408825093,-0.280170050963472,-0.277638640429338,-0.284615384615385,0.117757759952469,-0.0766233766233766,-0.354575335775336,-0.115182461447522,-0.0679877112135177,-0.064920226550941,-0.0647619047619048,-0.06,-0.18257243881159,-0.0158823529411765,0.00663264221158958,0.00682384680049971,-0.00648064353946707,-0.00588235294117647,-0.00751652959200129,-0.0857142857142857,-0.153519163763066,-0.167962258568953,-0.165714285714286,0.158345289335246,-0.0707568468202774,0.16512660651328,-0.0315906028345818,0.159769611180969,-0.170109995217599,-0.0737942342004762,-0.151952246314851,0.156376306620209,0,0,-0.0983253948066241,0.000598290598290599,0.159777667164427,0.029663082437276,-0.0945453260781018,0.01,0.013312941676113,0.0666666666666667,0.208264896867838,0.0646233766233766,0.057740345989944,0.0612883091962514,0.0612883091962514,0.0612883091962514,0.0807524088814411,0.0785784958379629,0.133992323046215,-0.152168865948307,0.279507799307843,-0.0913771848781769
"NFB",-0.197192002995996,-0.197192002995996,-0.0996318117887738,-0.0934343434343434,-0.0888888888888889,0.127846646199948,0.142857142857143,0.144493414387031,-0.101084683082581,0.108378033205619,0.0987394789887519,0.101481481481481,0.12,-0.114592966232311,0.10982905982906,0.0636963696369637,0.0603506447299005,0.0898290598290598,0.0944444444444444,0.102823410111546,0.1,0.0494285714285714,-0.100428484010519,0.0214285714285714,-0.140692640692641,-0.112871148459384,-0.127441232602523,-0.0113638577159341,0.0691696705242522,0.142279942279942,0.0100413652208505,-0.10323650960264,-0.0383174603174603,-0.0944444444444444,-0.15,-0.0943845915461449,-0.0898290598290598,-0.0285135387488329,-0.0737155388471178,-0.10120812095791,-0.10982905982906,-0.103312205896476,-0.12,0.188278388278388,-0.242857142857143,-0.202621869309418,-0.203119381747229,-0.203119381747229,-0.203119381747229,-0.234749034749035,-0.223637923637924,0.0600818222025652,-0.167245239781034,0.0958343434343434,-0.231414565826331
