"","ZEB1","Ecadherin","cateninmemb","GSK3","miR200","AXIN2","GLI","Frizzled","DSH","TCFLEF","cateninnuc","Destcompl","cMet","TWIST1","STAT","LIV1","NOTCHic","NOTCH","Csl","SOSGRB2","TGF","CDC42","TGFR","PAK1","FOXC2","SHH","Patched","SMO","HEY1","RAS","RAF","SNAI2","SMAD","NFB","TrCP","SUFU","ILK","IKK","AKT","PI3K","DELTA","Csn","FUS","SNAI1","ZEB2","Jagged","EGR1","cfos","RKIP","ERK","MEK","SRC","CD44","Wnt","KLF4"
"ZEB1",0.171909370137168,0.190716155390829,0.25516928995659,-0.077118304152702,0.307618198548819,0.133120781158874,0.0220465478700329,0.0218350754936121,0.00476190476190476,0.0231359709199768,0.0266584758123448,0.0231141870466962,0.0194864437332156,-0.0057407654266592,0.0102564102564103,0.0333333333333333,-0.0143382352941177,-0.00937955760816724,-0.0104166666666667,0.0836257309941521,0.0299067351491527,0.0248625687156422,0.0385681524719874,0.0408045977011494,0.0212548127722471,0.0704068104109972,0.0686274509803922,0.0666666666666667,-0.00272811816853268,-0.0921648663246259,-0.0822436064821062,0.164350229490402,-0.00140611784714313,0.0719298245614035,0.0666666666666667,-0.0666666666666667,-0.00676695907593379,0.0670117917745183,0.0741546489173754,0.0822436064821062,0.0822436064821062,0.0666666666666667,-0.0666666666666667,0.091025775060282,-0.360640826968545,0.0256685065418844,0.1,0.112,0.105372654424879,0.101411764705882,0.110662866027468,-0.0273295809881176,-0.0271253326221045,-0.0141427678013044,-0.352199974632674
"miR200",0.309740143369176,0.314630316586651,0.284743144984032,0.0143088990422871,0.250232824764089,0.172131412883995,0.123661352731775,0.116,0.12,0.127232391799639,0.125717240284487,0.0963062732004086,0.125511328842621,0.109465871551761,0.12,0.1,0.0411822660098522,0.0394873507556149,0.0377339901477833,0.0544132817537073,0.0458566847594251,0.0431372549019608,0.0382985452245414,0.0333333333333333,0.0292262750799336,0.0301064024949551,0.0279324894514768,0.0266666666666667,0.0034180790960452,-0.0863386882964804,-0.0935706084959816,0.141611144989913,0.0051240715567844,0.0147368421052632,0,-0.02,-0.00104883644706654,0.0233082706766917,0.0176478933182012,0.0935706084959816,0.0935706084959816,0.02,-0.02,0.0018973618973619,-0.315595878136201,-0.0296641093263006,0.0142857142857143,0.00428571428571428,0.00583057683789922,0.00883116883116883,0.00134817563388992,-0.115652173913043,-0.123264137831385,-0.125859154929577,-0.311111111111111
"AKT",0.0334398719353603,-0.0980247994750867,-0.10037617387506,-0.185510248413474,0.209202603585439,-0.145623517276947,-0.0959555646900801,-0.0893719806763285,-0.111111111111111,-0.102982826700245,-0.0986751343925523,-0.0688620619064566,-0.103218134522482,-0.0698734046880548,-0.111111111111111,-0.1,0.116625310173697,0.130039944320039,0.123076923076923,0.00282051282051282,0.153972506252519,0.146176470588235,0.173005738880918,0.166176470588235,0.160986123846201,-0.118882141250562,-0.124145299145299,-0.11025641025641,-0.0660130297492293,-0.160577258687838,-0.150697740615549,-0.0336559181050506,-0.0987475588215084,0.127450980392157,0.166666666666667,0.1,0.0809024409763906,0.14027149321267,0.0412815942227707,0.150697740615549,0.150697740615549,0.133333333333333,0.133333333333333,0.192811830300389,-0.259431334663246,-0.0267369582897641,0.119047619047619,0.160224089635854,0.232057839858351,0.161863433898149,0.177053307315871,0.0893719806763285,0.0970034452569456,0.103218134522482,-0.257079397210976
"PI3K",0.0115220637161822,-0.0981763146266019,-0.0970122595019714,-0.197607022607023,0.222036828184369,-0.147428571428571,-0.103218134522482,-0.111111111111111,-0.1,-0.0970034452569456,-0.102982826700245,-0.0568686789453317,-0.0893719806763285,-0.0805767686024279,-0.1,-0.1,0.123076923076923,0.116625310173697,0.1,0.0161538461538462,0.173005738880918,0.166176470588235,0.146176470588235,0.125,0.1812868757259,-0.124145299145299,-0.11025641025641,-0.133333333333333,-0.0772912252379511,-0.150697740615549,-0.165766233766234,-0.0341584306678646,-0.0809024409763906,0.133333333333333,0.2,0.1,0.0961024409763906,0.127450980392157,0.14027149321267,0.165766233766234,0.165766233766234,0.166666666666667,0.1,0.183538647342995,-0.25532174562215,-0.0293859649122807,0.133333333333333,0.119047619047619,0.243859082094376,0.160224089635854,0.161863433898149,0.111111111111111,0.103218134522482,0.0893719806763285,-0.25109649122807
"Wnt",0.0620755619320899,-0.171985875388708,-0.150169491525424,-0.192868338557994,0.196666666666667,-0.160606060606061,-0.109210526315789,-0.2,-0.2,-0.123496240601504,-0.117535975700841,-0.0867027817992186,-0.125,-0.149411764705882,-0.1,0,0.107142857142857,0.132142857142857,0.15,-0.0636363636363636,0.0205797101449275,0,0.0466666666666667,0.1,0.0275303643724696,-0.121645021645022,-0.145454545454545,-0.1,-0.0528205128205128,-0.169412166780588,-0.137593984962406,0.0175,-0.103259789306301,0.0666666666666667,0.1,0,0.0683760683760684,0.0466666666666667,0.0341666666666667,0.137593984962406,0.137593984962406,0.1,0.1,0.160973084886128,-0.251410808225729,-0.0184803921568627,0.1,0.133333333333333,0.213333333333333,0.133333333333333,0.174509803921569,0.1,0.109210526315789,0.125,-0.23921568627451
"GLI",0.0717328042328042,-0.159059453179408,-0.163127656416248,0.0372943809641719,0.221948876716679,-0.123325785024155,-0.112575396665186,-0.0103225806451613,-0.02,-0.0941258421439653,-0.0926315205659617,-0.084063667418519,-0.0952006294256491,-0.104644162666234,-0.1,-0.1,-0.0309106984969054,-0.0280535556397625,-0.0309106984969054,0.177128682526913,0.0541924936532844,0.0548850574712644,0.0605454348297549,0.0583333333333333,-0.0340233703130375,0.0676550834758855,0.0664205155746509,0.0643796992481203,-0.0119179914595874,0.163283358880509,0.168629893533974,0.11836501161979,-0.0136012348651684,-0.052046783625731,-0.0333333333333333,-0.0571428571428571,0.0108985321624657,-0.0663324979114453,-0.0600824979114453,-0.168629893533974,-0.168629893533974,-0.0888888888888889,-0.0696428571428571,0.0782215799528771,-0.235201826250213,0.00500404801280697,-0.125714285714286,-0.109047619047619,0.078816595519674,-0.115541125541126,-0.112778694601899,0.0903225806451613,0.0934764914946146,0.0138519924098672,-0.241994851994852
"SMAD",0.0670311962720082,-0.0412991581927876,-0.0328031139578567,-0.131128362030618,0.220595590869126,-0.0201730741949213,-0.0302066039476111,-0.0333333333333333,-0.0333333333333333,-0.0182671668395988,-0.0184698010847862,-0.0379030065954497,-0.0180392156862745,-0.0810359636773108,-0.02,-0.02,-0.000591133004926108,0.00258347016967707,0.00285714285714286,-0.0147219757468205,-0.0264367989563204,-0.0280348759221999,-0.0252415798328144,-0.0238095238095238,-0.017612550545637,0.00818327023862305,0.00558103975535168,0.00833333333333333,-0.00831196689127528,-0.0882458632687316,-0.0862721790582053,0.14309706417828,-0.0861009310324379,0.0404761904761905,0.05,-0.00833333333333333,-0.0177085927770859,0.034593837535014,0.034593837535014,0.0862721790582053,0.0862721790582053,0.0166666666666667,-0.00833333333333333,0.0740309533656308,-0.230308662858068,0.0172943722943723,0.0285714285714286,0.0382488479262673,0.105161396644481,0.0382488479262673,0.0420950017724211,0.02,0.0184028520499109,0.0294871794871795,-0.232267070658043
"TGFR",-0.00526797267611569,-0.0359262052964857,-0.0319085837964857,0.127819530085091,0.196536415321176,-0.0199027711545594,-0.0251638987914094,-0.0328571428571428,-0.0428571428571429,-0.0166618518852878,-0.0155103904149601,-0.000182040404814144,-0.0214465408805031,-0.160413865823118,-0.0333333333333333,0,-0.190114942528736,-0.195150913751757,-0.186666666666667,0.303378817413905,-0.0319596420128335,0.0641269841269841,-0.0340873015873016,0.0688888888888889,-0.02745945102932,0.0594083625560101,0.0588433908045977,0.0432183908045977,0.0524822695035461,0.196480785296575,0.199404761904762,0.00426344272201764,0.0771422409144829,-0.0726190476190476,-0.0333333333333333,-0.0466666666666667,-0.0739393939393939,-0.0726190476190476,-0.0633167220376523,-0.199404761904762,-0.199404761904762,-0.0583333333333333,-0.0466666666666667,0.127748229244609,-0.2290323292508,0.0691988965016755,-0.247619047619048,-0.284461152882205,0.0265800865800866,-0.291127819548872,-0.292497682562571,0.0233333333333333,0.0161833829857663,0.0309703504043127,-0.228654970760234
"TGF",-0.0033811802232855,-0.0381408560630956,-0.0332942650897883,0.122685055757463,0.194483629397423,-0.0237654320987654,-0.0309703504043127,-0.0428571428571429,0,-0.0161833829857663,-0.0166618518852878,0.0012292499177665,-0.0233333333333333,-0.161481481481481,0,0,-0.186666666666667,-0.190114942528736,-0.166666666666667,0.294736842105263,-0.0340873015873016,0.0688888888888889,0.0641269841269841,0.08,-0.0296428571428571,0.0588433908045977,0.0432183908045977,0.0466666666666667,0.0524822695035461,0.199404761904762,0.195833333333333,0.00542085012942505,0.0739393939393939,-0.0583333333333333,0,-0.0666666666666667,-0.0739393939393939,-0.0726190476190476,-0.0726190476190476,-0.195833333333333,-0.195833333333333,-0.0333333333333333,-0.0466666666666667,0.128633184996821,-0.228654970760234,0.0720974472263132,-0.233333333333333,-0.247619047619048,0.0294372294372294,-0.284461152882205,-0.291127819548872,0.0333333333333333,0.0214465408805031,0.0328571428571428,-0.228654970760234
"cfos",0.0870517698604866,-0.162734068434969,-0.164833204333767,-0.073538961038961,0.212027841439606,-0.128390804597701,-0.0962962962962963,-0.1,-0.1,-0.098998998998999,-0.0993693693693694,-0.0932956006891364,-0.0962962962962963,-0.087982683982684,-0.1,-0.1,0.05,0.0515384615384615,0.05,-0.05,-0.0870002546473135,-0.0904761904761905,-0.088515406162465,-0.0857142857142857,-0.0691576142652183,-0.0846333276440804,-0.0858678955453149,-0.0761904761904762,-0.0577961019490255,0.0601493171794463,0.0528322440087146,0.116347205106329,-0.0658986175115207,-0.116666666666667,-0.1,0.0666666666666667,0.0642857142857143,-0.0666666666666667,-0.0824561403508772,-0.0528322440087146,-0.0528322440087146,-0.0666666666666667,0.10952380952381,0.0346890240561127,-0.218440370498482,-0.0545486111111111,0.12,0,0.101934731934732,0.0217391304347826,0.0200442151805453,0.1,0.098998998998999,0.0962962962962963,-0.208698412698413
