"","ZEB2","AXIN2","STAT","SRC","TCFLEF","CD44","cMet","GLI","cfos","Jagged","EGR1","KLF4","MEK","ERK","NOTCH","NOTCHic","RAF","PI3K","SNAI1","RKIP","TWIST1","AKT","NFB","SUFU","ILK","SMAD","HEY1","SHH","TrCP","ZEB1","Patched","SMO","Csn","SNAI2","TGF","TGFR","CDC42","GSK3","FUS","IKK","PAK1","miR200","RAS","SOSGRB2","DELTA","Csl","Ecadherin","Wnt","Frizzled","cateninnuc","cateninmemb","Destcompl","DSH","FOXC2","LIV1"
"ZEB2",-0.164535291825593,-0.146040387691318,-0.13,-0.11,-0.108831782115696,-0.105662768031189,-0.104736842105263,-0.0994339299843887,-0.0719298245614035,-0.0684636460037996,-0.0666666666666667,-0.0600370635123548,-0.0590265987549519,-0.0590265987549519,-0.0555208070617907,-0.054974358974359,-0.0540692640692641,-0.0540692640692641,-0.0514166693432122,-0.0328019323671498,-0.0312605725929989,-0.0276765316718588,-0.0263888888888889,-0.025,-0.0207106743022236,-0.0201009182046626,-0.0100823370178209,-0.00267817548305353,0,0.000391996454988579,0.000958188153310105,0.0107142857142857,0.0111111111111111,0.0148270451021174,0.0171703428846286,0.0176994434137291,0.0197402597402597,0.0216608855615893,0.025,0.0286111111111111,0.0324675324675325,0.0324797666757413,0.0512855381591998,0.0534432234432235,0.0540692640692641,0.058974358974359,0.0625048206815527,0.0975990675990676,0.102727272727273,0.110909704193618,0.113427609199628,0.116355053538615,0.122727272727273,0.13822533022533,0.15
"ZEB1",-0.15634279983473,-0.1991328405087,-0.176923076923077,-0.15984990619137,-0.162961434490633,-0.158706115341696,-0.155928337563919,-0.154289315579233,-0.0713333333333333,-0.0870803812496918,-0.0833333333333333,-0.15478387706193,-0.0741216204543491,-0.0701568627450981,-0.0596783341435748,-0.0563725490196078,-0.151532347149372,-0.151532347149372,-0.0367699564596486,-0.0271879893156489,0.0473317271375524,-0.0993290603558075,-0.0929824561403509,-0.025,-0.0299580571322722,-0.0246695955938107,-0.0184551976520888,-0.0204749240362596,0.0666666666666667,0.00679535797712004,-0.0194073083778966,-0.00568181818181818,-0.0666666666666667,0.0700201299237617,0.0341894729387641,0.0345831737261657,0.0350907879393637,0.0919655116728162,0.0125,0.0979004889272361,0.0423371647509579,0.0301880068524062,0.149170142424963,0.114736842105263,0.151532347149372,0.0583333333333333,0.0567467882034633,0.15050924685071,0.154355400696864,0.165114076369302,0.18064586925722,0.186460550994463,0.171428571428571,0.10486305486736,0.2
"FOXC2",-0.15546955624355,0.184613684059391,0.133333333333333,0.115686274509804,0.117003844705028,0.111318225975931,0.108709530323757,0.112157806185826,0.0345454545454546,0.138912362000818,0.08,-0.133333333333333,0.051768013672198,0.040427807486631,0.0126187540077936,0.00746411483253589,0.21448717948718,0.21448717948718,-0.156897426961447,-0.168501339929911,-0.204078431372549,0.245396825396825,0.22,0.2,0.084,0.0709565217391304,0.0645530939648587,-0.0967069892473118,-0.1,-0.119974200206398,-0.102083333333333,-0.133333333333333,0.2,-0.0900673211483095,-0.0705484109386548,-0.0700606060606061,-0.0687272727272727,-0.183875092417951,-0.166666666666667,-0.234285714285714,-0.0727272727272727,0.0454741554741555,-0.210075414781297,-0.158704974271012,-0.21448717948718,-0.0127272727272727,0.00584509751628524,-0.108709530323757,-0.115686274509804,-0.120615301741143,-0.151009309119065,-0.19255489901311,-0.133333333333333,0.224441531670812,-0.166666666666667
"GLI",-0.0944497354497355,-0.0849426328502415,-0.06,-0.0503225806451613,-0.0578332575208508,-0.0562098808974742,-0.0527616050354052,-0.0376817796439097,-0.0973809523809524,0.0243602118883657,-0.105714285714286,-0.0936954096954097,-0.0984572241754562,-0.0934848484848485,0.0096845395983327,0.0115893015030946,0.0869342435265002,0.0869342435265002,-0.0921862883170364,-0.0644301577270793,-0.0868790160980314,0.0475396079484425,0.0342105263157895,0.0476190476190476,0.0159618233017062,0.0181239854638683,0.013818576254909,-0.0778654086715908,-0.0833333333333333,-0.0910249189281447,-0.0799230218403151,-0.0778822055137845,0.05,-0.0454498694790072,-0.115262556291222,-0.117850791585339,-0.113448275862069,0.00121536198320625,-0.0726190476190476,-0.0444146079484425,-0.11,0.00294106306490208,-0.0883203821403616,-0.181572616174386,-0.0869342435265002,-0.0090893015030946,0.0136942820249553,-0.0661480075901328,-0.0696774193548387,0.0582516675626918,0.0536860661466648,0.0770544164794335,-0.06,0.17687328001376,0.1
"miR200",-0.094005376344086,-0.116229100188766,-0.08,-0.0756521739130435,-0.0754341993992943,-0.0742437232088181,-0.0742437232088181,-0.0745915492957746,-0.00428571428571428,-0.0118592983297371,-0.0142857142857143,-0.0920807453416149,4.32900432900452e-05,0.00480519480519481,0.00406557012050875,0.00463054187192118,-0.1118407960199,-0.1118407960199,0.0178249528249528,0.0160146259176538,0.0950825861255309,-0.0242928074904242,-0.0252631578947368,-0.02,-0.00812848246476565,-0.00656108434564339,-0.00669491525423729,0.00627499541368556,0,0.105416666666667,0.00953586497890296,0.0133333333333333,-0.02,0.0780895768262397,0.0171452789668005,0.0165638836179633,0.0149509803921569,0.0545078510706074,0.02,0.022406015037594,0.0208333333333333,-0.000281476908604521,0.109596406992469,0.0277208252740168,0.1118407960199,-0.00463054187192118,-0.00481562766412701,0.0745915492957746,0.076,0.0764948054599004,0.0820886694120131,0.120437718188557,0.08,-0.0296651316163511,0.1
"RAS",-0.0863070692194404,-0.106561264822134,-0.1,-0.1,-0.0833022046789256,-0.0802252816020025,-0.0823529411764706,-0.0781862745098039,-0.08,-0.0564202641435048,-0.08,-0.0832142857142857,-0.0688544891640867,-0.0747368421052632,0.00794438927507448,-0.00526315789473684,0.106153846153846,0.106153846153846,-0.137305801376598,0.00622012578616352,0.0123076923076923,-0.00111111111111111,0,0.1,0.00519480519480519,0.00315398886827458,0.0126482213438735,0.00691525423728813,0.1,-0.0937739322533137,0.012,0,-0.1,-0.00156669276994358,0.11895165987187,0.125882352941176,0.12,-0.153643410852713,0,0.00666666666666667,0.14,0.0568923076923077,-0.204230769230769,-0.0445887445887446,-0.106153846153846,0,-0.0279270285189174,0.0823529411764706,0.1,0.0858517797497471,0.00301275733952576,-0.131957859864837,0.1,0.0846031746031746,0
"SUFU",-0.0847142037625602,-0.220315933155415,-0.08,-0.0633333333333333,-0.0714299652677494,-0.0676256174416624,-0.0623624595469256,0.036090458488228,-0.132074592074592,-0.0712923685088353,-0.116923076923077,-0.0954574457642093,-0.134500613106629,-0.133224017361948,0.0404978354978355,0.0428787878787879,-0.201268885095812,-0.201268885095812,0.0179786232942932,0.0376653341749071,0.0446993435829919,-0.116527915037982,-0.113714285714286,-0.0533333333333333,0.00519201228878648,0.00865621552204283,0.00820597248046174,-0.00378319878319878,0.1,0.00209131725773452,-0.00803030303030303,-0.005,-0.0857142857142857,0.00190597222371128,-0.0642108525496414,-0.0648025685259728,-0.0637387387387387,0.190915250400395,0.0283333333333333,0.125252747252747,-0.0583333333333333,-0.0137668425110693,0.200319518007204,-0.0575205496258128,0.201268885095812,-0.0474242424242424,-0.0260408129811412,-0.0416666666666667,-0.0416666666666667,0.072401832275422,0.0734876969139005,0.209082979072169,-0.025,-0.0293012479002761,0.1
"TCFLEF",-0.0621184653553074,0.561255677655678,0.170833333333333,0.200833333333333,0.112400473319069,0.213202306079665,0.211944444444444,0.216863151057524,-0.049581881533101,0.149446813516711,-0.0471428571428571,0.0471956964604024,-0.0559764393562303,-0.050534262485482,0.0259499526791242,0.025617726765503,0.123387505865845,0.123387505865845,0.0443053366902739,-0.0405152224824356,-0.200985041789309,0.0814215041620371,0.0953766233766234,0.0666666666666667,-0.057666742614111,-0.054798673780459,-0.0680910965204428,-0.175228671322081,-0.114285714285714,-0.000936381357433989,-0.169093701996928,-0.156190476190476,0.123376623376623,-0.0766424377938295,-0.25349442296039,-0.24985203885443,-0.247048300536673,0.282803181625961,-0.113333333333333,-0.0792475911185588,-0.230769230769231,-0.0246903631843391,-0.126147032804084,-0.2931933056963,-0.123387505865845,-0.025617726765503,0.0344100466962424,-0.21562091503268,-0.204509803921569,-0.112228652013227,0.00738902285912125,0.319951086439686,-0.174509803921569,0.170758525907851,-0.133333333333333
"LIV1",-0.0448816651299465,-0.0746847600458531,-0.06,-0.0414814814814815,-0.0497653098643198,-0.0464319765309864,-0.0414814814814815,-0.0494789140873865,0.00434782608695652,0.0823261758691207,0,-0.040903981264637,0.00204274134119381,0.00604274134119381,0.0982417582417582,0.101538461538462,-0.0793479993623466,-0.0793479993623466,0.0169097544953259,0.00764736184625687,-0.0223183700357613,0.058625730994152,0.0583333333333333,-0.119047619047619,0.0389400921658986,0.0428110599078341,0.0312020460358056,0.0599608010468226,-0.133333333333333,-0.0482471874065811,0.0569608010468226,0.0631336405529954,0.0833333333333333,-0.0391205397516032,-0.071115480469386,-0.0738477209065444,-0.0677871148459384,0.117760822510823,0.0857142857142857,-0.0530701754385965,-0.0619047619047619,0.00621171403494485,0.0784389084532557,0.0014026402640264,0.0793479993623466,-0.1,0.0191126778292852,0.0441130604288499,0.0414814814814815,0.0507308271056991,0.052245554531674,0.100520769420092,0.06,0.0523477347204651,0.1
"Csl",-0.0280135408047971,-0.106257330404636,-0.0815384615384615,-0.0603263403263403,-0.0630928867570089,-0.0598867798867799,-0.057029637029637,-0.0624768779607489,-0.00619047619047619,0.0629546698855474,-0.0133333333333333,-0.0237474120082816,-0.00196687370600414,0.00238095238095238,0.0931223954313938,0.0949405772495756,-0.109305347326337,-0.109305347326337,0.0417518391431435,0.0343989896998717,-0.00365554625927292,0.0397932816537468,0.0444444444444444,-0.133333333333333,0.0302226789996574,0.0330004567774352,0.12476162371303,0.0753254412058312,-0.133333333333333,-0.0380591809681409,0.0770495791368656,0.0867269984917044,0.0777777777777778,-0.0328632059820058,-0.0613600168099566,-0.0638543478757163,-0.0581218637992831,0.134134203098104,0.11025641025641,-0.0374677002583979,-0.0484444444444444,0.00470832578959067,0.106731817914572,0.0297171976504454,0.109305347326337,-0.0896774193548387,0.0103483388377521,0.059251071509136,0.0603263403263403,0.0648653281520918,0.0719746617627517,0.127623757820788,0.0815384615384615,0.0232855856469395,0.12
