"","TGF","RKIP","SNAI1","Jagged","HEY1","Ecadherin","NOTCH","SHH","Patched","NOTCHic","SOSGRB2","Csl","Destcompl","CD44","TCFLEF","cateninnuc","cMet","AXIN2","SRC","cfos","RAF","EGR1","ZEB2","KLF4","FOXC2","SNAI2","GSK3","miR200","ZEB1","PI3K","DELTA","TWIST1","RAS","ERK","MEK","TrCP","Frizzled","STAT","Wnt","GLI","DSH","AKT","SUFU","ILK","IKK","SMAD","Csn","SMO","NFB","LIV1","FUS","cateninmemb","PAK1","CDC42","TGFR"
"Destcompl",-0.413023445312789,-0.370873686412085,-0.397787926908192,0.260012949764067,-0.0477759846990616,-0.101622651425415,0.217343739574723,0.145305930112837,0.142404576147653,0.210730513121817,-0.096875051654212,0.205295730513122,0.542974867455188,0.334910655463712,0.341759970532205,0.346349465687738,0.330806177851772,0.162834625088049,0.317373342030876,-0.0256410256410256,-0.231094514714901,-0.0256410256410256,-0.350888250150507,0.327880276910025,-0.072842903297487,-0.18935652523495,-0.622013496778742,-0.213592526857204,0.350888250150507,0.231094514714901,0.231094514714901,0.356003673362265,0.238315864793394,0.0283732660781841,0.0283732660781841,0.133333333333333,-0.317373342030876,-0.296825396825397,-0.33123472816949,-0.335501889579509,-0.296825396825397,0.203022856947572,-0.144444444444444,0.0667460317460317,0.194298024732807,0.0717752715121136,0.161904761904762,-0.139813902572523,0.187991718426501,-0.261111111111111,-0.134099616858238,-0.231358058281416,0.352040816326531,0.381695988740324,0.400117041371903
"AKT",-0.286624658116139,-0.254311289733285,-0.262874002639449,0.0409079818752178,-0.0319973832270111,-0.094709255614028,0.161058827089512,0.0146806117858749,0.0104700854700855,0.151302729528536,-0.12974358974359,0.148076923076923,0.454794283790692,0.161604973263043,0.168409096974383,0.171178327743613,0.16329988851728,0.103727694687983,0.146376811594203,0.0274509803921569,-0.222893672537508,0.0333333333333333,-0.27375157540805,0.265148448043185,-0.179273549727978,-0.0562265448145638,-0.428093337367531,-0.150627637368235,0.27375157540805,0.222893672537508,0.222893672537508,0.144638042365062,0.231809335188111,-0.0323690131790421,-0.031103190394232,0.233333333333333,-0.146376811594203,-0.133333333333333,-0.16329988851728,-0.161623910863649,-0.133333333333333,0.160615201791672,0,0.0436565026010404,0.253544494720965,0.0473602063047441,0.233333333333333,-0.00769230769230769,0.250980392156863,-0.1,0,-0.0335755008432847,0.242647058823529,0.262647058823529,0.274842180774749
"PI3K",-0.274842180774749,-0.247478991596639,-0.256107085346216,0.0428947368421053,-0.0282379847307705,-0.0978910737958462,0.151302729528536,0.0104700854700855,0.00769230769230769,0.148076923076923,-0.123076923076923,0.125,0.446109420267118,0.16329988851728,0.161604973263043,0.168409096974383,0.146376811594203,0.109142857142857,0.133333333333333,0.0333333333333333,-0.22152380952381,0.0333333333333333,-0.267587191846406,0.257456140350877,-0.182281068524971,-0.049090866422604,-0.418819143819144,-0.147953840576791,0.267587191846406,0.22152380952381,0.22152380952381,0.142497369582188,0.222893672537508,-0.0274509803921569,-0.0323690131790421,0.2,-0.133333333333333,-0.1,-0.146376811594203,-0.16329988851728,-0.1,0.253544494720965,0,0.0412565026010404,0.250980392156863,0.0436565026010404,0.233333333333333,0,0.233333333333333,-0.1,0,-0.0316387016587791,0.225,0.242647058823529,0.262647058823529
"ILK",-0.274842180774749,-0.247478991596639,-0.256107085346216,0.0428947368421053,-0.0282379847307705,-0.0978910737958462,0.151302729528536,0.0104700854700855,0.00769230769230769,0.148076923076923,-0.123076923076923,0.125,0.446109420267118,0.16329988851728,0.161604973263043,0.168409096974383,0.146376811594203,0.109142857142857,0.133333333333333,0.0333333333333333,-0.22152380952381,0.0333333333333333,-0.267587191846406,0.257456140350877,-0.182281068524971,-0.049090866422604,-0.418819143819144,-0.147953840576791,0.267587191846406,0.22152380952381,0.22152380952381,0.142497369582188,0.222893672537508,-0.0274509803921569,-0.0323690131790421,0.2,-0.133333333333333,-0.1,-0.146376811594203,-0.16329988851728,-0.1,0.253544494720965,0,0.0412565026010404,0.250980392156863,0.0436565026010404,0.233333333333333,0,0.233333333333333,-0.1,0,-0.0316387016587791,0.225,0.242647058823529,0.262647058823529
"SMAD",-0.25000031945477,-0.206227273693835,-0.195185907282681,-0.143281385281385,-0.188509770643283,-0.00803883581723809,-0.130114942528736,-0.170696571285654,-0.159915902140673,-0.125353037766831,-0.152136941733215,-0.121904761904762,0.0171318115018889,-0.0248545963840081,-0.019291502761213,-0.0182783315352758,-0.0310364145658263,-0.0360307341695688,-0.0114285714285714,-0.0317972350230415,-0.0967600899827974,-0.0285714285714286,-0.260627903895363,0.259876375697271,-0.0527910439203748,-0.0512546557458686,-0.085571974669719,-0.132047391101414,0.260627903895363,0.0967600899827974,0.0967600899827974,0.131800512649637,0.0901811426143763,0.0410995606044368,0.0391764836813599,0.15,0.0380952380952381,0.0114285714285714,0.0573260073260073,0.0515706116425541,0.0380952380952381,0.157641456582633,0.183333333333333,0.170751349107513,0.153641456582633,0.0726561110122754,0.183333333333333,0.160833333333333,0.15952380952381,0.04,0.170833333333333,0.0490385055445038,0.245238095238095,0.255097250167673,0.256773227821304
"SUFU",-0.126121504231161,-0.157972976132034,-0.134219114146606,0.0897219712465971,-0.030605172721464,-0.018107637040732,0.0283261183261183,-0.00453014703014703,-0.00800505050505051,0.0251515151515151,0.072788614893878,0.0342424242424242,0.272770255035798,0.101667842746024,0.10655914709385,0.109167842746024,0.110690399137001,0.0234476332197963,0.107777777777778,-0.172074592074592,-0.0367703263782019,-0.156923076923077,-0.221546951126704,0.208412955509746,-0.00662526513940366,-0.0371749448304041,-0.229607533516095,-0.113170808768663,0.221546951126704,0.0367703263782019,0.0367703263782019,0.118575936338804,0.0437323516946576,0.182419419660799,0.181993887745905,-0.1,0.00138888888888889,-0.0966666666666667,-0.00245726495726496,0.00609292091634099,0.0125,-0.0505140497086806,-0.0133333333333333,0.0385202252944188,-0.0525274725274725,0.0438320035854119,-0.0571428571428571,0.0130555555555556,-0.0371428571428571,-0.05,0.0241666666666667,-0.0882338240237137,0.0916666666666667,0.115990990990991,0.122373969714395
"FUS",-0.122373969714395,-0.151034200621829,-0.132004463379996,0.0942350353796137,-0.0330148112756808,-0.0217121684516486,0.0251515151515151,-0.00800505050505051,-0.0130555555555556,0.0342424242424242,0.0790823211875843,0.0242424242424242,0.269633625583379,0.110690399137001,0.101667842746024,0.10655914709385,0.107777777777778,0.0311759704563303,0.0966666666666667,-0.156923076923077,-0.0310934704830054,-0.18,-0.218648400402066,0.205418943533698,-0.00439201451905626,-0.0324946547842604,-0.230121672333576,-0.110940325497288,0.218648400402066,0.0310934704830054,0.0310934704830054,0.121668719843959,0.0367703263782019,0.172074592074592,0.182419419660799,-0.1,0.0125,-0.05,0.00138888888888889,-0.00245726495726496,0.05,-0.0525274725274725,0.0666666666666667,0.0417460317460317,-0.0371428571428571,0.0385202252944188,-0.1,0.0241666666666667,-0.0571428571428571,-0.1,-0.0133333333333333,-0.0845503315271244,0.1,0.0916666666666667,0.115990990990991
"STAT",-0.246770623858725,-0.158119369369369,-0.12720024590135,-0.0275855380421487,-0.0706666666666667,0.0383163187162929,-0.0272410617356363,-0.0348130616724978,-0.0410077519379845,-0.0301536830948596,-0.0498768472906404,-0.0274509803921569,0.0773640450482724,0.0258921633921634,0.0262076208054126,0.0282338424979037,0.0404220779220779,0.0303672797790445,0.0267857142857143,-0.0333333333333333,0.0847032671629446,-0.0333333333333333,-0.217374932759548,0.315735789265201,0.0125071574642127,-0.0320416400686595,-0.0632398753894081,-0.110262062465003,0.217374932759548,-0.0847032671629446,-0.0847032671629446,0.176258623934786,-0.0735092373121983,0.0274509803921569,0.0371283997469956,0,-0.0267857142857143,-0.0142857142857143,-0.0404220779220779,-0.0261363636363636,-0.0142857142857143,0.0240193704600484,0,0.0689210950080515,0.0257142857142857,0.0712199455827642,0,0.0433333333333333,0.04,0.1,0.05,-0.095397086013358,0.222727272727273,0.235227272727273,0.24049043062201
"SMO",-0.115990990990991,-0.154126984126984,-0.126344086021505,0.0918253968253968,-0.0373626373626374,-0.0241779218763061,0.0342424242424242,-0.0130555555555556,-0.0241666666666667,0.0242424242424242,0.0675438596491228,0.0333333333333333,0.268027786167321,0.107777777777778,0.110690399137001,0.101667842746024,0.0966666666666667,0.025585908344529,0.05,-0.18,-0.0264423076923077,-0.2,-0.21680790960452,0.197222222222222,-0.0096551724137931,-0.0391373836891078,-0.223098260962339,-0.110940325497288,0.21680790960452,0.0264423076923077,0.0264423076923077,0.120098039215686,0.0310934704830054,0.156923076923077,0.172074592074592,0,0.05,-0.1,0.0125,0.00138888888888889,0,-0.0371428571428571,0.1,0.0433333333333333,-0.0571428571428571,0.0417460317460317,-0.1,-0.0133333333333333,-0.1,-0.1,0.0666666666666667,-0.0888333855308487,0.1,0.1,0.0916666666666667
"LIV1",-0.206787185813222,-0.162566549472627,-0.133326077565829,-0.0492128919563736,-0.0701788811476615,-0.0114584230187036,-0.0647252747252747,-0.0610809580702054,-0.0510809580702054,-0.0592307692307692,-0.133525852585259,-0.0576923076923077,-0.0756572101068716,-0.0486622265830187,-0.0445881525089446,-0.043760566302048,-0.0526226226226226,-0.0518173931901974,-0.0337037037037037,-0.0443478260869565,0.0387188479727935,-0.04,-0.214796829771566,0.214233671610721,-0.0167435855755254,-0.0344091927044898,0.0765930735930736,-0.108664816488047,0.214796829771566,-0.0387188479727935,-0.0387188479727935,0.107091661961227,-0.0450824843364298,0.052822402358143,0.0501557356914763,0.0333333333333333,0.0337037037037037,0.03,0.0521247563352827,0.0487101221889412,0.03,0.0317738791423002,0.0761904761904762,0.0667434715821813,0.0280701754385965,0.0680337941628264,0.0583333333333333,0.0498463901689708,0.0333333333333333,0.05,0.0595238095238095,0.0425167753337551,0.20952380952381,0.215406162464986,0.213891010949834
