"","GSK3","Destcompl","SOSGRB2","TrCP","LIV1","AXIN2","ZEB2","ZEB1","STAT","Frizzled","GLI","Wnt","TCFLEF","cateninnuc","SRC","Csn","cMet","DELTA","RAS","SNAI1","EGR1","FUS","SHH","NFB","IKK","KLF4","ILK","SMAD","Jagged","NOTCH","Patched","SNAI2","miR200","NOTCHic","Csl","HEY1","PAK1","SMO","RKIP","TWIST1","AKT","cfos","MEK","ERK","CDC42","SUFU","RAF","PI3K","TGF","TGFR","FOXC2","CD44","DSH","cateninmemb","Ecadherin"
"FUS",0.280342859616815,0.294333525920693,-0.231713900134953,-0.1,0.1,0.17775592723119,-0.223265224775571,-0.223265224775571,0.05,0.1375,0.120619658119658,0.126388888888889,0.00833337388779392,0.00724641736605479,0.03,-0.1,0.0188888888888889,0.0464780858676208,0.0504082168719876,0.240387792365881,-0.16,0.253333333333333,-0.212171717171717,-0.114285714285714,-0.0942857142857143,-0.208697632058288,-0.0384126984126984,-0.0455094726062468,0.0716622043730478,-0.157272727272727,-0.217222222222222,0.185140624524021,0.00345818487816232,-0.170909090909091,-0.190909090909091,0.0278547539417105,0.353333333333333,-0.228333333333333,-0.202934053346424,0.113983563175125,0.0789010989010989,0.167692307692308,0.206145808214774,0.188904428904429,0.361666666666667,0.333333333333333,-0.0464780858676208,-0.0464780858676208,0.377796626413648,0.372477477477478,0.271451905626134,-0.0120927723840345,-0.15,0.0960214771877417,0.0699101688051061
"SUFU",0.278286304346892,0.291728528578853,-0.245000613421666,-0.1,0.05,0.171901126294421,-0.222299041200692,-0.222299041200692,0.03,0.126388888888889,0.117273933212595,0.120619658119658,0.00724641736605479,0.0078090772126021,0.0188888888888889,-0.114285714285714,0.0120927723840345,0.0504082168719876,0.050091761175785,0.23681027958905,-0.167692307692308,0.228333333333333,-0.214102219102219,-0.0942857142857143,-0.0789010989010989,-0.212889248824755,-0.0455094726062468,-0.0443547381951614,0.0718997340642592,-0.152510822510823,-0.212171717171717,0.1841518308523,0.0027146904543705,-0.157272727272727,-0.170909090909091,0.0350836696043611,0.361666666666667,-0.217222222222222,-0.202525890081118,0.1174887178143,0.0755453942031123,0.188904428904429,0.211677723108391,0.206145808214774,0.372477477477478,0.253333333333333,-0.0504082168719876,-0.0504082168719876,0.379966251660196,0.377796626413648,0.275670267909013,-0.00833337388779392,-0.1375,0.0961579028357636,0.0702191286403275
"AXIN2",0.280738514346066,0.275340500013251,-0.272422684063638,0.2,-0.266666666666667,0.0866372523495209,-0.190598193073247,-0.190598193073247,-0.313333333333333,-0.334263565891473,-0.336920256414136,-0.339435979684576,-0.332259231077877,-0.329276092297073,-0.334263565891473,0.233333333333333,-0.339435979684576,0.336186779958406,0.32962510016838,0.212085712786955,-0.26,-0.0923076923076923,0.147356482315499,0.246376811594203,0.259420289855072,-0.196052507552403,-0.12562686910513,-0.122452265930527,-0.265552138813008,0.297161992819888,0.134569597069597,-0.296414988979993,0.0648870808045498,0.289053884711779,0.272982456140351,0.145915533035209,0.199583333333333,0.111355311355311,-0.176860746780102,0.272838562284134,-0.269420289855072,0.291707317073171,0.301497842371269,0.300118532026442,0.190941358024691,-0.1,-0.336186779958406,-0.336186779958406,0.184086601752604,0.184746667759205,0.280752845905071,0.336596862965333,0.313333333333333,-0.254533960572458,0.0700698431813676
"cateninnuc",0.310541210447572,0.309339010363003,-0.0147214954518667,0.0333333333333333,0.0393939393939394,0.164674783127106,-0.187882021842628,-0.187882021842628,0.0163170163170163,0.00398824919372865,-0.00184179033196304,-0.001446533414967,-0.00243260679098585,-0.101576489696261,0.00242812742812744,0.0333333333333333,-0.00300665518056822,0.123388278388278,0.121368076368076,0.234086835712498,-0.022463768115942,0.143333333333333,-0.103389559831218,0.0424242424242424,0.0544242424242424,-0.137034248866989,-0.0829365079365079,-0.0844371900647481,0.0433836737219092,-0.0864500145323953,-0.111014832162373,0.152601115324652,0.0211024179097686,-0.094177287259668,-0.106967984934087,0.0522801014089401,0.175428571428571,-0.125300546448087,-0.222455825398753,0.0536427445868319,-0.0637992424242424,0.0399240855762595,0.0504919638714633,0.0449873767155,0.170813186813187,0.133333333333333,-0.123388278388278,-0.123388278388278,0.172123230481309,0.170813186813187,0.12455325002866,0.00340348057739361,-0.0163170163170163,0.0583791896299614,0.0314986966050345
"cateninmemb",0.281893611156041,0.279155005670475,0.0355992898197466,-0.1,0.133333333333333,0.160598327091065,-0.182710225521987,-0.182710225521987,0.115686274509804,0.0994072047423621,0.0850623771561552,0.0890623771561552,0.0838795638305639,0.0850000120098356,0.0994072047423621,-0.04,0.0881028569162751,0.0289668174962293,0.0289668174962293,0.210339563169764,0.0345454545454546,0.183333333333333,-0.174507344848023,-0.0352380952380952,-0.0352380952380952,-0.145522737927801,-0.0983768115942029,-0.0899022353230164,0.12144425394958,-0.10676546918943,-0.190255376344086,0.152657374987619,0.050516299343115,-0.11680264391062,-0.124019138755981,0.0631428263800944,0.115454545454545,-0.202083333333333,-0.204060670914604,-0.0525833911466511,0.0261471861471862,-0.0051336898395722,0.0138596394509069,0.010330227686201,0.116787878787879,0.166666666666667,-0.0289668174962293,-0.0289668174962293,0.11113181210063,0.11239763488544,0.05198158717912,-0.0837550308293186,-0.115686274509804,0.0619020338361202,-0.0485739081713046
"TCFLEF",0.261060677376649,0.299816430623662,-0.00365177337632427,-0.114285714285714,0.0666666666666667,0.351158485958486,-0.174762493354599,-0.174762493354599,0.0291666666666667,0.0172549019607843,0.00707812221878719,0.00956259426847663,-0.102472127874287,-0.101269378733394,0.00916666666666667,-0.105194805194805,0.00147435897435898,0.0454472817324803,0.0442646273303778,0.216712945353113,0.0371428571428571,0.15,-0.125727761914186,-0.0771948051948052,-0.0546141600335149,-0.0794356378915202,-0.0608867623604466,-0.0606955577715364,0.0765019044320072,-0.133211363577384,-0.124500768049155,-0.250342017710968,-0.0197686851301309,-0.140188107763431,-0.161756735214411,0.000671043867161485,0.31025641025641,-0.130952380952381,-0.205076916012307,0.0973158907616616,0.0480924209030801,-0.0249477351916376,0.00253525800564129,-0.00494773519163763,0.319558735837806,0.183333333333333,-0.0454472817324803,-0.0454472817324803,0.323900507206253,0.324231633034067,0.248804597141414,0.00167029511369133,-0.0372549019607843,-0.154854303315178,-0.0929623652806955
"PI3K",0.309030784030784,0.210325321870457,-0.348461538461538,0,-0.1,-0.281714285714286,-0.172851242351948,-0.172851242351948,-0.2,-0.233333333333333,-0.241761426978818,-0.246376811594203,-0.240066511724581,-0.240272697291591,-0.233333333333333,-0.0333333333333333,-0.246376811594203,0.323376623376623,0.315157445294432,0.200148953301127,-0.2,0.1,0.00854700854700854,0,0.0411764705882353,-0.16140350877193,-0.0337174869947979,-0.0505174869947979,-0.0557894736842105,0.204590570719603,-0.00256410256410257,-0.0245187919343087,-0.0100384661860072,0.188461538461538,0.15,0.0490330609087546,0.3,-0.0333333333333333,-0.15521978021978,0.242012015069748,-0.0591251885369532,0.228571428571429,0.255765256922441,0.234453781512605,0.282352941176471,0.1,-0.323376623376623,-0.323376623376623,0.304922046867527,0.294352941176471,0.345570267131243,0.241761426978818,0.2,-0.00751506327719547,0.174417912877643
"AKT",0.303788848546913,0.206768663475089,-0.35957264957265,-0.0333333333333333,-0.2,-0.28279731820526,-0.166001927283455,-0.166001927283455,-0.233333333333333,-0.246376811594203,-0.238968130889433,-0.241761426978818,-0.240272697291591,-0.237965004983899,-0.246376811594203,0,-0.241761426978818,0.315157445294432,0.311061059752263,0.193883289140726,-0.228571428571429,0.0333333333333333,-0.00408457040035988,0.0411764705882353,0.0591251885369532,-0.175933423301844,-0.0505174869947979,-0.0582615947389057,-0.0478424538166609,0.205810082914725,0.00854700854700854,-0.0240162793714946,-0.0185946159186275,0.204590570719603,0.188461538461538,0.0678300533899576,0.282352941176471,-0.00256410256410257,-0.153356426182513,0.239871342286874,-0.164175693587458,0.234453781512605,0.258296902492061,0.255765256922441,0.294352941176471,0.1,-0.315157445294432,-0.315157445294432,0.305828391278404,0.304922046867527,0.345570267131243,0.240066511724581,0.233333333333333,-0.00639375848616591,0.173054276514006
"DSH",0.296725398637952,0.192530682270743,-0.35580192165558,0.0666666666666667,-0.2,-0.270527649173513,-0.157549077584246,-0.157549077584246,-0.225,-0.230263157894737,-0.223423755467099,-0.226691729323308,-0.22422878388023,-0.222002604004896,-0.230263157894737,0.0866666666666667,-0.226691729323308,0.307916803461768,0.303715122789499,0.17803657694962,-0.22,0.0363636363636364,-0.00623631925828641,0.124166666666667,0.142916666666667,-0.165823610997797,-0.0454453416852895,-0.0533698699871763,-0.0410963085022593,0.190615267085855,0.00664711632453568,-0.0884111405056259,-0.0141131590293176,0.189915966386555,0.176190476190476,0.0635317426134895,0.28,-0.00303030303030303,-0.135937395937396,0.23626557005781,-0.146364942528736,0.225882352941176,0.245152751158943,0.244400871459695,0.288695652173913,0.1,-0.307916803461768,-0.307916803461768,0.301610867040347,0.299171842650103,0.344215156528498,0.224704974356421,0.225,-0.0306180299474005,0.135334931740636
"GSK3",0.194728726424973,0.191579643172469,-0.364639130957906,0.0866666666666667,-0.225,-0.270375442171991,-0.150268245489149,-0.150268245489149,-0.230263157894737,-0.226691729323308,-0.222952057353892,-0.223423755467099,-0.222002604004896,-0.220292077689107,-0.226691729323308,0.124166666666667,-0.224704974356421,0.303715122789499,0.300984030352525,0.174603575842201,-0.225882352941176,0.00303030303030303,-0.0124564149520663,0.142916666666667,0.146364942528736,-0.162006817104667,-0.0533698699871763,-0.0466232433005196,-0.0377386442686826,0.182563319033907,-0.00623631925828641,-0.0875483277359969,-0.0142303923235731,0.190615267085855,0.189915966386555,0.0735663446896141,0.288695652173913,0.00664711632453568,-0.127165466112835,0.232040217945134,-0.134399130562924,0.244400871459695,0.244584569340761,0.245152751158943,0.299171842650103,0.0363636363636364,-0.303715122789499,-0.303715122789499,0.298790354219835,0.301610867040347,0.339908936432804,0.22422878388023,0.230263157894737,-0.029999108638824,0.133721497430462
