"","TGF","PAK1","FOXC2","DELTA","TWIST1","cateninnuc","GLI","Jagged","SNAI1","MEK","RKIP","ERK","NOTCH","NOTCHic","SNAI2","IKK","FUS","Csn","SHH","TrCP","SUFU","SMO","ILK","SMAD","Patched","HEY1","NFB","cfos","AKT","EGR1","Csl","LIV1","Frizzled","AXIN2","Wnt","SRC","DSH","TCFLEF","cMet","CD44","STAT","cateninmemb","RAF","PI3K","RAS","Destcompl","Ecadherin","TGFR","CDC42","ZEB2","SOSGRB2","GSK3","KLF4","miR200","ZEB1"
"DELTA",0.0342222222222222,0.2,0.0285714285714286,-0.0133333333333333,0.005,-0.0391008991008991,-0.0630769230769231,-0.127965367965368,-0.0583333333333333,-0.133333333333333,-0.041025641025641,-0.1,-0.231428571428571,-0.26,0.199346405228758,-0.133333333333333,0.1,0,-0.104487179487179,0,0,0.133333333333333,0.0833333333333333,-0.0690476190476191,-0.158333333333333,0.0166666666666667,0.1,0,0.144444444444444,-0.1,0.2,0,0.1,0.0685714285714286,0.04,0.1,0,0.0358041958041958,0.04,0.0630769230769231,0,0.0723760746295957,0.0133333333333333,0.0133333333333333,0.0315151515151515,0.105606177606178,0.0679298245614035,-0.0222222222222222,-0.1,-0.110628019323672,-0.1,0.135249042145594,-0.0888888888888889,-0.173939393939394,-0.171014492753623
"cfos",0.0332442067736185,0.0285714285714286,0.0257320489171278,0.00364923747276688,0.0102857142857143,-0.0462598241806163,-0.0467056530214425,-0.0980555555555555,-0.0450457559318319,-0.0830066322770818,-0.0203729603729604,-0.0982608695652174,-0.113333333333333,-0.133333333333333,0.190603216734604,-0.0958333333333333,0.147619047619048,-0.133333333333333,-0.0808129942538545,-0.1,-0.133333333333333,0.0976190476190476,0.0616402116402116,-0.0616402116402116,-0.0943932411674347,-0.0512493753123438,0.133333333333333,0.12,0.0958333333333333,0.2,0.133333333333333,0.1,0.07,0.0585550082101806,0.0440740740740741,0.07,0.05,0.0455190834398755,0.0440740740740741,0.0494794794794795,0.05,0.0627506834549284,-0.00364923747276688,-0.00364923747276688,-0.00364923747276688,0.0936478818068685,0.0461893307841236,-0.0196078431372549,-0.0333333333333333,-0.104189246319997,-0.0444444444444444,0.120265151515152,-0.100698412698413,-0.174564977506154,-0.163922518159806
"CDC42",0.0332442067736185,-0.0714285714285714,0.0257320489171278,0.00364923747276688,0.0102857142857143,-0.0462598241806163,-0.0467056530214425,-0.0980555555555555,-0.0450457559318319,-0.0830066322770818,-0.0203729603729604,-0.0982608695652174,-0.113333333333333,-0.133333333333333,0.190603216734604,-0.0958333333333333,0.147619047619048,-0.133333333333333,-0.0808129942538545,-0.1,-0.133333333333333,0.0976190476190476,0.0616402116402116,-0.0616402116402116,-0.0943932411674347,-0.0512493753123438,0.133333333333333,0.12,0.0958333333333333,0.1,0.133333333333333,0.1,0.07,0.0585550082101806,0.0440740740740741,0.07,0.05,0.0455190834398755,0.0440740740740741,0.0494794794794795,0.05,0.0627506834549284,-0.00364923747276688,-0.00364923747276688,-0.00364923747276688,0.0936478818068685,0.0461893307841236,-0.0196078431372549,-0.0333333333333333,-0.104189246319997,-0.0444444444444444,0.120265151515152,-0.100698412698413,-0.174564977506154,-0.163922518159806
"SNAI1",0.0392022536623899,0.0196078431372549,0.0327924704217504,0.00364923747276688,0.0150025481764612,-0.0474148986826012,-0.0428638551884733,-0.0953662737078471,-0.142906277933887,-0.0798915351171416,-0.0177607871835663,-0.0803399656104151,-0.110601779173208,-0.112234432234432,0.191616008328197,-0.0939814814814815,0.0943932411674347,-0.0958333333333333,-0.0789003728946312,-0.133333333333333,-0.0976190476190476,0.0808129942538545,0.0597047277692439,-0.0637637683596498,-0.0818129942538545,-0.0509342492619237,0.0958333333333333,0.0830066322770818,0.0939814814814815,0.0982608695652174,0.113333333333333,0.07,0.0467056530214425,0.0542712416622631,0.0423154091190035,0.0494794794794795,0.0440740740740741,0.0473632724564783,0.0455190834398755,0.0462598241806163,0.0440740740740741,0.0620493985567523,-0.00364923747276688,-0.00364923747276688,-0.00578388443500005,0.093140363009876,0.04615447666374,-0.035976447210777,-0.0332442067736185,-0.0997738581146679,-0.0580741847769683,0.117718496849685,-0.0968119921887349,-0.17870781166113,-0.167962179135194
"Csl",0.0326894318579428,0.0342222222222222,0.0257985062768155,-0.0382689174893073,0.0248171800596903,-0.0360557494945676,-0.032847206556884,-0.101673057442925,-0.050707078750557,-0.10047619047619,-0.0232296548751452,-0.10047619047619,-0.109965382664873,-0.113601746301237,0.186884515432334,-0.11343669250646,0.104487179487179,-0.144444444444444,-0.0892202161946322,-0.133333333333333,-0.158333333333333,0.104487179487179,0.0597670435080507,-0.0558781546191618,-0.088358147229115,0.048983977091394,0.111111111111111,0.111904761904762,0.11266149870801,0.133333333333333,0.134654377880184,0.04,0.0358041958041958,0.0429298329087338,0.0368794646214001,0.0358041958041958,0.0630769230769231,0.0349694144459684,0.0391008991008991,0.035427429713144,0.0630769230769231,0.0709954265692881,0.0382689174893073,0.0382689174893073,0.0390042116069543,0.107274592693855,0.0686218007713825,-0.0301951007921832,-0.0180931899641577,-0.0988129998843427,-0.0521511650523204,0.124392958210785,-0.1041994478951,-0.177870461549482,-0.160455867830357
"TrCP",0.035976447210777,0.0333333333333333,0.0298699799516106,0.00364923747276688,0.0157204968944099,-0.0473632724564783,-0.0423154091190035,-0.0956015678254942,-0.0443297654783713,-0.0803399656104151,-0.0165055570580432,-0.0830066322770818,-0.112234432234432,-0.113333333333333,0.190241553081801,-0.0958333333333333,0.0976190476190476,-0.133333333333333,-0.0818129942538545,-0.133333333333333,-0.147619047619048,0.0943932411674347,0.0616402116402116,-0.0597047277692439,-0.0808129942538545,-0.0527199635476379,0.0958333333333333,0.0982608695652174,0.0939814814814815,0.12,0.133333333333333,0.05,0.0440740740740741,0.0510078383988599,0.0467056530214425,0.0440740740740741,0.07,0.0462598241806163,0.0494794794794795,0.0455190834398755,0.07,0.0625675332717782,-0.00364923747276688,-0.00364923747276688,-0.00364923747276688,0.0937982577467181,0.0462585349363727,-0.0332442067736185,-0.0196078431372549,-0.0974368347444342,-0.0493949394939494,0.116992424242424,-0.103977101223003,-0.180148733851332,-0.164887148384887
"EGR1",0.035976447210777,0.0333333333333333,0.0298699799516106,0.00364923747276688,0.0157204968944099,-0.0473632724564783,-0.0423154091190035,-0.0956015678254942,-0.0443297654783713,-0.0803399656104151,-0.0165055570580432,-0.0830066322770818,-0.112234432234432,-0.113333333333333,0.190241553081801,-0.0958333333333333,0.0976190476190476,-0.133333333333333,-0.0818129942538545,-0.133333333333333,-0.147619047619048,0.0943932411674347,0.0616402116402116,-0.0597047277692439,-0.0808129942538545,-0.0527199635476379,0.0958333333333333,0.0982608695652174,0.0939814814814815,0.12,0.133333333333333,0.05,0.0440740740740741,0.0510078383988599,0.0467056530214425,0.0440740740740741,0.07,0.0462598241806163,0.0494794794794795,0.0455190834398755,0.07,0.0625675332717782,-0.00364923747276688,-0.00364923747276688,-0.00364923747276688,0.0937982577467181,0.0462585349363727,-0.0332442067736185,-0.0196078431372549,-0.0974368347444342,-0.0493949394939494,0.116992424242424,-0.103977101223003,-0.180148733851332,-0.164887148384887
"TWIST1",-0.0173466609778565,-0.0272727272727273,-0.0328341013824885,-0.0398718399224408,-0.12034393047837,-0.0767555306608787,-0.0743060985797828,-0.0608136124353916,-0.1440705650534,-0.116830151302982,-0.111295767817507,-0.120312738367658,-0.0660968660968661,-0.0660968660968661,0.319845097822932,-0.107692307692308,0.177777777777778,-0.1,-0.140249469524859,-0.1,-0.166666666666667,0.149777777777778,0.00925015925015926,-0.0142006542996642,-0.145668188736682,-0.0026510212950891,0.107692307692308,0.11768115942029,0.10599739243807,0.113333333333333,0.0814814814814815,0.1,0.0801587301587302,0.0673322913645494,0.0791060985797828,0.0801587301587302,0.0857142857142857,0.0768130349737021,0.0801587301587302,0.0757410594759992,0.0857142857142857,0.140083322659605,0.0398718399224408,0.0398718399224408,0.0385019769087422,0.139851758257838,0.241407941564988,0.0175744514106583,0.0238244514106583,-0.0884805858490069,0.0509065305403978,0.135544690603514,-0.080466958515739,0.149338643748035,0.17634213160529
"CD44",-0.207222222222222,-0.133333333333333,-0.207083333333333,-0.247619047619048,-0.128498168498168,-0.0341621943947525,-0.0566666666666667,0.102843822843823,-0.20130249867092,-0.15,-0.181111111111111,-0.15,0.230075187969925,0.214285714285714,0.108407148407148,-0.0333333333333333,-0.1,0,0.116363636363636,-0.1,0.1,-0.1,-0.122222222222222,0.140589569160998,0.08,0.0818713450292398,0,0.15,0.0533333333333333,0.2,-0.2,0.1,0.1,0.06,0.05,0.2,0,0.0310852713178295,0.15,0.0566666666666667,0.1,0.115842490842491,0.247619047619048,0.247619047619048,0.261904761904762,0.21269234966714,0.13160677450874,0.218333333333333,0.193333333333333,-0.0825396825396826,0.25,0.214285714285714,0.0126984126984127,0.176267018006148,0.20952380952381
"cMet",-0.207222222222222,-0.193333333333333,-0.205817510548523,-0.261904761904762,-0.113891426925135,-0.030772363886278,-0.0339393939393939,0.124582953278605,-0.199607583416682,-0.159090909090909,-0.177407407407407,-0.15,0.244968804991201,0.230075187969925,0.104757513370652,-0.0533333333333333,-0.1,0,0.128863636363636,0,0.1,-0.08,-0.140589569160998,0.14240775097918,0.116363636363636,0.0995184038527692,0.0333333333333333,0.15,0.0408333333333333,0.15,-0.214285714285714,0.1,0.05,0.0361904761904762,0.0566666666666667,0.15,0.1,0.0341621943947525,0.0566666666666667,0.0310852713178295,0.2,0.112639643867402,0.261904761904762,0.261904761904762,0.261904761904762,0.216070728045518,0.133896850844617,0.207222222222222,0.218333333333333,-0.0714285714285714,0.256666666666667,0.209447004608295,0.0174603174603175,0.176267018006148,0.216594516594517
