"","KLF4","SUFU","GSK3","SHH","Csl","Patched","FUS","Csn","IKK","AKT","TrCP","TWIST1","Destcompl","ERK","MEK","PI3K","DELTA","RAS","cateninmemb","Wnt","Ecadherin","GLI","DSH","PAK1","AXIN2","cMet","SNAI2","CD44","TCFLEF","STAT","SRC","LIV1","cateninnuc","CDC42","FOXC2","ZEB1","SOSGRB2","TGF","TGFR","Frizzled","RAF","EGR1","cfos","RKIP","SNAI1","miR200","HEY1","NFB","NOTCH","NOTCHic","ILK","SMO","SMAD","Jagged","ZEB2"
"CDC42",0.0889206349206349,0.0333333333333333,0.00754599567099567,0.102036752574387,0.05,0.093394777265745,0.0761904761904762,0.0333333333333333,0.0708333333333333,0.0760964912280702,0,-0.0483203463203463,0.0975744686751457,-0.0182608695652174,-0.00639646278555638,0.0610566448801743,0.0610566448801743,0.0622761570752962,0.0786881704197926,0.0637037037037037,0.069875609758096,0.0689668615984405,0.1,0.0857142857142857,0.0695238095238095,0.0637037037037037,-0.188913325117705,0.0691091091091091,0.0681190100992081,0.1,0.06,0.1,0.067007898988097,-0.00952380952380952,0.0190298558447769,-0.231751796763903,0.0333333333333333,-0.00812324929971989,-0.00812324929971989,-0.06,-0.0610566448801743,0.02,0.04,-0.00114219114219113,0.020758397720423,-0.219009421950598,-0.119215392303848,-0.0333333333333333,-0.0623076923076923,-0.0576923076923077,-0.123015873015873,-0.10952380952381,-0.121402969790067,-0.0778125,-0.0937411122641147
"PAK1",0.0954780119698153,0.0761904761904762,0.00790963203463203,0.103036752574387,0.0576923076923077,0.102036752574387,0.10952380952381,0.0333333333333333,0.0760964912280702,0.0798001949317739,0.0333333333333333,-0.0477768680594768,0.0975744686751457,-0.00639646278555638,-0.00772979611888971,0.0622761570752962,0.0622761570752962,0.0618216116207508,0.079054470786093,0.0689668615984405,0.0704984471283382,0.0684790567203918,0.06,-0.00952380952380952,0.0688948787061995,0.0691091091091091,-0.187647502332895,0.0681190100992081,0.067007898988097,0.06,0.0637037037037037,0.1,0.067559623126028,0.00812324929971989,0.0176505454999493,-0.227571732455222,0.0303630363036304,-0.00593745694999311,-0.00812324929971989,-0.0637037037037037,-0.0622761570752962,0.04,0.0182608695652174,-0.000589704954345831,0.0238610230187524,-0.219517036163796,-0.117744804068554,-0.0708333333333333,-0.0667032967032967,-0.0623076923076923,-0.121402969790067,-0.093394777265745,-0.124628776241679,-0.0765855061349693,-0.0921333952223141
"SNAI1",0.0926742736520582,0.10952380952381,0.0083716782392525,0.104784325389921,0.0623076923076923,0.103036752574387,0.093394777265745,0.0708333333333333,0.0798001949317739,0.078411306042885,0.0333333333333333,-0.0503409706235793,0.0979034160435667,-0.00772979611888971,-0.00907508759871034,0.0618216116207508,0.0618216116207508,0.0613290007833124,0.0790890131004281,0.0684790567203918,0.0711748259004506,0.0679306106509219,0.0637037037037037,0.00812324929971989,0.068428678239999,0.0681190100992081,-0.187613979034202,0.067007898988097,0.067559623126028,0.0637037037037037,0.0691091091091091,0.06,0.0677661280305195,0.00812324929971989,0.015744573454206,-0.229416750905406,0.0345139796998568,-0.00452616662741247,-0.00593745694999311,-0.0689668615984405,-0.0618216116207508,0.0182608695652174,0.00639646278555638,0.00359439546406421,-0.0768507207534896,-0.219036728767062,-0.120125756449506,-0.0760964912280702,-0.0654788069073783,-0.0667032967032967,-0.124628776241679,-0.102036752574387,-0.121553745491372,-0.0770560943702634,-0.0907803816921788
"Csl",0.0905831608005521,0.0833333333333333,0.036400947205491,0.0975878175348175,0.0489400921658986,0.0941395416727485,0.106410256410256,0.0222222222222222,0.0625322997416021,0.0633074935400517,0.0333333333333333,-0.0543814511007914,0.0956387244743957,-0.0247619047619048,-0.0258488612836439,0.0676438404174536,0.0676438404174536,0.0669085462998066,0.0679419698036912,0.0499451086547861,0.0683562093271766,0.0499451086547861,0.0415384615384615,-0.0293333333333333,0.0534209151640155,0.0500632700632701,-0.182779282238999,0.0496551067979639,0.0482810609964372,0.0415384615384615,0.0445687645687646,0.08,0.0481095344098163,-0.00675268817204301,0.00282097266047687,-0.238611311287266,0.039764266542187,0.00951710604110146,0.00611574549688378,-0.0445687645687646,-0.0676438404174536,0.0533333333333333,0.039047619047619,0.0124906938565307,0.0394921825356608,-0.226737222126545,-0.0171252759743808,-0.0555555555555556,-0.0569305227879082,-0.0542032500606355,-0.120729701952724,-0.088763197586727,-0.124618590841612,-0.0708101025629999,-0.0865712048825188
"cateninmemb",0.0677449601500234,-0.166666666666667,-0.213448220334865,-0.151460502921006,-0.00220095693779905,-0.145161290322581,-0.133333333333333,0.22,0.237989417989418,0.232794612794613,0.2,-0.0855739097625394,-0.226643299406555,0.170425050995093,0.172385835308819,-0.233340874811463,-0.233340874811463,-0.229709589895262,0.0587690784137078,-0.129776561787506,-0.0998560432433369,-0.125109895120839,-0.127450980392157,0.162909090909091,-0.0685618604249779,-0.128906996570114,0.174951157965835,-0.123890274162088,-0.123267609155861,-0.127450980392157,-0.129776561787506,-0.133333333333333,-0.123921203927103,0.161575757575758,0.168697912252451,0.225449234320817,-0.182061930125485,-0.158123192851195,-0.160112342941611,0.129776561787506,0.233340874811463,-0.169090909090909,-0.163208556149733,-0.173613108845854,-0.18701798571375,0.174655015995798,-0.000586748427253753,-0.234285714285714,0.00377225958601888,0.0011700291027475,0.00492753623188406,0.133333333333333,0.00807523598975331,0.129421509341023,-0.0838365149002978
"SMAD",0.0871186565325626,-0.0166666666666667,-0.0975476389386164,-0.0189688562236395,-0.0390476190476191,-0.0200840978593272,-0.00416666666666667,-0.0611111111111111,-0.0258169934640523,-0.0271503267973856,-0.05,-0.0222790039031459,0.0111229785523602,0.0277569392348087,0.0267954007732702,-0.034917257415074,-0.034917257415074,-0.0342593626782319,0.0593410080086569,0.0438644688644689,0.0612300441011895,0.0460227422457638,0.0380952380952381,0.00714285714285714,0.057279992433915,0.0573109243697479,-0.179199056056074,0.0591291061879297,0.0584506801363694,0.0514285714285714,0.0514285714285714,0.08,0.0581467287685882,0.022635814889336,0.0227957478473215,-0.181095290625828,0.0313664596273292,-0.0192104103621932,-0.0231944741072131,-0.0380952380952381,0.034917257415074,0,-0.0161290322580645,-0.0113929232143237,-0.0066381602268699,-0.186997297209287,-0.00930270304854846,0.0277777777777778,0.0363108921729611,0.0378981937602627,0.00421368585752148,0.0191666666666667,-0.0972148855710499,0.0308232090490155,-0.0810936666342193
"RAS",0.0907142857142857,0.1,-0.302790697674419,0.0545762711864407,0.15,0.08,0.1,0.1,0.126666666666667,0.104444444444444,0,0.296541189307147,-0.253788590416497,0.119736842105263,0.117776057791538,-0.185641025641026,-0.185641025641026,-0.268333333333333,-0.0724611307482952,0.144117647058824,-0.0149292953896534,0.16078431372549,0.1,0.1,0.12395256916996,0.144117647058824,0.273448874099788,0.1590112640801,0.168242033310869,0.1,0.15,0,0.167958747191889,0.06,0.0414285714285714,0.297150220913107,-0.019047619047619,-0.0334420500873617,-0.0423529411764706,-0.15,0.185641025641026,-0.1,-0.125,-0.264924528301887,-0.238082595870206,0.239138461538462,-0.0154150197628458,-0.133333333333333,-0.138282025819265,-0.155263157894737,-0.0242424242424242,-0.1,-0.00587507730364873,-0.111082199881727,-0.0690648011782033
"GLI",0.0663620763620764,0.142857142857143,0.114976460916139,0.170810292928087,-0.0175773651635721,0.169575725026853,0.167857142857143,-0.0444444444444444,-0.0160878386442296,-0.0129628386442296,-0.0333333333333333,-0.0878734187902269,0.123366702092267,0.0634415584415584,0.0617840998780225,0.177370986762337,0.177370986762337,0.175588808544515,0.0855077319475993,0.190853889943074,0.0834258766947266,0.0870241027090315,0.18,-0.133333333333333,0.0682518115942029,0.0721164437450826,-0.203426433942947,0.0678060989174964,0.0671567482681458,0.06,0.0696774193548387,0.1,0.0679337954887076,-0.122988505747126,-0.0118181329549364,-0.260825396825397,0.234732789334559,0.124323318917678,0.123617436564736,-0.189677419354839,-0.177370986762337,-0.0371428571428571,-0.0621428571428571,0.0718113465481886,0.0822606123000769,-0.240080631442861,-0.0766973641336969,0.0181286549707602,0.0097202223064292,0.0125773651635721,-0.0753047192117662,-0.157330827067669,-0.0785479624550095,-0.0423207759517622,-0.065
"CD44",0.153968253968254,-0.1,-0.080952380952381,-0.0681818181818182,-0.3,-0.05,-0.1,-0.2,-0.233333333333333,-0.226666666666667,-0.1,0.0886446886446886,0.0468623813161628,0.07,0.12,0.0238095238095238,0.0238095238095238,0.0323809523809524,0.0245970695970696,0,0.0086559548366084,0.02,0,0,0.04,0.1,-0.147341547341547,0.02,0.0362790697674419,0.1,0.2,0.1,0.0285867620751342,0.06,0.0666666666666667,0.101587301587302,0.123809523809524,-0.0711111111111111,-0.06,-0.1,-0.0238095238095238,-0.1,-0.05,-0.0785185185185185,-0.107788410419989,0.100408432147563,0.0391812865497076,0.3,0.244360902255639,0.228571428571429,0.0611111111111111,0.05,0.0590702947845805,0.0693706293706294,-0.053968253968254
"cMet",0.153968253968254,-0.1,-0.0745007680491551,-0.0619318181818182,-0.228571428571429,-0.0681818181818182,-0.05,-0.3,-0.226666666666667,-0.207916666666667,-0.2,0.105498621228958,0.0407813002350817,0.12,0.129090909090909,0.0323809523809524,0.0323809523809524,0.0304941599281222,0.0263764290276746,0.02,0.0129816545821555,0.0336363636363636,0.1,0.06,0.0384126984126984,0.02,-0.142232058290452,0.0362790697674419,0.0285867620751342,0.2,0.1,0.1,0.0308466490807839,0.06,0.0679324894514768,0.114718614718615,0.117142857142857,-0.068983451536643,-0.0711111111111111,0,-0.0323809523809524,-0.05,-0.07,-0.0859259259259259,-0.112873156182701,0.106658432147563,0.0332989336085311,0.233333333333333,0.225211966085426,0.244360902255639,0.0590702947845805,0.05,0.0627066584209441,0.0606749771967163,-0.052958152958153
