"","FOXC2","RKIP","SNAI1","cfos","MEK","ERK","ILK","SMO","NOTCHic","HEY1","Patched","AKT","Destcompl","KLF4","AXIN2","FUS","cateninmemb","TrCP","LIV1","TCFLEF","cateninnuc","Ecadherin","PAK1","CD44","DSH","cMet","GLI","Wnt","Frizzled","TGF","CDC42","GSK3","DELTA","SOSGRB2","RAS","RAF","PI3K","SNAI2","ZEB2","ZEB1","TGFR","SRC","STAT","Csl","NFB","NOTCH","miR200","Jagged","SMAD","IKK","SUFU","EGR1","SHH","Csn","TWIST1"
"TGFR",-0.294590238411674,-0.184848484848485,-0.168902075398455,-0.217543859649123,-0.219766081871345,-0.219766081871345,-0.0650537634408602,-0.0596551724137931,-0.152873563218391,-0.0379562535485051,-0.0627801724137931,0.0284024013522178,-0.0827712033567641,0.137395572263993,-0.0542594863410314,-0.07,-0.0684783739005798,0.0333333333333333,0,-0.0494180133008336,-0.0480894039119939,-0.0751750760095802,-0.108888888888889,-0.0527672955974843,-0.0142857142857143,-0.0527672955974843,-0.0343648378401878,-0.0337196765498652,-0.0242857142857143,-0.00149273893954745,-0.0993650793650794,0.0596026015769651,-0.0839285714285714,0.0357699805068226,0.0821741854636591,0.0839285714285714,0.0839285714285714,0.164395968242474,-0.140004614165488,-0.140004614165488,-0.000634920634920633,0.0433333333333333,0.0333333333333333,0.166666666666667,-0.0476190476190476,0.146398743074506,0.0380178744750491,0.0446730059123605,0.0639861477824972,-0.0423558897243108,0.0866666666666667,0.233333333333333,0.0588253701539061,-0.0333333333333333,0.204586134176882
"cMet",-0.200079113924051,-0.221111111111111,-0.135466169275268,-0.225,-0.219545454545455,-0.225,-0.0590702947845805,-0.03,-0.0308270676691729,-0.0693842449260406,-0.0390909090909091,-0.0920833333333333,-0.180239860071793,0.019047619047619,-0.197936507936508,-0.05,-0.226506654673914,-0.1,0.1,-0.161520572450805,-0.159260685445155,-0.20608878835268,-0.0733333333333333,-0.167674418604651,-0.1,-0.17,-0.165454545454545,-0.17,-0.15,-0.0727718676122931,-0.0608333333333333,-0.0331605222734255,0.0619047619047619,-0.0228571428571429,-0.0694519317160827,-0.0619047619047619,-0.0619047619047619,0.229494900881762,-0.124098124098124,-0.124098124098124,0.0663888888888889,0.05,0,0.0571428571428571,0.0666666666666667,0.0286994080947048,0.0636256587615283,0.01995337995338,0.0572521129663987,0.0733333333333333,0.1,0.225,0.0328409090909091,0.1,0.198535621681689
"CD44",-0.19375,-0.213703703703704,-0.137161084529506,-0.225,-0.225,-0.225,-0.0611111111111111,-0.05,-0.0571428571428571,-0.0713450292397661,-0.03,-0.0733333333333333,-0.18699661682855,0.019047619047619,-0.19,-0.1,-0.230421245421245,0,0.1,-0.167674418604651,-0.161520572450805,-0.204816523721637,-0.133333333333333,-0.17,0,-0.05,-0.17,-0.15,-0.1,-0.0663888888888889,-0.0733333333333333,-0.0315476190476191,0.0476190476190476,-0.00952380952380952,-0.0619047619047619,-0.0476190476190476,-0.0476190476190476,0.225845265845266,-0.119047619047619,-0.119047619047619,0.0608333333333333,0,-0.1,0.1,0.1,0.0308270676691729,0.0605006587615283,0.01995337995338,0.0590702947845805,0.0666666666666667,0.1,0.2,0.0390909090909091,0.1,0.195164835164835
"Destcompl",-0.200911007844731,-0.174880897416166,-0.160266508248741,-0.0395804195804196,-0.0380379142196947,-0.0346623867935343,0.0780952380952381,0.168297755883963,0.0548844496670584,0.0728778913394298,0.176069776609351,0.0902094766407577,0.0317865758950686,0.113404967754825,-0.225449192267133,0.18544061302682,-0.167898391880958,0.1,-0.166666666666667,-0.171962155952138,-0.16900448129635,0.0410894828970059,-0.0718367346938776,-0.172784073760357,-0.152380952380952,-0.1679333274917,-0.173752063492623,-0.16837172954086,-0.156490541422048,-0.0764413496796178,-0.0739057002111189,-0.122813219537963,-0.0419020675533326,-0.026117421481841,0.0367215338013703,0.0419020675533326,0.0419020675533326,-0.168063749756448,-0.102064740172973,-0.102064740172973,0.0781162265269084,0.156490541422048,0.152380952380952,-0.0635801018409714,-0.0801242236024845,-0.0598944697071385,0.0495298484486225,-0.209148488623296,-0.0842940685045948,-0.0828269263051872,-0.188888888888889,0.0456410256410256,-0.178971130574535,-0.0714285714285714,0.168972463924584
"SMAD",-0.156005891314011,-0.120249765332377,-0.0824833047776596,-0.168202764976959,-0.170774321327585,-0.177505090558354,-0.0473576651658844,-0.0525,-0.0225287356321839,-0.00497375076188456,-0.0717660550458716,-0.0369878618113912,-0.0595323340667468,0.0687565621020299,-0.0258613667461411,-0.0875,-0.0381683766820563,-0.05,-0.02,-0.0231931430193063,-0.0236997286322749,-0.0461960205122346,0.0214285714285714,-0.0246856803327392,0,-0.0235947712418301,-0.00555555555555555,-0.00555555555555555,-0.00555555555555555,0.0188880999052697,0.0172032193158954,-0.0571160766273548,-0.0834745458326244,-0.0211697722567288,0.0844613879378876,0.0834745458326244,0.0834745458326244,0.140332096855034,-0.0820388278977209,-0.0820388278977209,-0.0244657891482976,0.0255555555555556,0.02,0.0466666666666667,0.0373015873015873,0.0312588943623426,0.0561484689613251,0.0184792626728111,-0.0364518586436395,0.0196545284780579,0.05,0.171428571428571,0.057267913781931,-0.00555555555555556,0.0906755657788529
"LIV1",-0.140874260553675,-0.149177967520509,-0.0783117393165428,-0.195652173913043,-0.20096290837632,-0.214296241709654,0.0440006827103601,0.0827188940092166,0.12,0.0266344768792074,0.0469164248734141,-0.014083820662768,-0.148219078124079,0.0516690085870414,-0.177236422220157,0.0214285714285714,-0.153232564274541,0,-0.15,-0.137975302034708,-0.141837371000225,-0.106381168288628,0.0523809523809524,-0.135753079812486,-0.15,-0.132782782782783,-0.137233395140969,-0.135769980506823,-0.146296296296296,0.0462531361277745,0.0425770308123249,0.0457202380952381,0.0684361549497848,-0.0777915291529153,-0.0638907004043303,-0.0684361549497848,-0.0684361549497848,0.0912626229294436,-0.0744339809061125,-0.0744339809061125,-0.0577285459638401,0.146296296296296,0.15,-0.0846153846153846,0.025,-0.0991208791208791,0.0626526752833113,-0.0899324727334697,-0.0143232633555214,-0.0118421052631579,-0.0714285714285714,0.2,-0.0669164248734141,-0.05,0.12357876905703
"NOTCHic",-0.125569453587887,-0.144112775681498,-0.0848595848595848,-0.173333333333333,-0.183333333333333,-0.166190476190476,0.0104761904761905,-0.00384615384615384,0.0524423963133641,-0.0978818283166109,0.0549773755656109,0.0348837209302326,-0.0241192581099123,0.0863354037267081,-0.0337196765498652,0.05,-0.0358208760981179,0.1,0,-0.0316968745540174,-0.0297121417295899,-0.0405329422949757,0.0444444444444444,-0.0312887112887113,-0.02,-0.0367832167832168,-0.0335574103316039,-0.0367832167832168,-0.0276923076923077,0.0681428212679497,0.0644444444444444,0.000477343972641778,0.0120948616600791,-0.0413397129186603,-0.0106170291477638,-0.0120948616600791,-0.0120948616600791,0.139485646098873,-0.0545893719806763,-0.0545893719806763,-0.0547670250896057,0.0276923076923077,0.02,-0.168571428571429,-0.0555555555555556,-0.0866529226291535,0.0397742912193779,-0.0710076482261913,-0.0471668379582049,0,0,0.14,-0.0280956551355033,0,0.0967888284831041
"cfos",-0.142943226070916,-0.137575757575758,-0.0809370376458984,-0.2,-0.214296241709654,-0.195652173913043,0.00529100529100529,0.0214285714285714,0.0846153846153846,-0.00424787606196902,0.0827188940092166,0.0118421052631579,-0.145211559327087,0.0860952380952381,-0.177865353037767,0.0714285714285714,-0.147921208963186,0.1,-0.1,-0.135753079812486,-0.137975302034708,-0.109356946835341,0.0285714285714286,-0.132782782782783,-0.15,-0.146296296296296,-0.135769980506823,-0.146296296296296,-0.15,0.0577285459638401,0.0523809523809524,0.044629329004329,0.0794117647058824,-0.0847222222222222,-0.0684361549497848,-0.0794117647058824,-0.0794117647058824,0.0939751003254653,-0.0477458780122218,-0.0477458780122218,-0.0425770308123249,0.15,0.15,-0.1,-0.05,-0.12,0.034733893557423,-0.0733680555555556,-0.0440006827103601,0.025,0,0.04,-0.0469164248734141,0,0.114883116883117
"FUS",-0.199818511796733,-0.147370315823924,-0.103567805698055,-0.196923076923077,-0.196505104091311,-0.19995337995338,-0.05,0.185833333333333,0.187878787878788,-0.068434464086638,0.158055555555556,-0.122549450549451,-0.137844520669168,0.0435792349726776,-0.225206228054804,0.173333333333333,-0.0773454209948322,-0.1,-0.1,-0.073956817610369,-0.0725981219581951,0.0228345961176063,-0.146666666666667,-0.0709492988133765,-0.15,-0.0544444444444444,-0.178418803418803,-0.161111111111111,-0.15,-0.179113475177305,-0.171666666666667,0.142458371795645,0.155847495527728,0.0306342780026991,-0.165017801204584,-0.155847495527728,-0.155847495527728,-0.140836418415568,-0.0466578281515372,-0.0466578281515372,0.171666666666667,0.0433333333333333,0.05,-0.187878787878788,0.142857142857143,-0.174242424242424,0.0381698386836875,-0.0718598202333142,0.0635483870967742,0.114857142857143,-0.333333333333333,0.22,-0.183308080808081,0.1,0.0872121274338706
"DELTA",-0.124285714285714,-0.158974358974359,-0.1,-0.2,-0.173333333333333,-0.14,-0.0333333333333333,0,0.14,-0.133333333333333,0.05,0.0555555555555556,-0.028988416988417,0.1,-0.0242857142857143,0.1,-0.0391512712639473,0,0,-0.0367832167832168,-0.0312887112887113,-0.0435438596491228,0,-0.0276923076923077,0,-0.02,-0.0276923076923077,-0.02,0,0.0644444444444444,0.1,-0.00344827586206897,-0.0133333333333333,-0.06,-0.00484848484848485,0.0133333333333333,0.0133333333333333,0.136752136752137,-0.0434782608695652,-0.0434782608695652,-0.0444444444444444,0,0,-0.2,-0.1,-0.168571428571429,0.0333333333333333,-0.0521212121212121,-0.0571428571428571,0,0,0.1,0.00384615384615384,0,0.096
