"","TGFR","PAK1","CDC42","SMAD","ILK","AKT","ZEB1","Patched","IKK","SHH","SUFU","NFB","FUS","cfos","SOSGRB2","EGR1","RAS","RAF","DELTA","SRC","GSK3","SNAI2","Destcompl","DSH","Ecadherin","GLI","Wnt","STAT","cateninmemb","cateninnuc","TCFLEF","CD44","cMet","Frizzled","LIV1","ZEB2","AXIN2","PI3K","MEK","ERK","miR200","TWIST1","KLF4","Csl","NOTCH","NOTCHic","Jagged","TrCP","SMO","Csn","SNAI1","RKIP","HEY1","TGF","FOXC2"
"ZEB1",0.216352441376604,0.2227969348659,0.209753456605031,0.245904442066223,0.247346749758531,0.191242861251489,0.120418073122456,0.169474153297683,0.176957146965775,0.166271306322594,0.158333333333333,0.17859649122807,0.158333333333333,0.12,0.104093567251462,0.1,0.00807905625252103,0.00508693026826906,0.00508693026826906,-0.026266416510319,0.129868987307525,-0.0421374886013306,-0.141106808079745,-0.0428571428571429,0.190000741551749,0.0432314102794364,0.0422004824443849,0.0384615384615385,0.240602505839391,0.04154804674718,0.0379276944966908,0.0387255668371163,0.0380311223926719,0.0306620209059233,0,-0.164257793533744,0.134223942112999,-0.00508693026826906,-0.112215599896346,-0.118823529411765,0.0249342798594586,-0.0459485582358227,-0.150078465143292,-0.135416666666667,-0.145009925457786,-0.149142156862745,-0.164897457093145,-0.133333333333333,-0.153787878787879,-0.173333333333333,-0.200614340992872,-0.207734264446063,-0.257685966882858,-0.217139842951408,-0.242039852814713
"RAS",0.207058823529412,0.14,0.16,0.306679035250464,0.274025974025974,0.466666666666667,0.233435198821797,0.237333333333333,0.433333333333333,0.242418079096045,0.1,0.4,0.2,-0.295,0.277922077922078,-0.22,0.395128205128205,0.475897435897436,0.475897435897436,-0.1,0.561343669250646,-0.00066107720257769,-0.443260024073978,-0.1,-0.0551302189738434,0.153676470588235,0.141176470588235,0.1,0.0181909367990792,0.17184963444445,0.157968614614422,0.151814768460576,0.141176470588235,0.1,0,-0.136874079528719,0.175204216073781,-0.475897435897436,0.285092879256966,0.279210526315789,-0.141569230769231,-0.0455646481178396,-0.148214285714286,0.2,0.205759682224429,0.173684210526316,-0.156495170510546,-0.2,-0.233333333333333,-0.3,-0.291465093411996,-0.0754465408805031,-0.16798418972332,-0.208048922539313,-0.236190476190476
"GSK3",0.39532293086906,0.371304347826087,0.389399585921325,0.282755548394122,0.27181102065799,0.330040893015031,0.372969269830543,0.150004155090243,0.319784482758621,0.150482623989764,0.127272727272727,0.28875,0.132034632034632,-0.027276688453159,0.307427766032417,-0.0309803921568627,0.322640874154733,0.315498017011876,0.315498017011876,-0.201691729323308,0.509264783495996,-0.0422217442292589,-0.536337710368754,-0.180263157894737,0.0717717834742803,0.223476166368567,0.220645977689321,0.180263157894737,0.160370505640578,0.234515538841945,0.231423433578787,0.222429666882438,0.219572524025295,0.201691729323308,0.175,-0.131655479948239,0.275703614308346,-0.315498017011876,0.0294981512009376,0.0340436057463921,-0.144556324944178,-0.156250264510414,-0.124495531555837,0.105322128851541,0.122664786194198,0.117210240739653,-0.0515487333367425,-0.22,-0.148163664292697,-0.27,-0.451362286741458,-0.387570236780763,-0.252577307726585,-0.397117802663932,-0.461777292474967
"DSH",0.389399585921325,0.38,0.371304347826087,0.27181102065799,0.260112907450443,0.319784482758621,0.36212231589295,0.148163664292697,0.28875,0.150004155090243,0.1,0.27,0.127272727272727,-0.0309803921568627,0.293939393939394,-0.0133333333333333,0.315498017011876,0.309615664070699,0.309615664070699,-0.180263157894737,0.598615865026778,-0.0379939616580769,-0.527707911143675,-0.175,0.0687754054696705,0.220645977689321,0.201691729323308,0.175,0.153562371246237,0.231423433578787,0.222429666882438,0.219572524025295,0.201691729323308,0.180263157894737,0.1,-0.129723830616887,0.266723401218544,-0.309615664070699,0.0340436057463921,0.027276688453159,-0.140453159645233,-0.153305322128852,-0.117625302548204,0.119047619047619,0.117210240739653,0.105322128851541,-0.0487750107090052,-0.2,-0.132034632034632,-0.22,-0.44327812284334,-0.376292041292041,-0.244618830217934,-0.39532293086906,-0.454919238248492
"SOSGRB2",0.243516483516484,0.164285714285714,0.224285714285714,0.408881870817355,0.388602150537634,0.572368421052632,0.253157894736842,0.33018018018018,0.547368421052632,0.35111041273832,0.2,0.5,0.3,-0.438095238095238,0.5275,-0.404761904761905,0.54767492394611,0.522033898305085,0.522033898305085,-0.0428571428571429,0.597598925929922,0.0911350100296765,-0.427723283427981,0,-0.0504863554430824,0.0805383022774327,0.0761904761904762,0,-0.034010296010296,0.103756285718036,0.0955344883949003,0.077639751552795,0.0732919254658385,0.0428571428571429,0,-0.119022556390977,0.0774546204620462,-0.522033898305085,0.458324558324558,0.446203346203346,-0.127994367920482,-0.134695652173913,-0.114736842105263,0.0727272727272727,0.10772185560918,0.103496503496503,-0.288561691420051,-0.3,-0.316666666666667,-0.4,-0.317658848614072,-0.00244883040935671,-0.286647727272727,-0.248481022523576,-0.272661782661783
"ERK",0.239200880979993,0.225714285714286,0.217303070761015,0.315701685632476,0.30111201997898,0.41708233168163,0.248962186398149,0.246901532197578,0.390476827094474,0.243519889685501,0.2,0.358712121212121,0.204,-0.363059427732942,0.442203729388195,-0.339655172413793,0.349892774991785,0.34494227994228,0.34494227994228,-0.0624831309041835,0.518502885115442,0.0996480800230764,-0.412097323041711,-0.0733333333333333,-0.0184113538604027,0.0961964351438036,0.0859207459207459,0.0701754385964912,-0.014107547976541,0.0999837077317312,0.0929698188428423,0.0916687036012066,0.0827628511839038,0.0656410256410257,0.0333333333333333,-0.113665225491003,0.0911972747678212,-0.34494227994228,0.275004645931642,0.274726094399609,-0.113948501531321,-0.0741556758489939,-0.108737334979369,-0.00380730380730381,-0.00994192580216803,-0.0235153330043841,-0.174260356775228,-0.3,-0.231868852459016,-0.3375,-0.285935449966668,-0.11329294069189,-0.301055885945589,-0.243871210650322,-0.280571526433595
"MEK",0.217303070761015,0.206666666666667,0.225714285714286,0.30111201997898,0.295576964628427,0.390476827094474,0.236206280886338,0.231868852459016,0.358712121212121,0.246901532197578,0.2,0.3375,0.2,-0.339655172413793,0.443174603174603,-0.35,0.34494227994228,0.341450216450216,0.341450216450216,-0.0701754385964912,0.504243121264398,0.100189107976187,-0.405220209174743,-0.0333333333333333,-0.0211919923773955,0.0859207459207459,0.0656410256410257,0.0333333333333333,-0.019811319825667,0.0929698188428423,0.0916687036012066,0.0827628511839038,0.0624831309041835,0.0733333333333333,0,-0.110043178246908,0.0799777625726993,-0.341450216450216,0.274726094399609,0.363059427732942,-0.102919089766615,-0.0726300170417817,-0.0839311334289813,-0.0191919191919192,-0.0235153330043841,-0.00380730380730381,-0.177272404967999,-0.2,-0.204,-0.3,-0.281305820337039,-0.10187232787852,-0.298666807447295,-0.239200880979993,-0.269802295664365
"AKT",0.271997608799617,0.266176470588235,0.258176470588235,0.234596493951116,0.224158783513405,0.279249508661273,0.335217763688681,0.138247863247863,0.353996983408748,0.138247863247863,0.1,0.341176470588235,0.116666666666667,-0.0224089635854342,0.243076923076923,-0.00476190476190476,0.265134383468762,0.262483781059124,0.262483781059124,-0.159903381642512,0.44404878275846,-0.0451551942437375,-0.461827532537274,-0.155555555555556,-0.002831485776668,0.188833334371347,0.173749535488666,0.155555555555556,0.0981333590738386,0.195729499377069,0.189729499377069,0.187873829273977,0.173749535488666,0.159903381642512,0.1,-0.105584566703594,0.234134777376655,-0.262483781059124,0.0220354421079492,0.0207696193231391,-0.124745454229543,-0.0390667359600249,-0.0965024741340531,0.105769230769231,0.100183078133511,0.0928660049627792,-0.049000232369002,-0.3,-0.124358974358974,-0.3,-0.377109198116063,-0.343004693516202,-0.212626106685339,-0.2777377900685,-0.320489149703527
"TGFR",0.126984126984127,0.222222222222222,0.198412698412698,0.262961981194102,0.249794721407625,0.395834061898933,0.162690416099164,0.222887931034483,0.365601503759398,0.217803185271771,0.18,0.339285714285714,0.18,-0.322556390977444,0.429678362573099,-0.285714285714286,0.287458228905597,0.285119047619048,0.285119047619048,-0.0366666666666667,0.339698002656199,0.0454116812871009,-0.156973296901613,-0.0714285714285714,0.101842356378563,0.0744413529258325,0.0621832884097035,0.0666666666666667,0.0875385848657537,0.0724103013079205,0.0636414793415786,0.0679476994372724,0.0574213836477987,0.0414285714285714,0,-0.0991239540170934,0.0646978677021595,-0.285119047619048,0.336407228115952,0.333667502088555,-0.0936660391888423,-0.0375780941083432,-0.095930496531183,-0.03,-0.0464971471098983,-0.0644827586206897,-0.193344325628055,-0.3,-0.204137931034483,-0.325,-0.155048973552594,-0.0812987012987013,-0.263110944311325,-0.131948665991219,-0.149892185847189
"ILK",0.258176470588235,0.225,0.266176470588235,0.224158783513405,0.216958783513405,0.353996983408748,0.325628722592791,0.124358974358974,0.341176470588235,0.138247863247863,0.1,0.3,0.1,-0.00476190476190476,0.243076923076923,-0.0333333333333333,0.262483781059124,0.257004329004329,0.257004329004329,-0.155555555555556,0.430339105339105,-0.0458587118316772,-0.454466076788721,-0.1,-0.0075284554736377,0.173749535488666,0.159903381642512,0.1,0.0927307087170598,0.189729499377069,0.187873829273977,0.173749535488666,0.159903381642512,0.155555555555556,0.1,-0.0987352516351007,0.219333333333333,-0.257004329004329,0.0207696193231391,0.0224089635854342,-0.116724063855211,-0.0393725463575784,-0.0802631578947368,0.075,0.0928660049627792,0.105769230769231,-0.0542982456140351,-0.2,-0.116666666666667,-0.3,-0.369339774557166,-0.329961215255333,-0.20435542999361,-0.271997608799617,-0.309962833914053
