"","AXIN2","SRC","STAT","LIV1","Patched","AKT","KLF4","cateninmemb","SMO","IKK","SHH","HEY1","ILK","cfos","FUS","ZEB2","ZEB1","FOXC2","SNAI2","NOTCHic","MEK","ERK","Csl","Jagged","SOSGRB2","GSK3","TWIST1","EGR1","NOTCH","RKIP","NFB","RAS","RAF","PI3K","DELTA","SMAD","SNAI1","TGFR","CDC42","TGF","Ecadherin","DSH","GLI","PAK1","Wnt","TrCP","SUFU","CD44","cateninnuc","Destcompl","cMet","Frizzled","TCFLEF","Csn","miR200"
"AXIN2",0.0499404260532643,-0.356899224806202,-0.326666666666667,-0.266666666666667,0.248580586080586,0.420096618357488,0.148755688446948,0.334296832171205,0.243223443223443,0.395652173913044,0.248252717228127,0.070513443028656,0.0692201518288475,0.301463414634146,0.238461538461538,-0.161367383594048,-0.161367383594048,-0.105603233612601,-0.480767217298207,-0.0568358395989975,0.345607791044072,0.330435377250969,-0.0371929824561403,0.336657637309811,-0.255018346154391,0.664331348158579,-0.397669635100331,-0.26,0.0710250287881867,-0.370316672574737,-0.365217391304348,0.549114056636262,0.530216418840986,0.530216418840986,0.530216418840986,-0.0565217391304348,-0.440728556866945,-0.436842428711898,-0.407638888888889,-0.454664210890116,-0.0465809373660589,0.326666666666667,0.380755221336238,-0.352083333333333,0.370692328254477,-0.2,-0.2,0.380471508065203,0.38821133834302,0.668037068705672,0.370692328254477,0.356899224806202,0.385747006306704,-0.3,-0.331216743882682
"Destcompl",-0.385747006306704,-0.323950858882366,-0.31984126984127,-0.305555555555556,0.202853626234009,0.385346174053498,0.103572146942869,0.301723977591728,0.20648056923919,0.376621341838733,0.196857494705962,0.0189289343135497,0.0167460317460318,0.291981351981352,0.200766283524904,-0.11866841401994,-0.11866841401994,-0.073479414630027,-0.441497178865732,-0.0815707011359185,0.307523995683365,0.299085177117964,-0.0707011359185272,0.287193299121377,-0.226729633464216,0.621858985538764,-0.354693950550728,-0.270769230769231,0.0877831259856179,-0.325460129671795,-0.355900621118012,0.504140102352055,0.497232724016105,0.497232724016105,0.497232724016105,-0.0168629908103592,-0.394514700706481,-0.403902737138413,-0.392850105559465,-0.412868254379792,-0.0585662876703418,0.31984126984127,0.335025639829848,-0.378367346938775,0.331871650961574,-0.3,-0.211111111111111,0.334025485748037,0.337040162352789,0.513300759518321,0.33141354544953,0.323950858882366,0.334847403556257,-0.342857142857143,-0.28908300925681
"RAS",-0.200316205533597,-0.15,-0.1,0,-0.012,0.306666666666667,0.0907142857142857,0.0725995490015935,0,0.306666666666667,-0.0170847457627119,-0.0577075098814229,-0.0471861471861472,0.285,0,-0.0938070692194404,-0.0938070692194404,-0.122222222222222,-0.36099456792737,-0.255263157894737,0.306671826625387,0.300789473684211,-0.25,-0.00196727774492411,0.0445887445887446,0.519819121447028,-0.19253682487725,-0.26,0.268470705064548,-0.0849937106918239,-0.3,0.442948717948718,0.521794871794872,0.521794871794872,0.521794871794872,0.0512677798392084,-0.299282202556539,-0.263529411764706,-0.24,-0.276400698893419,-0.0267542062938482,0.1,0.171813725490196,-0.18,0.167647058823529,-0.1,0.1,0.174030037546934,0.177551501918256,0.434805232479651,0.167647058823529,0.15,0.175568499085395,-0.2,-0.191046153846154
"TWIST1",-0.197717229007552,-0.153174603174603,-0.147619047619048,-0.133333333333333,0.228115677321157,0.277515986838021,0.0833854492391078,-0.032991227407744,0.240444444444444,0.282600732600733,0.228608288158595,0.0987645123238343,0.08003458003458,0.215652173913043,0.244444444444444,-0.0898723284688197,-0.0898723284688197,-0.0865838212799953,0.116835193533587,0.0534472934472935,0.226676002140328,0.226178489702517,0.0637037037037037,0.137682462947823,0.0126112382405289,0.211641648611755,-0.18004499473321,-0.22,-0.0440133311831425,-0.11879222748788,-0.273076923076923,0.202948302742217,0.201920905481943,0.201920905481943,0.201920905481943,-0.0764042169982764,-0.171637558165754,-0.0713322884012539,-0.0663322884012539,-0.0688265936404339,0.0892046843324762,0.147619047619048,0.149216708437761,-0.0490909090909091,0.150016708437761,-0.2,-0.233333333333333,0.147714464748559,0.148383910056497,0.192048151139342,0.148919284025667,0.153174603174603,0.148786440246261,-0.25,-0.173523390280544
"miR200",0.220370342342797,0.184347826086957,0.18,0.2,0.0240506329113924,0.0146432118030926,0.0530883367839889,0.0666815570467485,0,-0.000451127819548869,0.0338332416070446,0.0720338983050847,0.0715128529287821,0.02,0.06,-0.0590232974910394,-0.0590232974910394,-0.00409011043157384,0.136891222137843,0.029064039408867,0.0107235621521336,0.0290909090909091,0.0600985221674877,0.0245139934468153,-0.0033397807865893,-0.0766975778706706,0.0859659359045862,0,-0.0352787286744037,-0.0166352850263398,-0.0652631578947368,-0.145089314600983,-0.145338691159587,-0.145338691159587,-0.145338691159587,-0.0454940441513527,-0.0458180708180708,-0.0802577482605945,-0.101225490196078,-0.0750251901210597,-0.173723355899012,-0.18,-0.179884847546819,-0.0875,-0.188676056338028,0,-0.06,-0.185787927368805,-0.188046224627102,-0.194932562620424,-0.197023882424985,-0.176,-0.183803800384678,-0.06,-0.123070964517741
"Jagged",0.0942857142857143,0.1,0,0,0.05,0.0555555555555556,0.0111111111111111,0.00549661605999635,0,0,-0.00384615384615384,0.1,0,0,-0.1,-0.0589371980676328,-0.0589371980676328,-0.01,0.243966817496229,0.02,0.0133333333333333,-0.02,0,-0.0306493506493507,0.2,-0.109195402298851,0.106,0.1,-0.0771428571428571,-0.00512820512820514,0.1,-0.0442424242424242,-0.0533333333333333,-0.0533333333333333,-0.0533333333333333,-0.0142857142857143,0.1,0.333333333333333,0.3,0.289333333333333,0.0303157894736842,0,-0.0415384615384615,0.2,-0.08,0,0,-0.0415384615384615,-0.0533932733932734,-0.10769111969112,-0.08,-0.1,-0.0566899766899767,0,0.0854545454545455
"CD44",-0.16,-0.2,-0.1,-0.1,0.13,0.0133333333333333,-0.053968253968254,-0.0996520146520146,0.15,0.0333333333333333,0.102727272727273,0.0631578947368421,0.0722222222222222,-0.025,0.1,-0.0507936507936508,-0.0507936507936508,-0.0345833333333333,0.159116439116439,0.242857142857143,-0.045,-0.045,0.2,0.118974358974359,-0.247619047619048,-0.123214285714286,-0.103076923076923,0,-0.237593984962406,-0.176296296296296,0,-0.0942857142857143,-0.0857142857142857,-0.0857142857142857,-0.0857142857142857,-0.094671201814059,-0.03471557682084,-0.125833333333333,-0.113333333333333,-0.131388888888889,0.146839648246662,0,0.13,-0.133333333333333,0.15,0,-0.1,0.13,0.118336314847943,-0.109036341809451,0.25,0.1,0.113720930232558,-0.1,-0.104018445322793
"SMAD",-0.0655944486901978,-0.0520634920634921,-0.0742857142857143,-0.06,-0.0362385321100917,-0.0775107376283847,0.0354506722362565,-0.024586508700726,-0.05,-0.0935107376283847,-0.0574281231881587,-0.124003151929041,-0.0746936168853977,0.0576036866359447,-0.075,-0.0496048487034806,-0.0496048487034806,0.0561231874006272,0.112436524691017,-0.105353037766831,0.0426886598023132,0.0436501982638517,-0.101904761904762,-0.0872164502164502,0.123927832002366,-0.12868911094475,0.0383775546440791,-0.0285714285714286,0.0942419266557198,0.0233333282703857,0.115079365079365,-0.0465739420504417,-0.0455870999451786,-0.0455870999451786,-0.0455870999451786,-0.0238778116860309,0.0789849541139864,0.240887035434207,0.234741784037559,0.231325282446159,0.0785787951744076,0.0476190476190476,0.0328401015451375,0.233333333333333,0.0292429792429792,0.15,0.025,0.0604912995501231,0.0535351985959275,-0.0143505938592892,0.0579458450046685,0.0253968253968254,0.0530286129829589,0.0722222222222222,0.091582923572894
"SOSGRB2",-0.03877200220022,-0.0142857142857143,0,0,-0.174774774774775,0.163815789473684,0.0456140350877193,0.120706680706681,-0.166666666666667,0.159649122807018,-0.186402681751519,-0.216477272727273,-0.195913978494624,0.331746031746032,-0.2,-0.0484711779448622,-0.0484711779448622,-0.0694139194139194,-0.397237016976034,-0.411888111888112,0.352630552630553,0.334448734448734,-0.427272727272727,-0.177098389406173,0.2,0.457937689550593,-0.116463768115942,-0.276190476190476,0.418930365409239,0.0145833333333333,-0.133333333333333,0.483145009416196,0.466478342749529,0.466478342749529,0.466478342749529,0.19241747499812,-0.214891257995736,-0.13978021978022,-0.112857142857143,-0.154673836801496,-0.112013898428795,0,0.0353002070393375,-0.0928571428571429,0.030952380952381,-0.1,0.2,0.0403726708074534,0.0436231488189257,0.357055584236792,0.0360248447204969,0.0142857142857143,0.0403726708074534,-0.1,-0.101450433916093
"LIV1",0.0381869442637172,0.0285185185185185,0.01,0.05,0.0674660067133186,0.0685672514619883,0.0242133749674733,0.0341187772861415,0.0440092165898618,0.0407894736842105,0.0414660067133185,0.0153518828820884,0.0151817716333845,0.0791304347826087,0.0214285714285714,-0.0426357859437124,-0.0426357859437124,0.0158461904526319,0.200450315645733,-0.00641025641025642,0.0625428641611398,0.0638761974944731,0.00128205128205128,0.012602675528289,0.159502200220022,-0.0689323593073593,0.0886695840391492,-0.04,-0.00567765567765567,0.00363314401988435,-0.025,0.0333257974290973,0.0324167065200064,0.0324167065200064,0.0324167065200064,-0.0100204813108039,0.0703226240140533,0.254074357015533,0.246498599439776,0.242052499092036,-5.19146901115927e-05,-0.01,-0.0185698664004184,0.252380952380952,-0.0258869395711501,0,-0.0714285714285714,-0.0171725190537072,-0.0243985726935539,-0.0588804306755825,-0.0231131131131131,-0.0285185185185185,-0.0249502968314849,-0.075,0.0779371154707076
