"","PAK1","TGF","CDC42","ILK","FUS","Patched","HEY1","TrCP","SUFU","cfos","EGR1","TWIST1","SNAI1","cateninmemb","Ecadherin","RKIP","Frizzled","GLI","SRC","CD44","AXIN2","STAT","cateninnuc","TCFLEF","Destcompl","cMet","SNAI2","PI3K","DELTA","LIV1","FOXC2","ZEB1","GSK3","RAS","RAF","Wnt","DSH","NOTCHic","Csl","NOTCH","Jagged","miR200","ERK","MEK","IKK","NFB","SOSGRB2","AKT","Csn","SMO","SHH","TGFR","SMAD","ZEB2","KLF4"
"Destcompl",0.324285714285714,0.39854290899663,0.35807881773399,0.322301587301587,-0.0452107279693487,-0.0148332298198298,0.303718845257307,0.3,-0.0555555555555556,-0.0226107226107226,-0.0256410256410256,0.486505244888936,0.585173716048172,0.415014259676281,0.225388693032085,0.529221587762603,0.381789519460752,0.405730076781791,0.381789519460752,0.406167628913489,0.196714964474223,0.342063492063492,0.420772142964888,0.418222423434037,0.572054686211642,0.394227330406026,0.227970147513741,-0.506427671640518,-0.506427671640518,0.327777777777778,-0.12202751059708,0.391218264980985,0.599418676560214,0.517416682629529,0.506427671640518,-0.393670707579564,-0.342063492063492,-0.121012534273404,-0.11340383862123,-0.133637784774406,0.215170820527383,0.089351942457563,0.0122282089495204,0.00885268152336008,-0.462341223210788,-0.42360248447205,-0.0675850222069284,-0.49187142455307,-0.371428571428571,0.019496442255063,0.0022606959707002,-0.380710396681359,-0.339260651629073,-0.299164170447704,-0.265929339240347
"ZEB1",0.24367816091954,0.242181414388932,0.236431784107946,0.231970256288122,0.158333333333333,0.166800356506239,0.212969793591555,0.2,0.158333333333333,0.137333333333333,0.133333333333333,0.208542550390066,0.151212450265685,0.211002104785229,0.142890450471874,0.120049402563909,0.0212543554006969,0.0253053731115084,0.0157598499061914,0.0195588695140345,0.0258680298254392,0.0230769230769231,0.0210140887337539,0.0206226993012685,0.103133843795387,0.0216422028473678,0.0877829566926413,-0.0506347417697763,-0.0506347417697763,0,0.0100506538948209,0.00893897104453591,-0.0117223660492345,0.0489024583052094,0.0506347417697763,-0.0270235861699276,-0.0285714285714286,-0.162009803921569,-0.154166666666667,-0.159530465078593,-0.170709014010115,-0.16164005353912,-0.138509803921569,-0.144236676168265,-0.202933563416739,-0.194736842105263,-0.175789473684211,-0.202933563416739,-0.2,-0.162878787878788,-0.162174021986666,-0.241000312026728,-0.236297179365045,-0.230826913627866,-0.234774397692909
"GSK3",0.443768115942029,0.491467570958557,0.461863354037267,0.280042373153141,0.142424242424242,0.155762853150544,0.254969229517368,0.26,0.109090909090909,0.0703267973856209,0.0592156862745098,0.431329194494154,0.470130322435681,0.235511895733874,0.208056671542988,0.393954641849379,0.261278195488722,0.293803784340615,0.261278195488722,0.292864445882919,0.170571116987254,0.268421052631579,0.30123833865135,0.291172549177665,0.54248214105874,0.280483493501967,0.161045431990934,-0.426136934825168,-0.426136934825168,0.2,-0.116855001383765,0.313054948782011,0.41323219066823,0.435380632304159,0.426136934825168,-0.281539633397219,-0.268421052631579,-0.20900325165031,-0.187324929971989,-0.210821433468492,-0.0222826032852918,0.0306474016607906,-0.071078677084869,-0.0801695861757781,-0.366034482758621,-0.335,-0.203806184362055,-0.381419098143236,-0.2975,-0.13919843597263,-0.156241322050065,-0.481723981214967,-0.295184801938748,-0.208233111354265,-0.201433360715516
"DSH",0.413333333333333,0.481723981214967,0.443768115942029,0.267589542964461,0.109090909090909,0.13919843597263,0.245626668963735,0.2,0.1,0.0592156862745098,0.0533333333333333,0.41993354788724,0.458502415458937,0.22799642270116,0.209077415698404,0.387688977688978,0.268421052631579,0.281539633397219,0.268421052631579,0.280483493501967,0.169810081979643,0.2,0.291172549177665,0.292864445882919,0.53772694556737,0.261278195488722,0.158629556235973,-0.415772789166904,-0.415772789166904,0.2,-0.124032034876588,0.304882586226291,0.503248829603338,0.426136934825168,0.415772789166904,-0.261278195488722,-0.2,-0.187324929971989,-0.189285714285714,-0.20900325165031,-0.0250563259130291,0.037329699433358,-0.0703267973856209,-0.071078677084869,-0.335,-0.2975,-0.190317812269032,-0.366034482758621,-0.26,-0.142424242424242,-0.155762853150544,-0.461863354037267,-0.280042373153141,-0.207192992483536,-0.181586032471241
"cMet",0.26,0.314432624113475,0.285,0.246145124716553,0.15,0.21,0.218403852769178,0.1,0.1,0.02,0,0.275804420298802,0.300637958532695,-0.0323262680380118,0.0154627280746027,0.312222222222222,0,-0.00181818181818182,0.1,-0.00372093023255814,-0.0161904761904762,0,-0.00296473727297535,0.00550983899821109,0.166243131159098,-0.02,0.0516000139357804,-0.1,-0.1,0.1,-0.129694092827004,0.228860028860029,0.131547619047619,0.10377358490566,0.1,0.02,0.1,-0.24812030075188,-0.242857142857143,-0.267269236922092,-0.191078341947907,0.0671224472990777,-0.05,-0.0590909090909091,-0.266666666666667,-0.233333333333333,0.0314285714285714,-0.285416666666667,-0.2,-0.21,-0.22875,-0.301666666666667,-0.253417851989281,-0.196825396825397,-0.0857142857142857
"ERK",0.361904761904762,0.38968957174667,0.374054294615042,0.28803842155149,0.206666666666667,0.216824172291868,0.252718472736786,0.271428571428571,0.186666666666667,0.00213499633162142,-0.0127586206896552,0.394443507504615,0.412508198285245,0.193091550407462,0.174551189856476,0.409470885554046,0.146923076923077,0.150614122719386,0.142712550607287,0.145580929048185,0.106220525867022,0.115789473684211,0.147415140117991,0.147067917895769,0.382883892470184,0.133621641516378,0.159321714843383,-0.245519480519481,-0.245519480519481,0.1,-0.0765162775507603,0.219883742652685,0.278902634708768,0.248709799551384,0.245519480519481,-0.137832167832168,-0.12,-0.263722287444915,-0.264452214452214,-0.275633644785635,-0.1612352520582,0.0295665291673501,-0.107134996331621,-0.109641960119922,-0.339374204227145,-0.324080086580087,-0.100436430883033,-0.353135672117054,-0.308928571428571,-0.214863387978142,-0.224070549103462,-0.380623637680736,-0.292901643435989,-0.196756992893822,-0.187388920400832
"MEK",0.333333333333333,0.380623637680736,0.361904761904762,0.281765358820863,0.186666666666667,0.214863387978142,0.248964206525182,0.2,0.166666666666667,-0.0127586206896552,-0.03,0.380435185729303,0.413434124211171,0.192263583526137,0.168269006540307,0.398050272740675,0.12,0.137832167832168,0.115789473684211,0.133621641516378,0.0950010136718997,0.1,0.147067917895769,0.145580929048185,0.378862847750154,0.142712550607287,0.162026854608938,-0.24520202020202,-0.24520202020202,0.1,-0.069165850200333,0.211852246589693,0.273907176034836,0.245519480519481,0.24520202020202,-0.146923076923077,-0.1,-0.264452214452214,-0.260606060606061,-0.263722287444915,-0.165753324347357,0.0268704507359775,-0.00213499633162142,-0.107134996331621,-0.324080086580087,-0.308928571428571,-0.0975238095238095,-0.339374204227145,-0.271428571428571,-0.206666666666667,-0.216824172291868,-0.374054294615042,-0.28803842155149,-0.189670378720594,-0.178861788617886
"CD44",0.2,0.301666666666667,0.26,0.227777777777778,0.1,0.21,0.204678362573099,0,0.1,0,0,0.256703296703297,0.300637958532695,-0.0298351648351648,0.000450005428292261,0.301111111111111,-0.1,-0.02,0,-0.02,-0.04,0.1,0.00550983899821109,-0.00372093023255814,0.157459347375314,0.1,0.055979575979576,-0.114285714285714,-0.114285714285714,0.1,-0.120833333333333,0.223809523809524,0.131547619047619,0.1,0.114285714285714,0,0,-0.242857142857143,-0.2,-0.24812030075188,-0.188904428904429,0.0655599472990777,-0.02,-0.05,-0.233333333333333,-0.2,0.0380952380952381,-0.266666666666667,-0.1,-0.15,-0.21,-0.285,-0.246145124716553,-0.185714285714286,-0.080952380952381
"RAF",0.3,0.374054294615042,0.333333333333333,0.264933675652546,0.166666666666667,0.206666666666667,0.236236933797909,0.2,0.1,-0.03,-0.08,0.378603683897802,0.398049508826555,0.184214803038332,0.16808685717783,0.392787114845938,0.1,0.146923076923077,0.1,0.142712550607287,0.10491092358181,0.1,0.145580929048185,0.133621641516378,0.371540672017936,0.115789473684211,0.153024421518914,-0.234090909090909,-0.234090909090909,0,-0.0718685529030357,0.210264945002391,0.274152876280536,0.24520202020202,0.234090909090909,-0.12,-0.1,-0.260606060606061,-0.233333333333333,-0.264452214452214,-0.153458242380144,0.0259416581663181,0.0127586206896552,-0.00213499633162142,-0.308928571428571,-0.271428571428571,-0.081968253968254,-0.324080086580087,-0.2,-0.186666666666667,-0.214863387978142,-0.361904761904762,-0.281765358820863,-0.180940219990435,-0.174940219990435
"Wnt",0.3,0.443768115942029,0.366666666666667,0.22051282051282,0.1,0.109090909090909,0.207179487179487,0.1,0,0.0333333333333333,0,0.384411764705882,0.414596273291925,0.203474576271186,0.196912817054438,0.343333333333333,0.1,0.268421052631579,0.2,0.268421052631579,0.170909090909091,0.1,0.280483493501967,0.261278195488722,0.506703093136568,0.2,0.138706896551724,-0.369172932330827,-0.369172932330827,0,-0.122834008097166,0.279818268770923,0.481112852664577,0.405536568694463,0.369172932330827,-0.2,0,-0.164285714285714,-0.15,-0.189285714285714,-0.0122303921568627,0.0362626262626263,-0.0533333333333333,-0.0592156862745098,-0.26,-0.2,-0.160606060606061,-0.2975,-0.1,-0.1,-0.142424242424242,-0.413333333333333,-0.246094215861658,-0.177809660449546,-0.150980392156863
