"","TGFR","CDC42","PAK1","RKIP","SNAI1","GSK3","ERK","SUFU","HEY1","FUS","SHH","Patched","ILK","SMAD","IKK","AKT","Destcompl","RAS","RAF","PI3K","DELTA","ZEB2","cateninmemb","Ecadherin","FOXC2","AXIN2","Wnt","Frizzled","DSH","GLI","cateninnuc","KLF4","miR200","SNAI2","CD44","TCFLEF","STAT","SRC","LIV1","cMet","SOSGRB2","NFB","SMO","NOTCH","NOTCHic","Csl","Jagged","TrCP","TWIST1","Csn","cfos","MEK","EGR1","ZEB1","TGF"
"ZEB1",-0.0895334904459784,-0.0930867899383642,-0.106130268199234,0.00538873119143912,0.019046020935147,0.0206269340552679,-0.0417254901960784,-0.0333333333333333,0.0127716583934201,0.00416666666666667,-0.00564296407660443,-0.0088458110516934,0.015822649148573,0.015822649148573,0.0405982168536094,0.0277410739964666,0.106197565536022,-0.0580929272104043,-0.053525998076546,-0.053525998076546,-0.053525998076546,-0.158969589219611,0.203911545700172,0.159660719903278,0.0367709145496489,0.0847519696904893,-0.0187393906906102,-0.00720092915214866,-0.00476190476190476,-0.0156466071854556,-0.00770201037367239,0.157412345876808,-0.164073149894856,0.0576822902181297,0.00756408723589498,0.00623430000185243,-0.00512820512820513,-0.00268918073796123,0.0333333333333333,0.0110363094581172,0.0376998050682261,-0.0291228070175439,0.00492424242424242,0.0073407875546913,-0.00588235294117647,0,0.0288393377055785,-0.0333333333333333,-0.0340402933435486,-0.0133333333333333,0.0546666666666667,0.0492144769802194,0.0666666666666667,-0.0768752340054924,0.0930767975325925
"RAS",-0.191764705882353,-0.18,-0.18,-0.268446540880503,-0.168249754178958,-0.373785529715762,-0.135789473684211,-0.1,-0.0782608695652174,-0.1,-0.098361581920904,-0.0966666666666667,-0.0757575757575757,-0.079839208410637,-0.06,-0.0377777777777778,-0.272979173560569,-0.302051282051282,-0.198205128205128,-0.198205128205128,-0.198205128205128,-0.140316642120766,0.000974230401974622,-0.0639789758679054,-0.0957142857142857,0.160316205533597,0.129411764705882,0.1,0.1,0.133578431372549,0.1306520108078,0.139285714285714,0.0621538461538462,0.0511829167145594,-0.135794743429287,-0.128102435736979,-0.1,-0.1,0,-0.129411764705882,-0.0147186147186147,0.0666666666666667,0.116666666666667,0.0202085402184707,0.0447368421052632,0.05,0.0391523753203233,0.1,0.108052373158756,0.1,0.12,0.137750257997936,0.12,0.142621502209131,0.182853814793244
"TCFLEF",-0.423771866762521,-0.425641025641026,-0.425641025641026,-0.269947191991551,-0.261928791803269,-0.328004184488009,-0.221602787456446,0.116666666666667,0.00501145050274369,0.136666666666667,0.110712259572343,0.114393241167435,0.0416302878408142,0.0490872668083094,0.00646166736489316,0.0151573195388062,-0.333010703109148,-0.0395404476467869,-0.0365181086191917,-0.0365181086191917,-0.0365181086191917,-0.126749689881269,-0.0786663226919462,-0.136669884366057,-0.0222662049598684,-0.372406837606838,-0.0196907993966818,-0.0222549019607843,-0.0372549019607843,-0.0153429733097252,0.0809024068282967,0.227848866819455,0.024525895790956,0.0604328638131342,0.0203289791969037,-0.0804728535636919,0.0416666666666667,0.0266666666666667,0.0666666666666667,0.0241025641025641,0.0351297405189621,0.00644155844155845,-0.117619047619048,0.0979759269939778,0.104288219352782,0.11801370954886,0.022994459900178,0.0857142857142857,0.234693033662016,0.0584415584415584,0.230174216027875,0.223643603782977,0.222857142857143,0.20884121920964,0.424102992590336
"TrCP",-0.226967150496562,-0.21484593837535,-0.228571428571429,-0.174161032337828,-0.125524270398443,-0.0963035714285714,-0.219955784819455,0.0380952380952381,0.0299489960901902,0.0214285714285714,0.0178622631848438,0.0228622631848438,0.0285714285714286,0.0298617511520737,0.0416666666666667,0.0324074074074074,-0.0907658149523185,-0.049104410919332,-0.0495589563738775,-0.0495589563738775,-0.0495589563738775,-0.108662850756231,-0.080507255289725,-0.0715329814890426,-0.00488832034075194,-0.0683217151532051,-0.0501754385964912,-0.0633333333333333,-0.03,-0.0487120239623449,-0.0496046281857139,0.107988550611501,0.00379176743763188,0.0316323462179509,0.0478396218000178,0.0504322143926104,0.03,0.0633333333333333,0.05,0.0498198198198198,0.0585533553355336,-0.0416666666666667,-0.0117511520737327,-0.00923076923076923,-0.00923076923076923,-0.0230769230769231,-0.00931727164280845,0.0333333333333333,0.115530491247883,-0.0166666666666667,0.218260869565217,0.226622451486121,0.24,0.109440256928248,0.224781358146835
"LIV1",-0.226967150496562,-0.21484593837535,-0.228571428571429,-0.174161032337828,-0.125524270398443,-0.0963035714285714,-0.219955784819455,0.0380952380952381,0.0299489960901902,0.0214285714285714,0.0178622631848438,0.0228622631848438,0.0285714285714286,0.0298617511520737,0.0416666666666667,0.0324074074074074,-0.0907658149523185,-0.049104410919332,-0.0495589563738775,-0.0495589563738775,-0.0495589563738775,-0.108662850756231,-0.080507255289725,-0.0715329814890426,-0.00488832034075194,-0.0683217151532051,-0.0501754385964912,-0.0633333333333333,-0.03,-0.0487120239623449,-0.0496046281857139,0.107988550611501,0.00379176743763188,0.0316323462179509,0.0478396218000178,0.0504322143926104,0.03,0.0633333333333333,0.05,0.0498198198198198,0.0585533553355336,-0.0416666666666667,-0.0117511520737327,-0.00923076923076923,-0.00923076923076923,-0.0230769230769231,-0.00931727164280845,0.0333333333333333,0.115530491247883,-0.0166666666666667,0.218260869565217,0.226622451486121,0.24,0.109440256928248,0.224781358146835
"SRC",-0.331349206349206,-0.336111111111111,-0.311111111111111,-0.34040404040404,-0.217252898748893,-0.246493506493506,-0.253535353535354,-0.0333333333333333,-0.0329361138695796,-0.0833333333333333,-0.0373856209150327,-0.0344444444444444,-0.0177631578947368,-0.00965504978662873,-0.0769230769230769,-0.0658119658119658,-0.0617216117216117,-0.0500629574847347,-0.0576387150604923,-0.0576387150604923,-0.0576387150604923,-0.108625336927224,0.122640323304894,0.0596406643465467,-0.0890756302521008,0.089712694972162,0.045,0.025,0,0.0335245901639344,0.0392756678089391,0.211627906976744,0.0151046698872786,0.00347758489313386,-0.0335245901639344,-0.0408416633346661,0.1,-0.025,0,-0.045,0.05,0.1,0.0233333333333333,0.0669047619047619,0.0811904761904762,0.105,0.0193948482709951,0.1,0.158798787419477,0.1,0.242424242424242,0.247874976176863,0.233333333333333,0.184329140461216,0.325894660894661
"PI3K",-0.293882352941176,-0.305882352941176,-0.3,-0.209534583063995,-0.204178743961353,-0.197101972101972,-0.0535014005602241,0,0.0300810547203444,-0.05,-0.0104700854700855,-0.00769230769230769,0.0228251300520208,0.0252251300520208,0.0745098039215686,0.0822021116138763,-0.232443182412433,-0.265581687718674,-0.273800865800866,-0.273800865800866,-0.273800865800866,-0.105744193972443,0.015883755562345,-0.0865593529781147,-0.111180023228804,0.160285714285714,0.124154589371981,0.111111111111111,0.1,0.110308435525827,0.114667454688271,0.10109649122807,0.0150451121762597,0.0573101250262613,-0.110308435525827,-0.116523124791364,-0.1,-0.111111111111111,-0.1,-0.124154589371981,0.242307692307692,-0.0333333333333333,0,-0.190446650124069,-0.180769230769231,-0.15,-0.0481578947368421,0,0.0966885019629139,-0.0333333333333333,0.0476190476190476,0.0420259907241585,0.0333333333333333,0.173156515247415,0.286565279770445
"MEK",-0.151553182020472,-0.158095238095238,-0.153333333333333,-0.299004865103936,-0.126605209582977,-0.302259609706418,-0.177065297138665,-0.1,-0.100853130609228,-0.12,-0.104129004607307,-0.103475409836066,-0.0888366018886869,-0.0877295908185763,-0.0402597402597403,-0.039083269671505,-0.267095430885896,-0.180760905760906,-0.182348207348207,-0.182348207348207,-0.182348207348207,-0.10219662499146,-0.0649214843045546,-0.0763616407371663,-0.111104340414685,0.0496765753094867,0.0471794871794872,0.0433333333333333,0.0333333333333333,0.0380885780885781,0.0501906599625783,0.0975131516021043,0.0358487913767849,-0.0622757070915278,-0.0438780517727886,-0.0507482807804222,-0.0333333333333333,-0.0491228070175439,0,-0.0529689608636977,0.0132698412698413,0.0857142857142857,0.092,0.0429928141606974,0.0451825951825952,0.0797979797979798,0.0765648918700771,0.1,0.0369068839657075,0.0857142857142857,0.183448275862069,0.0720652971386647,0.18,0.0934272505750268,0.148633473991275
"SMO",-0.405,-0.38,-0.4,-0.25968253968254,-0.233486943164363,-0.29961591806252,-0.212307692307692,0.1,0.0146520146520147,0.133333333333333,0.201111111111111,0.223333333333333,0.03,0.0379365079365079,-0.00714285714285715,0.0128571428571429,-0.284171642311177,-0.146086762075134,-0.129807692307692,-0.129807692307692,-0.129807692307692,-0.101694915254237,-0.117550196610641,-0.0881043480337716,-0.106896551724138,-0.158068368413196,-0.125,-0.15,-0.1,-0.108333333333333,-0.0114207849721391,0.113888888888889,0.0225437010247137,0.024391899288451,0.0133333333333333,0.0181877022653722,0,0.05,0.1,0.03,0.157017543859649,0.05,-0.173333333333333,0.104242424242424,0.124242424242424,0.133333333333333,0.045952380952381,0,0.118355119825708,0.1,0.22,0.233519813519813,0.2,0.225141242937853,0.402297297297297
"RAF",-0.158095238095238,-0.153333333333333,-0.133333333333333,-0.297689075630252,-0.125964183941951,-0.30397951142632,-0.183448275862069,-0.1,-0.10267131242741,-0.1,-0.103475409836066,-0.092,-0.0898267008985879,-0.0888366018886869,-0.0857142857142857,-0.0402597402597403,-0.269605891136943,-0.182348207348207,-0.181493506493507,-0.181493506493507,-0.181493506493507,-0.0974347202295552,-0.0676044111338229,-0.0759973420122119,-0.107500736811082,0.0523792780121894,0.0433333333333333,0.0333333333333333,0,0.0471794871794872,0.0507482807804222,0.101434720229555,0.0324432186213669,-0.0664119601328904,-0.0529689608636977,-0.0438780517727886,0,-0.0333333333333333,0,-0.0491228070175439,0.00882539682539682,0.0857142857142857,0.12,0.0451825951825952,0.0797979797979798,0.0888888888888889,0.0716468590831918,0.1,0.0321449792038027,0.1,0.18,0.177065297138665,0.13,0.0973955045432807,0.151553182020472
