"","AXIN2","cateninmemb","cateninnuc","TCFLEF","Ecadherin","CD44","GLI","SRC","Wnt","ZEB2","STAT","Frizzled","DSH","Jagged","IKK","ERK","SHH","SMAD","Csl","NOTCHic","NOTCH","ILK","EGR1","cfos","HEY1","RKIP","KLF4","ZEB1","TrCP","SNAI1","TWIST1","miR200","CDC42","PAK1","TGF","TGFR","SNAI2","FOXC2","SUFU","MEK","Patched","Csn","SMO","AKT","FUS","SOSGRB2","NFB","LIV1","Destcompl","cMet","RAF","PI3K","DELTA","RAS","GSK3"
"ZEB2",-0.144756439496121,-0.136211863687036,-0.121323865575163,-0.119245943497241,-0.118755387190334,-0.117485380116959,-0.110772652424029,-0.106666666666667,-0.105268065268065,-0.100254363958452,-0.1,-0.0975757575757576,-0.0909090909090909,-0.0739842677237929,-0.0730555555555556,-0.0557583474816073,-0.0548907190370605,-0.0524175635426065,-0.0487179487179487,-0.0473846153846154,-0.0457452711223203,-0.0438809781767528,-0.0416666666666667,-0.0364035087719298,-0.0338969095420708,-0.0210950080515298,-0.00884984842397459,-0.00602760120417719,0,0.00653171865884796,0.0183569591403117,0.0228449583937431,0.0298701298701299,0.038961038961039,0.0390160104445819,0.0400742115027829,0.0448802392480395,0.0458725718725719,0.05,0.0508802987011194,0.0512543554006969,0.0555555555555556,0.0585714285714286,0.0646443406022845,0.0785714285714286,0.0917216117216117,0.0930555555555556,0.1,0.101341574409257,0.111929824561404,0.123181818181818,0.123181818181818,0.123181818181818,0.128963402764259,0.173950540573385
"SMAD",0.0402677417829418,0.0669843854173555,0.0483224340132042,0.0453842374579864,0.0871707833920607,0.0417207367795603,0.0204774641825002,0.0311111111111111,0.0168803418803419,-0.09326556619233,0.02,0.0111111111111111,0,0.227251780477587,0.254435107376284,0.249351623620191,0.270681252344736,0.193424338218859,0.159047619047619,0.162495894909688,0.165670498084291,0.290091004885525,0.228571428571429,0.244700460829493,0.233468367900162,0.233116461971694,-0.0931394763065677,0.349164920678826,0.2,0.195967938871165,0.0972160795226072,0.239846516222172,0.0139503688799463,0.0238095238095238,0.0203293223398497,0.0167436649693318,0.0931275632466486,-0.216078540167406,-0.25,-0.247428546697114,-0.256926605504587,-0.255555555555556,-0.245,-0.26510177404295,-0.25,-0.136653356994972,-0.26031746031746,-0.02,-0.0403356283854096,-0.0369934640522876,-0.155812094746593,-0.155812094746593,-0.155812094746593,-0.159430515799224,-0.109381588892867
"CDC42",-0.131428571428571,-0.109225556789273,-0.102489816549222,-0.103971298030704,-0.0791389593667142,-0.101001001001001,-0.101072124756335,-0.1,-0.103703703703704,-0.087720511933587,-0.1,-0.1,-0.1,0.0978125,0.1375,0.327826086956522,0.154724924617398,0.215275644307902,0.0833333333333333,0.091025641025641,0.0894871794871795,0.186243386243386,0.22,0.28,0.18135932033983,0.314125874125874,-0.0788571428571429,0.420027672085783,0,0.270064113102088,0.209160173160173,0.294639674051439,0.0380952380952381,0.114285714285714,0.0180417621594092,0.0165266106442577,0.242546528896894,-0.342615290018446,-0.1,-0.326131171702284,-0.146082949308756,-0.1,-0.142857142857143,-0.142763157894737,-0.142857142857143,-0.134722222222222,-0.15,0.1,0.0854330154570382,0.103703703703704,0.0191176470588235,0.0191176470588235,0.0191176470588235,0.0130200860832138,0.0792261904761905
"PAK1",-0.133315363881402,-0.108126655690371,-0.102489816549222,-0.102489816549222,-0.0772704472559875,-0.103971298030704,-0.105462368658774,-0.103703703703704,-0.101072124756335,-0.0848266212583458,-0.1,-0.103703703703704,-0.1,0.10701495398773,0.142763157894737,0.326131171702284,0.173724924617398,0.223662741082096,0.091025641025641,0.0894871794871795,0.094981684981685,0.215275644307902,0.28,0.327826086956522,0.204888732104536,0.322413166943554,-0.0886932084309134,0.419706128677423,0.1,0.280326642935023,0.210790607942782,0.296162516691033,0.0165266106442577,0.0380952380952381,0.0207740025965677,0.0180417621594092,0.241461537938485,-0.342615290018446,-0.142857142857143,-0.334131171702284,-0.154724924617398,-0.15,-0.146082949308756,-0.150170565302144,-0.142857142857143,-0.133732123212321,-0.1375,0.1,0.0852826395171886,0.101001001001001,0.0130200860832138,0.0130200860832138,0.0130200860832138,0.0134746315377592,0.0810443722943723
"LIV1",-0.133315363881402,-0.108126655690371,-0.102489816549222,-0.102489816549222,-0.0772704472559875,-0.103971298030704,-0.105462368658774,-0.103703703703704,-0.101072124756335,-0.0848266212583458,-0.1,-0.103703703703704,-0.1,0.10701495398773,0.142763157894737,0.326131171702284,0.173724924617398,0.223662741082096,0.091025641025641,0.0894871794871795,0.094981684981685,0.215275644307902,0.28,0.327826086956522,0.204888732104536,0.322413166943554,-0.0886932084309134,0.419706128677423,0.1,0.280326642935023,0.210790607942782,0.296162516691033,0.0165266106442577,0.0380952380952381,0.0207740025965677,0.0180417621594092,0.241461537938485,-0.342615290018446,-0.142857142857143,-0.334131171702284,-0.154724924617398,-0.15,-0.146082949308756,-0.150170565302144,-0.142857142857143,-0.133732123212321,-0.1375,0.1,0.0852826395171886,0.101001001001001,0.0130200860832138,0.0130200860832138,0.0130200860832138,0.0134746315377592,0.0810443722943723
"miR200",0.312588444511711,0.343366396280206,0.304352598892393,0.295413204952999,0.349958605052192,0.283905268445062,0.273075375328896,0.250434782608696,0.255492957746479,-0.0809632616487455,0.22,0.24,0.22,0.240541452888995,0.215037593984962,0.0933766233766234,0.214368005870482,0.181306595166833,0.144630541871921,0.161871921182266,0.164696779939328,0.18036615629536,0.114285714285714,0.0842857142857143,0.160028248587571,0.107510295628245,-0.0687370600414079,0.27489247311828,0.1,0.0723065823065823,-0.093839146538533,0.125321750889261,0.0627450980392157,0.0333333333333333,0.0757796066663725,0.0740354206198608,-0.232596563813209,-0.130114384260726,-0.12,-0.095417439703154,-0.212194092827004,-0.12,-0.203333333333333,-0.224471556249113,-0.17,-0.196112185686654,-0.177894736842105,-0.2,-0.165130736553648,-0.265927740355175,-0.259165709911979,-0.259165709911979,-0.259165709911979,-0.270886408166343,-0.154206436511605
"NOTCHic",-0.189560497154837,-0.18445565727097,-0.160932190310598,-0.157726083440369,-0.141541997190278,-0.148338328338328,-0.148220166929844,-0.127692307692308,-0.142843822843823,-0.0806763285024155,-0.12,-0.127692307692308,-0.12,0.0357656667590442,0.111111111111111,0.336666666666667,0.118382961124897,0.210924974306269,0.148571428571429,0.0582488479262673,0.0529856900315304,0.181428571428571,0.22,0.286666666666667,0.0787068004459309,0.324359597016226,-0.0719461697722567,0.43133655394525,0,0.283319088319088,0.252229399850762,0.305742311638265,0.00888888888888889,-0.0111111111111111,-0.0168764696481976,-0.0136917562724014,0.302562847930053,-0.364634628044766,-0.1,-0.333809523809524,-0.117307692307692,-0.1,-0.117307692307692,-0.11343669250646,-0.125,-0.0929186602870814,-0.133333333333333,0.1,0.0978807418900877,0.142843822843823,0.0805797101449275,0.0805797101449275,0.0805797101449275,0.081072320982366,0.091923941610462
"SNAI1",-0.133082263648301,-0.107194013203325,-0.101612170705134,-0.102489816549222,-0.0768021850291405,-0.102489816549222,-0.104548291876325,-0.101001001001001,-0.105462368658774,-0.0802755757478907,-0.103703703703704,-0.101072124756335,-0.103703703703704,0.11101495398773,0.150170565302144,0.334131171702284,0.177025895491184,0.222555730011985,0.0894871794871795,0.094981684981685,0.0990633176347462,0.223662741082096,0.327826086956522,0.326131171702284,0.212031589247393,0.331199777822215,-0.0858894701131564,0.425733188948026,0.15,0.184419169625415,0.214585479737654,0.301061652137719,0.0180417621594092,0.0165266106442577,0.023596583241729,0.0207740025965677,0.241293921445022,-0.348841465367875,-0.142857142857143,-0.335028032688832,-0.173724924617398,-0.1375,-0.154724924617398,-0.166142787524366,-0.146082949308756,-0.134864198684019,-0.142763157894737,0.1,0.0854471132013991,0.103971298030704,0.0134746315377592,0.0134746315377592,0.0134746315377592,0.0136388351502387,0.0805823260897518
"Csl",-0.19907206527823,-0.188584097637943,-0.164534248629638,-0.160932190310598,-0.144100136725162,-0.157726083440369,-0.158704037897586,-0.142843822843823,-0.148220166929844,-0.0784663837510342,-0.127692307692308,-0.142843822843823,-0.127692307692308,0.0404531667590442,0.11343669250646,0.333809523809524,0.133900202504207,0.220924974306269,0.0582488479262673,0.0529856900315304,0.0557129627588032,0.210924974306269,0.286666666666667,0.336666666666667,0.102889806981879,0.334037016371065,-0.0833747412008282,0.432994012508786,0.1,0.29517679582897,0.258324207977173,0.30857455564698,-0.0136917562724014,0.00888888888888889,-0.0175567417570411,-0.0168764696481976,0.307260834507234,-0.368082903906835,-0.125,-0.344679089026915,-0.118382961124897,-0.133333333333333,-0.117307692307692,-0.11421188630491,-0.117307692307692,-0.0888536196366748,-0.111111111111111,0.12,0.0985510648638842,0.148338328338328,0.081072320982366,0.081072320982366,0.081072320982366,0.0854840856882483,0.0950167251156166
"Ecadherin",0.474917224725747,0.605782787673032,0.45417461544436,0.442316538880401,0.503340082422772,0.426998979727226,0.425515952010315,0.380711354309165,0.404849285343648,-0.0707625734254789,0.341176470588235,0.380711354309165,0.341176470588235,0.385751717442714,0.264444444444444,-0.187840564529467,0.308133837101008,-0.0221791767554479,0.117799043062201,0.118829970897252,0.117714729261565,-0.02,-0.150909090909091,-0.174438502673797,-0.0335031096025964,-0.211202254139654,-0.0445382090951711,-0.245383377596486,0.2,-0.20530183822597,-0.419598933800708,-0.227961155335457,0.172606060606061,0.155272727272727,0.189540740621939,0.182849963045085,-0.51280515766473,0.35089701737825,-0.233333333333333,0.196860172372604,-0.297110215053763,-0.22,-0.289583333333333,-0.272236652236652,-0.283333333333333,-0.260957389184797,-0.253333333333333,-0.3,-0.145857064553158,-0.405928745613513,-0.317398190045249,-0.317398190045249,-0.317398190045249,-0.329688692838545,-0.155017353112108
