"","ZEB1","Csl","NFB","Csn","IKK","AKT","RAF","DELTA","GSK3","cateninmemb","cMet","Wnt","GLI","cateninnuc","STAT","TGF","SOSGRB2","TGFR","Ecadherin","CDC42","Frizzled","SRC","DSH","PAK1","TCFLEF","Destcompl","CD44","RAS","PI3K","AXIN2","LIV1","SNAI1","MEK","TWIST1","ERK","NOTCH","SUFU","SNAI2","NOTCHic","cfos","RKIP","EGR1","Jagged","HEY1","TrCP","FUS","SMAD","ILK","SHH","Patched","miR200","SMO","FOXC2","ZEB2","KLF4"
"AXIN2",0.336805485162267,0.190526315789474,0.148792270531401,0.144444444444444,0.158937198067633,0.164492753623188,-0.186319098386572,-0.186319098386572,-0.373895088892801,0.23421909776904,-0.278233092755948,-0.278233092755948,-0.282006677661608,-0.286110548772885,0.253333333333333,-0.150226178345465,-0.11807868304362,-0.148576013328963,-0.0444103339461043,0.144151234567901,0.269612403100775,0.269612403100775,-0.253333333333333,0.142916666666667,0.284165023481056,-0.385481123074901,0.281703124301689,0.189468704685785,0.186319098386572,0.641045076088233,0.233333333333333,-0.359354886639761,-0.224935428342359,-0.0302242437401328,-0.21596991110098,-0.20978307254623,-0.15,0.296542685836167,-0.203026315789474,-0.201951219512195,-0.367683248650991,-0.18,-0.253836967967403,0.0214170850073487,-0.133333333333333,-0.157692307692308,0.00701633310328962,0.00860363469059121,-0.177965531736024,-0.174358974358974,-0.219243183521099,-0.167216117216117,-0.250239916211813,-0.336805485162267,-0.319061724961176
"DSH",0.29970248970807,0.180952380952381,0.125833333333333,0.113333333333333,0.113333333333333,0.116781609195402,-0.186281290197577,-0.186281290197577,-0.343665493239459,0.0317832663599867,-0.212593984962406,-0.212593984962406,-0.214554769276131,-0.221448822870395,0.225,-0.107193859516235,-0.106134515890613,-0.104057971014493,-0.130557700204975,0.110724637681159,0.219736842105263,0.219736842105263,-0.225,0.0933333333333333,0.218866454215008,-0.254257758274259,0.214580739929293,0.188802298600938,0.186281290197577,0.260053701572689,0.2,-0.277943409247757,-0.192868118007437,-0.0873377436080815,-0.183093681917211,-0.170449158684453,0,0.0648448695019886,-0.171148459383754,-0.175686274509804,-0.307544122544123,-0.193333333333333,-0.0773407640011607,0.0178901427053723,-0.133333333333333,-0.0454545454545455,0.00297561361841892,-0.0011753297778075,-0.0520569410139962,-0.0502164502164502,-0.159610741561961,-0.0502164502164502,-0.336898238440466,-0.29970248970807,-0.291689102825596
"cMet",0.292352092352092,-0.0142857142857143,0,0,0.02,0.02625,-0.0104761904761905,-0.0104761904761905,-0.210810291858679,-0.00289709697183007,-0.0366666666666667,-0.0366666666666667,-0.0548484848484849,-0.0340148368252428,-0.2,-0.126944444444444,0.159047619047619,-0.126944444444444,-0.0824669903199598,0.115833333333333,-0.05,-0.15,0.1,0.153333333333333,0.0390995825879547,-0.173978485743192,0.0529457364341085,-0.00461814914645104,0.0104761904761905,0.0233333333333333,-0.1,-0.310918732372791,-0.266818181818182,-0.239876527966416,-0.265,-0.0439449688049912,-0.1,-0.219353979353979,-0.0120300751879699,-0.255,-0.322222222222222,-0.175,-0.106818688557819,-0.0999656002751978,0,-0.05,-0.067715934858792,-0.0549886621315193,-0.0747159090909091,-0.0590909090909091,-0.186002552700922,-0.05,-0.321940928270042,-0.292352092352092,-0.387301587301587
"Wnt",0.289622190339551,0.15,0.133333333333333,0.1,0.113333333333333,0.125833333333333,-0.169924812030075,-0.169924812030075,-0.329702194357367,0.0308050847457627,-0.225,-0.225,-0.219736842105263,-0.214580739929293,0.1,-0.110724637681159,-0.109090909090909,-0.0933333333333333,-0.12778464651006,0.1,0.1,0.2,0,0.1,0.212593984962406,-0.246969909245163,0.219736842105263,0.17447026657553,0.169924812030075,0.258787878787879,0,-0.266666666666667,-0.175686274509804,-0.0823529411764706,-0.193333333333333,-0.180952380952381,0,0.0675,-0.164285714285714,-0.133333333333333,-0.293333333333333,-0.1,-0.0764950980392157,0.021025641025641,-0.1,0,0.00536672629695886,0.00769230769230769,-0.0502164502164502,-0.0454545454545455,-0.157171717171717,0,-0.322834008097166,-0.289622190339551,-0.272549019607843
"TCFLEF",0.287450779727096,0.0729316116690579,-0.036051948051948,-0.048051948051948,-0.0392777545035609,-0.0414516675470392,-0.0540696026093138,-0.0540696026093138,-0.273452978648744,0.119697944805237,-0.178269230769231,-0.181945701357466,-0.182566819369888,-0.0818191237861535,0.170833333333333,-0.108154216402711,-0.19694580070628,-0.106498587263638,0.0575057949263639,0.109302325581395,0.184509803921569,0.180833333333333,-0.174509803921569,0.1,0.0806163746452601,-0.331776643120341,0.178898161586841,0.0570919416369091,0.0540696026093138,0.530561172161172,0.133333333333333,-0.261298157909037,0.043887506222001,-0.0315453377715245,0.0466085946573751,-0.0725668145874345,-0.0666666666666667,0.271336220876224,-0.0748923959827834,0.0532752613240418,-0.154979106396657,0.0557142857142857,-0.133210133829466,0.0334598280838646,0.0571428571428571,-0.0866666666666667,0.039921100915566,0.0385826687931951,-0.10601867820154,-0.104178187403994,-0.159429927502217,-0.100952380952381,-0.241917962056866,-0.287450779727096,-0.183446333078686
"Csn",0.263870967741936,0.164646464646465,0.111666666666667,0.095,0.095,0.0958,-0.178414461921391,-0.178414461921391,-0.327521777685659,-0.0074045230292648,-0.209735493698934,-0.209735493698934,-0.211045537367056,-0.219241018071202,0.233333333333333,-0.104290412682818,-0.117578692493947,-0.10261976829141,-0.122410618448545,0.110312075983718,0.222988505747126,0.222988505747126,-0.233333333333333,0.0909090909090909,0.216535064974389,-0.225692643334628,0.211068827032267,0.181677417775517,0.178414461921391,0.255573752754171,0.2,-0.251837805800837,-0.151450216450216,-0.0801059685211158,-0.143116883116883,-0.145553058053058,0.0142857142857143,0.0102116393979517,-0.15036075036075,-0.141818181818182,-0.282586370736076,-0.16,-0.0525883942523469,0.0101384274640089,-0.22,-0.0301587301587302,0.00229978657384492,-0.0020703933747412,-0.0360238327980263,-0.0360238327980263,-0.137209813093324,-0.0392496392496392,-0.32199003683152,-0.263870967741936,-0.258860877684407
"ILK",0.24731161854683,0.15,0,0.0333333333333333,0.0176470588235294,-0.000301659125188536,-0.125108225108225,-0.125108225108225,-0.21041366041366,0.0131559981876264,-0.228985507246377,-0.228985507246377,-0.215139353400223,-0.218599077321243,0.2,-0.0895652797704448,-0.0923076923076923,-0.0968823529411765,-0.138257983115101,0.0808823529411765,0.233333333333333,0.233333333333333,-0.2,0.075,0.213444438145986,-0.222820484662128,0.215139353400223,0.136067129217814,0.125108225108225,0.260285714285714,0.1,-0.212286634460547,-0.149175735868118,-0.0572299720553463,-0.144257703081232,-0.160173697270471,0,3.63635550906759e-05,-0.173076923076923,-0.161904761904762,-0.247996121525533,-0.133333333333333,-0.0799122807017544,0.0100561665489523,0,0,-0.00930676270508204,-0.00690676270508204,-0.0604700854700855,-0.0576923076923077,-0.134366482727138,-0.05,-0.279031358885017,-0.24731161854683,-0.240570175438596
"SOSGRB2",0.244786967418546,0.0454545454545455,0.0333333333333333,0,0.0175438596491228,0.00504385964912281,0.0263653483992467,0.0263653483992467,-0.23238225386893,-0.108564486564487,-0.221739130434783,-0.225,-0.214855072463768,-0.206139840414904,0.1,-0.0729966487413296,0.0166666666666667,-0.0694505494505494,-0.224849950682628,0.0771428571428571,0.2,0.2,-0.1,0.0571428571428571,0.206331045003814,-0.170550106120576,0.211594202898551,-0.027647399681298,-0.0263653483992467,0.250680693069307,0,-0.245129353233831,-0.209118209118209,-0.14336231884058,-0.196996996996997,-0.0594307101349355,0,-0.198583922878643,-0.0608391608391608,-0.188888888888889,-0.279568713450292,-0.2,-0.0911358033059112,-0.121685606060606,0,-0.0333333333333333,-0.0259658620948943,-0.0294623655913978,-0.0708569034150429,-0.0522522522522523,-0.147225901258861,-0.0333333333333333,-0.242002442002442,-0.244786967418546,-0.241929824561404
"NFB",0.235763431567424,0.0510822510822511,0.0428571428571429,0.142857142857143,0.050965250965251,0.0398541398541399,-0.209420345424026,-0.209420345424026,-0.330471881060116,0.0693589427312799,0.0321367521367521,0.0321367521367521,0.040001920676078,0.0345183667864739,-0.0444444444444444,-0.112535276818821,-0.138850066342326,-0.116965656565657,0.0469497669244183,0.106565656565657,-0.0213675213675214,-0.0213675213675214,0.0444444444444444,0.111111111111111,-0.0369497393354935,-0.238164632308614,-0.0394813849051137,0.217878056866812,0.209420345424026,-0.0671175278622087,-0.1,-0.146732836046336,-0.104102707749767,-0.0863211951447246,-0.106063492063492,-0.0544002234324815,0.12,0.194883923053574,-0.0653679653679654,-0.108285714285714,-0.161055065153426,-0.0642857142857143,0.0695251933411097,0.115232935279375,-0.1,0.14,0.107268496366365,0.112101210121012,0.101141116188894,0.0963218390804598,-0.118928654427144,0.106666666666667,-0.151667845213662,-0.235763431567424,-0.233516483516484
"IKK",0.231548872180451,0.0272727272727273,0.142857142857143,0.1,0.0428571428571429,0.050965250965251,-0.210828796128252,-0.210828796128252,-0.324981684981685,0.0681973799012905,0.0213675213675214,0.0213675213675214,0.0321367521367521,0.0369497393354935,-0.1,-0.116965656565657,-0.146218487394958,-0.106565656565657,0.0485549033610154,0.111111111111111,-0.0444444444444444,-0.0444444444444444,0.1,0.1,-0.0394813849051137,-0.236337389783697,-0.0321367521367521,0.209420345424026,0.210828796128252,-0.0635714285714286,-0.1,-0.146458863443596,-0.106063492063492,-0.0834640522875817,-0.108285714285714,-0.0653679653679654,0.1,0.197322947443818,-0.0510822510822511,-0.0642857142857143,-0.154644808743169,-0.05,0.0644892221180881,0.111661506707946,-0.2,0.12,0.112101210121012,0.111111111111111,0.0963218390804598,0.106666666666667,-0.119230769230769,0.14,-0.144098124098124,-0.231548872180451,-0.221978021978022
