"","GSK3","ZEB2","ZEB1","Csn","AXIN2","NFB","TrCP","cMet","IKK","AKT","EGR1","SMAD","SOSGRB2","HEY1","ERK","cfos","ILK","NOTCHic","NOTCH","KLF4","TWIST1","RKIP","RAS","RAF","DELTA","PI3K","SNAI2","Jagged","Csl","SNAI1","MEK","FOXC2","SHH","Patched","cateninmemb","SMO","Ecadherin","FUS","GLI","Destcompl","Wnt","CD44","TCFLEF","Frizzled","cateninnuc","miR200","TGF","SRC","TGFR","CDC42","DSH","SUFU","STAT","PAK1","LIV1"
"ZEB2",-0.158291082713014,-0.143927897349794,-0.143927897349794,-0.133333333333333,-0.130236598518228,-0.108333333333333,-0.1,-0.0901754385964912,-0.0883333333333333,-0.076183800623053,-0.0666666666666667,-0.0479412182916133,-0.0447435897435898,-0.0408053237085495,-0.0403508771929825,-0.0403508771929825,-0.0394046329257597,-0.0346666666666667,-0.034120218579235,-0.033858153363979,-0.0328339075593707,-0.0188083735909823,-0.00841296105750067,-0.00777056277056277,-0.00777056277056277,0.00777056277056277,0.0113647070615237,0.0297444239884882,0.0333333333333333,0.0379208081937372,0.0403508771929825,0.0442937062937063,0.0620700031675641,0.0629790940766551,0.0634531984869064,0.0678571428571429,0.0678800779157831,0.0821428571428571,0.0839693334188747,0.0846035333033888,0.0858041958041958,0.0873976608187135,0.0926793509595585,0.0960606060606061,0.0976144158946235,0.0981075695319375,0.101981721981722,0.103333333333333,0.107272727272727,0.121558441558442,0.122727272727273,0.125,0.13,0.141558441558442,0.15
"SMAD",-0.111001005399502,-0.139473982355141,-0.139473982355141,-0.0611111111111111,-0.119241194892282,-0.0468253968253968,-0.05,-0.0717273576097106,-0.0291783380018674,-0.0171783380018674,-0.142857142857143,-0.132215090845228,-0.104843241644484,-0.0209488114600907,-0.145557818025935,-0.152534562211982,-0.0255484241785612,-0.0184564860426929,-0.0200437876299945,-0.12803936709652,-0.059282738102317,0.0310165284988259,-0.0782453364455203,-0.0795611259192045,-0.0795611259192045,0.0795611259192045,-0.0757875039891181,0.00756640134059489,0.0219047619047619,0.00303305073063137,0.146519356487474,0.124845513298304,0.0427455577913441,0.0379128440366972,0.0392464674737199,0.0425,0.0490674497191422,0.0625,0.0553155277975422,0.0247365490969437,0.0538766788766789,0.0720909939733469,0.0773827171755179,0.0634920634920635,0.0811314507114854,0.0692910873033964,0.0448796908704857,0.0834920634920635,0.0508557864880156,0.064822266934943,0.0857142857142857,0.075,0.105714285714286,0.0690476190476191,0.12
"AKT",-0.0166907166907167,-0.135092404671278,-0.135092404671278,0.0333333333333333,-0.108624720646381,0.0627450980392157,0.1,-0.0650761798587886,0.0755656108597285,-0.0193838840897664,-0.0333333333333333,-0.141479625385508,-0.0873076923076923,-0.129356081152331,-0.00883960141433622,-0.00392156862745098,-0.137102521008403,-0.129466501240695,-0.128246989045573,-0.13015069725596,0.037229849577571,-0.0203388044180883,-0.00858041952545996,-0.00689367253750815,-0.00689367253750815,0.00689367253750815,0.0422905392378745,0.0857191820611131,0.132692307692308,0.0218305122710157,0.0101054241991464,-0.0332209792774619,0.116603688708952,0.112393162393162,-0.0134316900711216,0.117948717948718,0.0460256141901373,0.133333333333333,0.0622828837694031,0.0124296479612719,0.0650761798587886,0.0611213775989016,0.0646265322380768,0.0758454106280193,0.0677034553149999,0.0571160864555271,0.0062855902363893,0.0758454106280193,0.01081731229077,0.0148823529411765,0.0888888888888889,0.15,0.0888888888888889,0.0308823529411765,0.1
"PI3K",-0.0166907166907167,-0.132352678643881,-0.132352678643881,0.1,-0.114761904761905,0.0333333333333333,0.2,-0.0758454106280193,0.0627450980392157,0.0755656108597285,-0.0333333333333333,-0.137102521008403,-0.0873076923076923,-0.130107960851579,-0.00392156862745098,-0.0333333333333333,-0.136302521008403,-0.132692307692308,-0.129466501240695,-0.125877192982456,0.0381472807702316,-0.0209599224305107,-0.00689367253750815,-0.00552380952380952,-0.00552380952380952,0.00552380952380952,0.0411850115996835,0.0830701754385965,0.125,0.0240861513687601,0.00883960141433622,-0.0347247386759582,0.112393162393162,0.117948717948718,-0.0133297532719371,0.133333333333333,0.042692280856804,0.15,0.0650761798587886,0.0116852310878228,0.0758454106280193,0.0650761798587886,0.0611213775989016,0.0888888888888889,0.0646265322380768,0.0555118083806608,0.01081731229077,0.0888888888888889,0.0148823529411765,0.0308823529411765,0.1,0.1,0.1,0.025,0.1
"ILK",-0.0166907166907167,-0.132352678643881,-0.132352678643881,0.1,-0.114761904761905,0.0333333333333333,0.2,-0.0758454106280193,0.0627450980392157,0.0755656108597285,-0.0333333333333333,-0.137102521008403,-0.0873076923076923,-0.130107960851579,-0.00392156862745098,-0.0333333333333333,-0.136302521008403,-0.132692307692308,-0.129466501240695,-0.125877192982456,0.0381472807702316,-0.0209599224305107,-0.00689367253750815,-0.00552380952380952,-0.00552380952380952,0.00552380952380952,0.0411850115996835,0.0830701754385965,0.125,0.0240861513687601,0.00883960141433622,-0.0347247386759582,0.112393162393162,0.117948717948718,-0.0133297532719371,0.133333333333333,0.042692280856804,0.15,0.0650761798587886,0.0116852310878228,0.0758454106280193,0.0650761798587886,0.0611213775989016,0.0888888888888889,0.0646265322380768,0.0555118083806608,0.01081731229077,0.0888888888888889,0.0148823529411765,0.0308823529411765,0.1,0.1,0.1,0.025,0.1
"CD44",-0.126190476190476,-0.122222222222222,-0.122222222222222,-0.1,-0.22,0,0,-0.3,-0.0333333333333333,-0.08,-0.3,-0.206462585034014,-0.3,-0.194152046783626,-0.335,-0.275,-0.216666666666667,-0.214285714285714,-0.209022556390977,-0.0365079365079365,-0.132454212454212,0.221481481481481,-0.100952380952381,-0.080952380952381,-0.080952380952381,0.080952380952381,-0.227949827949828,0.136783216783217,0.2,-0.0933014354066986,0.335,0.140416666666667,0.180909090909091,0.19,0.100879120879121,0.15,0.186701769623277,0.1,0.193333333333333,-0.0403743315508021,0.2,0.193333333333333,0.181705426356589,0.1,0.178628503279666,0.0926130873956961,-0.0269444444444444,0.2,-0.0491666666666667,-0.0866666666666667,0,0.1,0.1,-0.0666666666666667,0.1
"TrCP",-0.0422337662337662,-0.113369978579838,-0.113369978579838,-0.2,-0.086815999008582,-0.1625,-0.2,-0.0533733733733734,-0.136184210526316,-0.13062865497076,-0.12,-0.101991807475678,-0.074009900990099,-0.0855675103624658,-0.119263080324245,-0.124347826086957,-0.0929595494111623,-0.139230769230769,-0.139230769230769,-0.10351860525631,-0.030761434217956,0.0144550477147162,-0.0194280683448546,-0.0203371592539455,-0.0203371592539455,0.0203371592539455,-0.137276007124478,0.127002385821404,0.15,0.0497911298896163,0.124596413657578,0.0453579850779673,0.128114126415202,0.122114126415202,0.0533858923589322,0.123348694316436,0.0471786326302635,0.152380952380952,0.0606085674891837,0.0704455814501676,0.0562183235867447,0.0563436704030763,0.0626399666993726,0.0614814814814815,0.0665020356648899,0.0583593258869461,0.0973431101203522,0.0614814814814815,0.0995289024700789,0.113165266106443,0.08,0.185714285714286,0.08,0.119047619047619,0.1
"LIV1",-0.0422337662337662,-0.113369978579838,-0.113369978579838,-0.2,-0.086815999008582,-0.1625,-0.2,-0.0533733733733734,-0.136184210526316,-0.13062865497076,-0.12,-0.101991807475678,-0.074009900990099,-0.0855675103624658,-0.119263080324245,-0.124347826086957,-0.0929595494111623,-0.139230769230769,-0.139230769230769,-0.10351860525631,-0.030761434217956,0.0144550477147162,-0.0194280683448546,-0.0203371592539455,-0.0203371592539455,0.0203371592539455,-0.137276007124478,0.127002385821404,0.15,0.0497911298896163,0.124596413657578,0.0453579850779673,0.128114126415202,0.122114126415202,0.0533858923589322,0.123348694316436,0.0471786326302635,0.152380952380952,0.0606085674891837,0.0704455814501676,0.0562183235867447,0.0563436704030763,0.0626399666993726,0.0614814814814815,0.0665020356648899,0.0583593258869461,0.0973431101203522,0.0614814814814815,0.0995289024700789,0.113165266106443,0.08,0.185714285714286,0.08,0.119047619047619,0.1
"Csl",-0.0511025229604553,-0.109130790651329,-0.109130790651329,-0.211111111111111,-0.115196582262596,-0.177777777777778,-0.2,-0.0658208458208458,-0.152196382428941,-0.145219638242894,-0.146666666666667,-0.0956606143656503,-0.0883257478507799,0.0157927295778958,-0.145238095238095,-0.153809523809524,-0.0878828365878726,-0.103676934271162,-0.104586025180253,-0.0972394755003451,-0.0699590168687826,0.00680547160203743,0.0111415195763463,0.0104062254586992,0.0104062254586992,-0.0104062254586992,-0.0817885158249266,0.0999228637287412,0.108940092165899,0.0600547761417327,0.148498964803313,0.0656878769305275,0.117106194749655,0.111933780956551,0.0403956833425824,0.113009049773756,0.0467907303254443,0.136538461538462,0.0706034288292353,0.0754700447366476,0.0681840739905256,0.0670453356167642,0.073304877601497,0.0757109557109557,0.0774786912092729,0.0556869614197054,0.118599385840221,0.0757109557109557,0.122454261123667,0.13710394265233,0.0969230769230769,0.175,0.0969230769230769,0.143555555555556,0.12
"STAT",-0.109450378282154,-0.10875918952842,-0.10875918952842,-0.2,-0.187861550214491,-0.2,-0.1,-0.142532467532468,-0.166666666666667,-0.144632768361582,-0.2,-0.0934060747404076,-0.160714285714286,-0.0913333333333333,-0.174117647058824,-0.18,-0.0888083735909823,-0.0473237943826179,-0.0424694254505791,0.00656565656565656,-0.15417615867391,0.0361550836550837,0.0751015394491562,0.0758478081058726,0.0758478081058726,-0.0758478081058726,0.0100526908435718,0.0539833875045143,0.0392156862745098,0.0274966936396579,0.168741302972802,0.123521472392638,0.0831848116896481,0.0840697674418605,0.0625471772963988,0.105,0.144575841186145,0.125,0.136650114591291,0.112127885377925,0.142532467532468,0.13484015984016,0.1389411062124,0.160714285714286,0.145019771289873,0.0540737240726187,0.103134751404202,0.160714285714286,0.116178229665072,0.126704545454545,0.185714285714286,0.15,0.185714285714286,0.145454545454545,0.3
