"","TGFR","CDC42","cateninnuc","Ecadherin","CD44","cMet","Frizzled","Destcompl","Patched","DSH","LIV1","RKIP","PI3K","NFB","TrCP","SOSGRB2","Csn","SNAI2","cfos","GSK3","FOXC2","EGR1","Jagged","MEK","ERK","NOTCH","NOTCHic","Csl","cateninmemb","AKT","RAS","IKK","RAF","DELTA","HEY1","SUFU","ILK","SMAD","SNAI1","STAT","FUS","SMO","SRC","SHH","Wnt","TCFLEF","GLI","TWIST1","AXIN2","PAK1","TGF","ZEB2","ZEB1","miR200","KLF4"
"Destcompl",0.511250787066188,0.478092892329346,0.463657484809987,0.230077027444488,0.44206373546488,0.423780153375328,0.399402043922592,0.561762296806138,0.261309204761054,0.370634920634921,0.327777777777778,0.451744528936752,-0.213608509507784,0.179296066252588,0.133333333333333,0.0707186609825746,0.161904761904762,0.333652197473332,0.228531468531468,0.600847533443764,-0.099549155238483,0.216410256410256,0.316197129532156,-0.255770868130279,-0.244378463066988,0.243562981819495,0.234144144144144,0.223274578926753,0.231782501246274,-0.205561257618451,0.216434255190672,-0.192809579766101,0.213608509507784,0.213608509507784,-0.108434642280796,-0.166666666666667,-0.0974603174603175,-0.105998329156224,-0.538668272615646,-0.370634920634921,-0.211494252873563,-0.240065681444992,-0.399402043922592,-0.27813705775912,-0.424154519170117,-0.454529488889538,-0.442521866108892,-0.481600076305066,-0.483148505210772,-0.433265306122449,-0.535979851105597,-0.592203317034492,-0.592203317034492,-0.603190678188444,-0.56047568936686
"AXIN2",0.505602671255326,0.45162037037037,0.499274748185264,0.258544749148573,0.460756946007958,0.431419406575782,0.393488372093023,0.704827940843885,0.265247252747253,0.34,0.266666666666667,0.476548603726023,-0.257670293872716,0.197101449275362,0.133333333333333,0.0540428124158839,0.166666666666667,0.366497010978778,0.256585365853659,0.639721606133505,-0.132465364455997,0.22,0.345449814580249,-0.296011727439221,-0.278080692956462,0.285065366117998,0.270200501253133,0.248771929824561,0.260488383444383,-0.235507246376812,0.263444572087939,-0.218840579710145,0.257670293872716,0.257670293872716,-0.0902327566627769,-0.15,-0.0804692891649413,-0.0947550034506556,-0.567164865152501,-0.34,-0.188461538461538,-0.231318681318681,-0.393488372093023,-0.291148892091515,-0.431419406575782,-0.483148505210772,-0.460979155003455,-0.4986774192927,-0.0178050446421735,-0.38125,-0.546526763664567,-0.586607033972738,-0.586607033972738,-0.594510640933953,-0.535141789449557
"GSK3",0.521964348836035,0.497225672877847,0.340891599764509,0.204578599030148,0.323770519012764,0.311865757108002,0.293984962406015,0.547359645013508,0.145659515627851,0.261842105263158,0.225,0.308762903762904,-0.228068829913007,0.184583333333333,0.153333333333333,0.107542584093917,0.178333333333333,0.134005621109999,0.17755991285403,0.404851845819223,-0.0858875844677558,0.162745098039216,0.0902506435489326,-0.184728402259362,-0.181319311350271,0.192916299386888,0.188500714971303,0.178011204481793,0.0570914362473914,-0.196048113763631,0.230589838316369,-0.192629310344828,0.228068829913007,0.228068829913007,-0.11264966538013,-0.0954545454545455,-0.103077341572008,-0.10922426810874,-0.39921758389908,-0.261842105263158,-0.10974025974026,-0.129095098449937,-0.293984962406015,-0.15762123811589,-0.311632021229544,-0.333654757659246,-0.323896172172941,-0.402472110319596,-0.360675048459032,-0.465797101449275,-0.540425887297573,-0.578515998590976,-0.578515998590976,-0.592523112165604,-0.555272066582506
"AKT",0.411413199426112,0.379705882352941,0.347740666998992,0.227496439850278,0.323415528220245,0.304771460423634,0.272463768115942,0.553338519017901,0.120940170940171,0.233333333333333,0.2,0.323589837272702,-0.252988910632746,0.0843137254901961,0.0333333333333333,0.0897435897435897,0.0666666666666667,0.184940442749613,0.191316526610644,0.511913877639684,-0.203306192310043,0.161904761904762,0.0968374578831184,-0.20331071627655,-0.19951324792212,0.205351631059735,0.195595533498759,0.182692307692308,0.0367808868695387,-0.195968737145208,0.256603368464072,-0.0868778280542986,0.252988910632746,0.252988910632746,-0.0962515005099268,-0.05,-0.0855014005602241,-0.0939189089777325,-0.413875631106752,-0.233333333333333,-0.0833333333333333,-0.0987179487179487,-0.272463768115942,-0.139887539361224,-0.304771460423634,-0.336817590075915,-0.323207214613578,-0.303361599750727,-0.353766890149562,-0.339705882352941,-0.43769718734152,-0.56967388803259,-0.56967388803259,-0.581443629129261,-0.539468061178588
"DSH",0.497225672877847,0.465797101449275,0.333654757659246,0.198552915790109,0.311865757108002,0.293984962406015,0.261842105263158,0.53901163515088,0.129095098449937,0.225,0.2,0.294477189477189,-0.223306925151103,0.178333333333333,0.133333333333333,0.104286770140429,0.153333333333333,0.1286561819383,0.162745098039216,0.49586682086082,-0.0838142192364958,0.133333333333333,0.0863090377095165,-0.181319311350271,-0.17755991285403,0.188500714971303,0.178011204481793,0.164285714285714,0.0563840976090183,-0.192629310344828,0.228068829913007,-0.184583333333333,0.223306925151103,0.223306925151103,-0.104691187871479,-0.05,-0.0943980962889896,-0.103077341572008,-0.385817805383023,-0.225,-0.0954545454545455,-0.10974025974026,-0.261842105263158,-0.145659515627851,-0.293984962406015,-0.323770519012764,-0.311632021229544,-0.38723523451934,-0.34438889929617,-0.426666666666667,-0.521964348836035,-0.55310738046319,-0.55310738046319,-0.567083487312146,-0.525501074216094
"PI3K",0.379705882352941,0.339705882352941,0.336817590075915,0.2187085610624,0.304771460423634,0.272463768115942,0.233333333333333,0.540683432169266,0.0987179487179487,0.2,0.1,0.306819650937298,-0.251619047619048,0.0666666666666667,0,0.0830769230769231,0.0333333333333333,0.177000744257151,0.161904761904762,0.496188071188071,-0.204058072009291,0.133333333333333,0.0908771929824561,-0.19951324792212,-0.191316526610644,0.195595533498759,0.182692307692308,0.175,0.0366789500703542,-0.0868778280542986,0.252988910632746,-0.0843137254901961,0.251619047619048,0.251619047619048,-0.0834695456227088,0,-0.0735014005602241,-0.0855014005602241,-0.393574879227053,-0.2,-0.05,-0.0833333333333333,-0.233333333333333,-0.120940170940171,-0.272463768115942,-0.323415528220245,-0.304771460423634,-0.282872303114641,-0.328857142857143,-0.275,-0.411413199426112,-0.537482107210672,-0.537482107210672,-0.547753789557068,-0.497587719298246
"ILK",0.379705882352941,0.339705882352941,0.336817590075915,0.2187085610624,0.304771460423634,0.272463768115942,0.233333333333333,0.540683432169266,0.0987179487179487,0.2,0.1,0.306819650937298,-0.251619047619048,0.0666666666666667,0,0.0830769230769231,0.0333333333333333,0.177000744257151,0.161904761904762,0.496188071188071,-0.204058072009291,0.133333333333333,0.0908771929824561,-0.19951324792212,-0.191316526610644,0.195595533498759,0.182692307692308,0.175,0.0366789500703542,-0.0868778280542986,0.252988910632746,-0.0843137254901961,0.251619047619048,0.251619047619048,-0.0834695456227088,0,-0.0735014005602241,-0.0855014005602241,-0.393574879227053,-0.2,-0.05,-0.0833333333333333,-0.233333333333333,-0.120940170940171,-0.272463768115942,-0.323415528220245,-0.304771460423634,-0.282872303114641,-0.328857142857143,-0.275,-0.411413199426112,-0.537482107210672,-0.537482107210672,-0.547753789557068,-0.497587719298246
"Frizzled",0.465797101449275,0.426666666666667,0.323770519012764,0.190212266097396,0.293984962406015,0.261842105263158,0.225,0.527370413776835,0.10974025974026,0.3,0.1,0.281190476190476,-0.224094326725906,0.153333333333333,0.1,0.096969696969697,0.133333333333333,0.12202055912107,0.133333333333333,0.48171368861024,-0.085978721400998,0.133333333333333,0.07933229352347,-0.17755991285403,-0.162745098039216,0.178011204481793,0.164285714285714,0.164285714285714,0.0565018832391714,-0.184583333333333,0.223306925151103,-0.178333333333333,0.224094326725906,0.224094326725906,-0.0959192580469176,0,-0.0859868813357186,-0.0943980962889896,-0.366977225672878,-0.2,-0.05,-0.0954545454545455,-0.225,-0.129095098449937,-0.261842105263158,-0.311865757108002,-0.293984962406015,-0.368795518207283,-0.320338266384778,-0.366666666666667,-0.497225672877847,-0.52318612062067,-0.52318612062067,-0.534766414141414,-0.48375350140056
"LIV1",0.287076648841355,0.276470588235294,0.14879771065022,0.154716686322221,0.13970703376644,0.136736736736737,0.125925925925926,0.147506369658586,0.0840757808499744,0.1,0.1,0.155890867879818,0.00400924597481269,0.0583333333333333,0.0333333333333333,0.129180418041804,0.0583333333333333,-0.0670129310155181,0.0217391304347826,0.0323306277056277,-0.00451717777102431,0,0.00135416666666666,-0.0120442151805453,-0.0200442151805453,-0.00282051282051282,-0.00282051282051282,-0.0166666666666667,-0.0762518095972859,-0.0546296296296296,-0.00128197324753996,-0.0583333333333333,-0.00400924597481269,-0.00400924597481269,-0.0687082929123673,-0.0761904761904762,-0.070447175285885,-0.0736729817374979,-0.194756860512578,-0.1,-0.0761904761904762,-0.0729646697388633,-0.125925925925926,-0.0910757808499744,-0.1364522417154,-0.144521848581255,-0.139866875861741,-0.196201392810088,-0.166425628156272,-0.266666666666667,-0.295819818240262,-0.508748633974999,-0.508748633974999,-0.524432160189103,-0.495166796773354
"CDC42",0.276470588235294,0.266666666666667,0.144521848581255,0.15160249947101,0.136736736736737,0.125925925925926,0.1,0.144348474921744,0.0729646697388633,0.1,0.1,0.14981351981352,0.00522875816993464,0.0583333333333333,0,0.136111111111111,0.0333333333333333,-0.0697254084115398,0,0.0301488095238095,-0.00175855708136913,-0.02,0.00135416666666666,-0.0200442151805453,-0.0217391304347826,-0.00282051282051282,-0.0166666666666667,-0.0166666666666667,-0.0757023590478353,-0.0583333333333333,-0.00400924597481269,-0.0583333333333333,-0.00522875816993464,-0.00522875816993464,-0.0657671164417791,-0.0333333333333333,-0.0656084656084656,-0.070447175285885,-0.186403638555537,-0.1,-0.0761904761904762,-0.0761904761904762,-0.1,-0.0840757808499744,-0.125925925925926,-0.13970703376644,-0.1364522417154,-0.189679653679654,-0.159507389162562,-0.342857142857143,-0.287076648841355,-0.494279180598793,-0.494279180598793,-0.511234190645955,-0.480412698412698
