"","ILK","AKT","NFB","CDC42","PAK1","Csn","AXIN2","TCFLEF","TrCP","RAS","NOTCHic","RAF","PI3K","DELTA","STAT","SNAI2","cfos","ERK","TWIST1","MEK","EGR1","LIV1","DSH","Frizzled","SRC","NOTCH","RKIP","Ecadherin","Destcompl","Csl","Wnt","SOSGRB2","SNAI1","cMet","GLI","CD44","Jagged","cateninmemb","FOXC2","cateninnuc","TGF","TGFR","GSK3","SUFU","IKK","FUS","SMO","Patched","ZEB2","ZEB1","HEY1","miR200","SHH","SMAD","KLF4"
"PAK1",0.602304147465438,0.337719298245614,0.3,0.414565826330532,0.404761904761905,0.275,0.351799733556402,0.347031189605447,0.2,0.199580235641929,0.167948717948718,0.177307508369201,0.177307508369201,0.177307508369201,0.21,0.0637606100204271,0.0669565217391304,0.0381429624170965,-0.0674418407679277,-0.0181429624170965,-0.08,-0.15,-0.21,-0.258148148148148,-0.258148148148148,-0.161355311355311,-0.276007031642391,-0.281263445081328,-0.302849377940009,-0.175641025641026,-0.294990253411306,-0.286069856985699,-0.337915695776183,-0.298688688688689,-0.321819521703989,-0.327401559975817,-0.217685114178596,-0.347181759887506,-0.369534316670318,-0.358341534433033,-0.412926482068237,-0.414565826330532,-0.302829004329004,-0.3,-0.321052631578947,-0.383333333333333,-0.463978494623656,-0.52447232178415,-0.659955444382778,-0.659955444382778,-0.57076902725108,-0.674232772635281,-0.56647232178415,-0.623594470046083,-0.647297423887588
"LIV1",0.602304147465438,0.337719298245614,0.3,0.414565826330532,0.404761904761905,0.275,0.351799733556402,0.347031189605447,0.2,0.199580235641929,0.167948717948718,0.177307508369201,0.177307508369201,0.177307508369201,0.21,0.0637606100204271,0.0669565217391304,0.0381429624170965,-0.0674418407679277,-0.0181429624170965,-0.08,-0.15,-0.21,-0.258148148148148,-0.258148148148148,-0.161355311355311,-0.276007031642391,-0.281263445081328,-0.302849377940009,-0.175641025641026,-0.294990253411306,-0.286069856985699,-0.337915695776183,-0.298688688688689,-0.321819521703989,-0.327401559975817,-0.217685114178596,-0.347181759887506,-0.369534316670318,-0.358341534433033,-0.412926482068237,-0.414565826330532,-0.302829004329004,-0.3,-0.321052631578947,-0.383333333333333,-0.463978494623656,-0.52447232178415,-0.659955444382778,-0.659955444382778,-0.57076902725108,-0.674232772635281,-0.56647232178415,-0.623594470046083,-0.647297423887588
"EGR1",0.602304147465438,0.337719298245614,0.3,0.414565826330532,0.404761904761905,0.275,0.351799733556402,0.347031189605447,0.2,0.199580235641929,0.167948717948718,0.177307508369201,0.177307508369201,0.177307508369201,0.21,0.0637606100204271,0.0669565217391304,0.0381429624170965,-0.0674418407679277,-0.0181429624170965,-0.08,-0.15,-0.21,-0.258148148148148,-0.258148148148148,-0.161355311355311,-0.276007031642391,-0.281263445081328,-0.302849377940009,-0.175641025641026,-0.294990253411306,-0.286069856985699,-0.337915695776183,-0.298688688688689,-0.321819521703989,-0.327401559975817,-0.217685114178596,-0.347181759887506,-0.369534316670318,-0.358341534433033,-0.412926482068237,-0.414565826330532,-0.302829004329004,-0.3,-0.321052631578947,-0.383333333333333,-0.463978494623656,-0.52447232178415,-0.659955444382778,-0.659955444382778,-0.57076902725108,-0.674232772635281,-0.56647232178415,-0.623594470046083,-0.647297423887588
"CDC42",0.557142857142857,0.321052631578947,0.275,0.404761904761905,0.471428571428571,0.2,0.317208538587849,0.327401559975817,0.1,0.177307508369201,0.175641025641026,0.148039215686274,0.148039215686274,0.148039215686274,0.15,0.040252472588239,0.08,0.0669565217391304,-0.0853766233766234,-0.0381429624170965,-0.02,-0.1,-0.15,-0.21,-0.21,-0.167948717948718,-0.275454545454545,-0.286176939891016,-0.287511032075347,-0.183333333333333,-0.258148148148148,-0.265277777777778,-0.345314263795276,-0.258148148148148,-0.294990253411306,-0.298688688688689,-0.218298611111111,-0.338390551096298,-0.381258454601353,-0.347031189605447,-0.414565826330532,-0.414565826330532,-0.283192640692641,-0.2,-0.3,-0.3,-0.383333333333333,-0.463978494623656,-0.645485991006572,-0.645485991006572,-0.532533733133433,-0.658496732026144,-0.52447232178415,-0.602304147465438,-0.619428571428571
"Csl",0.574744775608085,0.27906976744186,0.266666666666667,0.375555555555556,0.375555555555556,0.255555555555556,0.380817452233517,0.363150081470692,0.2,0.252562339437615,0.093284016492845,0.232341751202321,0.232341751202321,0.232341751202321,0.229230769230769,0.150114555638078,0.0247619047619048,-0.0123809523809524,0.0123403276831346,0.0373809523809524,-0.0533333333333333,-0.16,-0.229230769230769,-0.280745920745921,-0.280745920745921,-0.0796476528564814,-0.229241907048233,-0.248043614615268,-0.32579452353455,-0.111705069124424,-0.318380329348071,-0.284440035787918,-0.276316429142516,-0.321405261405261,-0.342573877735168,-0.347119547119547,-0.137694934603047,-0.350762143368488,-0.293518346159376,-0.370640075753139,-0.361973222409983,-0.368549186128804,-0.313763226094771,-0.3,-0.273643410852713,-0.384615384615385,-0.466968325791855,-0.519656497834866,-0.605762582183432,-0.605762582183432,-0.648402736791484,-0.621419090436432,-0.553277187490038,-0.581966997830307,-0.606521739130435
"NOTCH",0.490476190476191,0.266666666666667,0.2,0.355555555555556,0.3,0.1,0.299919137466307,0.321405261405261,0,0.202292490118577,0.0342857142857143,0.166060606060606,0.166060606060606,0.166060606060606,0.1,0.095562498503675,0.02,0.0533333333333333,-0.0364067796610169,-0.0247619047619048,0,0,-0.1,-0.16,-0.16,-0.111705069124424,-0.246065428824049,-0.265229767968308,-0.291172951322484,-0.02,-0.229230769230769,-0.236842105263158,-0.297564102564103,-0.229230769230769,-0.280745920745921,-0.280745920745921,-0.146214526214526,-0.335224742074532,-0.334489795918367,-0.347119547119547,-0.375555555555556,-0.375555555555556,-0.268138279345176,-0.1,-0.255555555555556,-0.2,-0.3,-0.384615384615385,-0.589855072463768,-0.589855072463768,-0.573913043478261,-0.600952380952381,-0.466968325791855,-0.543809523809524,-0.556521739130435
"SRC",0.372587719298246,0.152564102564103,0.05,0.405555555555556,0.355555555555556,-0.05,-0.117529431765056,-0.040015993602559,-0.1,-0.0871028179163348,0.0778571428571428,-0.0992240300375469,-0.0992240300375469,-0.0992240300375469,-0.2,-0.0826761484432172,0.0787878787878788,0.112121212121212,-0.287286851079955,-0.117781589479703,-0.0333333333333333,0.2,0.1,0.1,0.1,-0.0921428571428571,-0.434929944607364,-0.128649732620321,-0.0417470934862239,-0.035,0.08,-0.237142857142857,-0.414869436726077,0.08,0.0619672131147541,0.0619672131147541,-0.204177840508116,0.0103973955994612,-0.49109710550887,0.0218951882334315,-0.457070707070707,-0.438888888888889,0.145108225108225,-0.0333333333333333,-0.119230769230769,-0.0833333333333333,-0.163333333333333,-0.211481481481481,-0.559965558550464,-0.559965558550464,-0.376911618669315,-0.569670619235837,-0.267363834422658,-0.431146277856804,-0.410917312661499
"Jagged",0.4,0.255555555555556,0.1,0.3,0.2,0,0.241428571428571,0.280745920745921,0,0.166060606060606,0.02,0.0933333333333333,0.0933333333333333,0.0933333333333333,0,0.0569381598793363,0,0.02,-0.072,-0.0533333333333333,-0.1,0,0,-0.1,-0.1,-0.0342857142857143,-0.256410256410256,-0.267649122807018,-0.261266409266409,0,-0.16,-0.2,-0.308333333333333,-0.16,-0.229230769230769,-0.229230769230769,-0.142510822510823,-0.311664532650448,-0.352857142857143,-0.321405261405261,-0.375555555555556,-0.355555555555556,-0.229501915708812,0,-0.2,-0.1,-0.2,-0.3,-0.556521739130435,-0.556521739130435,-0.5,-0.566666666666667,-0.384615384615385,-0.490476190476191,-0.5
"DELTA",0.4,0.255555555555556,0.1,0.3,0.2,0,0.241428571428571,0.280745920745921,0,0.166060606060606,0.02,0.0933333333333333,0.0933333333333333,0.0933333333333333,0,0.0569381598793363,0,0.02,-0.072,-0.0533333333333333,-0.1,0,0,-0.1,-0.1,-0.0342857142857143,-0.256410256410256,-0.267649122807018,-0.261266409266409,0,-0.16,-0.2,-0.308333333333333,-0.16,-0.229230769230769,-0.229230769230769,-0.142510822510823,-0.311664532650448,-0.352857142857143,-0.321405261405261,-0.375555555555556,-0.355555555555556,-0.229501915708812,0,-0.2,-0.1,-0.2,-0.3,-0.556521739130435,-0.556521739130435,-0.5,-0.566666666666667,-0.384615384615385,-0.490476190476191,-0.5
"GLI",0.398205830947187,0.16453167889963,0.154678362573099,0.185229885057471,0.178333333333333,0.138888888888889,0.315276268115942,0.299066336685643,0.0833333333333333,0.289442024027008,0.0560654288240495,0.276174697294335,0.276174697294335,0.276174697294335,0.21,0.0305380879006309,0.0773809523809524,0.0579004329004329,-0.0311349026374493,-0.0418783334529191,-0.0857142857142857,-0.15,-0.12,-0.149032258064516,-0.239032258064516,-0.0493987621573828,-0.142105134190536,-0.238125802498243,-0.240097576919503,-0.0660654288240495,-0.176091081593928,-0.0243565873654369,-0.179096680601485,-0.268300550747443,-0.292686826274779,-0.286403999023305,-0.131483201892712,-0.299072577185177,-0.235129751461988,-0.305581578765738,-0.179496995675303,-0.182085230969421,-0.329024507673871,-0.133333333333333,-0.15671917889963,-0.195833333333333,-0.243201754385965,-0.275854815610455,-0.49865565796211,-0.49865565796211,-0.383476959750304,-0.514818721010671,-0.300957696268891,-0.408476101217458,-0.494497640497641
