"","PAK1","CDC42","SOSGRB2","ZEB2","TrCP","SUFU","FUS","AKT","IKK","SMO","Jagged","Patched","NFB","Csn","RAF","DELTA","MEK","KLF4","Ecadherin","ERK","EGR1","cfos","FOXC2","miR200","Frizzled","SRC","DSH","STAT","Wnt","cateninnuc","TCFLEF","cMet","cateninmemb","GLI","SNAI1","CD44","PI3K","AXIN2","RAS","Csl","HEY1","NOTCH","SHH","RKIP","NOTCHic","TWIST1","ILK","SMAD","LIV1","Destcompl","SNAI2","ZEB1","TGFR","TGF","GSK3"
"SHH",0,0.0333333333333333,0,-0.225,0,0,0,-0.15,-0.1,0.1,-0.0657142857142857,0.0666666666666667,0,0,0.15,0.15,-0.22,-0.2,0.0658333333333333,-0.2,0,-0.1,-0.175,0.0166666666666667,-0.2,-0.1,-0.2,-0.1,-0.1,-0.0388888888888889,-0.0333333333333333,0,0.0385663082437276,-0.1,0.216666666666667,0,-0.15,0.019047619047619,-0.157692307692308,0.1,0,0.2,-0.146666666666667,0.26,0.2,0.125,0,0.0166666666666667,0,-0.203376623376623,-0.16544061302682,0.225,0.0666666666666667,0.146666666666667,-0.174358974358974
"DSH",-0.36,-0.355652173913043,-0.246045824094605,-0.186391390977686,-0.133333333333333,0,-0.00909090909090909,-0.15198275862069,-0.150833333333333,0.00519480519480519,0.0458577567743094,0.011646418098031,-0.125833333333333,-0.113333333333333,0.280981264901696,0.280981264901696,-0.149728897406916,-0.186927198063692,0.174232781109267,-0.145969498910675,-0.133333333333333,-0.127450980392157,-0.0822119863001136,-0.00828021064301552,0.0697368421052632,0.0697368421052632,0.075,0.075,0.0768796992481203,0.0788871167587134,0.0809352022440206,0.0768796992481203,-0.130645425325907,0.0827620521892968,0.242550034506556,0.0828399641487826,-0.280981264901696,0.0643366250078055,-0.281261376946514,0.102380952380952,-0.045654233784133,0.11793010910658,-0.00857893343545431,0.268466533466533,0.120028011204482,0.211733118779427,-0.0359566946613241,-0.035579336170758,0.1,-0.322927271831538,0.195324439547375,0.186391390977686,0.360414078674948,0.366337423622683,-0.393809953281111
"SNAI2",0.0803921568627451,0.042296918767507,-0.133299526707235,-0.185226138032305,-0.1,0.2,0.18,-0.232062733693394,-0.228448275862069,0.138823529411765,-0.152303970572403,0.132701080432173,-0.225,-0.2,0.224266631744369,0.224266631744369,-0.208320084790673,-0.155,0.228478290356338,-0.213725490196078,-0.166666666666667,-0.207843137254902,-0.190382964938602,0.0722605191151761,-0.134545454545455,-0.134545454545455,-0.134545454545455,-0.134545454545455,-0.147221510883483,-0.144738157686216,-0.145203996195532,-0.147221510883483,-0.0931557204524517,-0.147756270241771,0.208152205174376,-0.148296779700687,-0.224266631744369,-0.102695794661555,-0.228376220785465,0.209210526315789,0.0054249547920434,0.21875712007291,-0.14256023536175,0.221833333333333,0.210964912280702,-0.103560564514747,0.0405767940979209,0.0362705740022271,-0.18,-0.229907484355698,0.149414473274901,0.185226138032305,-0.0448610213316096,-0.0498299654309884,-0.222747444397107
"Frizzled",-0.366666666666667,-0.36,-0.248484848484848,-0.18481658782808,-0.1,0,0,-0.150833333333333,-0.125833333333333,-0.00909090909090909,0.042756981580511,0.00519480519480519,-0.113333333333333,-0.133333333333333,0.270745044429255,0.270745044429255,-0.145969498910675,-0.182072829131653,0.173442614296273,-0.127450980392157,-0.133333333333333,-0.133333333333333,-0.0809132850014123,-0.00767045454545455,0.075,0.075,0.2,0.1,0.0697368421052632,0.0809352022440206,0.0828399641487826,0.0697368421052632,-0.130056497175141,0.0768796992481203,0.24283988957902,0.0768796992481203,-0.270745044429255,0.0622269203664553,-0.280981264901696,0.0857142857142857,-0.0474086197490453,0.120028011204482,-0.011646418098031,0.263571428571429,0.102380952380952,0.205350140056022,-0.0368912741005764,-0.0359566946613241,0.1,-0.320064676411691,0.193811051887306,0.18481658782808,0.355652173913043,0.360414078674948,-0.393113897596656
"cMet",-0.26,-0.235,-0.0904761904761905,-0.183261183261183,0,-0.1,-0.05,-0.0925,-0.08,-0.03,-0.0764274855579203,-0.0118181818181818,-0.1,-0.1,0.123809523809524,0.123809523809524,-0.132727272727273,-0.253968253968254,0.226597694205098,-0.12,-0.15,-0.17,-0.102900843881857,0.0657142072902942,-0.15,-0.05,-0.1,0,-0.143333333333333,-0.127942855987791,-0.130202742993441,-0.143333333333333,-0.14176104441229,-0.138787878787879,0.21996413735932,-0.136356589147287,-0.123809523809524,-0.108412698412698,-0.138903863432165,0.114285714285714,0.0711386308909529,0.115405535114382,0.0149431818181818,0.224444444444445,0.109022556390977,0.199390871300984,0.0298185941043084,0.0352731395588538,0.1,-0.269885939633839,0.190478766975117,0.183261183261183,0.223888888888889,0.234527186761229,-0.250921658986175
"Wnt",-0.3,-0.366666666666667,-0.245454545454545,-0.179866092778575,-0.1,0,0,-0.125833333333333,-0.113333333333333,0,0.0356862745098039,-0.00909090909090909,-0.133333333333333,-0.1,0.261654135338346,0.261654135338346,-0.127450980392157,-0.172549019607843,0.17041231126597,-0.133333333333333,-0.1,-0.133333333333333,-0.0832388663967611,-0.00454545454545455,0.2,0.1,0.2,0.1,0.075,0.0828399641487826,0.0768796992481203,0.075,-0.123389830508475,0.0697368421052632,0.236490683229814,0.0697368421052632,-0.261654135338346,0.0575757575757576,-0.270745044429255,0.1,-0.041025641025641,0.102380952380952,-0.00519480519480519,0.26,0.0857142857142857,0.200588235294118,-0.0299145299145299,-0.0368912741005764,0,-0.317146904528402,0.188448275862069,0.179866092778575,0.36,0.355652173913043,-0.388871473354232
"AKT",-0.344117647058824,-0.340117647058824,-0.231239316239316,-0.17387285042533,-0.0333333333333333,0,0,-0.122820969879793,-0.0238310708898944,0.00769230769230769,0.051149064714767,0.0132478632478632,-0.00588235294117647,0,0.232274921425606,0.232274921425606,-0.124640675942508,-0.175241790373369,0.140397439285757,-0.124640675942508,-0.119047619047619,-0.113165266106443,-0.0825468549422336,-0.0133182604011919,0.0845410628019324,0.0845410628019324,0.0888888888888889,0.0888888888888889,0.0830026012634708,0.0840297924891593,0.0844913309506978,0.0830026012634708,-0.11368561648812,0.0846785789171021,0.208757067790249,0.0846975165177081,-0.232274921425606,0.0648925563004985,-0.232997812991871,0.0826923076923077,-0.0532150930246613,0.0955955334987593,-0.0143004948268106,0.230464995362694,0.0955955334987593,0.196496543998947,-0.0461381352541016,-0.0458014349174013,0.1,-0.283702206234142,0.208573077029082,0.17387285042533,0.339304638928742,0.339606753732368,-0.262134788747692
"PI3K",-0.35,-0.344117647058824,-0.233461538461538,-0.17318791891848,0,0,0,-0.0238310708898944,-0.00588235294117647,0,0.0498245614035088,0.00769230769230769,0,-0.0333333333333333,0.221316017316017,0.221316017316017,-0.124640675942508,-0.17609649122807,0.140245924134242,-0.113165266106443,-0.133333333333333,-0.119047619047619,-0.078787456445993,-0.015457297834347,0.0888888888888889,0.0888888888888889,0.1,0.1,0.0845410628019324,0.0844913309506978,0.0846975165177081,0.0845410628019324,-0.112972058893829,0.0830026012634708,0.208506441223833,0.0830026012634708,-0.221316017316017,0.0638095238095238,-0.232274921425606,0.075,-0.0539669727239095,0.0955955334987593,-0.0132478632478632,0.227359405300582,0.0826923076923077,0.193132629625858,-0.0453381352541016,-0.0461381352541016,0.1,-0.28179980755755,0.208673579541645,0.17318791891848,0.340117647058824,0.339304638928742,-0.260521885521886
"SRC",-0.266666666666667,-0.241666666666667,-0.118571428571429,-0.163986223420186,0.1,0.0333333333333333,0.0833333333333333,0.0893162393162393,0.0948717948717949,0.103333333333333,0.00440308162785227,0.0996296296296296,0.133333333333333,0.1,0.0864413850646642,0.0864413850646642,-0.0381932532875929,-0.26266149870801,0.200645318733554,-0.0212121212121212,-0.0333333333333333,0.0121212121212121,-0.0938095238095238,-0.0187058995754648,-0.175,-0.175,-0.2,-0.1,-0.155,-0.149981023250655,-0.148862455017993,-0.155,-0.0874300254452926,-0.150081967213115,0.205580655725528,-0.150081967213115,-0.0864413850646642,-0.100660886565515,-0.0879565365798157,-0.08,-0.0329361138695796,-0.0692857142857143,-0.0878649237472767,0.114369501466276,-0.0657142857142857,0.118315018315018,-0.0635964912280702,-0.0644973921289711,0,-0.174954212454212,-0.0758262016310949,0.163986223420186,0.270238095238095,0.279329004329004,-0.151948051948052
"Ecadherin",-0.028,-0.00266666666666667,-0.106212572597875,-0.15807765860148,-0.2,0.1,0.05,-0.177643097643098,-0.178941798941799,0.0625,-0.067113094170618,0.0807795698924731,-0.175238095238095,-0.18,0.172745098039216,0.172745098039216,-0.166128599518533,-0.116361931551805,-0.0682684560097697,-0.164167815204807,-0.187272727272727,-0.175508021390374,-0.138907032838357,0.0454219048073797,-0.0836753305973552,-0.0836753305973552,-0.0627450980392157,-0.0627450980392157,-0.0767787788732173,-0.0742373712186048,-0.0730235523577271,-0.0775883740756161,0.0107186828528292,-0.0707787788732173,0.157754663287546,-0.0719027553465191,-0.172745098039216,-0.0497433713952447,-0.174141746083908,0.145071770334928,-0.0036527704431376,0.153066251613432,-0.0792047667428668,0.184079154303873,0.156411976520495,-0.062312045861175,0.0211014492753623,0.0247334105344422,-0.0333333333333333,-0.184767027410795,-0.162849751097966,0.15807765860148,-0.00367479674796748,0.00265431717608315,-0.178703871730685
