"","SOSGRB2","PAK1","Jagged","NOTCH","MEK","ERK","cfos","ILK","NFB","Csn","IKK","AKT","EGR1","SMO","Patched","HEY1","Destcompl","AXIN2","cateninnuc","GLI","TCFLEF","Wnt","cMet","STAT","SRC","LIV1","miR200","ZEB2","RAS","PI3K","DELTA","RAF","KLF4","SNAI2","cateninmemb","TWIST1","FOXC2","Frizzled","DSH","CD44","TrCP","SHH","Ecadherin","SUFU","FUS","SMAD","RKIP","Csl","NOTCHic","GSK3","SNAI1","ZEB1","CDC42","TGFR","TGF"
"AXIN2",-0.344089988241461,-0.2475,-0.431581561798953,-0.105987604145499,-0.309745722078555,-0.290435377250969,-0.261463414634146,0.0495514147688061,-0.179710144927536,-0.166666666666667,-0.181159420289855,-0.177826086956522,-0.22,0.246703296703297,0.282417582417582,0.0499087612677876,-0.767850567798674,-0.117128158006238,-0.625030963370418,-0.570499008942216,-0.602246700508334,-0.528989574979952,-0.528989574979952,-0.4,-0.472093023255814,-0.3,0.302559251497556,-0.399700986669266,0.212617780359518,0.214455050700725,0.214455050700725,-0.214455050700725,-0.385230821531496,0.275490296721413,-0.325251327606215,-0.0942938680531649,0.304475813023822,0.472093023255814,0.4,0.570945410942097,0.133333333333333,-0.310942172581517,0.264129063624791,-0.15,-0.203846153846154,-0.0590752242926156,0.358880912993816,0.0663157894736842,0.0877443609022557,0.709954761485654,0.422254727065759,0.16531222825053,0.275895061728395,0.293594176772643,0.306465463901356
"GSK3",-0.424161982846044,-0.35768115942029,-0.117808685878224,0.0414215196568138,-0.265201238390093,-0.265201238390093,-0.249411764705882,0.107297645095909,-0.0820833333333333,-0.113333333333333,-0.0878304597701149,-0.0750099469496021,-0.249411764705882,0.142556905460131,0.165256291963199,0.0967112081337681,-0.60876880243872,-0.421625586417728,-0.401657342753308,-0.378355850781226,-0.394157342753308,-0.36609169983783,-0.366429318328935,-0.301315789473684,-0.340601503759398,-0.275,0.282672313844129,-0.361564480525084,0.193010187158916,0.192379935058076,0.192379935058076,-0.192379935058076,-0.363171545947364,0.172679261533143,-0.0557089926887568,0.00660501942897191,0.186715088257316,0.340601503759398,0.301315789473684,0.379286461186078,0.113333333333333,-0.176739545551716,0.238467403148792,-0.0772727272727273,-0.12965367965368,-0.112545021407753,0.205594142699406,-0.0592436974789916,-0.0515513897866839,0.512018973397063,0.285784181552635,-0.0150737166395528,0.362443064182195,0.366275816795435,0.369096329615948
"DSH",-0.41160384331116,-0.353333333333333,-0.11123934281253,0.0515513897866839,-0.265201238390093,-0.249411764705882,-0.249411764705882,0.103901418680814,-0.113333333333333,-0.113333333333333,-0.0820833333333333,-0.0878304597701149,-0.22,0.12965367965368,0.142556905460131,0.0922129382375743,-0.597250662248512,-0.401990883221381,-0.394157342753308,-0.36609169983783,-0.379286461186078,-0.340601503759398,-0.340601503759398,-0.275,-0.301315789473684,-0.2,0.276458949248583,-0.357552593452276,0.192379935058076,0.194340719371801,0.194340719371801,-0.194340719371801,-0.350194446710723,0.167933791300183,-0.0504039529009584,0.0118546993265391,0.179857034030841,0.301315789473684,0.275,0.366429318328935,0.133333333333333,-0.165256291963199,0.236722259915338,-0.05,-0.0772727272727273,-0.107297645095909,0.202335997335997,-0.0690476190476191,-0.0592436974789916,0.597875878555133,0.281908212560386,-0.0149251282294488,0.35768115942029,0.362443064182195,0.366275816795435
"Frizzled",-0.396969696969697,-0.333333333333333,-0.101937017231135,0.0592436974789916,-0.249411764705882,-0.249411764705882,-0.22,0.0898827270920294,-0.113333333333333,-0.133333333333333,-0.113333333333333,-0.0820833333333333,-0.2,0.0772727272727273,0.12965367965368,0.0781778505182761,-0.582174326370649,-0.370345313601128,-0.379286461186078,-0.340601503759398,-0.366429318328935,-0.301315789473684,-0.301315789473684,-0.2,-0.275,-0.1,0.272190656565657,-0.346528971405031,0.194340719371801,0.206151742993848,0.206151742993848,-0.206151742993848,-0.341456582633053,0.164790601544654,-0.0479304546677428,0.0224929971988796,0.168168722342529,0.275,0.3,0.340601503759398,0.1,-0.142556905460131,0.232595833225259,0,-0.05,-0.103901418680814,0.200238095238095,-0.0857142857142857,-0.0690476190476191,0.580010449320794,0.278140096618357,-0.0102007187806299,0.353333333333333,0.35768115942029,0.362443064182195
"TCFLEF",-0.162629203132197,-0.320512820512821,-0.00927414888773182,0.180886814926387,-0.219445827111332,-0.211962833914053,-0.193867595818815,0.0722518417255259,-0.137766233766234,-0.133766233766234,-0.134540427314621,-0.133453470792882,-0.191428571428571,0.00666666666666666,0.0244086021505376,0.0195749674881847,-0.538999381917589,0.191025641025641,-0.298595138462869,-0.174042201049874,-0.285021255301356,-0.151060834590246,-0.148119658119658,-0.0833333333333333,-0.123333333333333,-0.0333333333333333,0.25464350910134,-0.319521531100479,0.226360615090113,0.226754833224147,0.226754833224147,-0.226754833224147,-0.214591291061879,0.141534576043634,0.0175298915776472,0.105566922872417,0.0722915003204017,0.126274509803922,0.0862745098039216,0.17139009837123,0.142857142857143,-0.0372920377333597,0.207511607481952,0.0333333333333333,0.0266666666666667,-0.0762671380926387,0.136397575423612,-0.195042244540092,-0.18719910728519,0.441101279977277,0.270559419659838,0.0192504873294347,0.332140727489565,0.34242110132134,0.347056862910744
"Csn",-0.389920442753373,-0.334090909090909,-0.0613465079756716,0.0635420135420135,-0.238736471861472,-0.225194805194805,-0.229090909090909,0.103392857142857,-0.0866666666666667,-0.095,-0.0491666666666667,-0.0579666666666667,-0.22,0.116594516594517,0.121970860680538,0.0958582502768549,-0.55701368102408,-0.358085064526283,-0.339826551889627,-0.320548993141668,-0.327619696808448,-0.302645063010663,-0.302645063010663,-0.266666666666667,-0.270114942528736,-0.2,0.260509582985191,-0.317778329197684,0.16273339088265,0.165228592418159,0.165228592418159,-0.165228592418159,-0.312902391725921,0.150834672499152,0.00138606645574181,0.0165178432289232,0.157345273527412,0.270114942528736,0.266666666666667,0.320867285232886,0.02,-0.142462663959227,0.193529029510342,-0.0428571428571429,-0.0650793650793651,-0.10519234300404,0.175543510316429,-0.0686868686868687,-0.0673881673881674,0.553406828483576,0.237477849013814,-0.0417634408602151,0.335583446404342,0.336865497686393,0.338536142077801
"NFB",-0.378622291021672,-0.372222222222222,-0.128318511076799,-0.0224344830796444,-0.171641456582633,-0.17752380952381,-0.170857142857143,-0.0213352585258526,-0.185714285714286,-0.0857142857142857,-0.177606177606178,-0.148717288717289,-0.142857142857143,-0.0414814814814815,-0.00355044699872287,-0.0225379625534424,-0.351832074712262,-0.218196555217832,-0.206958848220027,-0.196513972918467,-0.204527475671007,-0.171794871794872,-0.171794871794872,-0.133333333333333,-0.179487179487179,-0.1,0.251668805383504,-0.316151931553021,0.0736042824653858,0.0840520436594157,0.0840520436594157,-0.0840520436594157,-0.316758241758242,0.139570952411109,0.0557842200274344,0.0926890756302521,0.0176905078100297,0.179487179487179,0.133333333333333,0.196088657105606,0.1,0.00475526627583131,0.176931718891949,0.08,0.06,0.00981109495707935,0.184398206529354,0.00432900432900433,0.0217893217893218,0.417254901960784,0.24055323178454,-0.0111538040503558,0.381313131313131,0.382113131313131,0.381480219920726
"IKK",-0.354411764705882,-0.35,-0.113930021868166,-0.0217893217893218,-0.17752380952381,-0.170857142857143,-0.142857142857143,-0.0243055555555556,-0.0857142857142857,-0.1,-0.185714285714286,-0.177606177606178,-0.1,-0.06,-0.0414814814814815,-0.026109391124871,-0.342861975044488,-0.199047619047619,-0.204527475671007,-0.171794871794872,-0.196088657105606,-0.179487179487179,-0.179487179487179,-0.1,-0.133333333333333,-0.1,0.243511705685619,-0.315002506265664,0.0840520436594157,0.0671506352087114,0.0671506352087114,-0.0671506352087114,-0.303296703296703,0.14018070850867,0.0647599328046256,0.106339869281046,0.0196825396825397,0.133333333333333,0.1,0.171794871794872,0,0.00355044699872287,0.17083220043288,0.1,0.08,0.0213352585258526,0.189526411657559,0.00909090909090909,0.00432900432900433,0.406666666666667,0.235347752332485,-0.00923809523809524,0.372222222222222,0.381313131313131,0.382113131313131
"ERK",-0.200245954692557,-0.32952380952381,-0.128402701592564,-0.00546202701509332,-0.251370491930589,-0.245520909757887,-0.150520909757887,-0.0176473087034153,-0.199134199134199,-0.214285714285714,-0.176781257957729,-0.177698689150389,-0.144137931034483,-0.0241311475409836,-0.0156344155148398,-0.0227832041983378,-0.405341371005078,-0.141567238742293,-0.151030818932738,-0.143119687330214,-0.144780818932738,-0.131841491841492,-0.12868359710465,-0.103508771929825,-0.111201079622132,-0.0666666666666667,0.24722518680522,-0.307422244744515,0.187116838057432,0.190087135087135,0.190087135087135,-0.190087135087135,-0.304487671415702,-0.0123314924243903,-0.0812862848376728,0.177761518575339,0.102133884547678,0.114358974358974,0.106666666666667,0.140133978784039,0.214285714285714,0.00259093725397025,0.0324862806031047,0.08,0.052,0.0155196491289472,0.308113752758104,0.000427350427350429,0.00407698546384678,0.402382671647557,0.327845623582862,0.0245775838278465,0.328589230084557,0.327129376069959,0.327129376069959
"MEK",-0.197333333333333,-0.32,-0.125993063038347,-0.00407698546384678,-0.245520909757887,-0.150520909757887,-0.144137931034483,-0.0283484157144854,-0.214285714285714,-0.214285714285714,-0.199134199134199,-0.176781257957729,-0.12,-0.052,-0.0241311475409836,-0.0326808151198395,-0.399516493139614,-0.127746100530911,-0.144780818932738,-0.131841491841492,-0.140133978784039,-0.114358974358974,-0.111201079622132,-0.0666666666666667,-0.103508771929825,0,0.245754598569925,-0.303170276240578,0.190087135087135,0.197388722388722,0.197388722388722,-0.197388722388722,-0.301386896221903,-0.0128725203775012,-0.0799063400354649,0.183725457548987,0.0971766195904127,0.106666666666667,0.0666666666666667,0.12868359710465,0.2,0.0156344155148398,0.0309414814269976,0.1,0.08,0.0176473087034153,0.308392304290137,-0.0111111111111111,0.000427350427350429,0.394844070375985,0.329234512471751,0.028199631071941,0.32952380952381,0.328589230084557,0.327129376069959
