"","SNAI1","RKIP","SHH","TWIST1","SNAI2","TCFLEF","RAS","RAF","PI3K","DELTA","GLI","Csn","cMet","Wnt","MEK","cfos","TrCP","EGR1","STAT","NOTCHic","SOSGRB2","FOXC2","PAK1","CDC42","TGFR","TGF","ZEB1","NOTCH","LIV1","DSH","Csl","AXIN2","Jagged","Frizzled","ERK","SRC","NFB","Ecadherin","AKT","IKK","CD44","cateninmemb","SUFU","cateninnuc","FUS","Destcompl","SMO","Patched","GSK3","HEY1","ILK","SMAD","miR200","ZEB2","KLF4"
"SNAI2",0.455405155797548,0.379358974358974,0.444806655056389,0.614996927461153,0.915670127632532,0.680183841102261,0.56081990549375,0.510591594991467,0.510591594991467,0.510591594991467,0.624676400649889,-0.2,0.56317907444668,0.56317907444668,-0.128934817170111,-0.117647058823529,-0.1,-0.1,0.4,-0.478947368421053,0.160040567951318,-0.138591724680353,-0.174509803921569,-0.207843137254902,0.234338863750628,0.254835758160566,0.20806125445773,0.541285030758715,-0.3,-0.4,0.4,-0.314206935929799,0.579135112004538,-0.485714285714286,0.123529411764706,-0.485714285714286,0.3,-0.68738591385385,0.421811383464894,0.372413793103448,-0.62554466584453,-0.725160927037657,-0.2,-0.725525456009094,-0.3,-0.584080552328463,-0.352941176470588,-0.403961584633854,-0.508069440108366,0.0575195901145268,0.0243460764587525,0.0162121051668865,-0.294538623979242,-0.387446402349486,-0.289038461538462
"Wnt",0.35388198757764,0.32,0.124242424242424,0.274411764705882,0.21551724137931,0.133458646616541,0.381373889268626,0.358646616541353,0.358646616541353,0.358646616541353,0.126315789473684,-0.1,0.1,0.1,0.0427450980392157,0.0333333333333333,-0.1,0,0.1,-0.135714285714286,0.139393939393939,0.118461538461538,0.1,0.0666666666666667,-0.1,-0.1,0.012338593974175,0.152380952380952,0,-0.2,0.15,-0.0890909090909091,-0.0270343137254902,-0.2,-0.0133333333333333,-0.1,0.133333333333333,0.16578434678356,0.138333333333333,0.113333333333333,-0.126315789473684,0.0248305084745763,0,-0.148690434696012,0,-0.439536730023817,-0.1,-0.0909090909090909,-0.449216300940439,-0.133846153846154,-0.142735042735043,-0.145060624130392,-0.283838383838384,-0.382639885222382,-0.341176470588235
"NFB",0.315893160754606,0.3091985428051,0.192665220268045,0.153837535014006,-0.18026994723345,0.0520014596478875,0.238911841447144,0.239409353884955,0.239409353884955,0.239409353884955,0.0552847402285604,-0.142857142857143,0.0642735042735043,0.0642735042735043,0.0878935574229692,0.0682857142857143,-0.1,0.0642857142857143,0.0888888888888889,-0.0987012987012987,0.15609022556391,0.165389811604951,0.111111111111111,0.124747474747475,-0.135147474747475,-0.132615829177854,0.0110605248754069,0.0877335567658148,-0.1,-0.0888888888888889,0.103463203463203,-0.0626697061803445,-0.0830576101443119,-0.0658119658119658,-0.0793968253968254,-0.0658119658119658,0.00952380952380952,0.129517657715736,-0.000145860145860147,0.0176319176319176,-0.0557989280023178,0.0240301130991225,-0.12,-0.0476877341576914,-0.18,-0.258677054551989,-0.176296296296296,-0.186641123882503,-0.350017237664297,-0.237173816895179,-0.248391089108911,-0.265863208068019,-0.287568430518647,-0.370087978567107,-0.35989010989011
"IKK",0.308495900480633,0.3091985428051,0.186641123882503,0.159869281045752,-0.177424418778166,0.0557989280023178,0.239409353884955,0.242226255293406,0.242226255293406,0.242226255293406,0.0642735042735043,-0.1,0.0658119658119658,0.0658119658119658,0.0793968253968254,0.0642857142857143,-0.2,0.05,0.1,-0.103463203463203,0.157142857142857,0.168975468975469,0.1,0.111111111111111,-0.124747474747475,-0.135147474747475,0.0175739348370927,0.0987012987012987,-0.1,-0.1,0.127272727272727,-0.0697619047619048,-0.0737050921587004,-0.0888888888888889,-0.0682857142857143,-0.0888888888888889,0.142857142857143,0.127912521279139,0.0176319176319176,0.00952380952380952,-0.0642735042735043,0.0194894584000729,-0.1,-0.0520014596478875,-0.12,-0.260172071163285,-0.18,-0.176296296296296,-0.351978021978022,-0.230030959752322,-0.2375,-0.248391089108911,-0.275785953177258,-0.364340852130326,-0.332967032967033
"CDC42",0.15235136171845,0.211655011655012,0.0935995903737839,-0.00022510822510821,-0.092139539292824,-0.295024529479975,-0.154252351347043,-0.138398692810458,-0.138398692810458,-0.138398692810458,-0.271754385964912,0.1,-0.253333333333333,-0.253333333333333,0.26343404568902,0.24,0,0.18,-0.2,0.179487179487179,-0.0375,0.072734850037576,0.171428571428571,0.0952380952380952,-0.0893557422969188,-0.106022408963585,-0.0727602905569007,-0.205641025641026,0.1,0.2,-0.133333333333333,0.180591133004926,-0.219166666666667,0.22,-0.261739130434783,0.22,-0.1,0.20114337993897,-0.183552631578947,-0.1625,0.272252252252252,0.285664288175099,-0.1,0.308728233183679,-0.0857142857142857,0.301653251385726,-0.0857142857142857,-0.0824884792626728,0.1176920995671,-0.192278860569715,-0.188095238095238,-0.194546850998464,-0.272786690433749,-0.305770782889427,-0.304666666666667
"Jagged",0.141666666666667,0.225641025641026,0.0673076923076923,-0.003,-0.112016088486677,-0.283916083916084,-0.167878787878788,-0.113333333333333,-0.113333333333333,-0.113333333333333,-0.238461538461538,0,-0.2,-0.2,0.246666666666667,0.2,0,0.1,0,0,-0.06,0.0714285714285714,0,0,-0.0777777777777778,-0.0977777777777778,-0.0557971014492754,-0.0428571428571429,0,0,0.1,0.152857142857143,-0.188311688311688,0.1,-0.18,0.1,0,0.24178947368421,-0.111111111111111,-0.1,0.238461538461538,0.292564477775745,0,0.313586413586414,0,0.284540540540541,-0.1,-0.075,0.135249042145594,-0.05,-0.15,-0.154761904761905,-0.256969696969697,-0.305072463768116,-0.283333333333333
"DELTA",0.141666666666667,0.225641025641026,0.0673076923076923,-0.003,-0.112016088486677,-0.283916083916084,-0.167878787878788,-0.113333333333333,-0.113333333333333,-0.113333333333333,-0.238461538461538,0,-0.2,-0.2,0.246666666666667,0.2,0,0.1,0,0,-0.06,0.0714285714285714,0,0,-0.0777777777777778,-0.0977777777777778,-0.0557971014492754,-0.0428571428571429,0,0,0.1,0.152857142857143,-0.188311688311688,0.1,-0.18,0.1,0,0.24178947368421,-0.111111111111111,-0.1,0.238461538461538,0.292564477775745,0,0.313586413586414,0,0.284540540540541,-0.1,-0.075,0.135249042145594,-0.05,-0.15,-0.154761904761905,-0.256969696969697,-0.305072463768116,-0.283333333333333
"PAK1",0.145907447637305,0.206682635964404,0.0905995903737839,-0.0165294560511952,-0.109499394627363,-0.308728233183679,-0.169252351347043,-0.154252351347043,-0.154252351347043,-0.154252351347043,-0.295656824989303,0.1,-0.272252252252252,-0.271754385964912,0.27143404568902,0.261739130434783,0.1,0.24,-0.22,0.205641025641026,-0.0543316831683168,0.072734850037576,0.0952380952380952,0.0893557422969188,-0.106022408963585,-0.109847545575607,-0.0762972680488621,-0.22981684981685,0.2,0.22,-0.179487179487179,0.193798680174737,-0.235731083844581,0.253333333333333,-0.26343404568902,0.253333333333333,-0.1625,0.208963449143123,-0.211330409356725,-0.183552631578947,0.295024529479975,0.294821797332608,-0.0857142857142857,0.320176509045748,-0.0857142857142857,0.315187085972192,-0.0824884792626728,-0.0935995903737839,0.13260119047619,-0.20110238998148,-0.194546850998464,-0.199708141321045,-0.272786690433749,-0.300304544947305,-0.311224043715847
"SNAI1",0.0341636753953119,0.201243305420471,0.0841918233834927,-0.0258627893845285,-0.123545656779559,-0.320176509045748,-0.18271704757036,-0.169252351347043,-0.169252351347043,-0.169252351347043,-0.309002346013069,0.1625,-0.295024529479975,-0.295656824989303,0.27143404568902,0.26343404568902,0.1,0.261739130434783,-0.253333333333333,0.22981684981685,-0.0516901737343546,0.0769279885382113,0.0893557422969188,0.106022408963585,-0.109847545575607,-0.118113674607865,-0.0796183012591942,-0.246143380429095,0.22,0.253333333333333,-0.205641025641026,0.197528283904341,-0.246319319138698,0.271754385964912,-0.27143404568902,0.272252252252252,-0.183552631578947,0.213489984002644,-0.223135964912281,-0.211330409356725,0.308728233183679,0.30445910303209,-0.0857142857142857,0.330346875591953,-0.0824884792626728,0.325768226323069,-0.0935995903737839,-0.0905995903737839,0.14256818717586,-0.209435723314813,-0.199708141321045,-0.201799162231254,-0.269616661615305,-0.296983511736973,-0.306551146519585
"NOTCH",0.12474358974359,0.187709991158267,0.0555429864253394,-0.0453728813559322,-0.146407622878211,-0.313586413586414,-0.201212121212121,-0.167878787878788,-0.167878787878788,-0.167878787878788,-0.283916083916084,0,-0.238461538461538,-0.238461538461538,0.260952380952381,0.18,0,0.2,-0.1,0.0428571428571429,-0.0442105263157895,0.0653061224489796,0,0.0777777777777778,-0.0977777777777778,-0.101003584229391,-0.0706119162640902,-0.197695852534562,0,0.1,0,0.177385444743935,-0.217941317941318,0.2,-0.246666666666667,0.2,-0.1,0.249853989813243,-0.177777777777778,-0.111111111111111,0.283916083916084,0.320313168875222,0,0.345014985014985,-0.1,0.313512503157363,-0.075,-0.0673076923076923,0.169339951236503,-0.0543478260869565,-0.154761904761905,-0.188095238095238,-0.262683982683983,-0.282850241545894,-0.305072463768116
