"","SNAI1","Csl","NOTCHic","AXIN2","cMet","cateninmemb","IKK","AKT","ZEB2","DELTA","SUFU","NFB","HEY1","FUS","SHH","Patched","SMAD","ILK","SOSGRB2","TGF","GSK3","KLF4","CDC42","TGFR","LIV1","SMO","miR200","PAK1","Wnt","Frizzled","DSH","RAF","PI3K","ZEB1","GLI","RAS","STAT","SRC","TCFLEF","Destcompl","cateninnuc","CD44","TrCP","Csn","Ecadherin","NOTCH","RKIP","Jagged","SNAI2","ERK","TWIST1","MEK","EGR1","cfos","FOXC2"
"TGFR",-0.169585557912187,0.0633333333333333,0.0495402298850575,-0.0192769716374867,-0.0181132075471698,-0.0233732944755124,-0.120426065162907,-0.127402809348954,-0.209660980950649,-0.094047619047619,-0.00666666666666668,-0.130952380952381,-0.0248775465034595,-0.00666666666666668,-0.00755491428014807,-0.00698994252873564,-0.0137032244149682,-0.0112121212121212,-0.0472871994801819,0.0149552516041878,-0.0611114111049517,-0.210825523954815,0.0911111111111111,-0.0142460317460317,0,0.0101149425287356,-0.119914382984461,0.0911111111111111,0.00382749326145553,0.00571428571428572,-0.0142857142857143,0.094047619047619,0.094047619047619,0.209660980950649,0.00447265455177811,0.0993107769423559,0,0.02,0.0195486142457344,0.012062796967847,0.0191057444494545,0.0181132075471698,0.166666666666667,0.116666666666667,0.0529694380545514,-0.0516985032663524,0.0567532467532468,0.0343642611683849,0.217993567890196,0.219598997493734,0.173689205219454,0.231927764617022,0.223809523809524,0.239598997493734,0.259792440803927
"SHH",-0.0166666666666667,-0.1,0,-0.342857142857143,-0.2,0.0992114695340502,-0.1,0,-0.175,-0.05,0.2,0,0.133333333333333,0.2,0.36,0.4,0.15,0.133333333333333,0.1,0.16,0.058974358974359,-0.2,-0.1,-0.1,0,-0.3,-0.0833333333333333,0,0.3,0.2,0.2,0.05,0.05,0.175,0.3,0.0423076923076923,0.1,0.1,0.233333333333333,0.0651948051948052,0.25,0.2,0,0,0.103333333333333,0,0.04,0.0657142857142857,0.400383141762452,0.1,0.125,0.12,0,0.1,0.2
"Patched",-0.0198924731182796,0,0,-0.379220779220779,-0.2,0.107544802867384,0,-0.0142857142857143,-0.15,-0.0423076923076923,0.2,-0.1,0.141025641025641,0.3,0.3725,0.36,0.13,0.15,0.0666666666666667,0.168333333333333,0.0827838827838828,-0.166666666666667,-0.1,-0.16,0.1,-0.4,-0.0690476190476191,-0.1,0.3,0.3,0.2,0.0423076923076923,0.0423076923076923,0.15,0.3375,0.0485576923076923,0.1,0.2,0.25,0.0706893106893107,0.252912621359223,0.233333333333333,0,0,0.115954692556634,-0.0272727272727273,0.0114285714285714,0.0768253968253968,0.423049808429119,0.12,0.128703703703704,0.0815384615384615,0.1,0.1,0.17
"SUFU",-0.0183930800082021,0.0172727272727273,0.00818181818181818,-0.423519590002742,-0.252912621359223,0.103747034065927,-0.0138241758241758,-0.018522162401357,-0.144040947014621,-0.0446275613033255,0.36,-0.00228571428571429,0.119004637757912,0.3725,0.378975956475956,0.377045454545455,0.120226890825863,0.119534050179211,0.0860262544473071,0.184754841080537,0.0900791214530918,-0.131673538169563,-0.176441441441441,-0.184952079739314,0.2,-0.378055555555556,-0.0698202326602108,-0.168333333333333,0.35801282051282,0.354166666666667,0.3375,0.0446275613033255,0.0446275613033255,0.144040947014621,0.36804999523401,0.0512731309235787,0.233333333333333,0.25,0.261663438619766,0.0736366083584409,0.265295152174753,0.261935177750201,0,0.0142857142857143,0.125569084923912,-0.00421356421356421,0.0169492951819903,0.106169818965944,0.444930440961763,0.0667004260107708,0.14548966632106,0.0705302132448134,0.0815384615384615,0.0724475524475524,0.177493593871733
"FUS",-0.0189041532620352,0.0272727272727273,0.0172727272727273,-0.413917716466442,-0.25,0.105111290546145,-0.00228571428571429,-0.0138241758241758,-0.143074763439742,-0.0485576923076923,0.4,-0.0142857142857143,0.116594999203695,0.36,0.377045454545455,0.378055555555556,0.119534050179211,0.118888888888889,0.0881241565452092,0.184952079739314,0.085966010913246,-0.133469945355191,-0.168333333333333,-0.176441441441441,0.2,-0.3725,-0.0683332438126272,-0.16,0.354166666666667,0.3375,0.3,0.0485576923076923,0.0485576923076923,0.143074763439742,0.35801282051282,0.0446275613033255,0.2,0.233333333333333,0.261935177750201,0.0745403829464261,0.261663438619766,0.252912621359223,0.1,0,0.122479486571698,-0.00818181818181818,0.012459499263623,0.100706636068082,0.441964059946602,0.0724475524475524,0.139097913743741,0.0667004260107708,0.12,0.0815384615384615,0.174764065335753
"PI3K",0.00870772946859904,0.175,0.136538461538462,-0.110571428571429,-0.051207729468599,0.0491935768814288,-0.150980392156863,-0.163800904977376,-0.139400733563789,-0.0748051948051948,0.1,-0.133333333333333,0.0903003396899068,0.15,0.107692307692308,0.107692307692308,0.0769270908363345,0.0777270908363345,-0.0569230769230769,0.0107752271640363,-0.068963443963444,-0.13640350877193,0.00441176470588235,-0.0115882352941176,0.1,-0.1,-0.0592151018380527,-0.025,0.051207729468599,0.0555555555555556,0,0.0748051948051948,0.0748051948051948,0.139400733563789,0.0496692679301375,0.0802846468599893,0,0.0555555555555556,0.0524941266871996,0.0408024536412412,0.05270031225421,0.0496692679301375,0.2,0.1,-0.0320433867479126,-0.136538461538462,-0.0322236586942469,-0.042719298245614,0.0557052004130292,0.0464985994397759,-0.0189955763726256,0.048137943702071,0.0666666666666667,0.0523809523809524,-0.0220905923344948
"AXIN2",-0.0896234063379467,0.11859649122807,0.116810776942356,0.543051176419539,0.16255546645282,-0.102563958389548,-0.0468599033816425,-0.0468599033816425,-0.124683673596772,-0.0619434498759758,-0.05,-0.042512077294686,0.10543203301824,-0.0576923076923077,-0.0798117456314178,-0.0755494505494505,0.0953876236484932,0.096181274442144,0.00959383455877144,-0.141321507150715,-0.139639705450918,-0.128767380829129,0.137361111111111,0.137361111111111,-0.133333333333333,0.071978021978022,-0.0954968392504983,0.12625,-0.16255546645282,-0.155658914728682,-0.153333333333333,0.0619434498759758,0.0619434498759758,0.124683673596772,-0.16507118972326,0.0622059170675769,-0.153333333333333,-0.155658914728682,-0.167694500701954,-0.142362188517653,-0.168429476923311,-0.164763668345565,0.0666666666666667,0.0555555555555556,-0.110954434964374,-0.117486452618032,0.0817139312300603,-0.168422634944374,-0.205729837860844,0.0705280753742117,-0.0390469448414006,0.0677694546845565,0.0866666666666667,0.0695934959349594,0.0765072710271773
"PAK1",0.0184533601801962,0.117948717948718,0.104102564102564,0.0752201257861635,0.0537037037037037,0.0492875894777982,0.108333333333333,0.112037037037037,-0.121281127852525,0.0258435623571922,0.119047619047619,0.108333333333333,0.076679307405121,0.102380952380952,0.0890173522216533,0.0850173522216533,0.0695238095238095,0.0643625192012289,0.0381050605060506,0.068076828346838,0.0526753246753247,-0.119183450429352,-0.0694677871148459,-0.0664374840845429,-0.05,-0.0862519201228879,-0.0629386472324663,-0.0714285714285714,-0.0510721247563353,-0.0537037037037037,-0.05,-0.0258435623571922,-0.0258435623571922,0.121281127852525,-0.0535111491465792,-0.027661744175374,-0.05,-0.0537037037037037,-0.0540814081408141,-0.0610721478662077,-0.0551848564166762,-0.0566740007334067,-0.133333333333333,-0.133333333333333,-0.0295502279648604,-0.101904761904762,-0.00547991603240221,-0.103125426039536,0.140430636535229,0.0769049373618276,0.0217442123094297,0.0769049373618276,0.08,0.0582608695652174,0.0510799980210755
"EGR1",0.0184533601801962,0.117948717948718,0.104102564102564,0.0752201257861635,0.0537037037037037,0.0492875894777982,0.108333333333333,0.112037037037037,-0.121281127852525,0.0258435623571922,0.119047619047619,0.108333333333333,0.076679307405121,0.102380952380952,0.0890173522216533,0.0850173522216533,0.0695238095238095,0.0643625192012289,0.0381050605060506,0.068076828346838,0.0526753246753247,-0.119183450429352,-0.0694677871148459,-0.0664374840845429,-0.05,-0.0862519201228879,-0.0629386472324663,-0.0714285714285714,-0.0510721247563353,-0.0537037037037037,-0.05,-0.0258435623571922,-0.0258435623571922,0.121281127852525,-0.0535111491465792,-0.027661744175374,-0.05,-0.0537037037037037,-0.0540814081408141,-0.0610721478662077,-0.0551848564166762,-0.0566740007334067,-0.133333333333333,-0.133333333333333,-0.0295502279648604,-0.101904761904762,-0.00547991603240221,-0.103125426039536,0.140430636535229,0.0769049373618276,0.0217442123094297,0.0769049373618276,0.08,0.0582608695652174,0.0510799980210755
"cfos",0.0182146966957094,0.133333333333333,0.117948717948718,0.0733333333333333,0.0537037037037037,0.0478223880125967,0.108333333333333,0.108333333333333,-0.119030323994004,0.0368191721132898,0.133333333333333,0.133333333333333,0.0737381309345327,0.119047619047619,0.0850173522216533,0.0862519201228879,0.0643625192012289,0.0595238095238095,0.0430555555555556,0.0664374840845429,0.0537662337662338,-0.115904761904762,-0.0714285714285714,-0.0694677871148459,-0.1,-0.102380952380952,-0.0624310330192683,-0.0571428571428571,-0.0537037037037037,-0.05,-0.05,-0.0368191721132898,-0.0368191721132898,0.119030323994004,-0.0510721247563353,-0.0258435623571922,-0.05,-0.05,-0.0566740007334067,-0.0624255313248543,-0.0540814081408141,-0.0537037037037037,-0.1,-0.133333333333333,-0.0282353490721268,-0.104102564102564,-0.00934731934731934,-0.0994444444444445,0.139888141056024,0.0582608695652174,0.0228311688311688,0.0769049373618276,0.2,0.08,0.0483213773314204
