"","GSK3","ZEB2","ZEB1","Csn","FUS","TrCP","miR200","SMO","NFB","IKK","AKT","SHH","cfos","Csl","SMAD","LIV1","EGR1","SOSGRB2","ILK","HEY1","SRC","KLF4","cateninmemb","TGF","NOTCH","Jagged","MEK","STAT","RAS","SNAI2","TWIST1","RAF","Ecadherin","PI3K","DELTA","DSH","PAK1","CDC42","Frizzled","TGFR","SNAI1","RKIP","ERK","NOTCHic","GLI","CD44","Wnt","AXIN2","cateninnuc","TCFLEF","cMet","FOXC2","Patched","Destcompl","SUFU"
"Destcompl",-0.773552086885111,-0.32127351218008,-0.32127351218008,0.0714285714285714,0.0590038314176245,0.1,-0.19747697507013,0.070432402846196,0.0757763975155279,0.0784791002182307,0.0872039324329958,0.0920758018901021,0.037995337995338,0.210701135918527,-0.271950710108605,-0.377777777777778,0.041025641025641,0.0940663147418241,-0.263412698412698,-0.243086486163409,-0.474646662317895,-0.319584195928004,0.379860881586409,-0.0591729323308271,0.249535326037896,0.324225285103993,0.0467108391366536,-0.434920634920635,-0.250965367702526,0.24041707355977,0.108620028933179,-0.238406498000799,0.0351337296921307,0.238406498000799,0.238406498000799,0.434920634920635,0.08,0.0682758620689655,0.474646662317895,0.0645916515426497,-0.362847511665532,-0.328938506525025,-0.0429133707822232,-0.228092440266353,0.542265465014491,0.542930244407447,0.514250622713935,0.261161890127399,0.585091847726973,0.567039833448543,0.514945169780582,-0.265212436263676,-0.0802769624316882,0.743846314175917,-0.0555555555555556
"DSH",-0.629369876862876,-0.242178869543661,-0.242178869543661,0.00666666666666668,-0.159090909090909,0.0666666666666667,-0.132141845282089,-0.163852813852814,-0.00583333333333332,0.00666666666666668,0.0101149425287356,-0.130842720838763,-0.0592156862745098,0.0773809523809524,-0.235036377001823,-0.2,-0.0533333333333333,-0.0520325203252032,-0.229375999643333,-0.217800557039079,-0.257894736842105,-0.236188844469827,0.147381361160783,-0.219396051103368,0.117282227576345,-0.00442383824565767,-0.0464337313872918,-0.2,-0.260218169323262,0.0930430683390599,0.00022706955122474,-0.257136936830265,0.0189868521667434,0.257136936830265,0.257136936830265,0.2,0.233333333333333,0.233333333333333,0.257894736842105,0.219047619047619,-0.207204968944099,-0.211143856143856,0.0592156862745098,-0.106792717086835,0.311349452061526,0.310449136085246,0.279323308270677,0.184073647871116,0.341080947135579,0.321401517037627,0.279323308270677,-0.131026289092385,0.141272168691524,0.611256717517256,0.15
"Frizzled",-0.596191222570533,-0.23194264907122,-0.23194264907122,0.0666666666666667,-0.15,0.1,-0.12665404040404,-0.159090909090909,0.00666666666666668,-0.00583333333333332,0.00666666666666668,-0.141272168691524,-0.0533333333333333,0.0857142857142857,-0.229375999643333,-0.1,-0.0333333333333333,-0.0666666666666667,-0.234048896839595,-0.221309328968903,-0.2,-0.227450980392157,0.145850147968792,-0.219047619047619,0.106792717086835,-0.0245788770053476,-0.0592156862745098,-0.2,-0.257136936830265,0.0945564559991298,-0.0111204481792717,-0.240601503759398,0.0204793894801763,0.240601503759398,0.240601503759398,0.3,0.266666666666667,0.233333333333333,0.2,0.233333333333333,-0.193581780538302,-0.197857142857143,0.0592156862745098,-0.0773809523809524,0.279323308270677,0.279323308270677,0.257894736842105,0.164242424242424,0.321401517037627,0.310449136085246,0.257894736842105,-0.121069579135675,0.163852813852814,0.589119312937103,0.1
"AKT",-0.473961775977905,-0.231145207435859,-0.231145207435859,0.1,-0.166666666666667,0.166666666666667,-0.127121761017614,-0.174358974358974,0.0823529411764706,0.0900452488687783,-0.0109648521413227,-0.143715699505173,-0.0535014005602241,0.0596153846153846,-0.234916806318487,-0.2,-0.0476190476190476,-0.080982905982906,-0.232559903961585,-0.222231544960676,-0.245410628019324,-0.228177013045434,0.123553895007582,-0.228399622320375,0.0890803728136537,-0.0223341466248403,-0.043748339759228,-0.188888888888889,-0.207331591443161,0.0522335323657126,-0.0205170305865409,-0.207572555298583,0.034274717897866,0.207572555298583,0.207572555298583,0.188888888888889,0.245588235294118,0.245588235294118,0.245410628019324,0.226889048302248,-0.199569303694018,-0.199103454090666,0.0551407448225192,-0.0854218362282878,0.283554160464532,0.282733531104939,0.256179858788554,0.17137940519168,0.306405220240545,0.288712912548238,0.256179858788554,-0.121534201357051,0.152136752136752,0.535228520608525,0.15
"Wnt",-0.565282131661442,-0.225011956001913,-0.225011956001913,0.1,-0.1,0.1,-0.12040404040404,-0.15,0.0666666666666667,0.00666666666666668,-0.00583333333333332,-0.163852813852814,-0.0333333333333333,0.1,-0.234048896839595,0,0,-0.0878787878787879,-0.241025641025641,-0.227692307692308,-0.2,-0.227450980392157,0.128389830508475,-0.233333333333333,0.0773809523809524,-0.0397303921568627,-0.0592156862745098,-0.1,-0.240601503759398,0.074051724137931,-0.0158823529411765,-0.240601503759398,0.0127870817878686,0.240601503759398,0.240601503759398,0.2,0.3,0.266666666666667,0.3,0.233333333333333,-0.179296066252588,-0.18,0.0533333333333333,-0.0857142857142857,0.257894736842105,0.257894736842105,0.2,0.164242424242424,0.310449136085246,0.279323308270677,0.2,-0.0978137651821862,0.159090909090909,0.553310294369464,0
"PI3K",-0.446945646945647,-0.224295892367366,-0.224295892367366,0.166666666666667,-0.15,0.2,-0.123378445509593,-0.166666666666667,0.1,0.0823529411764706,0.0900452488687783,-0.152136752136752,-0.0476190476190476,0.075,-0.232559903961585,-0.1,-0.0333333333333333,-0.0965384615384615,-0.239759903961585,-0.227494702855413,-0.188888888888889,-0.22390350877193,0.125286820593719,-0.226889048302248,0.0854218362282878,-0.0408771929824561,-0.0551407448225192,-0.2,-0.207572555298583,0.0569571504561648,-0.031832015296021,-0.191134199134199,0.0365474451705933,0.191134199134199,0.191134199134199,0.2,0.275,0.245588235294118,0.188888888888889,0.245588235294118,-0.187789855072464,-0.189786683904331,0.0535014005602241,-0.0596153846153846,0.256179858788554,0.256179858788554,0.245410628019324,0.15152380952381,0.288712912548238,0.282733531104939,0.245410628019324,-0.115519163763066,0.174358974358974,0.519595766266094,0.1
"ILK",-0.446945646945647,-0.224295892367366,-0.224295892367366,0.166666666666667,-0.15,0.2,-0.123378445509593,-0.166666666666667,0.1,0.0823529411764706,0.0900452488687783,-0.152136752136752,-0.0476190476190476,0.075,-0.232559903961585,-0.1,-0.0333333333333333,-0.0965384615384615,-0.239759903961585,-0.227494702855413,-0.188888888888889,-0.22390350877193,0.125286820593719,-0.226889048302248,0.0854218362282878,-0.0408771929824561,-0.0551407448225192,-0.2,-0.207572555298583,0.0569571504561648,-0.031832015296021,-0.191134199134199,0.0365474451705933,0.191134199134199,0.191134199134199,0.2,0.275,0.245588235294118,0.188888888888889,0.245588235294118,-0.187789855072464,-0.189786683904331,0.0535014005602241,-0.0596153846153846,0.256179858788554,0.256179858788554,0.245410628019324,0.15152380952381,0.288712912548238,0.282733531104939,0.245410628019324,-0.115519163763066,0.174358974358974,0.519595766266094,0.1
"AXIN2",-0.323917013827769,-0.179602548517354,-0.179602548517354,0.0777777777777778,0.0576923076923077,0.0666666666666667,-0.128685893218956,0.0576923076923077,0.0560386473429952,0.0661835748792271,0.0639613526570048,0.068441722212214,0.020650406504065,0.108070175438596,-0.166637911203129,-0.166666666666667,0.0133333333333333,0.0382546361227988,-0.163860133425351,-0.15441352682732,-0.216899224806202,-0.177892744284511,0.186846526522749,-0.0699324857510333,0.129981372349793,0.157089367741542,0.0208050955146999,-0.186666666666667,-0.13568223121904,0.137796755492105,0.047082040990087,-0.133844960877833,0.026017572216153,0.133844960877833,0.133844960877833,0.186666666666667,0.0779166666666667,0.0766820987654321,0.216899224806202,0.069602452747733,-0.167942296557195,-0.156162905195163,-0.0159775093078034,-0.125927318295739,0.250818114417999,0.251197060115676,0.230692328254477,0.0345034636609135,0.27270534019225,0.261161890127399,0.230692328254477,-0.154804040612003,-0.0648351648351648,0.349911912101014,-0.05
"SHH",-0.305128205128205,-0.175,-0.175,0,0,0,-0.0833333333333333,0.1,0,-0.1,-0.15,-0.12,0.1,0.1,-0.183333333333333,0,0,-0.1,-0.2,-0.2,-0.1,-0.2,0.182365591397849,-0.106666666666667,0,0.0657142857142857,0.08,-0.1,0.0269230769230769,0.0730268199233716,0.1,0.05,0.005,-0.05,-0.05,0,0.2,0.166666666666667,0,0.166666666666667,-0.0333333333333333,-0.04,-0.1,0,0.15,0.25,0.1,0.0857142857142857,0.3,0.283333333333333,0.2,-0.1,0,0.417922077922078,0
"FUS",-0.404029767896378,-0.174138678035423,-0.174138678035423,-0.15,-0.12,-0.1,-0.0898889346439165,-0.095,-0.221428571428571,-0.201428571428571,-0.193736263736264,-0.048030303030303,0.0723076923076923,-0.0272727272727273,-0.1394726062468,-0.2,0.08,0.00762483130904182,-0.142698412698413,-0.143796782927218,-0.283333333333333,-0.177140255009107,0.199788888752806,-0.0651389687559901,0.00909090909090909,0.137208197870849,0.0781593119524154,-0.25,0.00700838209216395,0.0960197240868324,0.139661682008464,0.00831842576028622,0.0163208899079282,-0.00831842576028622,-0.00831842576028622,0.15,0.106666666666667,0.0733333333333334,0.1875,0.0598198198198199,-0.0819146161203374,-0.0584748813614793,-0.0632167832167832,0.00227272727272727,0.234935897435897,0.332038834951456,0.204166666666667,0.133483907396951,0.362357157932823,0.346324549237171,0.3,-0.143030852994555,0.0672222222222222,0.504875367941061,0
