"","ZEB1","HEY1","miR200","Patched","NFB","Csn","Jagged","RKIP","KLF4","SNAI1","NOTCH","NOTCHic","Csl","TrCP","MEK","ERK","Ecadherin","AXIN2","STAT","SRC","LIV1","TCFLEF","cateninnuc","CD44","cMet","PAK1","TGF","CDC42","Destcompl","SNAI2","GSK3","SOSGRB2","RAS","TGFR","RAF","PI3K","DELTA","cateninmemb","Wnt","Frizzled","DSH","GLI","TWIST1","EGR1","cfos","ZEB2","SUFU","FUS","AKT","IKK","FOXC2","SMO","SHH","ILK","SMAD"
"miR200",0.563091397849462,0.354265536723164,0.375004409559926,0.305042194092827,0.258947368421053,0.18,0.246715879485335,0.261420372621639,0.233833678398896,0.229288674288674,0.228671620606162,0.220197044334975,0.202955665024631,0.2,0.160358688930118,0.161038961038961,0.00385489704886176,-0.0611976742719488,0,-0.00434782608695652,0,-0.00697005132351947,-0.00727308162654977,-0.00855735291082106,-0.00293937538273117,0.0291666666666667,0.0537003736228175,0.054656862745098,-0.0245677434918007,-0.156732256606842,-0.0239479910275644,-0.0604932301740812,0.0159622947987857,-0.0449794433902593,0.0221967087638729,0.0221967087638729,0.0221967087638729,0.0129752099953023,-0.00540845070422535,-0.004,0,-0.00211174740752206,-0.242488166230497,-0.142857142857143,-0.142857142857143,-0.224009856630824,-0.18,-0.255,-0.293826074620514,-0.25609022556391,-0.328245738001836,-0.268333333333333,-0.308303063658044,-0.347705202041485,-0.369335296085372
"ZEB1",0.467561481056498,0.370301520586495,0.368172122750154,0.289906417112299,0.24140350877193,0.246666666666667,0.249466567941458,0.261552412770981,0.11438446184554,0.242068440924171,0.245396815751094,0.237132352941176,0.23125,0.166666666666667,0.176312516195906,0.168823529411765,-0.127608533122252,-0.110082431418499,-0.00769230769230769,-0.00525328330206379,0,-0.0120769170108665,-0.0121747643689878,-0.0110130872236324,-0.0130964205569658,0.0408045977011494,0.0341710015530625,0.0306596701649175,-0.018970109347657,-0.187135520697961,-0.0233471331171137,-0.0366471734892787,0.0188413860270614,-0.039289111789283,0.0174240631924157,0.0174240631924157,0.0174240631924157,0.0298765071642545,0.00333020637898687,-0.0024390243902439,0,0.00161199332056762,-0.244094707084427,-0.15,-0.17,-0.130967232931692,-0.241666666666667,-0.254166666666667,-0.271544023994412,-0.275829738280127,-0.332009990296689,-0.285984848484849,-0.300226701809808,-0.362787282181558,-0.364229589873866
"AXIN2",-0.18863182282632,-0.0462594730343209,-0.155775435385831,0.0963827838827839,0.148792270531401,0.144444444444444,-0.144350801959498,-0.172972645633936,0.0798667995580589,-0.158334811700736,-0.158487096118675,-0.152406015037594,-0.145263157894737,0.133333333333333,-0.170511778530612,-0.163615226806474,0.000555512061961549,0.523679658585642,0.126666666666667,0.138294573643411,0.133333333333333,0.146016502339604,0.145454461699742,0.143320136571726,0.14174284950548,-0.0904166666666667,-0.0969195391761398,-0.0965895061728395,-0.128669965045012,0.227701543594728,-0.139176612098809,-0.0483751965659399,-0.168083710644605,0.0965895061728395,-0.1667713746866,-0.1667713746866,-0.1667713746866,0.125294024524569,-0.14174284950548,-0.138294573643411,-0.126666666666667,-0.14362964195831,0.150963688353817,0.14,0.157073170731707,-0.0752441786588469,-0.1,-0.107692307692308,-0.144444444444444,-0.144444444444444,0.204816471584621,-0.0981684981684982,-0.0960549150303249,0.0381872555785599,0.0437428111341155
"cMet",-0.195959595959596,-0.0949432404540764,-0.16312554896794,-0.0881818181818182,-0.2,-0.2,-0.119150704368096,-0.191111111111111,0.161904761904762,-0.113229980446751,0.0229243321068629,0.0165413533834586,0.0428571428571429,-0.2,-0.166818181818182,-0.165,0.158456884303893,0.124285714285714,0.2,0.2,0.1,0.105581395348837,0.102756536591775,0.105581395348837,0.08,-0.0333333333333333,-0.0736997635933806,-0.0583333333333333,-0.0179982066536688,0.264134956689701,0.0502496159754224,-0.141904761904762,0.184779874213837,0.0694444444444444,0.186666666666667,0.186666666666667,0.186666666666667,-0.097527211815468,-0.08,-0.1,-0.1,-0.102727272727273,0.141885006379388,0.175,0.155,-0.0669552669552669,0.1,0.05,0.231666666666667,0.206666666666667,0.159245780590717,0.07,0.0944318181818182,0.107596371882086,0.107596371882086
"CD44",-0.188888888888889,-0.0929824561403509,-0.15375054896794,-0.07,-0.2,-0.2,-0.106107226107226,-0.183703703703704,0.161904761904762,-0.118314726209463,0.0165413533834586,0.0428571428571429,0,-0.1,-0.165,-0.155,0.156675713820432,0.11,0.1,0.2,0.1,0.105581395348837,0.105581395348837,0.08,0.2,-0.133333333333333,-0.0694444444444444,-0.0333333333333333,-0.0193495580050202,0.262675102675103,0.0470238095238095,-0.161904761904762,0.186666666666667,0.0583333333333333,0.195238095238095,0.195238095238095,0.195238095238095,-0.100018315018315,-0.1,-0.1,0,-0.08,0.122783882783883,0.2,0.175,-0.0619047619047619,0.1,0.1,0.206666666666667,0.2,0.152916666666667,0.05,0.0881818181818182,0.105555555555556,0.107596371882086
"SNAI1",0.334756194935604,0.15107572264288,0.293222048619204,0.100698242020823,0.0708333333333333,0.0708333333333333,0.084145750631541,0.221931713308537,0.0572735912607216,0.0894496274937782,0.0657666143380429,0.0673992673992674,0.0564102564102564,0.0583333333333333,0.110277092813326,0.106241218373864,-0.0216160734587374,0.0532881692153,0.0411111111111111,0.0303003003003003,0.03,0.0326221140908748,0.0330867501259806,0.033035907194323,0.0382210923795082,0.0226890756302521,0.0248164773577331,0.0226890756302521,0.0492423182784069,-0.187401691698983,0.0558252003771806,-0.0163693256118065,0.0194422495659323,-0.0254213160674106,0.0153371592539455,0.0153371592539455,0.0153371592539455,-0.0320209838520927,-0.0388774782484667,-0.0305847953216374,-0.0411111111111111,-0.0343070943362181,-0.142384861515296,-0.0930434782608696,-0.104907885040531,-0.0614933111635685,-0.0928571428571428,-0.0831797235023041,-0.0833333333333333,-0.0819444444444444,-0.262868832904038,-0.101698242020823,-0.109436106098493,-0.14799795186892,-0.151072982619227
"cfos",0.324341827126331,0.133008495752124,0.283082930141754,0.0831797235023041,0.0583333333333333,0.0333333333333333,0.080625,0.212657342657343,0.0516507936507936,0.186242533837471,0.0564102564102564,0.0641025641025641,0.0333333333333333,0,0.104907885040531,0.0930434782608696,-0.0192596036626412,0.0531034482758621,0.05,0.03,0.1,0.0382210923795082,0.033035907194323,0.0303003003003003,0.0411111111111111,0.0142857142857143,0.0226890756302521,0.0285714285714286,0.0511251503586074,-0.182028628306001,0.0550595238095238,-0.025,0.0203371592539455,-0.0226890756302521,0.0191176470588235,0.0191176470588235,0.0191176470588235,-0.0313470291366872,-0.0411111111111111,-0.03,-0.05,-0.0305847953216374,-0.141584415584416,0.04,-0.08,-0.0582478189015719,-0.0333333333333333,-0.0761904761904762,-0.0708333333333333,-0.0708333333333333,-0.257297260367562,-0.0928571428571428,-0.101698242020823,-0.134126984126984,-0.138965693804403
"CDC42",0.324341827126331,0.133008495752124,0.283082930141754,0.0831797235023041,0.0583333333333333,0.0333333333333333,0.080625,0.212657342657343,0.0516507936507936,0.186242533837471,0.0564102564102564,0.0641025641025641,0.0333333333333333,0,0.104907885040531,0.0930434782608696,-0.0192596036626412,0.0531034482758621,0.05,0.03,0.1,0.0382210923795082,0.033035907194323,0.0303003003003003,0.0411111111111111,0.114285714285714,0.0226890756302521,0.0285714285714286,0.0511251503586074,-0.182028628306001,0.0550595238095238,-0.025,0.0203371592539455,-0.0226890756302521,0.0191176470588235,0.0191176470588235,0.0191176470588235,-0.0313470291366872,-0.0411111111111111,-0.03,-0.05,-0.0305847953216374,-0.141584415584416,-0.06,-0.08,-0.0582478189015719,-0.0333333333333333,-0.0761904761904762,-0.0708333333333333,-0.0708333333333333,-0.257297260367562,-0.0928571428571428,-0.101698242020823,-0.134126984126984,-0.138965693804403
"PAK1",0.330451151885173,0.140361436928595,0.291204757552921,0.101698242020823,0.0708333333333333,0.0583333333333333,0.0775575153374233,0.219839663099332,0.058208170699974,0.186958524290931,0.0673992673992674,0.0564102564102564,0.0641025641025641,0.0333333333333333,0.106241218373864,0.104907885040531,-0.0201592576418799,0.0556191715463023,0.03,0.0411111111111111,0.05,0.033035907194323,0.0326221140908748,0.0382210923795082,0.0303003003003003,0.0285714285714286,0.0254213160674106,0.0226890756302521,0.0478168796819157,-0.185826096660431,0.0590595238095238,-0.022029702970297,0.0153371592539455,-0.0226890756302521,0.0203371592539455,0.0203371592539455,0.0203371592539455,-0.0322627800524382,-0.0305847953216374,-0.0411111111111111,-0.03,-0.0388774782484667,-0.139410502540937,-0.08,-0.0930434782608696,-0.0579262754932118,-0.0761904761904762,-0.0928571428571428,-0.0819444444444444,-0.0708333333333333,-0.263504156919286,-0.0831797235023041,-0.100698242020823,-0.138965693804403,-0.14799795186892
"EGR1",0.330451151885173,0.140361436928595,0.291204757552921,0.101698242020823,0.0708333333333333,0.0583333333333333,0.0775575153374233,0.219839663099332,0.058208170699974,0.186958524290931,0.0673992673992674,0.0564102564102564,0.0641025641025641,0.0333333333333333,0.106241218373864,0.104907885040531,-0.0201592576418799,0.0556191715463023,0.03,0.0411111111111111,0.05,0.033035907194323,0.0326221140908748,0.0382210923795082,0.0303003003003003,0.0285714285714286,0.0254213160674106,0.0226890756302521,0.0478168796819157,-0.185826096660431,0.0590595238095238,-0.022029702970297,0.0153371592539455,-0.0226890756302521,0.0203371592539455,0.0203371592539455,0.0203371592539455,-0.0322627800524382,-0.0305847953216374,-0.0411111111111111,-0.03,-0.0388774782484667,-0.139410502540937,-0.08,-0.0930434782608696,-0.0579262754932118,-0.0761904761904762,-0.0928571428571428,-0.0819444444444444,-0.0708333333333333,-0.263504156919286,-0.0831797235023041,-0.100698242020823,-0.138965693804403,-0.14799795186892
