"","Jagged","ILK","miR200","Csl","IKK","SMO","cateninmemb","Ecadherin","AKT","GSK3","AXIN2","cateninnuc","NFB","TCFLEF","RKIP","GLI","Wnt","TrCP","Frizzled","cfos","MEK","EGR1","ZEB1","DSH","SNAI2","FOXC2","TGFR","TGF","SOSGRB2","RAF","PI3K","DELTA","RAS","TWIST1","CDC42","PAK1","Destcompl","LIV1","STAT","ERK","SNAI1","SRC","cMet","CD44","FUS","Patched","SUFU","Csn","SHH","HEY1","NOTCHic","NOTCH","SMAD","ZEB2","KLF4"
"miR200",0.363315575801167,0.328082595870206,0.353079048710939,0.301477832512315,0.233233082706767,0.228333333333333,0.391245158202208,0.395252279378726,0.270968931763371,0.19354626855037,0.347550586266769,0.341860910594406,0.258947368421053,0.332012425745921,0.215475389443329,0.302764277975546,0.289577464788732,0.2,0.26,0.141428571428571,0.140779220779221,0.171428571428571,0.235492831541219,0.24,0.255990863208741,0.107746724819896,0.0299493991144845,0.0392517246958798,-0.0116215344938749,-0.120566398775354,-0.120566398775354,-0.120566398775354,-0.115828244161888,0.0450329629470734,-0.046078431372549,-0.0166666666666667,-0.175690014968876,-0.2,-0.24,-0.155064935064935,-0.16013357013357,-0.270434782608696,-0.300012247397428,-0.31574258447608,-0.255,-0.267573839662447,-0.18,-0.18,-0.244747752705925,-0.287542372881356,-0.315270935960591,-0.34521443878545,-0.360370997124125,-0.531608422939068,-0.536853002070393
"ZEB1",0.380873787206344,0.349761970917848,0.326265685706268,0.31875,0.251498418176589,0.248484848484849,0.411735221876897,0.319908025545496,0.235784132462303,0.166213267745961,0.366092975558033,0.349492756503323,0.220350877192982,0.340980036346768,0.182959464777647,0.31972134185486,0.302195568658983,0.166666666666667,0.288734030197445,0.128666666666667,0.112932020385247,0.116666666666667,0.151439745544164,0.261904761904762,0.291486963799006,0.0935527365445575,0.0161358829891315,0.00786816645369842,-0.0310721247563353,-0.105162306766185,-0.105162306766185,-0.105162306766185,-0.114138684718941,0.0684109980911809,-0.00953689821755789,-0.0254789272030651,-0.151197752885023,-0.233333333333333,-0.271794871794872,-0.113372549019608,-0.152983646060866,-0.298624140087555,-0.314310414597359,-0.33167152570847,-0.216666666666667,-0.224955436720143,-0.241666666666667,-0.246666666666667,-0.239546184051104,-0.30172995398384,-0.346200980392157,-0.351159658078107,-0.340146586302463,-0.413402240379487,-0.418009052129854
"SMO",-0.105661375661376,0.156666666666667,0.258860759493671,-0.166666666666667,0.142857142857143,0.293333333333333,-0.275892403521592,-0.200724333942369,0.138857142857143,-0.0497990682456702,-0.361815196297955,-0.259456245792475,0.1,-0.25344120819849,0.304920634920635,-0.336111111111111,-0.325,0,-0.3,0.26,0.27958041958042,0.2,-0.013135593220339,-0.2,-0.420280240831965,0.081551724137931,0.271666666666667,0.274369369369369,0.144736842105263,0.0139423076923077,0.0139423076923077,0.0139423076923077,0.023244633273703,-0.248039215686275,-0.246666666666667,-0.266666666666667,0.0768507461530717,0.1,0.1,-0.252307692307692,-0.279723502304147,0.2,0.22,0.231111111111111,-0.333333333333333,-0.305833333333333,-0.3,-0.1,-0.339166666666667,-0.168498168498169,0.175757575757576,0.190757575757576,-0.148730158730159,-0.360593220338983,-0.308333333333333
"NOTCHic",0.0691195779937502,0.141904761904762,0.276325601181093,-0.0542857142857143,0.111111111111111,0.113461538461538,-0.00230622321173722,0.00550752220174009,0.104134366925065,0.0373974858300877,-0.0110100329439952,-0.0037478915123408,0.0666666666666667,-0.00695399838256981,0.228943599706106,-0.00820212046018498,-0.00927738927738928,0,-0.0123076923076923,0.213333333333333,0.229047619047619,0.18,0.0632045088566828,-0.02,-0.146255317981123,0.0190783410138249,0.023010752688172,0.0160043832614204,-0.011866028708134,0.00482213438735178,0.00482213438735178,0.00482213438735178,0.00038863685040597,-0.136166506769001,-0.0133333333333333,-0.0333333333333333,0.010154873164219,0,0.02,-0.22047619047619,-0.198225478225478,0.0123076923076923,0.00927738927738928,0.00817848817848818,-0.075,-0.107579185520362,-0.1,-0.1,-0.125858755412835,-0.235395763656633,-0.0489400921658986,-0.051571671113267,-0.133991092840014,-0.316924315619968,-0.308643892339545
"NOTCH",0.0565367965367965,0.111904761904762,0.282683982683983,-0.04,0.0666666666666667,0.075,-0.00616017858699077,0.00504810413129598,0.111111111111111,0.0349181469871125,-0.0123989218328841,-0.00695399838256981,0.1,-0.00817848817848818,0.235985853227232,-0.00927738927738928,-0.0123076923076923,0,-0.02,0.18,0.22047619047619,0.2,0.0446859903381643,0,-0.146856520385932,0.0271428571428571,0.0133333333333333,0.023010752688172,0.00631578947368421,-0.00242424242424242,-0.00242424242424242,-0.00242424242424242,0.00482213438735178,-0.143084745762712,-0.0333333333333333,0,0.012154873164219,0,0,-0.213333333333333,-0.189230769230769,0.02,0.0123076923076923,0.00927738927738928,-0.1,-0.113461538461538,0,0,-0.107579185520362,-0.21231884057971,0.0542857142857143,-0.0489400921658986,-0.141904761904762,-0.30877616747182,-0.305072463768116
"DELTA",0.0565367965367965,0.116666666666667,0.256969696969697,-0.1,0.1,0.1,-0.00668373879641485,-0.00140350877192982,0.0666666666666667,0.039463601532567,-0.0142857142857143,-0.00817848817848818,0,-0.00927738927738928,0.225641025641026,-0.0123076923076923,-0.02,0,0,0.2,0.213333333333333,0.1,0.0557971014492754,0,-0.147385620915033,0.0128571428571429,0.0333333333333333,0.0133333333333333,-0.02,0.00666666666666667,0.00666666666666667,0.00666666666666667,-0.00242424242424242,-0.138,0,0,0.0102857142857143,0,0,-0.18,-0.2,0,0.02,0.0123076923076923,0,-0.075,0,0,-0.113461538461538,-0.216666666666667,0.04,0.0542857142857143,-0.111904761904762,-0.305072463768116,-0.283333333333333
"ERK",0.0776627366074358,0.207155694146832,0.227187238336448,0.171911421911422,0.0681359816653934,0.210032786885246,-0.280654038533939,-0.266835508904776,0.0736405688213567,-0.0786291933894693,-0.243857846732191,-0.216872196927376,0.0551948051948052,-0.214094419149599,0.00764026032638535,-0.210426941479573,-0.201655011655012,0.0142857142857143,-0.192564102564103,-0.0116581071166544,0.111429172363383,-0.026551724137931,-0.0205066353793294,-0.173333333333333,-0.531714009893514,-0.0350103153551429,-0.00285681801201277,-0.00285681801201277,0.195690553243951,0.0276995226995227,0.0276995226995227,0.0276995226995227,0.0286896217094237,-0.316913662516175,0.00650645304850912,-0.00190476190476191,0.079601998607395,0.133333333333333,0.170175438596491,-0.100008559550012,-0.186563345473091,0.18940620782726,0.19849711691817,0.207402969335472,-0.192,-0.21852951891139,-0.18,-0.0642857142857143,-0.232539180747139,-0.178241037337017,-0.160962516801933,-0.155699358907196,-0.206851742779051,-0.286582222415885,-0.273978178906276
"TGF",0.113892979872361,0.142121212121212,0.211878734292527,0.166666666666667,0.0416666666666667,0.143333333333333,-0.0182323093611201,-0.0127144500258204,0.0469298245614035,-0.0136240797688939,-0.0237654320987654,-0.0169010863350486,0.0416666666666667,-0.0188149619331347,0.214285714285714,-0.0309703504043127,-0.0328571428571428,0,-0.0428571428571429,0.233333333333333,0.230292397660819,0.233333333333333,-0.0243709405265469,0,-0.0321606193623282,-0.0231832298136646,0.0780952380952381,-0.0219047619047619,0.0210526315789474,-0.05,-0.05,-0.05,-0.0375,-0.192037037037037,-0.0733333333333333,-0.04,0.0374711670393788,0,0,-0.228070175438596,-0.176989828353465,0.0333333333333333,0.0233333333333333,0.0214465408805031,-0.126666666666667,-0.160574712643678,-0.0666666666666667,0.0333333333333333,-0.148074712643678,-0.107543520309478,-0.176666666666667,-0.183563218390805,-0.15663734115347,-0.254679056006287,-0.249224510551742
"TGFR",0.121863994365115,0.15663734115347,0.207479907313055,0.176666666666667,0.0469298245614035,0.160574712643678,-0.0163847343033834,-0.00998872600537746,0.039953080375357,-0.0138685785464,-0.0216195093519843,-0.015395329027697,0.0416666666666667,-0.0169010863350486,0.2,-0.0277445439526998,-0.0309703504043127,-0.0333333333333333,-0.0328571428571428,0.228070175438596,0.23851157574301,0.233333333333333,-0.0111633933567356,-0.0428571428571429,-0.0314661749178838,-0.0332268979359353,-0.0219047619047619,-0.0304154002026342,0.0222871994801819,-0.0375,-0.0375,-0.0375,-0.041593567251462,-0.181716752339528,-0.0780952380952381,-0.0733333333333333,0.0358582638135724,0,0.0333333333333333,-0.230292397660819,-0.182004577616002,0.0233333333333333,0.0214465408805031,0.0188149619331347,-0.143333333333333,-0.148074712643678,-0.126666666666667,-0.0416666666666667,-0.157679232417689,-0.120976356130373,-0.183563218390805,-0.179966096088646,-0.159128444356317,-0.253546980534589,-0.254581653408885
"TWIST1",-0.0502041128291498,0.112858312858313,0.20081647626035,-0.0311111111111111,0.111355311355311,0.242222222222222,-0.196721012190895,-0.160144814103159,0.114745141863786,-0.0996962655901904,-0.20886736918995,-0.166270495404836,0.0923076923076923,-0.164947896209896,0.230055999621217,-0.16403776106934,-0.15843776106934,0.1,-0.153174603174603,0.186376811594203,0.194127531677994,0.173333333333333,-0.12143108020301,-0.147619047619048,0.117831490590447,0.0962138667783829,0.144845872518286,0.145984824682295,0.125627334780653,0.0128778172421436,0.0128778172421436,0.0128778172421436,0.0159600090229655,-0.207506538084341,-0.137345872518286,-0.144242424242424,0.117491937378897,0.133333333333333,0.147619047619048,-0.19163996948894,-0.22125407416518,0.153174603174603,0.157429922323539,0.162650805857676,-0.222222222222222,-0.25455098934551,-0.233333333333333,-0.1,-0.257014043532702,-0.108791208791209,0.0362393162393162,0.033409127560071,-0.112528279855013,-0.251267934601268,-0.230039608088389
