"","PAK1","FOXC2","SUFU","FUS","GSK3","IKK","Ecadherin","HEY1","TrCP","AKT","NFB","Jagged","LIV1","cateninmemb","SRC","STAT","Frizzled","DSH","Wnt","Destcompl","MEK","ZEB2","KLF4","miR200","RAF","PI3K","DELTA","RAS","ERK","EGR1","cfos","GLI","CD44","cateninnuc","TCFLEF","cMet","Csl","NOTCH","NOTCHic","RKIP","AXIN2","SNAI1","TWIST1","SNAI2","SMAD","ILK","ZEB1","Csn","Patched","SHH","SMO","SOSGRB2","TGF","CDC42","TGFR"
"ZEB1",-0.154789272030651,-0.118878831026915,-0.0583333333333333,-0.0333333333333333,0.00689188652189647,0.0282082254817371,-0.0647485275420588,0.00357035882942619,0.0333333333333333,0.0182082254817371,0.0101754385964912,-0.0418755664185147,0,-0.00346345146724803,0.00938086303939963,-0.00769230769230769,0.0170731707317073,0,0.0132270168855535,-0.0103494759191385,-0.0297816360024186,-0.16883742840926,0.165914298493314,-0.165353768069149,0.0389856360162187,0.0389856360162187,0.0389856360162187,0.0397730375910218,0.0346274509803922,-0.0166666666666667,0.0193333333333333,-0.00875966293366344,-0.00255896761456302,-0.00412712766785861,-0.0044206697422226,-0.00742007872567414,0.0125,0.0135371090584994,0.00857843137254902,-0.000776373851809054,0.0948578503973531,0.00507829266380048,0.0932922125697683,0.138364099205928,0.000873828403697807,0.0085661360960055,-0.0685845894118229,0.0266666666666667,0.0203208556149733,0.0306411403124822,0.0242424242424242,0.139454191033138,0.143463010424255,0.159137098117608,0.145431514361263
"CD44",-0.133333333333333,-0.214166666666667,-0.1,-0.1,0.0738095238095238,-0.0333333333333333,-0.113724894148301,-0.0847953216374269,0.1,-5.55111512312578e-18,-0.1,-0.0446620046620047,-0.1,-0.0808974358974359,-0.2,-0.1,-0.1,0,-0.1,0.00861071701407836,-0.135,-0.125396825396825,0.0158730158730159,0.0510803689064559,0.2,0.2,0.2,0.202857142857143,0.125,0.2,0.125,0.08,0.08,0.0885509838998211,0.0916279069767442,0.2,0.1,0.00225563909774436,0.0285714285714286,0.161111111111111,0.11,0.168553960659224,0.172307692307692,0.226275946275946,0.0695011337868481,0.0388888888888889,0.134920634920635,0,0.07,0.0518181818181818,0.05,0.235714285714286,0.219722222222222,0.193333333333333,0.230833333333333
"cMet",-0.193333333333333,-0.202774261603375,-0.1,-0.05,0.067357910906298,-5.55111512312578e-18,-0.109908100255171,-0.110285517715858,0,0.0125,-0.0333333333333333,-0.055531569879396,-0.1,-0.0798298202390729,-0.2,-0.2,-0.1,-0.1,-0.08,0.0140161224194838,-0.144090909090909,-0.124386724386724,0.0253968253968254,0.0542053689064559,0.202857142857143,0.202857142857143,0.202857142857143,0.208517520215633,0.135,0.125,0.125,0.0890909090909091,0.0916279069767442,0.0851611533913465,0.0885509838998211,0.08,0.0285714285714286,0.000127979523276276,0.00225563909774436,0.157407407407407,0.114761904761905,0.180418367438885,0.17343128781331,0.226275946275946,0.0622284065141208,0.0695011337868481,0.131890331890332,0.1,0.0518181818181818,0.0705681818181818,0.07,0.255714285714286,0.206956264775414,0.230833333333333,0.219722222222222
"NOTCH",-0.2,-0.228571428571429,0,-0.1,0.0164228491814699,-0.0444444444444444,-0.0158273910582909,0.0623188405797101,0,-0.0222222222222222,-0.1,-0.0267147667147667,0,-0.00786622639214631,-0.02,0,-0.02,0,-0.0123076923076923,-0.0103867499007686,-0.0138095238095238,-0.117713365539452,0.102898550724638,0.00251082251082251,0.0642424242424242,0.0642424242424242,0.0642424242424242,0.0540974967061924,0.00666666666666667,0,-0.06,0.00321678321678322,0.00321678321678322,0.00723562152133581,0.0109090909090909,0.0123076923076923,0.16,0.00746543778801843,0.117142857142857,0.147038019451813,0.00862533692722372,0.153717948717949,0.121525423728814,0.151089324618736,0.0580952380952381,0.0380952380952381,0.106763285024155,0,0.0576923076923077,0.0576923076923077,0.05,0.185263157894737,0.224430107526882,0.233333333333333,0.237333333333333
"Csl",-0.237333333333333,-0.227292229461306,-0.05,-0.0576923076923077,0.0185747741075279,-0.0291989664082687,-0.0164570431114267,0.0595837978446674,-0.1,-0.0439276485788114,-0.0222222222222222,-0.0263801916595791,-0.02,-0.00766338663555402,-0.00321678321678322,-0.0123076923076923,-0.00321678321678322,-0.0123076923076923,-0.0107436649372133,-0.00896749334988498,-0.00116977225672878,-0.115466588375548,0.110041407867495,0.0080997504390908,0.0605014375928919,0.0605014375928919,0.0605014375928919,0.0597661434752448,0.010952380952381,0.00666666666666667,0.0138095238095238,0.00590495525979397,0.00723562152133581,0.0072155446180672,0.00647226274270985,0.0109090909090909,0.00746543778801843,0.0208147200846691,0.0153601746301237,0.144091306918548,0.0101177676612997,0.158760088542697,0.125088891792473,0.147617205137417,0.0421040310608656,0.04154847550531,0.113957882936985,0.0444444444444444,0.0673697270471464,0.0604731753230085,0.0576923076923077,0.187036993814914,0.223092672340493,0.224430107526882,0.21742373810013
"TrCP",-0.266666666666667,-0.241872062534013,-0.0571428571428571,-0.0571428571428571,0.00312770562770563,-0.0177631578947368,-0.0928341065544144,-0.0436649322397625,-0.1,-0.0344298245614035,-0.0125,-0.0275688053851397,-0.1,-0.0859484433970328,-0.0762962962962963,-0.08,-0.0762962962962963,-0.08,-0.0815594541910331,-0.0806724799550744,-0.0232905919921395,-0.114950266988914,0.10616393442623,0.00781536734059875,0.116588288431904,0.116588288431904,0.116588288431904,0.116588288431904,0.0339572586588062,0.04,0.0356521739130435,0.0761936005324965,0.0777413056620977,0.0779737449979853,0.0781116760324681,0.0817017017017017,0,0.0123076923076923,0.00461538461538462,0.140916817988641,0.108408774049633,0.152527658036253,0.14350799924713,0.21857627235249,0.0449889059566479,0.0430534220856802,0.112640515359231,0.025,0.0699664334072936,0.0589664334072936,0.0539170506912442,0.207164466446645,0.247877034569416,0.249019607843137,0.242959001782531
"PAK1",-0.266666666666667,-0.241872062534013,-0.0571428571428571,-0.0571428571428571,0.00312770562770563,-0.0177631578947368,-0.0928341065544144,-0.0436649322397625,-0.1,-0.0344298245614035,-0.0125,-0.0275688053851397,-0.1,-0.0859484433970328,-0.0762962962962963,-0.08,-0.0762962962962963,-0.08,-0.0815594541910331,-0.0806724799550744,-0.0232905919921395,-0.114950266988914,0.10616393442623,0.00781536734059875,0.116588288431904,0.116588288431904,0.116588288431904,0.116588288431904,0.0339572586588062,0.04,0.0356521739130435,0.0761936005324965,0.0777413056620977,0.0779737449979853,0.0781116760324681,0.0817017017017017,0,0.0123076923076923,0.00461538461538462,0.140916817988641,0.108408774049633,0.152527658036253,0.14350799924713,0.21857627235249,0.0449889059566479,0.0430534220856802,0.112640515359231,0.025,0.0699664334072936,0.0589664334072936,0.0539170506912442,0.207164466446645,0.247877034569416,0.249019607843137,0.242959001782531
"GLI",-0.356666666666667,-0.235975232198142,-0.19047619047619,-0.19047619047619,-0.112163653680116,-0.0368003341687552,-0.101031254083578,-0.0794408430656308,-0.0833333333333333,-0.0383628341687552,-0.0225146198830409,-0.0587632831279743,-0.1,-0.0862530657170194,-0.0896774193548387,-0.08,-0.169677419354839,-0.16,-0.168500948766603,-0.0737538800934526,0.092262442897802,-0.11134314729476,0.108707850707851,0.0014502319146282,0.147814622884382,0.147814622884382,0.147814622884382,0.147220563478442,-0.0917099567099567,-0.0742857142857143,-0.0826190476190476,0.0629690338729864,0.0853670745272525,0.0864864572365934,0.0866657758259538,0.0896774193548387,0.0183200707338638,0.0242724516862448,0.0233200707338638,0.102657286440802,0.117021437198068,0.106816763081348,0.130494622336728,0.232814059368798,0.0829437552165684,0.0818626741354873,0.111104710701485,0.0277777777777778,0.201861797350519,0.193219822041877,0.195739348370927,0.221775657970348,0.342488550397387,0.339425287356322,0.341312079809152
"NOTCHic",-0.233333333333333,-0.222119815668203,-0.1,-0.05,0.0172492954624616,-0.0222222222222222,-0.0150616942742174,0.0484726867335563,0,-0.0291989664082687,-0.0444444444444444,-0.0300260249929124,0,-0.00766338663555402,-0.0123076923076923,-0.02,-0.0123076923076923,-0.02,-0.00321678321678322,-0.00805341656743526,-0.010952380952381,-0.111046698872786,0.117184265010352,0.00308885719290344,0.0540974967061924,0.0540974967061924,0.0540974967061924,0.0605014375928919,0.0138095238095238,-0.06,0.00666666666666667,0.0107436649372133,0.0109090909090909,0.00647226274270985,0.00723562152133581,0.00321678321678322,0.117142857142857,0.0153601746301237,0.00746543778801843,0.137178864522235,0.0114031147050015,0.162712657712658,0.122154354546424,0.148884915801101,0.04154847550531,0.0580952380952381,0.108985507246377,0.1,0.0576923076923077,0.0673697270471464,0.0576923076923077,0.194354066985646,0.21742373810013,0.237333333333333,0.224430107526882
"SNAI1",-0.249019607843137,-0.241236738518765,-0.0571428571428571,-0.0539170506912442,0.00121351420856371,-0.0344298245614035,-0.0930422230996797,-0.0454506465254767,-0.025,-0.022624269005848,-0.0177631578947368,-0.0280393936204339,-0.08,-0.0870883397700898,-0.0817017017017017,-0.0762962962962963,-0.0815594541910331,-0.0762962962962963,-0.0761936005324965,-0.0799597606568288,-0.0318107713643368,-0.108923206718312,0.113329043460497,0.00233986301783218,0.116588288431904,0.116588288431904,0.116588288431904,0.115767270369507,0.0232905919921395,0.0356521739130435,0.0339572586588062,0.0771076773149463,0.0781116760324681,0.0785416334853369,0.0779737449979853,0.0777413056620977,0.00461538461538462,0.00700156985871272,0.0123076923076923,0.136732717570231,0.107942573583432,0.05146004237789,0.14176440950354,0.218676842248567,0.043389889966488,0.0449889059566479,0.113501523969317,0.0125,0.0589664334072936,0.0579955596208859,0.0699664334072936,0.205277673993814,0.24626413134361,0.242959001782531,0.247877034569416
