"","TGFR","PAK1","GSK3","EGR1","MEK","ERK","ZEB2","ZEB1","cfos","RKIP","SNAI2","Destcompl","TrCP","SOSGRB2","RAS","Wnt","DSH","cateninnuc","RAF","PI3K","DELTA","Patched","TCFLEF","SRC","Csn","miR200","Ecadherin","ILK","LIV1","FOXC2","NOTCH","Jagged","NOTCHic","Csl","cateninmemb","SMAD","AKT","IKK","NFB","HEY1","STAT","cMet","FUS","KLF4","SHH","CD44","Frizzled","SMO","GLI","AXIN2","SUFU","SNAI1","TWIST1","TGF","CDC42"
"ZEB2",-0.243537414965986,-0.233766233766234,-0.20286924019814,-0.183333333333333,-0.178440791199083,-0.177221279003962,-0.169387862989636,-0.169387862989636,-0.167543859649123,-0.155394524959742,-0.137966317419603,-0.119726103501877,-0.1,-0.0829304029304029,-0.0802543637661411,-0.0772727272727273,-0.0772727272727273,-0.076020703344647,-0.0757575757575758,-0.0757575757575758,-0.0757575757575758,-0.0751219512195122,-0.074981742305686,-0.07,-0.0666666666666667,-0.0586844698816285,-0.05776503877371,-0.0566135273177527,-0.05,0.00635742035742036,0.0450306851618327,0.0492806204503132,0.049948717948718,0.0512820512820513,0.0558338055967632,0.0560037712201917,0.0560332294911734,0.0644444444444444,0.0666666666666667,0.0689736070381232,0.07,0.07,0.0714285714285714,0.0719866981819573,0.0742128603104213,0.0746296296296296,0.0772727272727273,0.08,0.08185988323603,0.0929794301253702,0.1,0.130848565155204,0.144052757793765,0.241950113378685,0.242857142857143
"RAS",-0.311764705882353,-0.26,-0.518268733850129,-0.06,-0.156620227038184,-0.142894736842105,-0.116550073637702,-0.116550073637702,-0.085,-0.17188679245283,0.037807018776994,-0.439085490248281,-0.1,-0.176190476190476,-0.352692307692308,-0.105882352941176,-0.1,-0.16435372064285,-0.227692307692308,-0.227692307692308,-0.227692307692308,-0.072,-0.14820641186098,-0.1,-0.1,0.173046153846154,0.12265225457772,-0.0432900432900433,0,-0.0663492063492063,0.00292949354518371,0.0131046717918392,0.0236842105263158,0.05,-0.151635507502827,0.0371675943104514,0.00555555555555556,0.0333333333333333,0.0666666666666667,0.0468379446640316,0.1,0.105882352941176,0.1,0.119642857142857,0.0635254237288136,0.142052565707134,0.1,0.1,0.143382352941176,0.156627140974967,0.1,0.247305801376598,0.278046917621386,0.314735002912056,0.3
"TCFLEF",-0.365961134424512,-0.312820512820513,-0.436780304819594,0.0157142857142857,-0.0565969802555168,-0.032787456445993,-0.0810482456140351,-0.0810482456140351,-0.00135888501742159,-0.242632594021215,-0.0121407031772536,-0.518613385397628,-0.142857142857143,-0.113455550437586,-0.118721328581056,-0.0925439919557567,-0.0411764705882353,-0.250123708015169,-0.0973021432985332,-0.0973021432985332,-0.0973021432985332,0.0176190476190476,-0.239127144441286,-0.08,-0.0792207792207792,0.202796293398703,-0.073432197269095,0.00558077010708589,0,-0.203805023006511,0.0796524471009807,0.0015038774889238,0.10589829427706,0.133349274669217,-0.0314831599294092,-0.0115081123633,-0.00393349847908053,0.025414327607876,0.0512207792207792,0.0246794176420211,0.05,0.101367521367521,-0.0366666666666667,0.0862379042526101,-0.0176190476190476,0.125266892436704,0.0711764705882353,-0.0176190476190476,0.116767594440229,-0.237573137973138,-0.0166666666666667,0.343477210841228,0.241716358186285,0.380530670848353,0.340727489564699
"SRC",-0.384325396825397,-0.377777777777778,-0.347619047619048,-0.1,-0.162645321135887,-0.134343434343434,-0.0427598083258461,-0.0427598083258461,-0.145454545454545,-0.186640599543825,-0.092827618465624,-0.188858496575888,-0.1,-0.211428571428571,-0.0503530928812531,-0.04,0,-0.0614428322630679,-0.0533833959115561,-0.0533833959115561,-0.0533833959115561,-0.00444444444444444,-0.0607716913234706,-0.05,-0.1,0.160298638559508,0.0170211215799451,0.0510964912280702,0,-0.0842763772175537,0.049047619047619,-0.0268625029404846,0.0561904761904762,0.08,-0.00724030833707529,-0.0537991939307729,0.0423076923076923,0.058974358974359,0.0666666666666667,-0.0343512082092022,-0.1,0.04,0.0333333333333333,-0.0569121447028424,-0.013202614379085,0.0449180327868852,0.05,-0.00666666666666667,0.0449180327868852,0.101513026477963,0.0333333333333333,0.251516285099817,0.236894025514715,0.384325396825397,0.365277777777778
"TGFR",-0.049484126984127,0.0511111111111111,0.0106182326231226,-0.0952380952380952,-0.0725816825167943,-0.0739515455304929,-0.0424091962324336,-0.0424091962324336,-0.0583959899749374,-0.0429437229437229,0.0391511479907879,-0.0238405249434233,-0.0333333333333333,-0.0946718648473035,-0.0552213868003342,0.0566846361185984,0.0285714285714286,0.0562992919707257,-0.0476190476190476,-0.0476190476190476,-0.0476190476190476,-0.0885129310344828,0.0583364930336132,0.0633333333333333,-0.00833333333333333,0.084110312502971,0.0799664681705484,-0.0917204301075269,0.1,-0.134668556239659,0.026632762755313,0.118939563723293,0.0302298850574713,0.0233333333333333,-0.0672704834854934,0.0927880457658899,0.0127047269336131,0.0173558897243108,0.0226190476190476,0.107275999114678,-0.0333333333333333,-0.0614465408805031,0.08,0.043922305764411,0.0879479592830703,-0.0535518040383979,-0.0585714285714286,0.104137931034483,-0.0482975393444048,-0.089126757045212,0.113333333333333,0.0288550615380865,0.0190015816528272,0.050193346842283,-0.0415873015873016
"MEK",-0.172959501557632,-0.153333333333333,-0.317585186734123,-0.03,-0.15844705306921,-0.0451137197358768,-0.0391576142652183,-0.0391576142652183,-0.0472413793103448,-0.112936753648828,0.250505220358654,-0.321037789250087,-0.1,-0.185269841269841,-0.14545621045621,-0.00512820512820513,0.0333333333333333,-0.0266544003570564,-0.139424464424464,-0.139424464424464,-0.139424464424464,-0.0780327868852459,-0.024052169873785,-0.0140350877192982,-0.0857142857142857,0.108205792290442,0.171469092369981,-0.0547188576367264,0,-0.102752885511506,0.0583774295453128,0.0644725245159435,0.0605672105672106,0.0797979797979798,-0.163592303104498,0.0528738391865419,0.047095747389865,0.0576839826839827,0.0607142857142857,0.0697694717206912,-0.0333333333333333,0.00249662618083671,0.08,0.0367766618842659,0.0695360548591021,0.0171819408661514,0.0166666666666667,0.06,0.0198135198135198,0.012101658620646,0.1,0.132440848738748,0.0690552911141146,0.171499647543034,0.153333333333333
"ERK",-0.171499647543034,-0.153333333333333,-0.322398992365367,-0.0472413793103448,-0.159839810729377,-0.15844705306921,-0.0377402914305726,-0.0377402914305726,-0.0451137197358768,-0.112101099052728,0.245094940827545,-0.324833354826938,-0.0857142857142857,-0.19886207427955,-0.154367101545319,-0.0198135198135198,-0.0166666666666667,-0.0310988448015008,-0.14545621045621,-0.14545621045621,-0.14545621045621,-0.0695360548591021,-0.0266544003570564,-0.00249662618083671,-0.0607142857142857,0.107960694251226,0.167933218700225,-0.0528738391865419,0.0333333333333333,-0.0977956205542412,0.048682138686587,0.0596532474075097,0.0583774295453128,0.0605672105672106,-0.163592303104498,0.0498343255087304,0.0406737290412412,0.047095747389865,0.0576839826839827,0.0673803932223977,0.0140350877192982,0.0171819408661514,0.06,0.0383270494811651,0.073400789158619,0.024052169873785,0.00512820512820513,0.0780327868852459,0.0265804371067529,0.0200691382954427,0.08,0.133598256146156,0.0719679124733379,0.177818328861715,0.172959501557632
"RKIP",-0.153333333333333,-0.133333333333333,-0.309968479117415,0.07,-0.0451137197358768,-0.0472413793103448,-0.0367766618842659,-0.0367766618842659,-0.03,-0.105042016806723,0.258534417438946,-0.314343228580631,-0.1,-0.200825396825397,-0.139424464424464,-0.0166666666666667,0,-0.024052169873785,-0.133441558441558,-0.133441558441558,-0.133441558441558,-0.06,-0.0171819408661514,0.0333333333333333,-0.1,0.106038609627903,0.174019183444663,-0.0616495507060334,0,-0.0973474801061008,0.0605672105672106,0.0759479343520091,0.0797979797979798,0.0888888888888889,-0.159202059202059,0.0547188576367264,0.0576839826839827,0.0607142857142857,0.0857142857142857,0.0770421989934185,0,0.0140350877192982,0.1,0.0367766618842659,0.0780327868852459,0.00249662618083671,-0.0333333333333333,0.08,0.00512820512820513,0.00219174871073605,0.1,0.133081874379774,0.0591651812240047,0.172959501557632,0.153333333333333
"RAF",-0.153333333333333,-0.133333333333333,-0.309968479117415,0.07,-0.0451137197358768,-0.0472413793103448,-0.0367766618842659,-0.0367766618842659,-0.03,-0.105042016806723,0.258534417438946,-0.314343228580631,-0.1,-0.200825396825397,-0.139424464424464,-0.0166666666666667,0,-0.024052169873785,-0.133441558441558,-0.133441558441558,-0.133441558441558,-0.06,-0.0171819408661514,0.0333333333333333,-0.1,0.106038609627903,0.174019183444663,-0.0616495507060334,0,-0.0973474801061008,0.0605672105672106,0.0759479343520091,0.0797979797979798,0.0888888888888889,-0.159202059202059,0.0547188576367264,0.0576839826839827,0.0607142857142857,0.0857142857142857,0.0770421989934185,0,0.0140350877192982,0.1,0.0367766618842659,0.0780327868852459,0.00249662618083671,-0.0333333333333333,0.08,0.00512820512820513,0.00219174871073605,0.1,0.133081874379774,0.0591651812240047,0.172959501557632,0.153333333333333
"PI3K",-0.371882352941176,-0.35,-0.456553631553631,-0.2,-0.266772282683565,-0.248739495798319,-0.0337686028206501,-0.0337686028206501,-0.242857142857143,-0.271137685843568,-0.32099170589103,-0.499308409944254,0,-0.0826923076923077,-0.401827432841131,-0.177294685990338,-0.1,-0.239701528376213,-0.382649350649351,-0.382649350649351,-0.382649350649351,0.0179487179487179,-0.226299466520542,-0.155555555555556,0.0333333333333333,0.146190303567353,0.050474126101821,0.0935014005602241,-0.1,-0.0708524970963995,-0.261042183622829,-0.138508771929825,-0.238461538461538,-0.2,-0.137468200325479,-0.0991014005602241,-0.152488687782805,-0.129411764705882,-0.1,-0.101651363804527,0.1,0.177294685990338,0,0.0280701754385965,-0.0207264957264957,0.206525455221107,0.155555555555556,-0.0333333333333333,0.206525455221107,0.244761904761905,0,0.229078099838969,0.266515064091686,0.385703491152559,0.355882352941176
