"","miR200","IKK","FUS","NFB","NOTCH","Csn","SUFU","Csl","MEK","cfos","EGR1","TWIST1","Ecadherin","RAS","RAF","PI3K","DELTA","cateninmemb","Wnt","GLI","cMet","CD44","LIV1","TCFLEF","cateninnuc","SNAI2","STAT","DSH","AXIN2","SRC","Frizzled","Destcompl","PAK1","CDC42","TGFR","TGF","FOXC2","GSK3","SOSGRB2","ERK","TrCP","NOTCHic","Jagged","RKIP","SNAI1","SMO","AKT","Patched","SHH","HEY1","ILK","SMAD","ZEB2","ZEB1","KLF4"
"miR200",0.685201075932622,0.434135338345865,0.3625,0.368421052631579,0.323382594417077,0.3,0.3,0.262463054187192,0.224359925788497,0.191428571428571,0.171428571428571,0.128399473736897,0.154969671207885,0.251946282399627,0.237233065442021,0.237233065442021,0.237233065442021,0.228161750524719,0.180225352112676,0.185719857607182,0.174660134721372,0.178030921238226,-0.1,0.175649968857273,0.174892393099698,-0.132521383156134,-0.14,-0.14,-0.226515317769622,-0.170434782608696,-0.176,-0.283058372046146,-0.0791666666666667,-0.0811274509803922,-0.0956435800126502,-0.0997133474545107,-0.159980669736767,-0.29292042089417,-0.136963249516441,-0.214155844155844,-0.2,-0.290049261083744,-0.331774138895549,-0.408984196092844,-0.433081178081178,-0.4425,-0.4926259043836,-0.504525316455696,-0.541481838194827,-0.56271186440678,-0.603024769396451,-0.655375866575134,-0.774601254480287,-0.774601254480287,-0.726311249137336
"TrCP",0.719782606166602,0.353728070175439,0.333333333333333,0.295833333333333,0.225677655677656,0.208333333333333,0.233333333333333,0.162820512820513,0.310128224023581,0.29304347826087,0.28,0.185116506681724,0.229901383816292,0.159496567782077,0.154951113236623,0.154951113236623,0.154951113236623,0.249639930524095,0.208401559454191,0.199133266771264,0.205485485485486,0.195584495386476,-0.2,0.195214125016105,0.19797274570576,-0.00415722409347098,-0.22,-0.22,-0.252310004027636,-0.216296296296296,-0.216296296296296,-0.328170703383632,-0.10952380952381,-0.119327731092437,-0.125388337153043,-0.135770850814245,-0.187715496627583,-0.335179112554113,-0.15752200220022,-0.298128224023581,-0.133333333333333,-0.198205128205128,-0.239238880368098,-0.423394119692462,-0.447718949127366,-0.381720430107527,-0.392616959064327,-0.422461170848268,-0.448461170848268,-0.480956580533263,-0.504975251749445,-0.544330090459123,-0.711637822422373,-0.711637822422373,-0.667304709862087
"PAK1",0.719782606166602,0.353728070175439,0.333333333333333,0.295833333333333,0.225677655677656,0.208333333333333,0.233333333333333,0.162820512820513,0.310128224023581,0.29304347826087,0.28,0.185116506681724,0.229901383816292,0.159496567782077,0.154951113236623,0.154951113236623,0.154951113236623,0.249639930524095,0.208401559454191,0.199133266771264,0.205485485485486,0.195584495386476,-0.2,0.195214125016105,0.19797274570576,-0.00415722409347098,-0.22,-0.22,-0.252310004027636,-0.216296296296296,-0.216296296296296,-0.328170703383632,-0.10952380952381,-0.119327731092437,-0.125388337153043,-0.135770850814245,-0.187715496627583,-0.335179112554113,-0.15752200220022,-0.298128224023581,-0.133333333333333,-0.198205128205128,-0.239238880368098,-0.423394119692462,-0.447718949127366,-0.381720430107527,-0.392616959064327,-0.422461170848268,-0.448461170848268,-0.480956580533263,-0.504975251749445,-0.544330090459123,-0.711637822422373,-0.711637822422373,-0.667304709862087
"LIV1",0.719782606166602,0.353728070175439,0.333333333333333,0.295833333333333,0.225677655677656,0.208333333333333,0.233333333333333,0.162820512820513,0.310128224023581,0.29304347826087,0.28,0.185116506681724,0.229901383816292,0.159496567782077,0.154951113236623,0.154951113236623,0.154951113236623,0.249639930524095,0.208401559454191,0.199133266771264,0.205485485485486,0.195584495386476,-0.2,0.195214125016105,0.19797274570576,-0.00415722409347098,-0.22,-0.22,-0.252310004027636,-0.216296296296296,-0.216296296296296,-0.328170703383632,-0.10952380952381,-0.119327731092437,-0.125388337153043,-0.135770850814245,-0.187715496627583,-0.335179112554113,-0.15752200220022,-0.298128224023581,-0.133333333333333,-0.198205128205128,-0.239238880368098,-0.423394119692462,-0.447718949127366,-0.381720430107527,-0.392616959064327,-0.422461170848268,-0.448461170848268,-0.480956580533263,-0.504975251749445,-0.544330090459123,-0.711637822422373,-0.711637822422373,-0.667304709862087
"CDC42",0.67257448433919,0.295833333333333,0.233333333333333,0.208333333333333,0.198205128205128,0.133333333333333,0.133333333333333,0.116666666666667,0.298128224023581,0.28,0.26,0.161203463203463,0.2172370239547,0.154951113236623,0.142755991285403,0.142755991285403,0.142755991285403,0.243046523930689,0.216296296296296,0.208401559454191,0.216296296296296,0.205485485485486,-0.1,0.195584495386476,0.195214125016105,-0.00976301071191582,-0.2,-0.2,-0.259228243021347,-0.22,-0.22,-0.321403786090399,0.0142857142857143,-0.10952380952381,-0.119327731092437,-0.125388337153043,-0.176681013868962,-0.321360930735931,-0.148611111111111,-0.29304347826087,-0.1,-0.162820512820513,-0.2153125,-0.387482517482517,-0.423136610225218,-0.333333333333333,-0.353728070175439,-0.381720430107527,-0.422461170848268,-0.439780109945027,-0.458201058201058,-0.504975251749445,-0.665014028210154,-0.665014028210154,-0.613206349206349
"NOTCHic",0.659929935190051,0.3,0.233333333333333,0.211111111111111,0.179514916323066,0.133333333333333,0.133333333333333,-0.00571428571428572,0.262857142857143,0.26,0.26,0.129247414987741,0.186988973446312,0.176321968885687,0.168932806324111,0.168932806324111,0.168932806324111,0.21083298456107,0.192540792540793,0.176411760282728,0.192540792540793,0.173859473859474,-0.1,0.162022739165596,0.162480754432772,-0.0360012946479998,-0.2,-0.2,-0.235938155136268,-0.207692307692308,-0.207692307692308,-0.304784457354551,-0.0888888888888889,-0.108888888888889,-0.118566308243728,-0.125572677670479,-0.183410138248848,-0.309368766030208,-0.113301435406699,-0.26,-0.1,-0.142672811059908,-0.189532410194662,-0.374114892716155,-0.409361009361009,-0.333333333333333,-0.353488372093023,-0.374509803921569,-0.405692599620493,-0.535005574136009,-0.451904761904762,-0.49435080507023,-0.651884057971014,-0.651884057971014,-0.603709454796411
"STAT",0.632646266080554,0.301428571428571,0.25,0.23,0.138788131363802,0.15,0.15,0.0627450980392157,0.22674256799494,0.213333333333333,0.233333333333333,0.0731042487414302,0.242251985806112,0.236549572238065,0.232071960297767,0.232071960297767,0.232071960297767,0.250249343501813,0.20762987012987,0.195024828113063,0.20762987012987,0.193099955599956,-0.1,0.188368094401217,0.193016485342815,-0.0951957318098607,-0.242857142857143,-0.242857142857143,-0.254513721572545,-0.230357142857143,-0.230357142857143,-0.333857638992129,-0.0409090909090909,-0.0596590909090909,-0.0701854066985646,-0.0764655999352796,-0.158951601908657,-0.347331998219849,-0.0162972085385878,-0.21921568627451,-0.1,-0.108691043985162,-0.138428278521418,-0.35225546975547,-0.386096563387315,-0.323333333333333,-0.337021791767554,-0.348914728682171,-0.37103862248748,-0.42,-0.432206119162641,-0.468987728358043,-0.625282409897794,-0.625282409897794,-0.482481679540503
"Jagged",0.548484848484849,0.133333333333333,0.1,0.1,-0.00571428571428572,0,0,0,0.26,0.2,0.1,0.07,0.153473684210526,0.158787878787879,0.113333333333333,0.113333333333333,0.113333333333333,0.214596670934699,0.2,0.207692307692308,0.2,0.207692307692308,0,0.192540792540793,0.173859473859474,-0.0536450477626948,0,0,-0.24,-0.1,-0.1,-0.284432432432432,0,-0.1,-0.0888888888888889,-0.108888888888889,-0.164285714285714,-0.251724137931034,-0.12,-0.26,0,0.02,-0.122424242424242,-0.287179487179487,-0.333333333333333,-0.133333333333333,-0.211111111111111,-0.233333333333333,-0.333333333333333,-0.433333333333333,-0.333333333333333,-0.395238095238095,-0.542995169082126,-0.542995169082126,-0.477777777777778
"Wnt",0.54,0.22,0.1,0.2,0.239285714285714,0.1,0,0.2,0.0827450980392157,0.0333333333333333,0,0.287647058823529,0.292522760481061,0.263328776486671,0.240601503759398,0.240601503759398,0.240601503759398,0.130254237288136,-0.075,-0.0592105263157895,-0.075,-0.0592105263157895,0,-0.0449248120300752,-0.0363155405068964,0.164051724137931,0.1,0,0.110909090909091,0.1,0,-0.330190382789271,-0.1,-0.133333333333333,-0.14,-0.144347826086957,-0.138218623481781,-0.428605015673981,-0.193939393939394,-0.0533333333333333,-0.1,-0.214285714285714,-0.174411764705882,-0.343333333333333,-0.422463768115942,-0.1,-0.27,-0.163636363636364,-0.225541125541126,-0.277948717948718,-0.295726495726496,-0.353866030610217,-0.532568149210904,-0.532568149210904,-0.476470588235294
"TGFR",0.526805867781952,0.387844611528822,0.26,0.34047619047619,0.313519391383445,0.283333333333333,0.193333333333333,0.263333333333333,-0.05211247296323,-0.0385964912280702,-0.0333333333333333,0.223716225121919,0.222063839229981,0.292763157894737,0.2875,0.2875,0.2875,0.245656979998693,0.224339622641509,0.21208155812538,0.224339622641509,0.211181727904667,-0.1,0.203047756612801,0.199947668038842,0.0603808666186603,-0.2,-0.2,-0.259717585969374,-0.23,-0.23,-0.228429037874356,0.0688888888888889,0.0736507936507937,-0.0317063492063492,-0.0416354272205336,-0.0832462231142694,-0.268495231654864,0.171637426900585,0.0452631578947368,-0.233333333333333,-0.284022988505747,-0.20248127041045,-0.207662337662338,-0.362996097493282,-0.318620689655172,-0.43203065804045,-0.362370689655172,-0.379884813948958,-0.326137205654513,-0.376207233626588,-0.402185881313421,-0.517383471605655,-0.517383471605655,-0.486509298608841
