"","AXIN2","STAT","LIV1","ZEB1","EGR1","cfos","IKK","FUS","SHH","Jagged","SOSGRB2","NOTCH","CDC42","SNAI1","PAK1","RAF","TWIST1","FOXC2","RKIP","PI3K","DELTA","RAS","TGFR","TGF","NOTCHic","Csl","Patched","SMO","cateninmemb","MEK","SUFU","ERK","AKT","ILK","NFB","Csn","SMAD","miR200","HEY1","TrCP","Ecadherin","ZEB2","Destcompl","cateninnuc","TCFLEF","CD44","cMet","GLI","Wnt","SRC","DSH","Frizzled","SNAI2","KLF4","GSK3"
"KLF4",-0.232219140847037,-0.2,-0.233333333333333,0.0878689370485036,-0.04,-0.0309090909090909,-0.0961904761904762,0.233333333333333,0.188037634408602,0.161000408886466,0.160220125786164,0.0845883687663395,-0.0529090909090909,0.152082730613096,-0.0409090909090909,0.0648717948717949,-0.233572984749455,-0.0611363178060093,0.164162028447743,-0.0648717948717949,-0.0648717948717949,-0.0729600301659125,0.0435757575757576,0.0460147819660015,-0.0979904306220096,-0.0927272727272727,-0.204166666666667,-0.216666666666667,-0.0658625893077113,0.000769612437289814,-0.2,-0.00438502673796792,0.0961904761904762,0.0106666666666667,0.12,0.1,0.0135652173913043,0.131257631257631,-0.006585179526356,0.1,-0.0124785981257985,-0.0878689370485036,0.119960278911731,0.153581542484992,0.146234095411518,0.151250817819544,0.152120383036936,0.150396245105901,0.152120383036936,0.182352941176471,0.2,0.182352941176471,0.171528278401991,-0.062962962962963,0.137518835177437
"HEY1",-0.232219140847037,-0.2,-0.233333333333333,0.0878689370485036,-0.04,-0.0309090909090909,-0.0961904761904762,0.233333333333333,0.188037634408602,0.161000408886466,0.160220125786164,0.0845883687663395,-0.0529090909090909,0.152082730613096,-0.0409090909090909,0.0648717948717949,-0.233572984749455,-0.0611363178060093,0.164162028447743,-0.0648717948717949,-0.0648717948717949,-0.0729600301659125,0.0435757575757576,0.0460147819660015,-0.0979904306220096,-0.0927272727272727,-0.204166666666667,-0.216666666666667,-0.0658625893077113,0.000769612437289814,-0.2,-0.00438502673796792,0.0961904761904762,0.0106666666666667,0.12,0.1,0.0135652173913043,0.131257631257631,-0.006585179526356,0.1,-0.0124785981257985,-0.0878689370485036,0.119960278911731,0.153581542484992,0.146234095411518,0.151250817819544,0.152120383036936,0.150396245105901,0.152120383036936,0.182352941176471,0.2,0.182352941176471,0.171528278401991,-0.062962962962963,0.137518835177437
"FOXC2",-0.232219140847037,-0.2,-0.233333333333333,0.0878689370485036,-0.04,-0.0309090909090909,-0.0961904761904762,0.233333333333333,0.188037634408602,0.161000408886466,0.160220125786164,0.0845883687663395,-0.0529090909090909,0.152082730613096,-0.0409090909090909,0.0648717948717949,-0.233572984749455,-0.0611363178060093,0.164162028447743,-0.0648717948717949,-0.0648717948717949,-0.0729600301659125,0.0435757575757576,0.0460147819660015,-0.0979904306220096,-0.0927272727272727,-0.204166666666667,-0.216666666666667,-0.0658625893077113,0.000769612437289814,-0.2,-0.00438502673796792,0.0961904761904762,0.0106666666666667,0.12,0.1,0.0135652173913043,0.131257631257631,-0.006585179526356,0.1,-0.0124785981257985,-0.0878689370485036,0.119960278911731,0.153581542484992,0.146234095411518,0.151250817819544,0.152120383036936,0.150396245105901,0.152120383036936,0.182352941176471,0.2,0.182352941176471,0.171528278401991,-0.062962962962963,0.137518835177437
"Ecadherin",-0.225827388269718,-0.182352941176471,-0.2,0.0788641977120107,-0.0309090909090909,0.00438502673796792,-0.0961904761904762,0.216666666666667,0.185675429684193,0.156652582799509,0.154956967891427,0.0909080713685699,-0.0435757575757576,0.153981464790311,-0.0529090909090909,0.0729600301659125,-0.224448217524129,-0.0696031370279773,0.146559032193061,-0.0729600301659125,-0.0729600301659125,-0.0684907564228958,0.0460147819660015,0.0389623407363451,-0.0845883687663395,-0.0979904306220096,-0.188037634408602,-0.204166666666667,-0.068554897000019,-0.00824999540584744,-0.233333333333333,0.000769612437289814,0.0845021645021645,0.0135652173913043,0.0961904761904762,0.12,0.014775871144331,0.124739940382398,-0.00188719294917479,0.1,-0.105370516334172,-0.0788641977120107,0.126484044056185,0.15339480112178,0.153581542484992,0.146234095411518,0.151250817819544,0.145062911772568,0.150396245105901,0.152120383036936,0.182352941176471,0.152120383036936,0.172792577017283,-0.0680262541022035,0.127585060343
"cateninmemb",-0.225827388269718,-0.182352941176471,-0.2,0.0788641977120107,-0.0309090909090909,0.00438502673796792,-0.0961904761904762,0.216666666666667,0.185675429684193,0.156652582799509,0.154956967891427,0.0909080713685699,-0.0435757575757576,0.153981464790311,-0.0529090909090909,0.0729600301659125,-0.224448217524129,-0.0696031370279773,0.146559032193061,-0.0729600301659125,-0.0729600301659125,-0.0684907564228958,0.0460147819660015,0.0389623407363451,-0.0845883687663395,-0.0979904306220096,-0.188037634408602,-0.204166666666667,-0.149892862938536,-0.00824999540584744,-0.233333333333333,0.000769612437289814,0.0845021645021645,0.0135652173913043,0.0961904761904762,0.12,0.014775871144331,0.124739940382398,-0.00188719294917479,0.1,-0.0707351966235919,-0.0788641977120107,0.126484044056185,0.15339480112178,0.153581542484992,0.146234095411518,0.151250817819544,0.145062911772568,0.150396245105901,0.152120383036936,0.182352941176471,0.152120383036936,0.172792577017283,-0.0680262541022035,0.127585060343
"TCFLEF",-0.428679365079365,-0.0791666666666667,-0.0666666666666667,0.0320723019670388,0.0528571428571429,0.074808362369338,-0.0695266024298282,0.08,0.077615278052642,0.0797848910461559,0.163229233840012,0.0174813960373334,-0.093500298151461,0.221550441655044,-0.105128205128205,0.0357132287005933,-0.24148583202517,-0.00189488044851944,0.181253157000505,-0.0357132287005933,-0.0357132287005933,-0.0308512050475053,0.10097693366548,0.0956789204204465,-0.0124980073330145,-0.022301928901642,-0.0751612903225806,-0.08,-0.104430084526742,-0.0673253691720591,-0.1,-0.0605226480836237,0.0662657328646108,0.0203514847725374,0.0566233766233766,0.0766233766233766,0.0201602801836273,0.145526434743302,0.0192218733149364,0.0857142857142857,-0.117617228693988,-0.0320723019670388,0.137128002936999,-0.0190233658688239,-0.0163601356282741,0.078714320270924,0.0818589743589744,0.072135737238039,0.0752413273001508,0.0741666666666667,0.0725490196078431,0.0675490196078431,-0.300373473797609,-0.0395594601476954,0.162911059027394
"NOTCHic",-0.170577268643306,-0.12,-0.1,0.0263768115942029,-0.18,-0.18,0.0333333333333333,0.0583333333333333,0.0702634651875639,0.0700089510685537,-0.0505741626794258,0.0656027164685908,-0.0231111111111111,-0.0223280423280423,-0.0111111111111111,0.00977602108036891,0.00232992218313612,-0.0040552995391705,0.0199897884210657,-0.00977602108036891,-0.00977602108036891,-0.0132242969424379,0.0166594982078853,0.0249397529849554,-0.0761290322580645,0.04,-0.077790346907994,-0.066025641025641,0.028584620167216,0.154285714285714,-0.0333333333333333,0.151428571428571,-0.0263565891472868,-0.0347619047619048,-0.0222222222222222,-0.0333333333333333,-0.0326036313806098,-0.0700613067087056,0.0607803790412486,0,0.0437420845499116,-0.0263768115942029,0.103843863890593,0.106100057703111,0.105947385947386,0.1202331002331,0.127925407925408,0.120398526204978,0.127925407925408,0.143076923076923,0.12,0.143076923076923,0.261677934623826,-0.013440303657695,0.114551470821063
"Patched",-0.172294372294372,-0.1,-0.1,0.025,0.1,0.1,-0.1,0.1,0.121666666666667,0.00486772486772487,0.233333333333333,-0.0636363636363636,-0.266666666666667,0.154301075268817,-0.166666666666667,-0.00384615384615384,-0.0861111111111111,0.1,0.168571428571429,0.00384615384615384,0.00384615384615384,-0.0149038461538462,0.226666666666667,0.251666666666667,0,0,-0.146666666666667,-0.0666666666666667,-0.113136200716846,-0.161538461538462,0,-0.2,0.142857142857143,0.0666666666666667,0.1,0,0.0766666666666667,0.147619047619048,0.058974358974359,0,-0.13596548004315,-0.025,-0.00847152847152847,-0.023495145631068,-0.04,-0.00666666666666667,0,0.0875,0.1,0.1,0.2,0.2,0.0734099616858238,0.00555555555555556,0.0413919413919414
"SMAD",-0.165458991361544,-0.148571428571429,-0.12,0.0226384583122489,-0.171428571428571,-0.135944700460829,-0.0566293183940243,-0.0291666666666667,-0.0289344099223537,-0.0376860773634967,-0.0399659863945578,-0.0212151067323481,-0.0310529845741113,-0.0144103253377447,-0.0380952380952381,-0.0894670976767047,0.00531489290944706,0.00287330407404462,-0.00864199593546565,0.0894670976767047,0.0894670976767047,0.10065130820302,0.0394328728422677,0.0326599644757339,0.0259770114942529,0.0133333333333333,0.0255886850152905,0.0191666666666667,0.02354849158677,0.122729136954568,0.0416666666666667,0.142921444646876,0.0459626517273576,0.0710668327106683,0.0468253968253968,0.0611111111111111,-0.0275045958607602,-0.0680367319026996,0.0989958277349551,0.05,0.052910717414803,-0.0226384583122489,0.104347164867416,0.109515311630007,0.113567996533756,0.112346829640947,0.127983193277311,0.125564603262445,0.141391941391941,0.131904761904762,0.161904761904762,0.145238095238095,0.249720903568858,-0.0275164335994332,0.204354609467391
"CDC42",-0.136551724137931,-0.1,-0.1,0.0182251431646105,-0.18,-0.16,0.0458333333333333,0.0476190476190476,0.0511236274677135,0.0522569444444445,-0.0763888888888889,0.0576923076923077,-0.019047619047619,-0.043925694558606,0.0857142857142857,-0.0258714596949891,0.0373506493506494,0.00606818337090934,-0.000419580419580431,0.0258714596949891,0.0258714596949891,0.0209934109145013,0.0131652661064426,0.0207410236822001,-0.0653846153846154,-0.05,-0.0572964669738863,-0.0476190476190476,0.0518386576276483,0.143345615327929,-0.0333333333333333,0.138260869565217,-0.0405701754385965,-0.0343915343915344,-0.0333333333333333,-0.0333333333333333,-0.0327786311657279,-0.0794711824123589,-0.0376811594202899,0,0.0594997497946553,-0.0182251431646105,0.0963336245177258,0.0929627647449429,0.0925923943745726,0.103483483483483,0.108888888888889,0.103625730994152,0.108888888888889,0.12,0.1,0.12,0.252911176414826,-0.00787301587301587,0.104951298701299
