"","SNAI2","TCFLEF","CD44","cMet","Wnt","SRC","STAT","Frizzled","PAK1","CDC42","ZEB2","Jagged","NOTCH","ZEB1","miR200","NFB","EGR1","RAS","ILK","RAF","DELTA","KLF4","Patched","HEY1","ERK","Csn","SMAD","SMO","TrCP","cfos","FUS","MEK","SOSGRB2","AKT","IKK","PI3K","SHH","SUFU","FOXC2","RKIP","TWIST1","NOTCHic","Csl","SNAI1","Ecadherin","LIV1","DSH","TGFR","TGF","cateninmemb","GLI","cateninnuc","AXIN2","Destcompl","GSK3"
"HEY1",0.570474738027929,0.551781664676448,0.519340193104542,0.480209758321933,0.480209758321933,0.431372549019608,0.366666666666667,0.431372549019608,0.263636363636364,0.323636363636364,-0.334855521155831,0.463728135932034,0.249888028412174,0.249618163054696,-0.110956450956451,-0.12,0.04,-0.0454901960784314,-0.0506666666666667,-0.0616666666666667,-0.0616666666666667,-0.251851851851852,0.38125,-0.0642475171886937,-0.00438502673796792,0.1,-0.056463768115942,-0.35,-0.1,0.0309090909090909,0.3,0.0322200782843597,0.0360062893081761,0.0983068783068783,0.105714285714286,0.0616666666666667,-0.416733870967742,-0.2,0.0698141426362842,-0.399505256648114,-0.234187363834423,-0.224114832535885,-0.187272727272727,-0.476853474135146,-0.199306563210143,-0.3,-0.366666666666667,-0.367636363636364,-0.402270509977827,-0.495520037776135,-0.519864930735726,-0.57681279792676,-0.557229791259778,-0.650191416110544,-0.574712478311701
"TCFLEF",0.440810822158527,0.306723587150061,0.389885099177552,0.36724358974359,0.370920060331825,0.344166666666667,0.304166666666667,0.347843137254902,0.282051282051282,0.316935002981515,-0.300173489278752,0.21435097465526,0.0937946364024907,0.202895179868864,-0.0513424259809802,-0.114805194805195,0.0557142857142857,0.0197562142486881,-0.0583653072074125,0.0109520092552584,0.0109520092552584,-0.180423987776929,0.235652841781874,-0.0617019063025343,0.0169686411149826,0.0948051948051948,-0.060468557685424,-0.21952380952381,-0.0857142857142857,0.048397212543554,0.21,-0.000642110502737683,-0.0329458007062798,0.0889636800786871,0.0922245496439045,-0.0109520092552584,-0.250376768162242,-0.15,0.316282487839522,-0.2974156219865,-0.0262322713672467,-0.082831181252989,-0.0534194165471066,-0.439296340572491,-0.0697223176525089,-0.266666666666667,-0.307843137254902,-0.335626591766561,-0.353507386468548,-0.236610746146017,-0.393901426791452,-0.320125649005731,-0.730762393162393,-0.602592106304305,-0.454686501831007
"Frizzled",0.128184760143588,0.327169745555943,0.297368421052632,0.272368421052632,0.272368421052632,0.225,0.2,0.225,0.133333333333333,0.18,-0.288740997485688,0.116027183600713,0.221778711484594,0.172927823628848,-0.0345233585858586,0.153333333333333,-0.133333333333333,0.294975538344788,-0.0261578215066587,0.275290498974709,0.275290498974709,-0.260504201680672,0.0683982683982684,-0.0338679759956356,-0.222745098039216,-0.133333333333333,-0.0345690364599297,-0.0636363636363636,0.1,-0.193333333333333,0,0.274596949891068,0.0121212121212121,-0.159583333333333,-0.128333333333333,-0.275290498974709,-0.0909789135595587,0,0.423615478768477,-0.424285714285714,0.120504201680672,-0.18452380952381,-0.192857142857143,-0.440338164251208,-0.0300738600502566,-0.1,-0.3,-0.214782608695652,-0.230973084886128,-0.158525020177563,-0.297368421052632,-0.346693555079752,-0.324679351656096,-0.626299648655388,-0.667523510971787
"SOSGRB2",-0.339362950274002,0.268102865860303,0.243892339544513,0.21055900621118,0.213095238095238,0.171428571428571,0.1,0.171428571428571,0.114285714285714,0.144285714285714,-0.282994987468672,-0.149259940185206,0.167142716438491,0.234298245614035,-0.0679092875703222,0.111111111111111,-0.5,0.491206721715196,-0.259569892473118,0.473258003766478,0.473258003766478,-0.257280701754386,0.273873873873874,-0.256060606060606,-0.612312312312312,-0.1,-0.270059402962629,-0.233333333333333,0.1,-0.555555555555556,0.233333333333333,0.651706251706252,0.321111111111111,-0.120760233918129,-0.137426900584795,-0.473258003766478,-0.294804106432013,-0.2,0.39948717948718,-0.574561403508772,0.248927536231884,-0.165734265734266,-0.127272727272727,-0.483494669509595,-0.164874369057427,0,-0.1,-0.171208791208791,-0.204542124542125,-0.243543270543271,-0.246428571428571,-0.291238621118429,-0.266391639163916,-0.538842998910113,-0.647956270003956
"RAS",-0.258498592986515,0.275892943101954,0.252816020025031,0.229411764705882,0.229411764705882,0.2,0.1,0.2,0.1,0.12,-0.273192194403535,-0.037263946382811,0.289523336643496,0.246373343151694,-0.0832923076923077,0.233333333333333,-0.4,0.423205128205128,-0.142424242424242,0.498205128205128,0.498205128205128,-0.245357142857143,0.136666666666667,-0.145256916996047,-0.511842105263158,-0.2,-0.154669140383426,-0.116666666666667,0.1,-0.475,0.1,0.556940144478844,0.247619047619048,-0.245555555555556,-0.24,-0.498205128205128,-0.165480225988701,-0.1,0.384285714285714,-0.556716981132075,0.235919258046918,-0.276315789473684,-0.25,-0.469577187807276,-0.085380193359733,0,-0.1,-0.161176470588235,-0.18592894583576,-0.150186907848558,-0.254411764705882,-0.297139402025467,-0.275889328063241,-0.554949026460654,-0.686731266149871
"ILK",0.0341403829907068,0.296795218210104,0.27024154589372,0.25024154589372,0.25024154589372,0.211111111111111,0.2,0.211111111111111,0.125,0.166176470588235,-0.267881672265771,0.109561403508772,0.227791563275434,0.162578509177662,-0.0338163424228998,0.266666666666667,-0.133333333333333,0.333342584356283,-0.0109883953581433,0.314164502164502,0.314164502164502,-0.244956140350877,0.05,-0.019446406349847,-0.219887955182073,-0.233333333333333,-0.0197883953581433,-0.05,0.2,-0.19047619047619,0,0.27070762731322,0.0126923076923077,-0.282352941176471,-0.249019607843137,-0.314164502164502,-0.0694444444444444,0,0.407505226480836,-0.394440853264383,0.126967156546629,-0.192307692307692,-0.2,-0.407338969404187,-0.0257880200944252,-0.1,-0.2,-0.194176470588235,-0.206371592539455,-0.128974439712597,-0.27024154589372,-0.31390862027196,-0.29647619047619,-0.601491585872214,-0.653475228475229
"Wnt",0.111465517241379,0.297368421052632,0.272368421052632,0.225,0.225,0.2,0.1,0.3,0.1,0.133333333333333,-0.263988522238164,0.106936274509804,0.18452380952381,0.165997130559541,-0.0485858585858586,0.133333333333333,-0.1,0.275290498974709,-0.0145299145299145,0.261654135338346,0.261654135338346,-0.217647058823529,0.0636363636363636,-0.018974358974359,-0.193333333333333,-0.1,-0.0261578215066587,0,0.1,-0.133333333333333,0,0.222745098039216,0.00909090909090909,-0.128333333333333,-0.153333333333333,-0.261654135338346,-0.0683982683982684,0,0.395708502024292,-0.385,0.117647058823529,-0.192857142857143,-0.15,-0.399068322981366,-0.035435165411562,0,-0.2,-0.18,-0.214782608695652,-0.14614406779661,-0.272368421052632,-0.327169745555943,-0.292121212121212,-0.583594078363611,-0.625705329153605
"MEK",-0.294825442063825,0.275228581516247,0.25207336523126,0.227597840755735,0.231282051282051,0.192982456140351,0.166666666666667,0.196666666666667,0.113333333333333,0.141904761904762,-0.260074468811915,-0.0427264618447229,0.0580306149649215,0.217257680307896,-0.0402143439848316,0.0107142857142857,-0.4,0.281824286824287,-0.175745222147375,0.271348096348096,0.271348096348096,-0.233715925394548,0.206644808743169,-0.173090486749023,-0.492149669845928,0.0142857142857143,-0.186446329158445,-0.185333333333333,0,-0.451724137931034,0.133333333333333,0.427149669845928,0.246095238095238,0.0083231474407945,0.0165584415584416,-0.271348096348096,-0.220370298939248,-0.133333333333333,0.405198700026286,-0.606085065605189,0.186479729420906,-0.0397824397824398,-0.0474747474747475,-0.507246081152344,-0.154842254674856,-0.1,-0.166666666666667,-0.172745883400089,-0.190264131575271,-0.246493583150685,-0.255757575757576,-0.292886574081303,-0.281278430329063,-0.551034950157224,-0.558087391066114
"RAF",-0.308207437197645,0.25207336523126,0.227597840755735,0.192982456140351,0.196666666666667,0.166666666666667,0.1,0.166666666666667,0.0666666666666667,0.113333333333333,-0.236264945002391,-0.0558412159430835,0.0397824397824398,0.206940219990435,-0.046096696926008,-0.0142857142857143,-0.4,0.271348096348096,-0.172774925117672,0.256818181818182,0.256818181818182,-0.206264945002391,0.185333333333333,-0.16945412311266,-0.451724137931034,0,-0.175745222147375,-0.133333333333333,0,-0.4,0.133333333333333,0.492149669845928,0.237206349206349,0.0165584415584416,-0.0107142857142857,-0.256818181818182,-0.206644808743169,-0.1,0.379973474801061,-0.567927170868347,0.183915626856803,-0.0474747474747475,-0.0111111111111111,-0.477758901665164,-0.158120943199446,0,-0.1,-0.141904761904762,-0.172745883400089,-0.234054558760441,-0.231282051282051,-0.275228581516247,-0.252449601500234,-0.517562146809944,-0.52344365642238
"PAK1",-0.153411137816571,0.0682364542760582,0.068977195016799,0.066996996996997,0.0667836257309941,0.0588888888888889,0.07,0.0588888888888889,0.0380952380952381,0.0243697478991597,-0.128180507220237,0.00369291070211316,0.0108058608058608,0.12201742506002,-0.00111611788231675,-0.00416666666666667,0,-0.0337856808158099,-0.0251664106502816,-0.0351493171794463,-0.0351493171794463,-0.124386156648452,0.028358081583888,-0.0236609636358291,-0.0514369933677229,0.0416666666666667,-0.0393599590373784,-0.0246543778801843,0.0333333333333333,-0.0565217391304348,0.0214285714285714,0.0541036600343896,0.000165016501650167,0.00757797270955166,0.00942982456140351,0.0351493171794463,-0.022358081583888,-0.0380952380952381,0.231686821069891,-0.174152017411686,0.108234989648033,-0.00641025641025642,-0.0141025641025641,-0.140755871018401,-0.043626554465325,-0.05,-0.07,-0.0258848994143112,-0.0275242436766063,-0.0618934815518567,-0.0682470403651405,-0.0701674887588169,-0.0878687610372711,-0.109734103585381,-0.108746212121212
