"","PAK1","cateninmemb","NFB","Wnt","TrCP","Csl","cMet","SRC","CD44","Jagged","DSH","STAT","ZEB2","GSK3","DELTA","RAF","PI3K","RAS","FOXC2","ZEB1","KLF4","NOTCHic","SOSGRB2","AXIN2","NOTCH","TCFLEF","cateninnuc","GLI","Frizzled","LIV1","Ecadherin","Csn","AKT","SMAD","SMO","IKK","ILK","Destcompl","SUFU","FUS","HEY1","Patched","SHH","SNAI1","SNAI2","miR200","ERK","cfos","TWIST1","EGR1","RKIP","MEK","CDC42","TGFR","TGF"
"miR200",-0.00833333333333333,-0.0778634257463507,0.0147368421052632,-0.0105915492957746,0,-0.0194088669950739,-0.0116350275566442,-0.0130434782608696,-0.00938783654540826,-0.00841294653560297,0,0,-0.0996908602150538,0.00423321662041924,0.0756869498660543,-0.0756869498660543,-0.0756869498660543,-0.0759363264246578,0.00750950946072898,0.0996908602150538,-0.0995859213250518,0.012512315270936,0.0127208252740168,0.0210897120587234,0.0153371740279981,0.00938783654540826,0.00999389715146886,0.00839374709797245,0.012,0,-0.000790041171739266,-0.02,-0.0118796992481203,-0.000407595433533792,0.0075,-0.0118796992481203,-0.000721075057358243,0.0578345909864323,0.02,0.0075,2.82485875706215e-05,0.0138291139240506,0.0105682443588332,-0.000195360195360195,0.0814081640753181,0.000875444630625864,0.00883116883116883,0.00428571428571428,0.0715235888855521,0.0142857142857143,0.00107621120880571,0.00951144094001237,0.00637254901960784,0.0128241619228336,0.0134055572716709
"Destcompl",0.0836734693877551,-0.244409099439121,0.256314699792961,-0.209424455165673,0.233333333333333,-0.0516882099490795,-0.20891709099642,-0.211404653185475,-0.210036493981495,0.213134466532475,-0.218253968253968,-0.218253968253968,-0.0873153899240856,-0.25321015134155,0.279592163881708,-0.279592163881708,-0.279592163881708,-0.279435178010437,0.135395429486743,0.0873153899240856,-0.0956423499387933,0.0571229925577752,-0.117116465284112,0.104721458153439,0.0573233933593784,0.210036493981495,0.209424561294091,0.210723156464374,0.211404653185475,0.211111111111111,0.0848632353309887,-0.247619047619048,-0.259476922418271,-0.0200334168755221,0.128527640941434,-0.260819204297465,-0.0196825396825397,0.138755435833447,0.122222222222222,0.125670498084291,-0.0162393162393162,0.125936967366304,0.125356696573268,-0.204129855406029,0.247159099635643,-0.135458640092721,0.0410332836562345,0.0393939393939394,-0.000930649675073633,0.0333333333333333,-0.199825099608406,0.0401894017996944,-0.0829838142153413,-0.0861417089521834,-0.0870284084595726
"cMet",0.113333333333333,-0.119414701549933,-0.0666666666666667,-0.106666666666667,0,0.214285714285714,-0.106666666666667,0,-0.104341085271318,0.0885486976791325,-0.1,0,-0.0649350649350649,0.0234639016897081,-0.10952380952381,0.10952380952381,0.10952380952381,0.11707097933513,0.082964135021097,0.0649350649350649,0.0380952380952381,-0.209022556390977,0.0933333333333333,0.0852380952380953,-0.198384258518637,0.107418008348241,0.108547951851066,0.102121212121212,0.1,-0.1,0.0777628874978833,0,0.0279166666666667,-0.0517975675118532,-0.05,0.0466666666666667,-0.0590702947845805,0.189838613578109,-0.1,-0.05,-0.114413484692122,-0.05,-0.046875,-0.0765068166049433,-0.141587350200489,-0.0946831082564778,-0.11,-0.12,-0.04207762275178,-0.1,-0.0559259259259259,-0.104545454545455,-0.0758333333333333,-0.0813888888888889,-0.0898995271867612
"CD44",0.133333333333333,-0.111941391941392,0,-0.1,-0.1,0.2,0,0,-0.106666666666667,0.0907226107226107,0,0.1,-0.0619047619047619,0.0202380952380952,-0.123809523809524,0.123809523809524,0.123809523809524,0.10952380952381,0.0791666666666667,0.0619047619047619,0.0476190476190476,-0.214285714285714,0.0666666666666667,0.09,-0.209022556390977,0.104341085271318,0.107418008348241,0.106666666666667,0.1,-0.1,0.0744549994571708,0,0.0466666666666667,-0.0590702947845805,-0.05,0.0666666666666667,-0.0611111111111111,0.189162937902434,-0.1,-0.1,-0.116374269005848,-0.05,-0.05,-0.0849813928761297,-0.145236985236985,-0.0899956082564778,-0.12,-0.1,-0.0342124542124542,-0.1,-0.0411111111111111,-0.11,-0.113333333333333,-0.0758333333333333,-0.0813888888888889
"ERK",0.158095238095238,0.121021654579457,0.129816017316017,-0.00370629370629371,0.114285714285714,0.0874902874902875,-0.00949576739050423,-0.0157894736842105,-0.00873240861187828,0.108841363393958,-0.01,-0.0157894736842105,-0.0341095867320746,-0.0427466448945955,0.131792096792097,-0.131792096792097,-0.131792096792097,-0.131242041786596,0.0340927665065596,0.0341095867320746,-0.0326738069022277,-0.0867603604829882,-0.137957774695639,0.00509874493202681,-0.0842672856907445,0.00891828221782623,0.00926550444004846,0.00295441400704559,0.01,0,-0.135948915837848,-0.126785714285714,-0.136097722658705,-0.109825677533596,-0.102360655737705,-0.133345429080723,-0.111041483004721,0.185831261113175,-0.1,-0.104,-0.119788925153114,-0.10432144005143,-0.106736898988628,-0.217321763310449,-0.33434600254557,-0.0422497248446418,-0.0255759354365371,0.074424064563463,-0.146080039004082,0.076551724137931,-0.050038119631374,-0.0264115900326373,-0.151553182020472,-0.151553182020472,-0.155674061141351
"MEK",0.153333333333333,0.121941617780929,0.126785714285714,-0.01,0.1,0.0797979797979798,-0.0157894736842105,-0.0157894736842105,-0.00949576739050423,0.109142568213235,0,0,-0.0326922638974289,-0.0439273896720705,0.132109557109557,-0.132109557109557,-0.132109557109557,-0.131792096792097,0.0342637066774998,0.0326922638974289,-0.0318986131037781,-0.0874902874902875,-0.14184126984127,0.00461094005397803,-0.0867603604829882,0.00873240861187828,0.00891828221782623,0.00370629370629371,0.01,0,-0.135983244708428,-0.114285714285714,-0.133345429080723,-0.111041483004721,-0.104,-0.129816017316017,-0.110672479314684,0.185793681255979,-0.1,-0.1,-0.120130222081442,-0.102360655737705,-0.10432144005143,-0.216627318866005,-0.333624631941422,-0.0410242346485634,0.074424064563463,0.076551724137931,-0.143999595176066,0.08,-0.0469740527790063,-0.0255759354365371,-0.158095238095238,-0.151553182020472,-0.151553182020472
"RKIP",0.133333333333333,0.120966008024832,0.114285714285714,-0.01,0.1,0.0888888888888889,-0.0157894736842105,0,-0.0157894736842105,0.111601584606678,0,0,-0.0318986131037781,-0.0461386918833727,0.129545454545455,-0.129545454545455,-0.129545454545455,-0.132109557109557,0.0333628057765989,0.0318986131037781,-0.0318986131037781,-0.0797979797979798,-0.137396825396825,0.00731364275668073,-0.0874902874902875,0.00949576739050423,0.00873240861187828,0.01,0,0,-0.137622588970723,-0.1,-0.129816017316017,-0.110672479314684,-0.1,-0.126785714285714,-0.107702182284981,0.187467321423343,-0.1,-0.1,-0.11831204026326,-0.104,-0.102360655737705,-0.213422190660876,-0.33265139593169,-0.0407146371253436,0.076551724137931,0.08,-0.139970291146762,0.08,-0.0456582633053221,0.074424064563463,-0.153333333333333,-0.158095238095238,-0.151553182020472
"AKT",-0.0691176470588235,-0.0647728780975803,-0.150980392156863,-0.136930509104422,-0.166666666666667,0.05,-0.136930509104422,-0.141545893719807,-0.130715819838885,0.0254211688160799,-0.111111111111111,-0.111111111111111,-0.0316679183226654,-0.0976143927756831,0.10347269169187,-0.10347269169187,-0.10347269169187,-0.101304016993075,0.11934042423131,0.0316679183226654,-0.030414979757085,-0.0661290322580645,0.0213675213675214,0.0885360151280729,-0.0600314712824548,0.129272520869813,0.131734059331352,0.130785257707774,0.141545893719807,0.1,0.0010098452957606,0.133333333333333,0.0404131815896522,0.0426322351162687,0.0666666666666667,0.153544494720965,0.038928531412565,0.22362335354223,0.05,0.0666666666666667,0.0316333918238235,0.0722222222222222,0.0690643274853801,-0.0173683605148136,0.206645328082888,0.0551363079569444,0.0433760389401662,0.0417366946778711,0.0973906732758995,0.0476190476190476,0.00551207104915545,0.0497051528642169,0.0891176470588235,0.106190817790531,0.102263325343401
"ZEB1",-0.242337164750958,-0.187740420053471,-0.0919298245614035,-0.0151500938086304,-0.0666666666666667,-0.116666666666667,-0.00742007872567414,-0.00938086303939963,-0.0053367453923408,-0.105889759669708,0,0.00769230769230769,-0.0292657048980358,0.00613906343532181,0.059946416676062,-0.059946416676062,-0.059946416676062,-0.0594739757311801,0.0172110103986987,0.0292657048980358,-0.0321910560150602,0.11078431372549,0.109395711500975,0.0208536784299371,0.112437206287474,0.00693249007319187,0.0070303374313132,0.0134318807502112,0.0170731707317073,0,0.103312003230696,0.0866666666666667,0.091133571634003,0.116599319916908,0.137878787878788,0.0968478573482888,0.116599319916908,0.0996471435161712,0.133333333333333,0.133333333333333,0.127009976206867,0.141800356506239,0.141444484620118,0.120114024038302,0.162513800607142,0.142676992948241,0.155176470588235,0.154,0.186715060681366,0.15,0.140181031090122,0.158260171028764,0.243786440113277,0.252415881737642,0.252022180950241
"PI3K",-0.075,-0.0628360789130747,-0.133333333333333,-0.141545893719807,-0.2,0.05,-0.141545893719807,-0.111111111111111,-0.136930509104422,0.0280701754385965,-0.1,-0.1,-0.0282432607884188,-0.102453102453102,0.0966233766233766,-0.0966233766233766,-0.0966233766233766,-0.10347269169187,0.117084785133566,0.0282432607884188,-0.0278508771929824,-0.05,0.0169230769230769,0.0896190476190476,-0.0661290322580645,0.130715819838885,0.129272520869813,0.136930509104422,0.111111111111111,0.1,-0.00308106379514849,0.166666666666667,0.153544494720965,0.038928531412565,0.0666666666666667,0.150980392156863,0.041328531412565,0.225194900275067,0,0.05,0.0308815121245754,0.0666666666666667,0.0722222222222222,-0.0151127214170692,0.20674583059545,0.0572753453900995,0.0417366946778711,0.0476190476190476,0.103812691624523,0.0333333333333333,0.0111021331609567,0.0433760389401662,0.0691176470588235,0.0891176470588235,0.106190817790531
