"","CDC42","TGF","GSK3","FOXC2","RKIP","AKT","SUFU","IKK","SNAI1","Ecadherin","Destcompl","KLF4","PI3K","NFB","DSH","cateninmemb","Wnt","cMet","TWIST1","ILK","cateninnuc","GLI","Jagged","NOTCHic","Frizzled","SNAI2","Csl","NOTCH","ZEB1","LIV1","ZEB2","miR200","SRC","HEY1","FUS","CD44","SMAD","AXIN2","ERK","TCFLEF","Patched","cfos","MEK","SHH","STAT","SMO","RAF","DELTA","EGR1","RAS","TrCP","Csn","SOSGRB2","TGFR","PAK1"
"ZEB1",-0.199317008162585,-0.194748480243804,-0.0234379047776872,-0.166174481996695,-0.102886449462852,-0.127590698056617,-0.108333333333333,-0.129019269485188,-0.0846112300496056,-0.154451405873522,-0.0315548832254479,0.428794170855613,-0.147399705542908,-0.117543859649123,-0.0142857142857143,-0.21685044313312,-0.0187885285446261,-0.0120442923886252,-0.00713271134173475,-0.0646399132034031,-0.0191253877238739,-0.0273795938367223,-0.0715702024941636,-0.0361519607843137,-0.0264808362369338,-0.0686636798360277,-0.0479166666666667,-0.0394577459082807,0.432468082377686,0,-0.432468082377686,-0.4561279292209,0.0198874296435272,0.0580462456369192,0.0958333333333333,0.0203776257219586,0.0660822208957108,0.11808706855879,0.104901960784314,0.0145265618921713,0.104300356506239,0.0966666666666667,0.101818260343785,0.101809253303392,0.00769230769230769,0.100378787878788,0.147399705542908,0.147399705542908,0.116666666666667,0.145667422078341,0.133333333333333,0.133333333333333,0.146744639376218,0.194748480243804,0.200766283524904
"GLI",-0.0979885057471264,-0.0919300521770191,0.188605651160326,-0.18452700378397,-0.0867883258747211,0.0384197099892589,0.142857142857143,0.0321697099892589,-0.0555173412723173,-0.016539874749978,0.0766331374644544,0.394866580866581,0.08694254820868,0.0342105263157895,0.18,0.00770365058607419,0.176204933586338,0.037639653815893,-0.0822857344504203,0.0358684139715691,0.0304165998535518,0.0664176995437846,0.0168702756690471,-0.0064235190097259,0.170322580645161,-0.0392973853873965,-0.0114235190097259,-0.0140425666287735,0.396260197986004,0,-0.396260197986004,-0.412528379772962,-0.0303225806451613,-0.0380477096945688,-0.130357142857143,-0.0272948262296861,-0.0337062518094069,-0.0398882850241546,0.0612770562770563,-0.0357363846712445,-0.136801825993555,0.0573809523809524,0.0518847910836861,-0.135567258092321,-0.04,-0.140883458646617,-0.08694254820868,-0.08694254820868,0.0657142857142857,-0.0911009640502642,-0.0166666666666667,-0.05,0.177365053825231,0.0898124051181956,0.108333333333333
"SMAD",-0.192521797451375,-0.187251259491483,-0.0806029142119368,-0.172955440926877,-0.0559443814951289,-0.0897703081232493,-0.0166666666666667,-0.092436974789916,-0.0391649484028516,-0.00280460022395027,-0.0103337860061049,0.382840282450767,-0.116177923968317,-0.0904761904761905,0.0285714285714286,0.038880742022431,0.015964590964591,0.0161531279178338,-0.0415658842283656,-0.0389456205894562,0.0096291025624334,0.00733149743941111,-0.0623218824186566,-0.0439408866995074,0.00634920634920635,-0.0519600052378594,-0.0542857142857143,-0.0502900930487137,0.384415465041415,0,-0.384415465041415,-0.400263874868388,-0.00634920634920635,0.025195059283879,0.0541666666666667,-0.00706221882692471,-0.0591496175057819,-0.046441728179243,-0.0271460722323438,-0.014796275814713,0.0524235474006116,-0.0317972350230415,-0.033876841463113,0.0513083057649239,-0.0285714285714286,0.0441666666666667,0.116177923968317,0.116177923968317,-0.0285714285714286,0.111243713442001,0.1,0.0666666666666667,0.190616681455191,0.185259227618973,0.202380952380952
"NOTCH",-0.188888888888889,-0.162437275985663,0.042206548241031,-0.166326530612245,-0.0580901856763926,0.0444444444444444,0,0.0666666666666667,-0.0164102564102564,-0.00474193548387097,0.0529962111644355,0.378985507246377,-0.0157575757575758,0.0333333333333333,0.1,0.042669017436365,0.0384615384615385,0.0384615384615385,-0.0637457627118644,0.0619047619047619,0.0139517625231911,0.0111888111888112,0.0346416546416546,0.122857142857143,0,-0.0445605592664416,0.08,0.0196313364055299,0.382689210950081,0,-0.382689210950081,-0.397748917748918,0,0.0376811594202899,-0.0333333333333333,-0.0111888111888112,-0.0585714285714286,-0.0539353099730458,-0.0533333333333333,-0.0298701298701299,-0.0448717948717949,-0.02,-0.0604761904761905,-0.0566365007541478,-0.1,-0.0833333333333333,0.0157575757575758,0.0157575757575758,0,0.0027140974967062,0,0,0.183157894736842,0.168888888888889,0.2
"Jagged",-0.2,-0.168888888888889,0.0808429118773946,-0.164285714285714,-0.0615384615384615,0.0666666666666667,0,0.0333333333333333,-0.0333333333333333,-0.012,0.0193513513513514,0.383333333333333,-0.00666666666666667,0,0,0.0400512163892446,0,0,-0.079,0.0666666666666667,0.0298701298701299,0.0384615384615385,0.0198268398268398,0.08,0.1,-0.059904474610357,0.1,0.122857142857143,0.378985507246377,0,-0.378985507246377,-0.400606060606061,-0.1,0.0333333333333333,0,-0.0384615384615385,-0.0619047619047619,-0.0671428571428571,-0.02,-0.0111888111888112,-0.0833333333333333,0,-0.0533333333333333,-0.0448717948717949,0,-0.0333333333333333,0.00666666666666667,0.00666666666666667,0.1,0.0157575757575758,0,0,0.22,0.188888888888889,0.2
"DELTA",-0.2,-0.168888888888889,0.0808429118773946,-0.164285714285714,-0.0615384615384615,0.0666666666666667,0,0.0333333333333333,-0.0333333333333333,-0.012,0.0193513513513514,0.383333333333333,-0.00666666666666667,0,0,0.0400512163892446,0,0,-0.079,0.0666666666666667,0.0298701298701299,0.0384615384615385,0.0198268398268398,0.08,0.1,-0.059904474610357,0.1,0.122857142857143,0.378985507246377,0,-0.378985507246377,-0.400606060606061,-0.1,0.0333333333333333,0,-0.0384615384615385,-0.0619047619047619,-0.0671428571428571,-0.02,-0.0111888111888112,-0.0833333333333333,0,-0.0533333333333333,-0.0448717948717949,0,-0.0333333333333333,0.00666666666666667,0.00666666666666667,0.1,0.0157575757575758,0,0,0.22,0.188888888888889,0.2
"Csl",-0.162437275985663,-0.159285781842358,0.0462998307785497,-0.159967613296709,-0.0513010638486519,0.0428940568475452,0.0833333333333333,0.0374677002583979,-0.0231860892730458,-0.00371786055242754,0.0468584902625464,0.373271221532091,-0.0101032600582826,0.0444444444444444,0.0384615384615385,0.0426907281136761,0.0294683810812843,0.0298701298701299,-0.0661166757263312,0.053535457348407,0.0178379526689232,0.014145800436123,0.0303922065180343,0.0327892311423721,0.0111888111888112,-0.0465687516392558,0.0196313364055299,0.0200619584150993,0.378584443198904,0,-0.378584443198904,-0.393920539898099,-0.0111888111888112,0.0477163529848952,-0.0448717948717949,-0.0139517625231911,-0.0518687906817403,-0.0534247415640198,-0.049047619047619,-0.0269288617598323,-0.0448085437649005,-0.0604761904761905,-0.0599171842650103,-0.0491188885924867,-0.0384615384615385,-0.0566365007541478,0.0101032600582826,0.0101032600582826,-0.0533333333333333,0.00348561299945902,-0.0333333333333333,-0.0666666666666667,0.166417318240168,0.155430906558912,0.168888888888889
"LIV1",-0.152100840336134,-0.150411818974982,0.0487922077922078,-0.139989257267247,-0.0451220234645649,0.0317738791423002,0.0761904761904762,0.0280701754385965,-0.0176122796672025,-0.0258952985147035,0.0441931592466644,0.373653395784543,-0.0520883150007971,0.0333333333333333,0.04,0.000194931017361186,0.0298635477582846,0.0302902902902903,-0.0488197816676077,0.0533623485236389,0.0195230963295149,0.01571720629487,0.0467022409679618,0.0607692307692308,0.0140740740740741,-0.038688507279471,0.05,0.0497802197802198,0.377603906568895,0,-0.377603906568895,-0.393559986677335,-0.0140740740740741,-0.0500470353058765,-0.0428571428571429,-0.0154388051417754,-0.0514268646526711,-0.0300061963627351,-0.0358732498157701,-0.0276610273639977,-0.0414234511008705,-0.0443478260869565,-0.0438732498157701,-0.0444234511008704,-0.04,-0.0525345622119816,0.0520883150007971,0.0520883150007971,-0.04,0.0466337695462516,-0.0333333333333333,-0.0583333333333333,0.144073157315732,0.146040234275528,0.161904761904762
"NOTCHic",-0.168888888888889,-0.155430906558912,0.07030572179475,-0.15019749835418,-0.039780326521463,0.0374677002583979,0.0333333333333333,0.0444444444444444,-0.0306959706959707,-0.00918297683149731,0.0276628778311021,0.378985507246377,-0.0027140974967062,0.0666666666666667,0,0.0384093825479268,0.0111888111888112,0.0111888111888112,-0.0681482784351349,0.0585714285714286,0.0269288617598323,0.0294683810812843,0.022058873184701,0.0196313364055299,0.0384615384615385,-0.0567850081642372,0.122857142857143,0.0327892311423721,0.373059581320451,-0.1,-0.373059581320451,-0.393702674974351,-0.0384615384615385,0.0392196209587514,-0.0833333333333333,-0.0298701298701299,-0.053535457348407,-0.0608797544174903,-0.0604761904761905,-0.0139517625231911,-0.0566365007541478,-0.0533333333333333,-0.049047619047619,-0.0448085437649005,0,-0.0448717948717949,0.0027140974967062,0.0027140974967062,-0.02,0.0101032600582826,0,-0.0333333333333333,0.178612440191388,0.162437275985663,0.188888888888889
"CDC42",-0.161904761904762,-0.146040234275528,0.070974025974026,-0.130334084853454,-0.0335198135198135,0.0280701754385965,0.0333333333333333,0.0333333333333333,-0.0231015398104006,-0.0309472016288903,0.0265991742842584,0.378571428571429,-0.0447712418300654,0.0583333333333333,0,-0.00401752319509303,0.0140740740740741,0.0140740740740741,-0.0504502164502164,0.0582010582010582,0.0276610273639977,0.0298635477582846,0.0393402777777778,0.05,0.04,-0.0480917622523462,0.05,0.0607692307692308,0.372137668626773,-0.1,-0.372137668626773,-0.393052372464137,-0.04,-0.0588705647176412,-0.0761904761904762,-0.0302902902902903,-0.0533623485236389,-0.0375533661740558,-0.0443478260869565,-0.0154388051417754,-0.0525345622119816,-0.04,-0.0358732498157701,-0.0414234511008705,0,-0.0428571428571429,0.0447712418300654,0.0447712418300654,-0.02,0.0520883150007971,0,-0.0333333333333333,0.156944444444444,0.152100840336134,0.0857142857142857
