"","KLF4","SMAD","ZEB1","ILK","AKT","Patched","IKK","SMO","TGFR","NFB","CDC42","Jagged","Csn","NOTCH","NOTCHic","SOSGRB2","Csl","TrCP","SNAI2","cateninmemb","Ecadherin","AXIN2","MEK","cateninnuc","TCFLEF","ERK","CD44","cfos","Wnt","RAF","PI3K","Frizzled","STAT","DSH","EGR1","Destcompl","LIV1","DELTA","RAS","SRC","GLI","cMet","TWIST1","GSK3","SUFU","PAK1","RKIP","FUS","TGF","FOXC2","SNAI1","SHH","HEY1","ZEB2","miR200"
"ZEB1",0.712211750412219,0.784338847685611,0.758178578777838,0.736261924608688,0.551571551830396,0.473061497326203,0.508714408973253,0.429924242424242,0.420953778609849,0.457894736842105,0.400141595868732,0.323161125697702,0.4,0.207127086371739,0.194730392156863,0.222768031189084,0.177083333333333,0.3,0.291061513203915,0.309897889314453,0.222852593604879,0.292090544258895,0.134903342834931,0.269076341515524,0.264281820967579,0.129176470588235,0.258164799690983,0.128,0.240974269632806,0.239477072868297,0.239477072868297,0.231358885017422,0.223076923076923,0.214285714285714,0.1,0.190810618024116,0.2,-0.239477072868297,-0.244358962632076,-0.24015009380863,-0.246816194031432,-0.251914799690983,-0.111809793023385,-0.228352256778282,-0.308333333333333,-0.372605363984674,-0.440402254096645,-0.370833333333333,-0.440245117192526,-0.439341213385553,-0.51181093568997,-0.506869326507698,-0.72281701027815,-0.758178578777838,-0.766550127158651
"EGR1",0.691166276346604,0.667310121181089,0.739810988976767,0.616342379245605,0.369931773879142,0.462246117084827,0.332894736842105,0.421505376344086,0.461446396740514,0.275,0.434173669467787,0.382271216768916,0.25,0.344688644688645,0.328205128205128,0.323569856985699,0.305128205128205,0.2,0.136922691094363,-0.0737922848769472,-0.0360848109452797,-0.107942497753819,0.122909358879882,-0.0723307390695578,-0.0746755666557647,0.118909358879882,-0.078008899989098,0.110434782608696,-0.0815594541910331,-0.118802805675116,-0.118802805675116,-0.0762962962962963,-0.08,-0.08,0.08,-0.0954456507797849,-0.1,0.118802805675116,0.121075532947843,0.0762962962962963,0.0820472590690819,0.078998998998999,-0.298336721249765,0.036784632034632,-0.3,-0.404761904761905,-0.380945408182977,-0.366666666666667,-0.478932735538329,-0.529665396856808,-0.483567266444521,-0.503246117084827,-0.620056883323044,-0.739810988976767,-0.749612772350903
"cfos",0.635428571428571,0.616342379245605,0.696402628848149,0.553439153439154,0.332894736842105,0.421505376344086,0.275,0.366666666666667,0.434173669467787,0.25,0.404761904761905,0.358958333333333,0.2,0.328205128205128,0.305128205128205,0.302777777777778,0.266666666666667,0.1,0.132221063607925,-0.0761732372578996,-0.0387837728829959,-0.108571428571429,0.118909358879882,-0.0746755666557647,-0.078008899989098,0.110434782608696,-0.078998998998999,0.08,-0.0762962962962963,-0.121241830065359,-0.121241830065359,-0.08,-0.1,-0.1,0.08,-0.0958967785993337,-0.1,0.121241830065359,0.118802805675116,0.08,0.0815594541910331,0.0762962962962963,-0.288554112554113,0.0371482683982684,-0.2,-0.371428571428571,-0.361608391608392,-0.3,-0.461446396740514,-0.506217120994739,-0.468054139952874,-0.462246117084827,-0.556821589205397,-0.696402628848149,-0.704435107376284
"CDC42",0.635428571428571,0.616342379245605,0.696402628848149,0.553439153439154,0.332894736842105,0.421505376344086,0.275,0.366666666666667,0.434173669467787,0.25,0.404761904761905,0.358958333333333,0.2,0.328205128205128,0.305128205128205,0.302777777777778,0.266666666666667,0.1,0.132221063607925,-0.0761732372578996,-0.0387837728829959,-0.108571428571429,0.118909358879882,-0.0746755666557647,-0.078008899989098,0.110434782608696,-0.078998998998999,0.08,-0.0762962962962963,-0.121241830065359,-0.121241830065359,-0.08,-0.1,-0.1,-0.02,-0.0958967785993337,-0.1,0.121241830065359,0.118802805675116,0.08,0.0815594541910331,0.0762962962962963,-0.288554112554113,0.0371482683982684,-0.2,-0.471428571428571,-0.361608391608392,-0.3,-0.461446396740514,-0.506217120994739,-0.468054139952874,-0.462246117084827,-0.556821589205397,-0.696402628848149,-0.704435107376284
"SMAD",0.605084640850931,0.586952134623367,0.639089518322282,0.653618801290034,0.408795518207283,0.548440366972477,0.388795518207283,0.52,0.372705319439917,0.347619047619048,0.353152246814219,0.468596425080296,0.333333333333333,0.419376026272578,0.405090311986864,0.305131617864537,0.380952380952381,0.3,0.0498860656769533,-0.143792330379798,-0.0936266155873517,-0.163487080452196,0.0865768983454655,-0.120354051413958,-0.120252734291365,0.0779230521916193,-0.120931160342925,0.0732718894009216,-0.134218559218559,-0.0596477060057846,-0.0596477060057846,-0.124603174603175,-0.105714285714286,-0.119047619047619,0.0571428571428571,-0.135783255135386,-0.12,0.0596477060057846,0.062279284953153,0.111269841269841,0.137096257060286,0.119112978524743,-0.233678275918462,-0.0254229368515083,-0.4,-0.34047619047619,-0.279975105486514,-0.475,-0.384259104300475,-0.433422072946008,-0.345404673283706,-0.574834419017087,-0.660008384939436,-0.639089518322282,-0.651057453298164
"SUFU",0.541517784103923,0.492192919284479,0.575857403782251,0.458243727598566,0.337323843941294,0.0851262626262626,0.30578021978022,0.0558333333333333,0.453698485719762,0.278857142857143,0.43454954954955,0.0763514556661968,0.242857142857143,-0.0986147186147186,-0.105757575757576,0.202226720647773,-0.119393939393939,0.2,0.292070726801951,0.176202363643999,0.0956186776162746,0.298682200309256,0.0509729497697216,0.15462246724688,0.151195357272455,0.0462920987058918,0.146032313794194,0.0428438228438228,0.247435897435897,0.203941311684152,0.203941311684152,0.241666666666667,0.12,0.225,0.0276923076923077,0.166560802119415,0.1,-0.203941311684152,-0.207738780038583,-0.136666666666667,-0.250781622342961,-0.141521035598705,-0.116401611591303,-0.173931173247861,0.04,-0.418333333333333,-0.356996049278818,-0.0225,-0.468491385128046,-0.355651533642869,-0.416756857080941,-0.106361783861784,-0.432836745932608,-0.575857403782251,-0.585172465800262
"FUS",0.5025956284153,0.458243727598566,0.543973345811237,0.418888888888889,0.30578021978022,0.0558333333333333,0.278857142857143,0.0225,0.43454954954955,0.242857142857143,0.418333333333333,0.0647125007968381,0.2,-0.105757575757576,-0.119393939393939,0.194534412955466,-0.139393939393939,0.1,0.286467562662201,0.171427465963235,0.0925290792640604,0.292359015297546,0.0462920987058918,0.151195357272455,0.146032313794194,0.0428438228438228,0.141521035598705,0.0276923076923077,0.241666666666667,0.200011180679785,0.200011180679785,0.225,0.1,0.2,0.02,0.166294986064125,0.1,-0.200011180679785,-0.203941311684152,-0.12,-0.247435897435897,-0.136666666666667,-0.109185116745942,-0.1729028956129,0.2,-0.393333333333333,-0.338628702340043,0.04,-0.453698485719762,-0.338529945553539,-0.402617163724894,-0.0851262626262626,-0.394282529065138,-0.543973345811237,-0.55171521672963
"TGFR",0.505160092259635,0.523806715994754,0.543379278733538,0.497116324535679,0.212910182432826,0.436997126436782,0.191979949874687,0.405747126436782,0.404246031746032,0.176190476190476,0.491746031746032,0.377084267144778,0.133333333333333,0.417585379971884,0.39816091954023,0.348765432098765,0.353333333333333,0.0333333333333333,0.116040209493826,-0.123138647569999,-0.0784199253988044,-0.146725480845653,-0.00723750014305169,-0.111598392805505,-0.112218410520297,-0.0236758563074353,-0.110304534922211,-0.0481203007518797,-0.117196765498652,-0.178571428571429,-0.178571428571429,-0.122857142857143,-0.133333333333333,-0.142857142857143,-0.0428571428571429,-0.114502361493156,-0.1,0.178571428571429,0.170969089390142,0.113333333333333,0.120422571950265,0.107672955974843,-0.301043231843944,0.0781137936636288,-0.233333333333333,-0.482222222222222,-0.281038961038961,-0.333333333333333,-0.424813407632557,-0.4523870324663,-0.376683910082945,-0.454511250730567,-0.496701213468441,-0.543379278733538,-0.552966647738616
"SHH",0.3,0.283333333333333,0.4,0.2,0.2,-0.2,0.1,-0.3,0.333333333333333,0,0.233333333333333,0.00285714285714285,0,-0.166666666666667,-0.2,0.15,-0.1,0,0.248352490421456,0.147240143369176,0.0658333333333333,0.247619047619048,0.02,0.136666666666667,0.12,0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0,0.155584415584416,0,-0.2,-0.192307692307692,-0.1,-0.2,-0.1,-0.1,-0.143589743589744,0.2,-0.2,-0.26,0.2,-0.393333333333333,-0.275,-0.316666666666667,0.04,-0.2,-0.4,-0.4
"AKT",0.358693207377418,0.323153057586671,0.374739935674219,0.30194093637455,0.246551487727958,0.201495726495727,0.325339366515837,0.182051282051282,0.0652415112386418,0.317647058823529,0.0611764705882353,0.131569652608342,0.3,-0.0124296435272045,-0.0173076923076923,0.0278632478632479,-0.0173076923076923,0.233333333333333,0.0623233829385717,0.027221646162579,-0.0568902650713475,0.153153859377686,0.0117236103821068,0.113989805197761,0.11122057442853,0.0193185470909675,0.110189646593479,0.00784313725490196,0.109624674842066,0.0624683626875408,0.0624683626875408,0.101932367149758,0.0888888888888889,0.0888888888888889,-0.0333333333333333,-0.168193109765097,0.1,-0.0624683626875408,-0.0622273988321191,-0.101932367149758,-0.109066015624189,-0.109624674842066,0.0483640031175784,-0.0617356359291843,-0.15,-0.0411764705882353,-0.120437171524128,-0.166666666666667,-0.070981692507524,-0.0664733785683721,-0.141906214812393,-0.218337831758884,-0.291910332788889,-0.374739935674219,-0.377894974399314
