"","TWIST1","Jagged","NOTCH","ZEB2","RKIP","Ecadherin","NFB","Csn","STAT","cMet","CD44","cateninnuc","SRC","ILK","miR200","LIV1","SNAI2","Destcompl","KLF4","TGF","SOSGRB2","TGFR","GSK3","PAK1","CDC42","FOXC2","AXIN2","HEY1","RAS","SMAD","RAF","PI3K","DELTA","cateninmemb","IKK","AKT","TCFLEF","Frizzled","GLI","Wnt","ZEB1","DSH","Patched","SHH","SMO","FUS","SUFU","MEK","NOTCHic","cfos","ERK","TrCP","EGR1","Csl","SNAI1"
"CD44",-0.244688644688645,0.0196736596736597,-0.0233082706766917,-0.328571428571429,-0.124444444444444,0.038294430572142,-0.1,-0.2,0.1,0.2,0.0933333333333333,0.0894335122242099,0.2,0.05,-0.283153271848924,0.1,-0.0388633588633589,0.118405544035796,-0.433333333333333,-0.111666666666667,0.157142857142857,0.128333333333333,0.155952380952381,0.133333333333333,0.153333333333333,0.10125,-0.08,-0.0695906432748538,0.00476190476190477,-0.0642857142857143,0.0190476190476191,0.0190476190476191,0.0190476190476191,-0.0266849816849817,0.0333333333333333,0.0266666666666667,-0.0863565891472868,-0.1,-0.0933333333333333,-0.1,0.046031746031746,0,-0.01,-0.0463636363636364,0.05,0.1,0.1,0.17,0.0285714285714286,0.1,0.2,0.1,0,0.1,0.215683147262095
"cMet",-0.227834712104375,0.0240214857606162,-0.0126699728043513,-0.303318903318903,-0.0762962962962963,0.0456735654321929,-0.0333333333333333,-0.1,0.2,0.0933333333333333,0.0863565891472868,0.0905634557270348,0.2,0.0642857142857143,-0.259715771848924,0.1,-0.0344837968195632,0.125162300792553,-0.428571428571429,-0.0989007092198581,0.11047619047619,0.111666666666667,0.154339477726574,0.153333333333333,0.128333333333333,0.0873259493670886,-0.0752380952380952,-0.0793945648434813,0.0179694519317161,-0.0606493506493506,0.00476190476190477,0.00476190476190477,0.00476190476190477,-0.0305995724323127,0.0266666666666667,0.00791666666666667,-0.0894335122242099,-0.1,-0.0842424242424242,-0.0933333333333333,0.038961038961039,-0.1,-0.0463636363636364,-0.0557386363636364,-0.01,0.05,0.1,0.128181818181818,0.0233082706766917,0.2,0.17,0.2,0.1,0.0285714285714286,0.215683147262095
"SMAD",-0.108476529049293,-0.0192020667504538,-0.0152764094143405,-0.302974020557853,-0.0440911603972186,-0.0152501950355281,0.0349206349206349,0.0111111111111111,-0.00571428571428572,-0.000158730158730161,-0.00124963924963925,-2.13237945851499e-05,-0.000158730158730161,0.0350978701663633,-0.201219186557687,-0.02,-0.0695862947772591,0.0244245017332162,-0.305930595850509,-0.00340493404460684,-0.00791186039633244,0.00420174679361083,0.122651017876582,0,0.00140845070422535,0.0017627334316041,0.00204711413347733,-0.0299394533288883,0.091123027646528,-0.134145489213982,0.0921098697517912,0.0921098697517912,0.0921098697517912,0.0117259616585125,-0.0290382819794584,-0.0277049486461251,-0.00159975016691434,0.0134920634920635,0.0134920634920635,0.0134920634920635,-0.10360736014675,0.019047619047619,-0.0215825688073394,-0.0204673271716517,-0.0225,-0.0125,-0.025,0.151204421984617,0.0144827586206897,0.158986175115207,0.147358268138463,0,0.142857142857143,0.0133333333333333,0.0781837311434086
"TCFLEF",-0.232809318362816,-0.121269957321842,0.0381953878166884,-0.297368908382066,-0.0773123019699683,-0.175133373103202,0.175376623376623,0.123376623376623,-0.116666666666667,-0.13017094017094,-0.145894210611192,-0.0409973033946969,-0.156666666666667,0.0509409888357257,-0.235004954884473,-0.166666666666667,-0.0436594851951266,0.0307951582220198,-0.203652597402597,0.0210192978565388,-0.215072623982804,-0.0233371786512408,0.025143824521431,-0.0256410256410256,-0.0186642814549791,-0.0196735774356615,0.0539369963369963,-0.0513731087639166,0.22585331847656,-0.0457784649351521,0.209953187070516,0.209953187070516,0.209953187070516,0.128692173342972,-0.152795978215333,-0.173448152128377,0.0359285748723601,0.165490196078431,0.155143537905686,0.138994469582705,-0.0556060163033847,0.125490196078431,0.107665130568356,0.099689670445657,0.0947619047619048,0.123333333333333,0.116666666666667,0.0513472706155633,-0.0152717997768213,0.0694425087108014,0.0322996515679442,-0.114285714285714,0.0328571428571428,-0.0446835644827036,0.182288334631431
"GLI",-0.1083279906285,0.0448847868470209,0.0615169887583681,-0.29063304318143,-0.0601392417579111,-0.0945241621437225,0.115789473684211,0.1,-0.1,-0.0887490165224233,-0.0861628096258716,-0.0862905061970828,-0.0838709677419355,0.0994568911156857,-0.189802787511766,-0.1,-0.0895259443193003,-0.0668944694045066,-0.288694122694123,0.113079656065419,-0.0330693789985825,-0.114256126653654,0.102304782989714,-0.118333333333333,-0.114885057471264,-0.0024499054007568,0.0769912439613527,-0.0972771003755724,0.153052311933072,-0.101078512737307,0.158002806982577,0.158002806982577,0.158002806982577,0.0851107270658547,-0.121911922663802,-0.110974422663802,0.0855134589765209,0.203870967741936,0.105923533449069,0.209753320683112,-0.100398361495136,0.22,0.0158252774794128,0.0219981169855856,0.0137844611528822,0.019047619047619,0.019047619047619,0.0783382363492861,-0.0700884173297966,0.0857142857142857,0.0844155844155844,-0.0666666666666667,0.0857142857142857,-0.0600884173297966,0.0706903603145882
"Wnt",-0.0838235294117647,0.0764950980392157,0.169047619047619,-0.277044476327116,-0.09,-0.0903141508373609,0.133333333333333,0.1,0.1,0.05,0.0236842105263158,0.0413994423143953,0,0.134188034188034,-0.211717171717172,0,-0.00224137931034483,0.0478385404505052,-0.294117647058824,-0.0840579710144928,0.0545454545454545,0.0666666666666667,0.121316614420063,0.1,0.1,0.0674493927125506,-0.0236363636363636,-0.123076923076923,0.143814080656186,-0.131862452792685,0.116541353383459,0.116541353383459,0.116541353383459,0.0791949152542373,-0.153333333333333,-0.178333333333333,-0.0486842105263158,0.1,-0.0236842105263158,-0.05,-0.0818747010999522,0,-0.0909090909090909,-0.124242424242424,-0.1,0,0,0.137647058823529,-0.135714285714286,0.2,0.12,-0.1,0.1,-0.15,0.136076604554865
"Frizzled",-0.0733473389355742,0.0896264111705288,0.155322128851541,-0.274074179297413,-0.111428571428571,-0.0826218431450532,0.153333333333333,0.133333333333333,0,0.0236842105263158,0.0486842105263158,0.0475899185048715,0.05,0.131862452792685,-0.210154671717172,0.1,-0.0208533666920483,0.0353716969491789,-0.279831932773109,-0.0812008281573499,0.0757575757575758,0.0840579710144928,0.134043887147335,0.1,0.0666666666666667,0.0697749741078994,-0.0538689217758985,-0.116693944353519,0.12727864758532,-0.127189555596424,0.143814080656186,0.143814080656186,0.143814080656186,0.078877454936777,-0.178333333333333,-0.172083333333333,-0.0413994423143953,-0.05,-0.0486842105263158,-0.0236842105263158,-0.0709836119910413,0.1,-0.124242424242424,-0.114565004887586,-0.0909090909090909,-0.1,0,0.1080174291939,-0.169047619047619,0.12,0.137647058823529,-0.1,0.2,-0.135714285714286,0.129727398205659
"GSK3",-0.0723920261432821,0.0859066126077494,0.163194256723668,-0.272663174395166,-0.112006940427993,-0.0846079420140505,0.172083333333333,0.178333333333333,0.0236842105263158,0.0413994423143953,0.0475899185048715,0.0463857895270395,0.0486842105263158,0.123793329181329,-0.210271905011427,0.05,-0.0150229018679908,0.0388662345914516,-0.272687487505193,-0.0876369936179056,0.0883157152924595,0.0871241731050851,0.0281565609199727,0.0840579710144928,0.0812008281573499,0.0734660199042084,-0.0478461485257974,-0.107302819482518,0.126858479518093,-0.125142654518661,0.133161000526496,0.133161000526496,0.133161000526496,0.0797328847918413,-0.184727011494253,-0.173615900383142,-0.0462542105796711,-0.0486842105263158,-0.0485701397407689,-0.0414946680426557,-0.0708198137436825,-0.0236842105263158,-0.120086477280224,-0.115301788285008,-0.114565004887586,-0.124242424242424,-0.0909090909090909,0.122234790779682,-0.172804646334058,0.1080174291939,0.131325699870592,-0.153333333333333,0.137647058823529,-0.155322128851541,0.130114513618053
"DSH",-0.0740565587937303,0.0834248607829319,0.172804646334058,-0.270137171423397,-0.103736263736264,-0.0872750477104615,0.178333333333333,0.153333333333333,0.05,0.0486842105263158,0.0413994423143953,0.0462542105796711,0.0236842105263158,0.127189555596424,-0.210154671717172,0,-0.00932833758843945,0.0418602465674995,-0.27497756384107,-0.0871241731050851,0.0757575757575758,0.0812008281573499,0.124995163249424,0.0666666666666667,0.0840579710144928,0.0710736754066007,-0.038257107429907,-0.113185172423694,0.133161000526496,-0.123793329181329,0.12727864758532,0.12727864758532,0.12727864758532,0.0780529555257051,-0.172083333333333,-0.184727011494253,-0.0475899185048715,-0.0236842105263158,-0.0414946680426557,-0.0486842105263158,-0.0733458167154507,-0.05,-0.114565004887586,-0.120086477280224,-0.124242424242424,-0.0909090909090909,-0.1,0.131325699870592,-0.155322128851541,0.137647058823529,0.1080174291939,-0.133333333333333,0.12,-0.169047619047619,0.134654934437543
"Csn",-0.0782795698924731,0.0787275895965755,0.177170052170052,-0.260464846980976,-0.0996241521304599,-0.0886620160168437,0.195,0.17,0.0333333333333333,0.0365738817338319,0.0307961039560541,0.0343147130632926,0.0160919540229885,0.123086180124224,-0.188107710901443,0,-0.033397559224845,0.0383208984482434,-0.26314012784601,-0.0746932468853888,0.0686221607286983,0.0696813137111645,0.128150972326412,0.0545454545454545,0.0709633649932157,0.0651521340932862,-0.0323673079949638,-0.112931893687708,0.13524110264367,-0.119230138993118,0.130826515311616,0.130826515311616,0.130826515311616,0.0801629563049627,-0.195,-0.2038,-0.0349761682647358,-0.0160919540229885,-0.0308970258386354,-0.0365738817338319,-0.0867758478081059,-0.0333333333333333,-0.113685239491691,-0.115324583753986,-0.121212121212121,-0.1,-0.1,0.122297077922078,-0.163708513708514,0.126666666666667,0.104588744588745,-0.22,0.126666666666667,-0.17020202020202,0.131135682051268
"SRC",-0.106549197928508,0.0937297106563162,-0.045952380952381,-0.259418987720874,-0.194102313457152,-0.0273143904026257,-0.05,-0.05,0.1,0.005,0.0197540983606557,0.0184772936462999,0.025,0.159429824561403,-0.196981408285756,0.2,-0.0424241480509095,0.0278802357063227,-0.367958656330749,-0.0579689754689755,0.0657142857142857,0.0561507936507937,0.0528138528138528,0.0888888888888889,0.0513888888888889,0.0530952380952381,-0.0359875047813337,-0.170829195630586,-0.0550984184776425,-0.151321716453295,-0.0460075093867334,-0.0460075093867334,-0.0460075093867334,-0.00310208052686723,0.0115384615384615,0.0226495726495726,-0.012437025189924,-0.025,-0.0197540983606557,-0.005,-0.065461215932914,0,-0.144444444444444,-0.13562091503268,-0.133333333333333,-0.133333333333333,-0.0333333333333333,0.0894034686487517,0.0316666666666667,0.136363636363636,0.125252525252525,0.1,0.2,0.065,0.116814195344671
