"","ILK","TGFR","TGF","PAK1","CDC42","Jagged","RKIP","NOTCH","SNAI1","NFB","TrCP","SOSGRB2","TWIST1","MEK","Ecadherin","Destcompl","cateninmemb","EGR1","PI3K","DELTA","RAS","GLI","TCFLEF","cateninnuc","AXIN2","SNAI2","LIV1","GSK3","SRC","CD44","Frizzled","cMet","STAT","Wnt","DSH","RAF","FOXC2","ERK","cfos","ZEB1","Csn","SUFU","Csl","NOTCHic","FUS","IKK","AKT","SMO","Patched","SHH","SMAD","HEY1","miR200","ZEB2","KLF4"
"SNAI1",0.107245263696877,0.229737588030741,0.228326297708161,0.225490196078431,0.227005347593583,0.073495245899996,0.20566933563443,0.0524856096284668,0.0884181748078185,0.0385964912280702,0.00833333333333333,0.153001380326712,0.111395980830763,0.0119043083915213,0.185112670609863,0.118423697989788,0.171819127542842,-0.00434782608695652,0.0881630750353849,0.0881630750353849,0.0888198894853028,0.0849139225893045,0.0852806818426484,0.0840416524156995,0.0767888455071279,0.0856125490335346,0.08,0.0101202477390596,-0.081001001001001,-0.0845910266702346,-0.0810721247563353,-0.084961397040605,-0.0837037037037037,-0.0854623686587743,-0.0837037037037037,-0.0881630750353849,-0.0404474194686515,-0.0123527388847949,-0.0176860722181282,-0.0635448485997337,-0.0333333333333333,-0.0523809523809524,-0.0456410256410256,-0.05003663003663,-0.0556067588325653,-0.0478557504873294,-0.0492446393762183,-0.0691870057461455,-0.0701870057461455,-0.0723229280762426,-0.108844279687036,-0.108200469093185,-0.290730206687699,-0.332518218705273,-0.328723592598267
"Csl",0.10118533744433,0.219836175604411,0.220062932974025,0.194666666666667,0.22047311827957,0.0682089371720994,0.209091490272458,0.0518236941326924,0.18715523606828,0.0333333333333333,0.0333333333333333,0.159515696113899,0.107297794182228,0.00797101449275362,0.197642533144772,0.106859806223506,0.179071560105865,-0.0133333333333333,0.0656733970676999,0.0656733970676999,0.0708204558912293,0.0658673584480036,0.0647787181920224,0.0646071916054015,0.0618574130918313,0.102755428194977,0.08,0.0364485840207328,-0.0599533799533799,-0.0655420769706484,-0.0599533799533799,-0.061052281052281,-0.0569230769230769,-0.0610286487705842,-0.0569230769230769,-0.0656733970676999,-0.0473495115510053,-0.0166666666666667,0.00619047619047619,-0.0534311082641614,0,-0.00833333333333333,-0.0411059907834101,-0.046369148678147,-0.0467948717948718,-0.0403100775193798,-0.0488372093023256,-0.0526772247360483,-0.0666557193597042,-0.0657936503941869,-0.10618533744433,-0.00187137954401381,-0.292311587564903,-0.330223129687458,-0.328812974465148
"TrCP",0.100793650793651,0.227005347593583,0.229737588030741,0.2,0.225490196078431,0.0713775988411725,0.204832515550748,0.05003663003663,0.18539326377579,0.0333333333333333,0.0333333333333333,0.15790704070407,0.112524185958969,0.0123527388847949,0.183811942201955,0.117710978691542,0.172130008371857,0,0.0836176204899304,0.0836176204899304,0.0881630750353849,0.0854623686587743,0.0845910266702346,0.0852806818426484,0.0784205471388295,0.084841513163605,0.1,0.0108463203463203,-0.0837037037037037,-0.084961397040605,-0.0837037037037037,-0.081001001001001,-0.08,-0.0810721247563353,-0.08,-0.0836176204899304,-0.0420992619082957,-0.0176860722181282,0.00434782608695652,-0.0570257834090818,-0.00833333333333333,-0.019047619047619,-0.041025641025641,-0.0456410256410256,-0.0523809523809524,-0.0385964912280702,-0.0478557504873294,-0.0556067588325653,-0.0691870057461455,-0.0701870057461455,-0.107245263696877,-0.101652850045565,-0.291402637043127,-0.328213175654842,-0.32591985428051
"PAK1",0.100793650793651,0.227005347593583,0.229737588030741,0.2,0.225490196078431,0.0713775988411725,0.204832515550748,0.05003663003663,0.18539326377579,0.0333333333333333,0.0333333333333333,0.15790704070407,0.112524185958969,0.0123527388847949,0.183811942201955,0.117710978691542,0.172130008371857,0,0.0836176204899304,0.0836176204899304,0.0881630750353849,0.0854623686587743,0.0845910266702346,0.0852806818426484,0.0784205471388295,0.084841513163605,0.1,0.0108463203463203,-0.0837037037037037,-0.084961397040605,-0.0837037037037037,-0.081001001001001,-0.08,-0.0810721247563353,-0.08,-0.0836176204899304,-0.0420992619082957,-0.0176860722181282,0.00434782608695652,-0.0570257834090818,-0.00833333333333333,-0.019047619047619,-0.041025641025641,-0.0456410256410256,-0.0523809523809524,-0.0385964912280702,-0.0478557504873294,-0.0556067588325653,-0.0691870057461455,-0.0701870057461455,-0.107245263696877,-0.101652850045565,-0.291402637043127,-0.328213175654842,-0.32591985428051
"EGR1",0.100793650793651,0.227005347593583,0.229737588030741,0.2,0.225490196078431,0.0713775988411725,0.204832515550748,0.05003663003663,0.18539326377579,0.0333333333333333,0.0333333333333333,0.15790704070407,0.112524185958969,0.0123527388847949,0.183811942201955,0.117710978691542,0.172130008371857,0,0.0836176204899304,0.0836176204899304,0.0881630750353849,0.0854623686587743,0.0845910266702346,0.0852806818426484,0.0784205471388295,0.084841513163605,0.1,0.0108463203463203,-0.0837037037037037,-0.084961397040605,-0.0837037037037037,-0.081001001001001,-0.08,-0.0810721247563353,-0.08,-0.0836176204899304,-0.0420992619082957,-0.0176860722181282,0.00434782608695652,-0.0570257834090818,-0.00833333333333333,-0.019047619047619,-0.041025641025641,-0.0456410256410256,-0.0523809523809524,-0.0385964912280702,-0.0478557504873294,-0.0556067588325653,-0.0691870057461455,-0.0701870057461455,-0.107245263696877,-0.101652850045565,-0.291402637043127,-0.328213175654842,-0.32591985428051
"NOTCHic",0.101904761904762,0.22047311827957,0.219836175604411,0.166666666666667,0.194666666666667,0.0656047705054328,0.204022365848495,0.046369148678147,0.188736263736264,0,0,0.147320574162679,0.107072060547916,0.0166666666666667,0.198689044772679,0.105945729441057,0.177848318515651,0.02,0.0661660079051383,0.0661660079051383,0.0656733970676999,0.0610286487705842,0.0655420769706484,0.0647787181920224,0.0590296495956873,0.105067135875812,0.1,0.0354176561856813,-0.0569230769230769,-0.061052281052281,-0.0569230769230769,-0.0599533799533799,-0.08,-0.0599533799533799,-0.08,-0.0661660079051383,-0.04275181040158,0.00619047619047619,0.0133333333333333,-0.0550885668276973,-0.0333333333333333,-0.0333333333333333,0.0685714285714286,-0.0411059907834101,-0.00833333333333333,-0.0333333333333333,-0.0403100775193798,-0.0467948717948718,-0.0526772247360483,-0.0666557193597042,-0.10118533744433,-0.00513935340022296,-0.283379125691264,-0.326908212560386,-0.321670117322291
"CDC42",0.100793650793651,0.225490196078431,0.227005347593583,0.285714285714286,0.2,0.0689236111111111,0.19986013986014,0.0456410256410256,0.187541235136172,0.00833333333333333,0,0.143055555555556,0.111437229437229,0.0176860722181282,0.185126821094688,0.117109474932144,0.170298506540355,0.02,0.0860566448801743,0.0860566448801743,0.0836176204899304,0.0810721247563353,0.084961397040605,0.0845910266702346,0.0746469622331691,0.0868306632540209,0.1,0.0101190476190476,-0.08,-0.081001001001001,-0.08,-0.0837037037037037,-0.1,-0.0837037037037037,-0.1,-0.0860566448801743,-0.0379613308738129,0.00434782608695652,0,-0.059919674084323,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.041025641025641,-0.019047619047619,-0.0333333333333333,-0.0385964912280702,-0.0523809523809524,-0.0556067588325653,-0.0691870057461455,-0.100793650793651,-0.10312343828086,-0.280235124352771,-0.324676198162881,-0.314444444444444
"GLI",0.131070768138594,0.145500975927131,0.147618622985954,0.121666666666667,0.14235632183908,0.104211862531735,0.181428829363288,0.08595838069976,0.153713413673949,0.0763157894736842,0.0833333333333333,-0.0477596444853082,0.118333208010627,0.132734328286814,0.174087652863493,0.135678036393521,0.164603602848936,0.122857142857143,-0.0169016891723554,-0.0169016891723554,-0.0119511941228504,0.057925632847511,0.0765311649201608,0.0767104835095213,0.0740972222222222,0.0790873871952037,0.1,-0.105778930051941,-0.0767741935483871,-0.0762064895954855,-0.156774193548387,-0.0718961447678993,-0.08,-0.153244781783681,-0.16,0.0169016891723554,-0.0376930684554524,-0.136601731601732,-0.11452380952381,-0.047163082437276,-0.05,0.0476190476190476,-0.0806012378426171,-0.0831012378426172,0.0101190476190476,-0.082438238453276,-0.090250738453276,0.00485588972431079,-0.00738900823487289,-0.0102696666710869,-0.133773470841296,-0.135376258338907,-0.270895451297928,-0.306248079877112,-0.304217074217074
"DELTA",0.0833333333333333,0.166666666666667,0.194666666666667,0.2,0.2,0.0556709956709957,0.18974358974359,-0.0685714285714286,0.191666666666667,0,0,0.16,0.103,-0.0133333333333333,0.194666666666667,0.104880308880309,0.170499359795134,0.1,0.08,0.08,0.0618181818181818,0.0569230769230769,0.0599533799533799,0.061052281052281,0.0571428571428571,0.101131221719457,0,0.0409961685823755,-0.1,-0.0569230769230769,-0.1,-0.08,0,-0.08,0,-0.08,-0.0528571428571429,-0.02,0,-0.0432367149758454,0,0,0.1,0.04,0,-0.0333333333333333,0,-0.0333333333333333,-0.00833333333333333,-0.0467948717948718,-0.0785714285714286,0.0166666666666667,-0.258787878787879,-0.30024154589372,-0.261111111111111
"SRC",0.0116228070175439,0.303769841269841,0.314678932178932,0.355555555555556,0.318055555555556,0.0311097388849682,0.109449332029977,-0.0842857142857143,0.2047380012672,-0.0666666666666667,-0.1,0.272857142857143,0.161841606669193,-0.119268153230417,0.0382958435899612,-0.0957019429845517,-0.0360574764256848,-0.0666666666666667,0.082186065915728,0.082186065915728,0.085216368946031,0.0299180327868852,0.0189424230307877,0.0200609912634499,-0.00369118959581793,0.0602278463058944,-0.2,0.113593073593074,-0.025,-0.0299180327868852,-0.025,-0.025,0.1,-0.025,0,-0.082186065915728,-0.0894724556489263,0.106060606060606,0.0393939393939394,-0.0111036238394729,0.1,0.0333333333333333,0.07,0.0842857142857143,-0.0166666666666667,0.105128205128205,0.105128205128205,0.00333333333333333,-0.000370370370370371,0.00257080610021786,-0.0251363205310574,0.00653757034094671,-0.240181525398917,-0.294953578915843,-0.179198966408269
