"","AXIN2","NOTCH","NOTCHic","TCFLEF","Csl","CD44","ILK","IKK","NFB","Frizzled","MEK","DSH","Csn","ERK","cfos","TrCP","TGFR","PAK1","RAS","DELTA","TWIST1","RAF","PI3K","ZEB1","FOXC2","LIV1","SOSGRB2","CDC42","EGR1","SHH","TGF","Patched","Destcompl","SUFU","SMO","RKIP","STAT","FUS","Ecadherin","SRC","HEY1","SNAI1","AKT","cMet","SMAD","Wnt","GSK3","GLI","cateninmemb","cateninnuc","SNAI2","miR200","Jagged","ZEB2","KLF4"
"GLI",0.241253019323671,0.156306366047745,0.149639699381079,0.210303554119718,0.142139699381079,0.206082774898939,0.159654546599568,0.0921112304570951,0.0941520467836257,0.0961290322580645,0.143299251393174,0.08,0.0888888888888889,0.14495670995671,0.12547619047619,0.0333333333333333,0.0034894816742572,-0.01,-0.0522944159481472,-0.0568488713936918,-0.0969602647870899,0.0568488713936918,0.0568488713936918,-0.0876711896228025,-0.086733746130031,-0.15,-0.0708217446270544,-0.00034482758620689,-0.117142857142857,-0.19378467111341,-0.0112541875566101,-0.195842284282134,-0.15415802087418,-0.20952380952381,-0.191760651629073,-0.189004844873762,-0.17,-0.197023809523809,-0.140993386293465,-0.186129032258065,-0.1481165646276,-0.22627886126685,-0.103048730457095,-0.198324154209284,-0.16181670876173,-0.109070208728653,-0.157596112531224,-0.217155315111631,-0.202915902064496,-0.212036967150203,-0.344361788216842,-0.285823268578687,-0.184999147896429,-0.409087642942482,-0.401496353496353
"TGF",0.251190476190476,0.310229885057471,0.303333333333333,0.239442237669646,0.273333333333333,0.224968553459119,0.226969696969697,0.104761904761905,0.0333333333333333,0.171428571428571,0.10796992481203,0.1,0.0333333333333333,0.0879699248120301,0.114285714285714,0,-0.0114285714285714,-0.04,0.00238095238095239,-0.00833333333333333,-0.141851851851852,0.00833333333333333,0.00833333333333333,-0.0177343226313478,-0.0718478260869565,0,-0.0552631578947368,0.04,-0.1,-0.17007183908046,-0.0975,-0.17632183908046,-0.0869899260120527,-0.133333333333333,-0.186666666666667,-0.199134199134199,-0.1,-0.153333333333333,-0.190451187737665,-0.166666666666667,-0.190006447453256,-0.250785123966942,-0.120551378446115,-0.196666666666667,-0.231808406647116,-0.201428571428571,-0.0459168142142702,-0.229730458221024,-0.247422016096144,-0.248533146760555,-0.188837137839274,-0.291986844573051,-0.275263868433972,-0.37204400989298,-0.373862191711162
"TrCP",0.231997087709514,0.10003663003663,0.0956410256410256,0.196391936490946,0.091025641025641,0.194169714268724,0.0989417989417989,0.103070175438596,0.108333333333333,0.181111111111111,0.227715057725375,0.17,0.108333333333333,0.226381724392041,0.204347826086957,0.0333333333333333,0.0795008912655971,0.0666666666666667,0.102776183644189,0.0977761836441894,-0.0456615847920196,-0.0977761836441894,-0.0977761836441894,-0.0909310028078665,-0.0640774324868719,-0.15,-0.0680418041804181,-0.0764705882352941,-0.2,-0.0456118222677362,-0.0849653721399141,-0.0486118222677362,-0.180260315380429,-0.0761904761904762,-0.0498463901689708,-0.132701902149416,-0.17,-0.0595238095238095,-0.116907732698279,-0.181111111111111,-0.0927109974424552,-0.169488587402246,-0.104922027290448,-0.189219219219219,-0.101522444103089,-0.189005847953216,-0.0692905844155844,-0.194371701611753,-0.183656744081516,-0.196943660628877,-0.334560449867666,-0.241600968952417,-0.134595262440354,-0.351285351824891,-0.342314858183711
"cfos",0.224449917898194,0.0956410256410256,0.091025641025641,0.194169714268724,0.0833333333333333,0.189219219219219,0.0989417989417989,0.108333333333333,0.108333333333333,0.17,0.226381724392041,0.15,0.0333333333333333,0.204347826086957,0.2,0,0.0764705882352941,0.0428571428571429,0.0977761836441894,0.0941176470588235,-0.0478354978354978,-0.0941176470588235,-0.0941176470588235,-0.0912525462162266,-0.0592498462799754,-0.1,-0.0611111111111111,-0.0666666666666667,-0.24,-0.0486118222677362,-0.0795008912655971,-0.0498463901689708,-0.180711443199978,-0.0333333333333333,-0.0595238095238095,-0.128834498834499,-0.15,-0.0761904761904762,-0.116700120241532,-0.17,-0.0956521739130435,-0.17450052057647,-0.103070175438596,-0.181111111111111,-0.0989417989417989,-0.181111111111111,-0.0721996753246753,-0.189005847953216,-0.182191542616314,-0.196391936490946,-0.331667140645243,-0.239062897886427,-0.131527777777778,-0.346462200699489,-0.337396825396825
"CDC42",0.224449917898194,0.0956410256410256,0.091025641025641,0.194169714268724,0.0833333333333333,0.189219219219219,0.0989417989417989,0.108333333333333,0.108333333333333,0.17,0.226381724392041,0.15,0.0333333333333333,0.204347826086957,0.2,0,0.0764705882352941,-0.0571428571428571,0.0977761836441894,0.0941176470588235,-0.0478354978354978,-0.0941176470588235,-0.0941176470588235,-0.0912525462162266,-0.0592498462799754,-0.1,-0.0611111111111111,-0.0666666666666667,-0.14,-0.0486118222677362,-0.0795008912655971,-0.0498463901689708,-0.180711443199978,-0.0333333333333333,-0.0595238095238095,-0.128834498834499,-0.15,-0.0761904761904762,-0.116700120241532,-0.17,-0.0956521739130435,-0.17450052057647,-0.103070175438596,-0.181111111111111,-0.0989417989417989,-0.181111111111111,-0.0721996753246753,-0.189005847953216,-0.182191542616314,-0.196391936490946,-0.331667140645243,-0.239062897886427,-0.131527777777778,-0.346462200699489,-0.337396825396825
"Jagged",0.221428571428571,-0.0114285714285714,-0.04,0.21967365967366,-0.1,0.198461538461538,0.1,0.0333333333333333,0,0.1,0.206666666666667,0,0,0.14,0.2,0,0.0555555555555556,0,0.1,0.1,-0.013,-0.1,-0.1,-0.0845410628019324,-0.0628571428571429,0,-0.02,0,-0.1,-0.0352564102564102,-0.0835555555555556,-0.0583333333333333,-0.204833976833977,0,-0.0333333333333333,-0.107692307692308,0,0,-0.137929824561404,-0.1,-0.2,-0.166666666666667,-0.111111111111111,-0.16,-0.0952380952380952,-0.16,-0.113026819923372,-0.198461538461538,-0.21423449789647,-0.233959373959374,-0.339768728004022,-0.222424242424242,-0.147445887445887,-0.324154589371981,-0.311111111111111
"DELTA",0.221428571428571,-0.0114285714285714,-0.04,0.21967365967366,-0.1,0.198461538461538,0.1,0.0333333333333333,0,0.1,0.206666666666667,0,0,0.14,0.2,0,0.0555555555555556,0,0.1,0.1,-0.013,-0.1,-0.1,-0.0845410628019324,-0.0628571428571429,0,-0.02,0,-0.1,-0.0352564102564102,-0.0835555555555556,-0.0583333333333333,-0.204833976833977,0,-0.0333333333333333,-0.107692307692308,0,0,-0.137929824561404,-0.1,-0.2,-0.166666666666667,-0.111111111111111,-0.16,-0.0952380952380952,-0.16,-0.113026819923372,-0.198461538461538,-0.21423449789647,-0.233959373959374,-0.339768728004022,-0.222424242424242,-0.147445887445887,-0.324154589371981,-0.311111111111111
"SUFU",-0.368627906613012,0.0213131313131313,0.0157575757575758,-0.199427404518049,0.00893939393939394,-0.202688274083266,0.13852534562212,-0.0481318681318681,-0.0442857142857143,-0.3,-0.0163566587484416,-0.3,-0.0642857142857143,-0.0244417651314203,-0.0186946386946387,-0.05,-0.120141843971631,-0.123333333333333,-0.0860668013696212,-0.0857503456734187,-0.18226027538211,0.0857503456734187,0.0857503456734187,-0.0356335575236887,0.00130077053676374,0.2,0.210581523739418,0.123333333333333,0.0338461538461538,-0.342894095394095,0.119944605312854,-0.339419191919192,0.190479026622296,-0.293333333333333,-0.336388888888889,-0.154780372630152,0.206666666666667,-0.330833333333333,-0.0508209460491749,0.206666666666667,-0.137340379194753,-0.17212132406727,0.0528298547090493,0.205695792880259,-0.143375230148679,0.298076923076923,0.177178735253742,0.29473119816986,0.110757130606661,0.197125614236719,0.220443195464004,-0.247580454987491,0.0767016359371051,-0.30450470407928,-0.310780624543263
"FUS",-0.369798866800366,0.0157575757575758,0.00893939393939394,-0.202688274083266,-0.00606060606060606,-0.205695792880259,0.131428571428571,-0.0442857142857143,-0.0642857142857143,-0.3,-0.0244417651314203,-0.3,-0.05,-0.0186946386946387,-0.0338461538461538,-0.1,-0.123333333333333,-0.14,-0.0857503456734187,-0.0818202146690519,-0.1820540898151,0.0818202146690519,0.0818202146690519,-0.0322519150116114,0.00105263157894737,0.2,0.207085020242915,0.123333333333333,-0.02,-0.339419191919192,0.120141843971631,-0.336388888888889,0.191489127632397,-0.133333333333333,-0.330833333333333,-0.153555882834233,0.2,-0.293333333333333,-0.0491731602613273,0.206666666666667,-0.132521102086319,-0.167521664782773,0.0481318681318681,0.206666666666667,-0.13852534562212,0.3,0.177435804662483,0.298076923076923,0.112939940975011,0.199427404518049,0.223805093947854,-0.241632499597157,0.0812147000701218,-0.297258327267686,-0.295810564663024
"SMO",-0.367935512763099,0.00893939393939394,-0.00606060606060606,-0.205695792880259,-0.0333333333333333,-0.206666666666667,0.126666666666667,-0.0642857142857143,-0.05,-0.3,-0.0186946386946387,-0.3,-0.1,-0.0338461538461538,0.02,0,-0.123333333333333,-0.1,-0.0818202146690519,-0.0701923076923077,-0.177342047930283,0.0701923076923077,0.0701923076923077,-0.0316384180790961,0.005,0.1,0.226315789473684,0.14,0,-0.336388888888889,0.123333333333333,-0.330833333333333,0.193094967048455,-0.1,-0.293333333333333,-0.133968253968254,0.2,-0.133333333333333,-0.0480772698503684,0.2,-0.125274725274725,-0.163748079877112,0.0442857142857143,0.206666666666667,-0.131428571428571,0.3,0.18379031971265,0.3,0.11759543445732,0.202688274083266,0.226139025725233,-0.230741410488246,0.0836243386243386,-0.281920903954802,-0.277777777777778
