"","FOXC2","TWIST1","CD44","cMet","STAT","ZEB2","ZEB1","LIV1","Csl","NOTCH","NOTCHic","SNAI1","TrCP","MEK","RKIP","Csn","ILK","SMAD","cfos","RAS","NFB","SUFU","PI3K","DELTA","HEY1","EGR1","IKK","FUS","AKT","SNAI2","KLF4","Patched","SHH","miR200","PAK1","CDC42","TGF","TGFR","SOSGRB2","SMO","RAF","GSK3","ERK","Ecadherin","AXIN2","Jagged","SRC","cateninmemb","DSH","Frizzled","Destcompl","Wnt","TCFLEF","cateninnuc","GLI"
"PI3K",-0.416141695702671,-0.179556279627555,0.108301746562616,0.106763285024155,0.1,-0.241755765454339,-0.241755765454339,0.1,-0.125,-0.154528535980149,-0.148076923076923,-0.346453301127214,-0.2,0.0435413509666162,-0.310391079508727,-0.233333333333333,0.0212565026010404,0.0220565026010404,0.019047619047619,0.423309019747376,-0.266666666666667,0,0.40961038961039,0.40961038961039,0.0320115696364309,0.0333333333333333,-0.307843137254902,0,-0.31553544494721,0.205813665276493,-0.236842105263158,-0.0166666666666667,-0.0138888888888889,0.00768753104818679,-0.125,0.119117647058824,0.129556671449067,0.127117647058824,0.162692307692308,0.0166666666666667,-0.40961038961039,-0.539838864838865,-0.0484593837535014,0.225972742284345,-0.0787619047619048,-0.0498245614035088,-0.111111111111111,0.0673330309246639,-0.1,-0.111111111111111,-0.464280223400584,-0.106763285024155,-0.108866718314029,-0.111134759551142,-0.108301746562616
"RAS",-0.311904761904762,-0.197741407528642,0.158010012515645,0.155882352941176,0.1,-0.211811487481591,-0.211811487481591,0,-0.2,-0.207944389275074,-0.194736842105263,-0.294631268436578,-0.2,0.0457533539731682,-0.316301886792453,-0.2,-0.067965367965368,-0.0700061842918986,0.015,0.39974358974359,-0.233333333333333,-0.1,0.488205128205128,0.488205128205128,0.0403162055335968,-0.06,-0.24,-0.1,-0.262222222222222,-0.0359413924926755,-0.194285714285714,-0.0873333333333333,-0.0890282485875706,-0.0693846153846154,-0.06,0.1,0.095165987186954,0.0882352941176471,0.0233766233766234,0.0833333333333333,-0.488205128205128,-0.558475452196382,-0.0202631578947368,0.0930693261054971,-0.121449275362319,0.0269465799329785,-0.15,0.00395268431512489,-0.1,-0.15,-0.449070618256665,-0.155882352941176,-0.158010012515645,-0.159993015348506,-0.155882352941176
"AXIN2",-0.143978020418301,0.00488009999166186,0.190540805820404,0.182654370489174,0.16,-0.161784645929194,-0.161784645929194,0.166666666666667,-0.0291228070175439,-0.0363139267086636,-0.0309085213032581,-0.188509599781175,-0.133333333333333,0.0557282881240027,-0.181326657213754,-0.166666666666667,0.0104439843570278,0.0104439843570278,0.0473170731707317,0.275747088327463,-0.188405797101449,-0.1,0.266035802238224,0.266035802238224,0.0115793568126225,0.04,-0.204347826086957,-0.123076923076923,-0.214347826086957,0.220007492983694,-0.151194606051709,-0.13021978021978,-0.131859124482075,-0.0557254468225594,-0.0966666666666667,0.10037037037037,0.104675402643509,0.103025237627008,0.109630951874991,0.123076923076923,-0.266035802238224,-0.286492782960746,-0.0557282881240027,0.139499827225663,-0.141451725704601,-0.16739801913715,-0.18093023255814,-0.107582611933575,-0.16,-0.18093023255814,-0.288267005391653,-0.182654370489174,-0.193237171588282,-0.196133842578339,-0.190201540300495
"cMet",-0.221682489451477,-0.209425855043833,-0.117674418604651,-0.12,0,-0.161471861471861,-0.161471861471861,0.1,-0.114285714285714,-0.104879219324908,-0.0984962406015037,-0.161988304093567,-0.1,-0.0459090909090909,-0.182592592592593,-0.1,-0.0575963718820862,-0.0612327355184498,-0.065,0.00765498652291105,-0.1,-0.1,0.0114285714285714,0.0114285714285714,-0.0528379772961816,-0.125,-0.08,-0.1,-0.08,-0.190475283030028,-0.0523809523809524,-0.0509090909090909,-0.0477840909090909,-0.0516293368467281,-0.0733333333333333,0.0858333333333333,0.0768498817966903,0.0747222222222222,0.122380952380952,0.06,-0.0114285714285714,-0.112327188940092,0.055,0.120407269712643,0.0920634920634921,0.0999533799533799,0,0.15534824605999,0.1,0.1,-0.099140712796175,0.12,0.120751341681574,0.121881285184399,0.12
"SOSGRB2",-0.235103785103785,-0.162115942028985,0.137474120082816,0.136024844720497,0.1,-0.159010025062657,-0.159010025062657,0,-0.272727272727273,-0.284644932532257,-0.28041958041958,-0.230683013503909,-0.2,0.125755625755626,-0.254166666666667,-0.3,-0.143225806451613,-0.146722309948116,0.0936507936507937,0.380580906852093,-0.288888888888889,-0.2,0.366478342749529,0.366478342749529,-0.0331439393939394,0.104761904761905,-0.304678362573099,-0.166666666666667,-0.321345029239766,-0.171178493879214,-0.150438596491228,-0.163963963963964,-0.17094070815001,-0.0371794507934105,-0.0928571428571429,0.0628571428571429,0.0746956589509781,0.0782417582417582,0.00888888888888889,0.166666666666667,-0.366478342749529,-0.469241797628894,-0.128785928785929,-0.000905505796667609,-0.102688393839384,0.119908752785285,-0.114285714285714,-0.0902172692172692,-0.1,-0.114285714285714,-0.407583318992715,-0.130952380952381,-0.142737277977553,-0.142928482566463,-0.1324016563147
"CD44",-0.220416666666667,-0.210549450549451,-0.12,0,0.1,-0.152380952380952,-0.152380952380952,0.1,-0.1,-0.0984962406015037,-0.114285714285714,-0.161988304093567,0,-0.055,-0.171481481481481,-0.1,-0.0555555555555556,-0.0575963718820862,-0.125,0.0114285714285714,-0.1,-0.1,0.0142857142857143,0.0142857142857143,-0.0508771929824561,-0.1,-0.1,-0.1,-0.08,-0.189015429015429,-0.0523809523809524,-0.06,-0.0509090909090909,-0.0516293368467281,-0.133333333333333,0.0733333333333333,0.0747222222222222,0.0858333333333333,0.135714285714286,0.1,-0.0142857142857143,-0.110714285714286,0.065,0.118626099229183,0.1,0.0999533799533799,0,0.152857142857143,0,0.1,-0.101167739823202,0.1,0.117674418604651,0.120751341681574,0.12
"ZEB2",-0.259452991452991,-0.201362557622296,-0.190116959064327,-0.184561403508772,-0.17,-0.150568206056442,-0.150568206056442,-0.15,-0.141025641025641,-0.137572089113073,-0.137025641025641,-0.123904165319852,-0.1,-0.0994506328764476,-0.0961996779388084,-0.0888888888888889,-0.0871227364185111,-0.0865129803209501,-0.0824561403508772,-0.0816334807234165,-0.0763888888888889,-0.075,-0.0745670995670996,-0.0745670995670996,-0.0738269794721408,-0.0666666666666667,-0.0652777777777778,-0.0607142857142857,-0.0606048805815161,-0.0520419128251279,-0.0501247045441501,-0.0497038327526132,-0.0478856509344314,-0.0143045830194134,-0.00519480519480519,0.00337662337662338,0.00466158180443895,0.00677798392084106,0.0423809523809524,0.0521428571428571,0.0745670995670996,0.075654615473655,0.0921335597057159,0.108561573232684,0.135098271629159,0.164726060653086,0.176666666666667,0.176821117306438,0.177272727272727,0.183939393939394,0.18903362814197,0.191631701631702,0.192581747796722,0.194789540004514,0.197136288787665
"TCFLEF",-0.398936960491194,-0.25552419127044,-0.205681744879858,-0.200021367521368,-0.179166666666667,-0.144233785220627,-0.144233785220627,-0.166666666666667,-0.0145544396620437,-0.0122288582666948,-0.0145544396620437,-0.162010964395902,0.0857142857142857,-0.160233947237432,-0.0588317950130872,0.112987012987013,0.0579568618515987,0.0573832480848683,-0.139825783972125,-0.138128611407992,0.124987012987013,0.133333333333333,-0.131952527308123,-0.131952527308123,0.0501153931550734,-0.147142857142857,0.137890238793465,0.166666666666667,0.142238064880421,0.22450540112881,-0.145812643239114,0.174654377880184,0.173427384015154,0.0202262730575984,-0.0846153846153846,0.0846153846153846,0.0842842587875701,0.0846153846153846,0.00664394288346384,-0.171428571428571,0.131952527308123,0.00142739443998654,0.15411149825784,0.193150573163957,0.0773172161172161,0.141621119333997,0.199166666666667,0.213014397521276,0.172549019607843,0.192549019607843,-0.0645530995009176,0.193403720462544,0.107170862863821,0.109146807881004,0.198993782574345
"SMO",-0.075,0.0302287581699346,0.156666666666667,0.156666666666667,0.2,-0.14180790960452,-0.14180790960452,0.1,0.0333333333333333,-0.0121212121212121,-0.0121212121212121,-0.104915514592934,0,0.101491841491841,-0.0966666666666667,-0.1,0.0566666666666667,0.0519047619047619,0.06,0.324843470483005,-0.1,-0.1,0.320192307692308,0.320192307692308,0.0542124542124542,0,-0.142857142857143,-0.0666666666666667,-0.146857142857143,0.276845101258894,-0.125,0.0258333333333333,0.0147222222222222,0.0107896323086197,-0.166666666666667,0.166666666666667,0.163738738738739,0.158333333333333,0.173684210526316,-0.0133333333333333,-0.320192307692308,-0.287200825064903,-0.0984615384615385,0.11438453607837,-0.0454993282579489,-0.145846560846561,-0.15,-0.0573897762466507,-0.1,-0.05,-0.314908812118115,-0.0625,-0.163462783171521,-0.16797406136701,-0.0625
"Jagged",-0.175714285714286,-0.096,-0.0276923076923077,-0.02,0,-0.0876811594202898,-0.0876811594202898,0,-0.1,-0.0942857142857143,-0.08,-0.0583333333333333,0,0.0533333333333333,-0.0256410256410257,0,0.0333333333333333,0.0285714285714286,0,0.00424242424242424,0,0,0.0133333333333333,0.0133333333333333,0.133333333333333,-0.1,0.0333333333333333,0,0.0222222222222222,0.138562091503268,-0.0833333333333333,0.0333333333333333,0.041025641025641,0.0327272727272727,0,0,-0.0151111111111111,-0.0111111111111111,0.08,-0.0333333333333333,-0.0133333333333333,0.0547892720306513,-0.02,0.0392631578947368,0.0142857142857143,-0.00614718614718615,0,0.043276019754893,0,0,0.0343938223938224,0.02,0.0367832167832168,0.0444755244755245,0.0276923076923077
