"","KLF4","SMAD","HEY1","SHH","Jagged","AKT","IKK","NOTCH","NOTCHic","RKIP","Csl","SUFU","MEK","ERK","cfos","Ecadherin","AXIN2","SOSGRB2","GLI","cateninnuc","TCFLEF","Wnt","FOXC2","SRC","Destcompl","STAT","TGFR","CDC42","PAK1","PI3K","RAF","DELTA","RAS","SNAI2","LIV1","TGF","cateninmemb","DSH","Frizzled","cMet","CD44","EGR1","GSK3","TrCP","Csn","TWIST1","NFB","FUS","SNAI1","SMO","Patched","ILK","ZEB2","ZEB1","miR200"
"TrCP",0.650305490502212,0.531128178870114,0.499260663785754,0.402833191102008,0.303914664280845,0.308308966861598,0.287938596491228,0.243809523809524,0.225128205128205,0.284912619608752,0.205128205128205,0.204761904761905,0.29588602309015,0.290552689756817,0.261739130434783,0.064135160236302,-0.0525104563621154,0.212871287128713,-0.0275795179004422,-0.0257647828777907,-0.0286613346019287,-0.0309941520467836,0.132251851118917,-0.0388888888888889,-0.0735672167971797,-0.05,0.123516679399032,0.13109243697479,0.10952380952381,-0.013540836388756,0.013540836388756,0.013540836388756,0.0126317454796651,-0.239853842606314,0.05,-0.126795367923623,0.0127435950573838,0.05,0.0388888888888889,0.0334834834834835,0.0305131864537805,-0.24,-0.0729485930735931,-0.133333333333333,-0.208333333333333,-0.262870318087709,-0.245833333333333,-0.288095238095238,-0.408605512892392,-0.330030721966206,-0.365833191102008,-0.498224953063663,-0.689769682283871,-0.689769682283871,-0.69936547146162
"GLI",0.629111969111969,0.495123686453745,0.465311862255835,0.491181989364947,0.303799131896049,0.303048171022795,0.281173171022795,0.225614184665909,0.204661803713528,0.291695576849499,0.187161803713528,0.304761904761905,0.198997273444787,0.19512987012987,0.167857142857143,0.0588481276895407,-0.0448037439613527,0.0134907864996361,-0.00860188138398805,-0.0166833149992824,-0.0199708224708903,0.0867172675521821,0.121590772273822,-0.0338709677419355,-0.0498198311500446,-0.05,0.00511277380177836,0.0158045977011494,-0.00833333333333333,0.0583432989519491,-0.0583432989519491,-0.0583432989519491,-0.0589373583578897,-0.232431887572635,0.05,-0.00911277380177836,0.0183089083714977,-0.06,-0.0761290322580645,0.0265538945712038,0.0222435497436176,-0.142857142857143,0.0197860767411356,-0.15,-0.205555555555556,-0.274427816100142,-0.242397660818713,-0.379761904761905,-0.388771685875323,-0.416604010025063,-0.455379520229144,-0.463772335102394,-0.667520481310804,-0.667520481310804,-0.677198199117704
"cfos",0.60768253968254,0.498224953063663,0.443378310844578,0.365833191102008,0.281215277777778,0.287938596491228,0.245833333333333,0.225128205128205,0.205128205128205,0.267785547785548,0.166666666666667,0.133333333333333,0.290552689756817,0.261739130434783,0.24,0.0593600737311116,-0.0569129720853859,0.2,-0.0309941520467836,-0.0286613346019287,-0.0305131864537805,-0.0388888888888889,0.126044954567193,-0.05,-0.074619848376127,-0.05,0.13109243697479,0.10952380952381,0.114285714285714,-0.014760348583878,0.014760348583878,0.014760348583878,0.013540836388756,-0.236960533383891,0.1,-0.123516679399032,0.0153076976214864,0.05,0.05,0.0388888888888889,0.0334834834834835,-0.32,-0.0685849567099567,-0.1,-0.133333333333333,-0.24982683982684,-0.208333333333333,-0.204761904761905,-0.391183078524851,-0.288095238095238,-0.330030721966206,-0.443386243386243,-0.652792190322457,-0.652792190322457,-0.662817248111366
"SMAD",0.602591991998617,0.495020595842514,0.586500247507248,0.475507201891704,0.38836419494484,0.396569561157796,0.37390289449113,0.321767925561029,0.303513957307061,0.24150336129093,0.288571428571429,0.308333333333333,0.268549211478694,0.262779980709463,0.251152073732719,0.121543606608311,0.0336577902455469,0.170519077196096,0.0494588944229232,0.0385877244899904,0.036561382038116,0.0465811965811966,0.0970074516861081,0.0255555555555556,-0.0262755331519301,0.02,0.0825749656224123,0.086485580147552,0.0738095238095238,0.0598630597931908,-0.0598630597931908,-0.0598630597931908,-0.0605209545300329,-0.176422183301418,-0.02,-0.0861606229929302,-0.0487498663926505,-0.0333333333333333,-0.0388888888888889,-0.031437908496732,-0.0339833630421866,-0.228571428571429,-0.135725081101021,-0.25,-0.305555555555556,-0.24614554158213,-0.348412698412698,-0.383333333333333,-0.338009413525543,-0.413333333333333,-0.449113149847095,-0.568353929175847,-0.635668026470137,-0.635668026470137,-0.646725281405017
"SUFU",0.555379132445492,0.442882638068513,0.402624161241238,0.564045279045279,0.362375066756488,0.120906261523711,0.0893626373626374,0.354574314574315,0.333939393939394,0.396063071276621,0.315757575757576,0.36,0.116441724086625,0.101548107065348,0.0889044289044289,-0.028863363113798,0.429866650664448,-0.182615629984051,0.375212483716201,0.280597852742957,0.276556932026845,0.365918803418803,0.124222730609359,0.244444444444444,0.349319982878757,0.233333333333333,-0.0106890933486678,-0.0170720720720721,-0.0116666666666667,0.0142323706556468,-0.0142323706556468,-0.0142323706556468,-0.016764016225267,0.243720993070986,-0.2,0.0140421505478789,0.198222212974366,-0.3375,-0.348611111111111,-0.260949298813376,-0.269219975505106,-0.0676923076923077,-0.318149091432863,0,-0.0142857142857143,-0.357895132264717,-0.0662857142857143,-0.435,-0.478500716501901,-0.485,-0.530454545454545,-0.402928827444956,-0.621696444852337,-0.621696444852337,-0.631240493416834
"STAT",0.434779164190929,0.430023876950414,0.398666666666667,0.278712698086026,0.170393177926117,0.238587570621469,0.223333333333333,0.1173949506331,0.110598834128246,0.182051158301158,0.0862745098039216,0.1,0.248690702087287,0.236862745098039,0.213333333333333,-0.0565396684531618,-0.127802393684747,0.266543513957307,-0.0769671504965623,-0.0780858594387168,-0.0789201860179778,-0.0811688311688312,0.094478527607362,-0.0857142857142857,-0.137791867000844,-0.0857142857142857,0.0957535885167464,0.0852272727272727,0.0727272727272727,0.0431813482216708,-0.0431813482216708,-0.0431813482216708,-0.0446738855351036,-0.174890350603832,0,-0.0904395788549107,0.0314084346353285,0.0857142857142857,0.0857142857142857,0.0811688311688312,0.0786047286047286,-0.233333333333333,0.0747797062750334,-0.1,-0.15,-0.0955994946249819,-0.19,-0.175,-0.283168735669004,-0.235,-0.251279069767442,-0.401288244766506,-0.560659852967545,-0.560659852967545,-0.570639408121446
"TCFLEF",0.369534632034632,0.309174350210075,0.29912861991309,0.352204065477368,0.302106568311559,0.0533085918289284,0.0348303309593632,0.291982408391604,0.281683405069345,0.318171465307434,0.264036346245815,0.2,-0.102663016426083,-0.114227642276423,-0.124703832752613,-0.0408502792421299,0.554526007326007,-0.250004606172271,0.212735370625396,0.115470555131613,0.112377771626459,0.204039718451483,0.0306157449555976,0.185833333333333,0.316168586781078,0.170833333333333,0.0112127241012266,0.00560524746571258,0.0102564102564103,-0.0293732373425514,0.0293732373425514,0.0293732373425514,0.0276649587617367,-0.20371655934854,-0.133333333333333,-0.00657696251182263,0.137590130586258,-0.174509803921569,-0.189509803921569,-0.200363247863248,-0.207910417674569,0.127142857142857,-0.216990611485738,0.0285714285714286,0.0012987012987013,-0.35073356989254,-0.0187012987012987,-0.26,-0.362193332005047,-0.302857142857143,-0.32705069124424,-0.281449684818106,-0.498805688463583,-0.498805688463583,-0.510706896851475
"AXIN2",0.440550057045433,0.38666896710375,0.34076139309405,0.406098450729598,0.415771285119111,0.2443961352657,0.218840579710145,0.120430976088871,0.102863408521303,0.389576095947064,0.0796491228070176,0.2,0.229402125925868,0.217677987994833,0.205528455284553,-0.0628100683102742,0.699176771776141,-0.0336365053055095,0.345415159905786,0.357343027351984,0.352284661593229,0.334723336006415,0.116969494206028,0.32093023255814,0.393322389211395,0.3,0.0504837211843112,0.0495987654320988,0.0508333333333333,0.159999643736668,-0.159999643736668,-0.159999643736668,-0.161049512503072,0.274631054022326,-0.266666666666667,-0.0518038531975125,0.31582227399613,-0.3,-0.32093023255814,-0.334723336006415,-0.345133430643639,-0.193333333333333,-0.397835670558783,-0.133333333333333,-0.166666666666667,-0.389042195127388,-0.188405797101449,-0.269230769230769,-0.457564842133997,-0.326373626373626,-0.371016483516484,-0.349367379802162,-0.49341265016355,-0.49341265016355,-0.502744624192674
"TGF",0.450750063564709,0.405884652981427,0.358607350096712,0.336077586206896,0.281173294059892,0.372055137844612,0.34047619047619,0.117471264367816,0.0933333333333333,0.255844155844156,0.0533333333333333,0.133333333333333,0.177326649958229,0.152882205513784,0.147619047619048,0.0646445295995493,0.01331569664903,-0.0197368421052632,0.0299460916442049,0.0205646835785863,0.0196077457795432,0.0242857142857143,0.0421739130434783,0,-0.00794280533449195,0,-0.0657142857142857,-0.08,-0.08,0.128571428571429,-0.128571428571429,-0.128571428571429,-0.126785714285714,-0.060667846038612,0,-0.0342857142857143,-0.0258581350444849,0,-0.0142857142857143,-0.01,-0.0156603773584906,-0.133333333333333,-0.147674960395117,-0.2,-0.233333333333333,-0.291666666666667,-0.283333333333333,-0.193333333333333,-0.340931341385887,-0.26,-0.304827586206896,-0.368787878787879,-0.488931881746527,-0.488931881746527,-0.498343849636953
"Destcompl",0.443231796262952,0.380689223057644,0.346463451078836,0.396199943118999,0.393516362330869,0.22304498420635,0.204924178837222,0.143449770673348,0.130824520172346,0.359821334943379,0.116694085389738,0.255555555555556,0.186212655712552,0.176929955290611,0.165454545454545,-0.043746160653437,0.352284661593229,-0.0306979542177136,0.299648149047502,0.305256772064193,0.302503074970873,0.293896757581825,0.0882371138670044,0.284985866492716,0.224668030924276,0.275396825396825,0.03548464757954,0.0339057002111189,0.0318367346938776,0.102964797188903,-0.102964797188903,-0.102964797188903,-0.103906712416532,0.22847574632469,-0.261111111111111,-0.0347949924071262,0.275602342621526,-0.275396825396825,-0.284985866492716,-0.293443577935502,-0.298667458532517,-0.153333333333333,-0.335435152654639,-0.133333333333333,-0.147619047619048,-0.352589958070241,-0.1824016563147,-0.30727969348659,-0.425602551770921,-0.344422550629447,-0.373956229385924,-0.35484126984127,-0.485305823532003,-0.485305823532003,-0.495733639139501
