"","IKK","NFB","Csn","SMO","TrCP","SUFU","FUS","TWIST1","SNAI2","cateninmemb","Destcompl","cfos","AXIN2","EGR1","GLI","TCFLEF","cateninnuc","SRC","LIV1","DSH","STAT","RAF","FOXC2","PAK1","TGFR","PI3K","DELTA","RAS","CDC42","TGF","GSK3","ZEB2","miR200","cMet","CD44","Wnt","Frizzled","RKIP","KLF4","NOTCHic","NOTCH","Csl","Jagged","MEK","ERK","SOSGRB2","Ecadherin","SNAI1","Patched","SHH","ZEB1","AKT","SMAD","ILK","HEY1"
"AXIN2",0.347342995169082,0.325603864734299,0.277777777777778,-0.0626373626373626,0.2,-0.1,-0.0769230769230769,0.330625377177101,0.374677562522978,0.282186544894438,0.36546922365498,-0.00113821138211382,0.633388011700385,-0.0133333333333333,0.273962213715433,0.2776933087332,0.280762915304753,0.26031007751938,0.233333333333333,0.253333333333333,0.253333333333333,0.334018861916786,0.11001638486416,-0.149166666666667,-0.15641019337922,-0.334018861916786,-0.334018861916786,-0.337430935407599,-0.15287037037037,-0.157730325392421,-0.335815593889965,-0.196779397766051,-0.193825941002727,-0.268930767174552,-0.274293543199789,-0.268930767174552,-0.26031007751938,-0.369864508251605,-0.199202239580516,0.243859649122807,0.243859649122807,0.243859649122807,0.176577593968898,-0.0141695552952951,-0.0072730035711572,-0.165946704067321,-0.0900436282182644,-0.392863350640762,0.0501373626373626,0.0445635921455594,-0.342106490956172,-0.360676328502415,-0.253209109730849,-0.243685300207039,-0.222567032404761
"Destcompl",0.312041855520116,0.303933747412008,0.295238095238095,-0.011559934318555,0.266666666666667,-0.0333333333333333,-0.0229885057471264,0.285191394283466,0.334441807600842,0.251020107046098,0.194220661771565,0.00811188811188812,0.2776933087332,0.00205128205128206,0.22608232307715,0.229298257570595,0.229961184648616,0.220700152207002,0.211111111111111,0.211111111111111,0.211111111111111,0.268679587366605,0.0767750467970728,-0.122244897959184,-0.125693173821253,-0.268679587366605,-0.268679587366605,-0.271191361306951,-0.125693173821253,-0.126776917663617,-0.265158293650205,-0.150971763358442,-0.153902809316981,-0.224182739271678,-0.226421545241827,-0.223670449236704,-0.220700152207002,-0.322899347168675,-0.15499881838135,0.190246768507638,0.190847970912448,0.190246768507638,0.141185895072527,-0.0149666989301768,-0.0141228170736368,-0.135652651282352,-0.0799267984996073,-0.343937873681821,0.0100055301734773,0.00710417620829355,-0.297719703977798,-0.317410983036895,-0.217673350041771,-0.214047619047619,-0.194403203633973
"cateninnuc",0.304484848484848,0.298484848484848,0.283333333333333,-0.070528233151184,0.233333333333333,-0.0888888888888889,-0.0688888888888889,0.307476734269001,0.411139265370955,0.264105822209642,0.300568976695016,-0.0368875086266391,0.357608806841845,-0.0543478260869565,0.221838673536113,0.224161453667574,0.12684027167365,0.21462703962704,0.190909090909091,0.206293706293706,0.206293706293706,0.298218988218988,-0.026421261798311,-0.105714285714286,-0.103008715422509,-0.298218988218988,-0.298218988218988,-0.30040754040754,-0.0995604395604396,-0.105192121536046,-0.26829560043195,-0.111076488702497,-0.127011022232088,-0.218974865713996,-0.223339945079076,-0.217490847449156,-0.213143021362199,-0.284754822514128,-0.139456915168659,0.304869414152031,0.304869414152031,0.301381042059008,0.171743906169236,0.0327590682596666,0.0368875086266391,-0.161873161666223,-0.187924627010183,-0.299560996433701,0.0599692269400039,0.0580084426262784,-0.268658619464592,-0.318547348484849,-0.145073847026098,-0.139753246753247,-0.0932295018227547
"SNAI2",0.189367816091954,0.158333333333333,0.133333333333333,-0.114117647058824,0.1,-0.1,-0.12,0.196130865672519,0.466004781489166,0.37473016905884,0.192633822201404,-0.0725490196078431,0.211377964836361,-0.0666666666666667,0.159805678993749,0.163450472159072,0.165624385202551,0.147272727272727,0.12,0.147272727272727,0.147272727272727,0.191343353779775,-0.0649593964362437,-0.0274509803921569,-0.0399051928463693,-0.191343353779775,-0.191343353779775,-0.195452942820871,-0.0322128851540616,-0.0380418388091022,-0.17826839757149,-0.110059366477869,-0.121481345135517,-0.157131882202305,-0.160357688653918,-0.157131882202305,-0.147272727272727,-0.169564102564103,-0.125192307692308,0.18640350877193,0.191598313966735,0.184649122807018,0.139466742418965,0.0638314785373609,0.0705882352941176,-0.129580797836376,-0.502015602934121,-0.179546835727951,0.107995198079232,0.107995198079232,-0.181679462974617,-0.197801551031713,-0.102773258369997,-0.0908115358819584,-0.0575195901145268
"STAT",0.153809523809524,0.13,0.15,0.145,0.1,0.1,0.125,0.258090867985921,0.167495269217757,0.124338365114617,0.083485133890991,0.26,0.0867031008207479,0.2,0.0383021390374331,0.0414826104494874,0.0404099048475804,0.0517857142857143,0.1,0.0142857142857143,0.0142857142857143,0.060514888337469,0.0574437627811861,-0.0590909090909091,-0.0518540669856459,-0.060514888337469,-0.060514888337469,-0.0627536943076182,-0.0465909090909091,-0.0581342602223609,-0.0968513573653761,-0.1076026537565,-0.0724847975428278,-0.0290584415584416,-0.0367507492507492,-0.0290584415584416,-0.0517857142857143,-0.199655727155727,-0.191988512576748,-0.064440911499735,-0.0790040182958515,-0.0725490196078431,-0.0986919116019525,-0.255192915876028,-0.254117647058824,-0.236412151067323,-0.0794943501192138,-0.278425548302303,-0.151976744186047,-0.159941345955958,-0.269643177335485,-0.175843422114609,-0.219815092453773,-0.215217391304348,-0.218
"RAS",0.04,0.0333333333333333,0,0.233333333333333,0,0.1,0.2,-0.00381887615930169,0.187087692952694,-0.030676297288157,-0.277489779233965,0.145,-0.176337285902503,0.12,-0.14828431372549,-0.148962164243766,-0.149245450362746,-0.15,0,-0.1,-0.1,-0.204358974358974,0.121904761904762,-0.1,-0.108235294117647,0.204358974358974,0.204358974358974,0.106282051282051,-0.12,-0.105264997087944,0.00343669250645994,-0.100559646539028,-0.101446153846154,0.144117647058824,0.150500625782228,0.144117647058824,0.15,-0.0368993710691824,-0.105714285714286,-0.236842105263158,-0.250049652432969,-0.2,-0.241198501872659,-0.177198142414861,-0.171315789473684,-0.147619047619048,-0.0251512392396572,-0.156194690265487,-0.245333333333333,-0.250418079096045,-0.158254786450663,-0.0233333333333333,-0.241558441558442,-0.241558441558442,-0.240711462450593
"TCFLEF",0.205754503560955,0.179948051948052,0.151948051948052,-0.0328571428571429,0.142857142857143,-0.05,-0.0566666666666667,0.34452704928643,0.379620933842878,-0.00642119244619026,0.31149164107845,0.0218466898954704,0.5442778998779,0.0242857142857143,0.188009455733241,0.099349522940264,0.099435433593185,0.186666666666667,0.166666666666667,0.16078431372549,0.166666666666667,0.20695312899284,0.0194420057098574,-0.115384615384615,-0.127468944878204,-0.20695312899284,-0.20695312899284,-0.209449843841723,-0.129338103756708,-0.129786825672906,-0.197358609681723,-0.094098041821726,-0.115634833707123,-0.192649572649573,-0.193278503467183,-0.186767219708396,-0.18078431372549,-0.280404555264729,-0.190745161701044,0.226622030926192,0.229612064148783,0.220739677985015,0.0875073530319502,-0.0354521320723411,-0.0361324041811847,-0.194146476278213,0.0177564083657075,-0.334193096536193,0.0328571428571429,0.0261086765994741,-0.319823188020556,-0.215537112256607,-0.149042492377302,-0.142732740943267,-0.0896302217147207
"cfos",0.133333333333333,0.108333333333333,0.133333333333333,0.180952380952381,0.1,0.133333333333333,0.147619047619048,0.168709956709957,0.156894808354662,-0.109252917056479,-0.111662420227609,0.28,-0.111247947454844,0.32,-0.0806627680311891,-0.0753024311440153,-0.0786357644773486,-0.06,-0.1,-0.1,-0.1,-0.108932461873638,0.0991815262690442,-0.0857142857142857,-0.0829131652661065,0.108932461873638,0.108932461873638,0.107712949678516,-0.080952380952381,-0.087458619811561,0.0348079004329004,-0.0905376840001537,-0.0613275613275613,0.0859259259259259,0.0832232232232232,0.0859259259259259,0.06,-0.167575757575758,-0.0730793650793651,-0.166666666666667,-0.183589743589744,-0.166666666666667,-0.1734375,-0.282652910832719,-0.284347826086957,-0.166666666666667,0.0749365809763865,-0.250661406104444,-0.184178187403994,-0.192820162712636,-0.251020408163265,-0.149122807017544,-0.21036866359447,-0.207142857142857,-0.217216391804098
"GLI",0.117794486215539,0.103508771929825,0.0666666666666667,0.102882205513784,0.1,0.0476190476190476,0.0976190476190476,0.198442548773618,0.178545768307212,-0.103424247081177,-0.0829966942762694,0.391190476190476,-0.0982367149758454,0.382857142857143,-0.0804594452743348,-0.0674540024938842,-0.0667965009995626,-0.0761290322580645,-0.1,0.02,-0.06,-0.200243327187869,0.0879088192294462,-0.171666666666667,-0.181707872478855,0.200243327187869,0.200243327187869,0.197273030158166,-0.178563218390805,-0.180060813655326,0.0976892128850792,-0.086142259771292,-0.0664238650925957,0.0736900078678206,0.0642072492471309,-0.00975332068311196,-0.00387096774193549,-0.154292549555707,-0.0897812097812098,-0.20592175066313,-0.207826512567892,-0.19342175066313,-0.179181718065804,-0.402986415058238,-0.392489177489177,-0.379283224150481,0.0668205743455248,-0.25433781386767,-0.109004654493376,-0.111062267662101,-0.281152500426694,-0.114669486215539,-0.23432802774386,-0.226219919635752,-0.239159849771055
"NOTCHic",0.122222222222222,0.1,0.133333333333333,0.181410256410256,0.1,0.133333333333333,0.158333333333333,0.128701524357744,0.0954719297581493,-0.141503123781048,-0.117727155727156,0.286666666666667,-0.118882150344414,0.22,-0.0766689224753741,-0.0750278293135436,-0.0776232491608718,-0.0569230769230769,-0.1,-0.08,-0.08,-0.115942028985507,0.106003949967084,-0.0888888888888889,-0.0833405017921147,0.115942028985507,0.115942028985507,0.114464196473192,-0.0768888888888889,-0.0852513298175924,0.065491118077325,-0.0843800322061192,-0.0583419663188449,0.0841958041958042,0.0787012987012987,0.0841958041958042,0.0569230769230769,-0.151263371564489,-0.0691683919944789,-0.177511520737327,-0.195932573368906,-0.0742857142857143,-0.175636656696259,-0.282380952380952,-0.27952380952381,-0.134354066985646,0.119192094126538,-0.227832722832723,-0.187292609351433,-0.192668953437454,-0.238228663446055,-0.133850129198966,-0.204073312778349,-0.20047619047619,-0.112229654403567
