"","cateninmemb","AXIN2","Frizzled","DSH","STAT","Wnt","GLI","cMet","TCFLEF","CD44","ZEB2","LIV1","PAK1","TGF","TGFR","NOTCHic","CDC42","Jagged","SUFU","Csl","FUS","AKT","DELTA","HEY1","ILK","IKK","RAS","TWIST1","SNAI1","TrCP","SMAD","SHH","NFB","RAF","PI3K","Patched","SMO","RKIP","NOTCH","Csn","KLF4","FOXC2","Destcompl","EGR1","cfos","MEK","ERK","cateninnuc","SOSGRB2","SRC","SNAI2","miR200","GSK3","Ecadherin","ZEB1"
"ZEB1",-0.261051602342512,-0.13773032771313,-0.0265969802555168,-0.00952380952380952,-0.0128205128205128,-0.0131354417939784,-0.016228225299133,-0.0181289776698672,-0.0194735403176213,-0.0216011998920894,-0.229034136777765,-0.0666666666666667,0.021455938697318,0.0108653498636722,0.01283385380068,-0.222671568627451,0.0113110111610861,-0.17895216969845,0.258333333333333,-0.21875,0.258333333333333,0.161616746784995,0.112234612319258,0.224101718661304,0.205391180089707,0.177331032499281,-0.112077132004297,-0.228619144038904,-0.194493934716887,-0.166666666666667,-0.201545026243554,0.244790536725852,0.159298245614035,-0.112234612319258,-0.112234612319258,0.247281639928699,0.249242424242424,-0.217997940164284,0.219365783503484,-0.206666666666667,-0.233779958477693,-0.303484151090694,0.017785310184241,-0.15,-0.146,-0.144973827416429,-0.147176470588235,0.0212347927638053,-0.0775438596491228,0.0298936835522201,0.0655883398986298,0.0223582297188316,-0.107066171323054,0.16832000268483,-0.0657868383196895
"SRC",0.223278326597815,0.130494283649964,0.075,0,-0.1,0.065,0.0731967213114754,0.065,0.0744162335065974,0.0731967213114754,-0.190468703204552,0,-0.111111111111111,-0.112896825396825,-0.112896825396825,-0.0566666666666667,-0.0986111111111111,0.00755998588567396,-0.0333333333333333,-0.09,0.0166666666666667,-0.064957264957265,-0.0038715060492282,0.0533763654419066,0.0260964912280702,-0.0871794871794872,0.00690180907953123,-0.150178097764305,-0.248265094708032,0.1,-0.0287991939307729,-0.0159694989106754,-0.0333333333333333,0.0038715060492282,0.0038715060492282,-0.0218518518518519,-0.00333333333333333,-0.15089605734767,0.0495238095238095,0.1,-0.295801033591731,-0.350210084033613,-0.0648594521420608,0,-0.0272727272727273,-0.0331427482370879,-0.0161616161616162,-0.0777719382045839,-0.0342857142857143,-0.075,-0.19218049777818,0.0174117991509296,0.0961038961038961,-0.203790283790284,-0.122132374962564
"miR200",-0.112406940511746,-0.0857725730573738,-0.008,-0.06,-0.06,-0.0150422535211268,-0.0128444513233246,-0.019216166564605,-0.0193499279343214,-0.0169689755533691,-0.181922043010753,0,0.0208333333333333,0.0166050703852434,0.0131166982922201,-0.122955665024631,0.0227941176470588,-0.0931624070966195,0.12,-0.143645320197044,0.145,0.0871925095758264,0.107837734404899,0.106638418079096,0.0982684834012268,0.073984962406015,-0.109084617197916,-0.164508272913181,-0.0922309172309172,-0.1,-0.10485155550154,0.12151990460466,0.116842105263158,-0.107837734404899,-0.107837734404899,0.119345991561181,0.138333333333333,-0.1225872419025,0.115611032256269,-0.08,-0.191218081435473,-0.201724779285755,0.0260475268267649,-0.114285714285714,-0.114285714285714,-0.120408163265306,-0.114285714285714,0.0178347764191699,-0.0815473887814313,0.0121739130434783,0.041217322323737,-0.0713941558632449,-0.122645147829725,0.00908097902094121,-0.0195967741935484
"SMO",-0.12326077878693,-0.258008658008658,-0.05,0,-0.1,-0.0125,-0.0236111111111111,-0.103333333333333,-0.10764832793959,-0.114444444444444,-0.168361581920904,-0.1,-0.1,-0.108108108108108,-0.1,-0.245454545454545,-0.1,-0.15042328042328,0.1,-0.2,0.133333333333333,-0.0431428571428571,-0.00192307692307692,0.0996336996336996,0.0833333333333333,-0.00714285714285715,-0.0190071556350626,-0.116830065359477,-0.111751152073733,0,-0.0849206349206349,0.0516666666666667,-0.05,0.00192307692307692,0.00192307692307692,0.0683333333333333,0.0933333333333333,-0.143015873015873,0.220454545454545,0.1,-0.177777777777778,-0.219655172413793,-0.0134905404672847,-0.1,-0.12,-0.115337995337995,-0.112307692307692,0.108400207638838,-0.0447368421052632,0.15,0.167012588943623,0.000361663652802893,-0.00540204132437142,0.0233170127817783,-0.0548022598870056
"TCFLEF",-0.228129454267747,0.328260805860806,-0.0356862745098039,-0.0156862745098039,-0.00833333333333333,-0.0245751633986928,-0.028301871473227,-0.0172222222222222,-0.120593810110441,-0.0216247379454927,-0.167188507885876,-0.0333333333333333,-0.164102564102564,-0.157456873776102,-0.15149660887544,0.161820500557947,-0.161776982707215,-0.0159478131165803,0.05,0.169663637812849,0.0433333333333333,0.196699896176755,-0.193142961682673,0.0735559996193739,0.139548872180451,0.210830330959363,0.190909058923146,-0.0985053526821387,-0.195528959650299,-0.171428571428571,-0.135915984991159,0.0523204508401421,0.194701298701299,0.193142961682673,0.193142961682673,0.0529339477726575,0.0480952380952381,-0.248182486109198,-0.158830467335355,-0.198701298701299,-0.0725219633307869,-0.223393306147001,0.135604549633395,-0.41,-0.431951219512195,-0.429774348763896,-0.438617886178862,0.120851542069204,-0.362067864271457,0.0283333333333333,0.31170989595084,0.0179389419148455,0.062297914872263,0.241809835090539,-0.0976945330497962
"Patched",-0.129086021505376,-0.258008658008658,0,0,-0.1,-0.05,-0.0125,-0.15,-0.114444444444444,-0.103333333333333,-0.166666666666667,-0.1,-0.1,-0.1,-0.1,-0.2,-0.1,-0.143280423280423,0,-0.2,0.1,-0.00714285714285715,0.0230769230769231,0.0948717948717949,0.0833333333333333,-0.05,0.00192307692307692,-0.113888888888889,-0.123655913978495,0,-0.0833333333333333,0.0683333333333333,-0.1,-0.0230769230769231,-0.0230769230769231,0.0933333333333333,0.133333333333333,-0.148571428571429,0.245454545454545,0,-0.161111111111111,-0.23,-0.0142657342657343,-0.1,-0.1,-0.112307692307692,-0.12,0.10764832793959,-0.05,0.1,0.169869731800766,0.0142857142857143,-0.0102564102564103,0.0295900755124056,-0.0666666666666667
"FUS",-0.120467482697544,-0.253660831921701,-0.0125,-0.05,-0.15,-0.0236111111111111,-0.0159188034188034,-0.114444444444444,-0.108400207638838,-0.10764832793959,-0.155478146338082,-0.1,-0.1,-0.0995974698102358,-0.108108108108108,-0.220454545454545,-0.1,-0.146808822591955,0.133333333333333,-0.245454545454545,0.0933333333333333,-0.0277582417582418,0.0190071556350626,0.101082974996018,0.0849206349206349,-0.0431428571428571,-0.0150770246306958,-0.10688242138042,-0.112694548300148,0.1,-0.089436763952893,0.0567171717171717,-0.00714285714285715,-0.0190071556350626,-0.0190071556350626,0.0516666666666667,0.0683333333333333,-0.131675666830306,0.215909090909091,0.05,-0.179417122040073,-0.214392014519056,-0.0142204674745839,-0.12,-0.112307692307692,-0.121085121774777,-0.115337995337995,0.108128468508403,-0.0562753036437247,0.103333333333333,0.165755856448112,-0.00161853436699909,-0.00172311155848513,0.020577286754381,-0.055415756819521
"SUFU",-0.118966800569304,-0.252489871734348,-0.0236111111111111,-0.0125,-0.103333333333333,-0.0159188034188034,-0.0162905506306993,-0.10764832793959,-0.108128468508403,-0.108400207638838,-0.154995054550642,-0.15,-0.1,-0.105317390914772,-0.0995974698102358,-0.215909090909091,-0.108108108108108,-0.148946589812858,0.0933333333333333,-0.220454545454545,0.0683333333333333,-0.0391676377313961,0.0150770246306958,0.108311890658669,0.089436763952893,-0.0277582417582418,-0.011596011972468,-0.10708860694743,-0.117975638589756,0.05,-0.0859725607196366,0.0563310713310713,-0.0431428571428571,-0.0150770246306958,-0.0150770246306958,0.0567171717171717,0.0516666666666667,-0.132900156626224,0.220670995670996,0.00714285714285715,-0.168039876531091,-0.210173652236178,-0.0142736306856419,-0.112307692307692,-0.115337995337995,-0.111297887732224,-0.121085121774777,0.107668110452137,-0.0583732057416268,0.114444444444444,0.166480971807373,0.00247068496385593,-0.00352259741966765,0.0208862465896025,-0.0568650321818398
"SHH",-0.126308243727599,-0.276190476190476,0,0,-0.1,0,-0.05,-0.1,-0.103333333333333,-0.15,-0.15,0,-0.2,-0.1,-0.1,-0.2,-0.1,-0.191428571428571,0,-0.1,0,-0.05,0,0.133333333333333,0.133333333333333,-0.1,-0.0230769230769231,-0.125,-0.133333333333333,0,-0.0833333333333333,0.0933333333333333,0,0,0,0.133333333333333,0.1,-0.12,0.2,0,-0.15,-0.2,-0.0241558441558442,0,-0.1,-0.12,-0.1,0.114444444444444,-0.05,0.1,0.173869731800766,0,0.0230769230769231,0.0344444444444444,-0.05
"GLI",0.0345875133218296,-0.0152898550724638,0.0561290322580645,0.04,-0.02,0.050246679316888,-0.040817150470346,-0.0111880409126672,-0.00537747217106397,-0.00342942022301202,-0.146903311145247,0,-0.145,-0.149509778407134,-0.147862719583604,-0.0306542882404951,-0.134655172413793,-0.0670771180815544,-0.00952380952380953,-0.0206542882404951,-0.0220238095238095,0.130174207841031,-0.155143089673958,0.0932023974893245,0.0925371498581398,0.116111707841031,0.157717347099701,-0.136402941521787,-0.178668868308539,-0.133333333333333,-0.0925371498581398,-0.00710777163366972,0.126315789473684,0.155143089673958,0.155143089673958,-0.000111886860007167,-0.006234335839599,-0.239379280104206,0.0354161930023999,-0.1,-0.137192621192621,-0.279463794289646,0.0377974520257727,-0.422857142857143,-0.431190476190476,-0.440001554614814,-0.427294372294372,0.00687179374906755,-0.372833007700264,0.00387096774193549,-0.158368976515761,0.00619523922929496,0.0227859909679184,-0.0722501070438689,-0.140154548557774
